waste,stk_flow,wst_oper,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
W1501,DOM,RCY,PC,LT	: 	: 	: 	: 	32.7 	32.5 	37 	42.9 	51.7 	57.7 	60.4 	62.2 	62.2 	53.5 	57.7 	59.8 	69.5 
W1501,DOM,RCY,PC,LU	45.2 	57.3 	56.8 	60.1 	61 	62.6 	63.8 	62.5 	63.6 	61 	66 	66 	62.5 	62.8 	64.9 	60.5 	61.5 
W1501,DOM,RCY,PC,LV	: 	: 	: 	: 	45.6 	47 	42.2 	39.6 	46.8 	44.9 	48.9 	50.9 	51.1 	51 	54.9 	53.9 	57.7 
W1501,DOM,RCY,PC,MT	: 	: 	: 	: 	5.9 	8.1 	10.8 	10.4 	45.9 	36 	28.5 	42.3 	46.6 	38.1 	41.1 	37.1 	: 
W1501,DOM,RCY,PC,NL	58.8 	56 	57.4 	56.4 	58.5 	59.4 	70.2 	69.8 	72.4 	74.9 	73.9 	71.9 	69.3 	70.4 	70.5 	71.7 	72.6 
W1501,DOM,RCY,PC,NO	: 	: 	: 	: 	: 	: 	70.3 	68.4 	54.7 	53.1 	56.7 	57.5 	55.9 	54.5 	55.7 	55.1 	57.2 
W1501,DOM,RCY,PC,PL	: 	: 	: 	: 	28.3 	29.5 	37.1 	48.2 	42.9 	36.8 	38.9 	41.2 	41.4 	36.1 	55.4 	57.6 	58 
W1501,DOM,RCY,PC,PT	30.8 	37.7 	35.8 	38.3 	41 	44.3 	51.4 	56.5 	61 	59.9 	55.5 	58.4 	56.9 	61.5 	61 	57.1 	60.9 
W1501,DOM,RCY,PC,RO	: 	: 	: 	: 	: 	23 	28.6 	30.6 	33.5 	40.5 	43.4 	50 	56.8 	52.8 	54.8 	55.9 	: 
W1501,DOM,RCY,PC,SE	57.8 	63.2 	64.7 	60 	49.8 	48.2 	58.1 	59.3 	58.5 	58.9 	69.2 	71.5 	69.6 	71.9 	70.5 	71.8 	68.2 
W1501,DOM,RCY,PC,SI	: 	: 	: 	: 	34.3 	45.3 	40.3 	46.9 	52.4 	49.6 	61 	63.6 	66.9 	69 	70.4 	67 	69.4 
W1501,DOM,RCY,PC,SK	: 	: 	: 	36.3 	37.6 	29.8 	36.3 	61.1 	47.7 	59.9 	45.7 	62.4 	68.1 	65.9 	65.4 	64.3 	65.8 
W1501,DOM,RCY,PC,UK	39.9 	42.4 	44.2 	46.8 	49.7 	54.4 	57.5 	59.3 	61.5 	61.8 	60.7 	60.8 	61.4 	64.6 	59.2 	60.6 	64.7 
W150102,DOM,RCY,PC,AT	: 	: 	: 	30.7 	33.2 	32.9 	35.8 	32.7 	34.9 	32.7 	34.4 	34.8 	34.7 	34.4 	33.6 	33.6 	33.6 
W150102,DOM,RCY,PC,BE	: 	: 	: 	32.5 	36.5 	38.1 	38.6 	38.4 	39.5 	43 	41.5 	41.4 	41.5 	39 	41.8 	42.6 	43.4 
W150102,DOM,RCY,PC,BG	: 	: 	: 	: 	: 	8.4 	20.2 	19.5 	15.6 	30 	40.9 	39.2 	40.7 	41.3 	64.1 	60.8 	52.6 
W150102,DOM,RCY,PC,CY	: 	: 	: 	: 	9 	8.7 	14.5 	14.3 	14.8 	18.2 	27.2 	38 	44.8 	45.3 	46.6 	63.7 	: 
W150102,DOM,RCY,PC,CZ	: 	: 	: 	37.6 	43.8 	35 	44.3 	45.5 	50.2 	52.5 	54 	57 	58.2 	59.7 	58.2 	61.7 	59.2 
W150102,DOM,RCY,PC,DE	: 	: 	: 	38 	33.8 	35.2 	38.1 	40.7 	44.7 	46.5 	45.1 	46.3 	47 	46.8 	47.3 	47.4 	48.4 
W150102,DOM,RCY,PC,DK	: 	: 	: 	17.4 	16.3 	19.1 	20.3 	21.8 	25.4 	26.4 	26.4 e	22.3 	25.9 	29.1 	30.7 	30.5 	36.1 
W150102,DOM,RCY,PC,EE	: 	: 	: 	: 	12 	25.5 	33.7 	38.2 	22 	22.7 	33.4 	39.6 e	29.8 	28.1 	29.3 	27.8 	24.6 
W150102,DOM,RCY,PC,EL	: 	: 	: 	3 	5.9 	9.9 	10 	13.7 	11.9 	26.7 	30.1 	33 	32.2 	32.3 	32.8 	36.8 	: 
W150102,DOM,RCY,PC,ES	: 	: 	: 	19.9 	20.1 	20.7 	22.4 	23.3 	24.4 	26.6 	29.2 	32.4 	35.1 	40.7 	42.5 	44 	45.5 
W150102,DOM,RCY,PC,EU28	: 	: 	: 	: 	: 	24 s	26.4 s	27.7 s	29.8 s	31.9 s	32.5 s	33.7 s	35 	36.6 	38.9 	39.9 	42.4 s
W150102,DOM,RCY,PC,FI	: 	: 	: 	14.3 	14.6 	13.6 	15.9 	18.4 	22.7 	25.3 	26.2 	25.4 	25.4 	22.7 	24.6 	23.7 	25.4 
W150102,DOM,RCY,PC,FR	: 	: 	: 	16.1 	17.5 	19 	19 	21.1 	22.5 	25 	23.7 	23.3 	25.1 	25.6 	25.2 	25.5 	25.8 
W150102,DOM,RCY,PC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45.4 	45.3 	37.7 	46.3 	41.1 
W150102,DOM,RCY,PC,HU	: 	: 	: 	: 	14 	19.2 	20.4 	17 	25.1 	24.5 	32.5 	22.4 	27.8 	30.8 	36.8 	27.4 	31.4 
W150102,DOM,RCY,PC,IE	: 	: 	: 	15.5 	22.3 	24.1 	20.1 	22.2 	28.9 s	36.2 	39.4 	47.5 	38.2 	34.8 	31.3 	29.7 	31.2 
W150102,DOM,RCY,PC,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33.3 	43.5 	42.7 	: 	: 	37.2 	42.7 
W150102,DOM,RCY,PC,IT	: 	: 	: 	24 	25.9 	26 	27.4 	28.3 	31.1 	33.5 	34.5 	36.1 	37.5 	36.8 	38 	41.1 	42.4 
W150102,DOM,RCY,PC,LI	: 	: 	: 	: 	: 	: 	4.5 	3.2 	1.9 	3 	2.3 	2.6 	7 	6.6 	6.8 	16.9 	20.9 
W150102,DOM,RCY,PC,LT	: 	: 	: 	: 	20.9 	21.2 	26.7 	28.5 	32.6 	35.9 	38.4 	38.9 	38.9 	42.9 	51.2 	54.8 	74.4 
W150102,DOM,RCY,PC,LU	: 	: 	: 	23.5 	34.5 	29.6 	31.8 	38.7 	29.7 	24.6 	31 	33.2 	36.7 	32.2 	36.9 	32.5 	32.6 
W150102,DOM,RCY,PC,LV	: 	: 	: 	: 	21.2 	33.5 	26.7 	22.8 	17.6 	20.3 	24 	23 	24 	24.5 	36.4 	35.3 	37.2 
W150102,DOM,RCY,PC,MT	: 	: 	: 	: 	3 	5.4 	7.4 	10.6 	14 	50.9 	22 	28.9 	32.8 	22.6 	32.9 	28.6 	: 
W150102,DOM,RCY,PC,NL	: 	: 	: 	19.9 	19.3 	22.1 	32.5 	33.7 	36.4 	38.4 	47.6 	50.7 	47.7 	46.6 	50.6 	49.8 	51.5 
W150102,DOM,RCY,PC,NO	: 	: 	: 	: 	: 	: 	29.9 	29.8 	26.7 	30 	36.4 	37.6 	38.1 	38.8 	36.1 	37.1 	44.6 
W150102,DOM,RCY,PC,PL	: 	: 	: 	: 	16.3 	17.4 	24.6 	27.9 	23.7 	21.3 	20.1 	22.5 	21.9 	19.7 	28.3 	30.8 	46.9 
W150102,DOM,RCY,PC,PT	: 	: 	: 	9.1 	10.5 	15.8 	15.4 	15.3 	19.1 	25.5 	24.5 	26.1 	30.4 	35.3 	40 	43 	41.8 
W150102,DOM,RCY,PC,RO	: 	: 	: 	: 	: 	11.2 	17 	15.3 	15.5 	23.8 	28.2 	40.3 	51.3 	51.7 	44.5 	46.7 	: 
W150102,DOM,RCY,PC,SE	: 	: 	: 	22.3 	25.2 	29.9 	43.8 	41.7 	37 	37.5 	32.4 	34.1 	34.9 	45.6 	47.5 	49 	50.7 
W150102,DOM,RCY,PC,SI	: 	: 	: 	: 	12.1 	33.9 	38.6 	46.5 	55.6 	42 	67.3 	75.5 	64.8 	81.7 	69.3 	63.4 	62 
W150102,DOM,RCY,PC,SK	: 	: 	: 	11.9 	16 	18.1 	39.7 	41.7 	43.7 	49.3 	44.9 	49.9 	57 	55.1 	55.9 	54.4 	51.7 
W150102,DOM,RCY,PC,UK	: 	: 	: 	17.9 	18.7 	21.8 	22 	22.5 	23.7 	24.1 	24.1 	24.2 	25.2 	31.6 	37.9 	39.4 	44.9 
W150103,DOM,RCY,PC,AT	14.9 	12.4 	16.1 	19.2 	18.9 	18.7 	16.9 	19.1 	21.9 	21.8 	33.7 	21.1 	21.5 	20.3 	19.9 	18.1 	17.7 
W150103,DOM,RCY,PC,BE	34 	59.5 	55.3 	59.5 	64.1 	65.4 	63.8 	71.5 	57.9 	56.8 	63.3 	63.4 	66.1 	59 	72.2 	74.9 	80.9 
W150103,DOM,RCY,PC,BG	: 	: 	: 	: 	: 	0 	0 	0 	40.6 	45.5 	53.8 	41.5 	53.1 	58.5 	37.8 	32.7 	39 
W150103,DOM,RCY,PC,CY	: 	: 	: 	: 	4.8 	20.6 	23.1 	21.6 	14.9 	24.6 	8.4 	9.8 	6.2 	12 	11.5 	9.2 	: 
W150103,DOM,RCY,PC,CZ	: 	: 	: 	11.6 	10.4 	16.4 	21.2 	37.2 	29.3 	32.9 	36.3 	27.6 	25.7 	35.6 	66.1 	68.7 	63.9 
W150103,DOM,RCY,PC,DE	55.2 	41.4 	41.1 	35.1 	34.5 	34.5 	30 	30.2 	28.8 	30.8 	27.5 	30.1 	30.3 	25.5 	26.8 	25.8 	26 
W150103,DOM,RCY,PC,DK	: 	: 	: 	25.5 	29.7 	24.2 	33.9 	32.9 	41 	86.1 	86.1 e	29.5 	40.4 	66.4 	52.5 	75.9 	87.3 
W150103,DOM,RCY,PC,EE	: 	: 	: 	: 	4.9 	37.1 	17.2 	38.5 	56.7 	81 	63 	72.4 	59.7 	66.3 	62 	66.1 	32.5 
W150103,DOM,RCY,PC,EL	22.2 	22.2 	22.7 	22.2 	34.6 	55.6 	58.3 	75 	30.8 	37.3 	50.1 	65.9 	41.8 	2.5 	17.4 	22 	: 
W150103,DOM,RCY,PC,ES	23.7 	: 	: 	37.3 	43 	43.9 	49.8 	61 	58.2 	56 	55.7 	53.2 	57.9 	64.3 	64.3 	65.5 	67.1 
W150103,DOM,RCY,PC,EU28	: 	: 	: 	: 	: 	36.5 s	38.4 s	41.3 s	38.3 s	37.6 s	38.8 s	38.4 s	38.7 	35.9 	38.8 	40.1 	39.8 s
W150103,DOM,RCY,PC,FI	: 	: 	: 	6.9 	7 	5.4 	7.7 	9.8 	21.3 	20.5 	17.8 	17.7 	16.9 	15 	12.8 	12.5 	14.4 
W150103,DOM,RCY,PC,FR	18.4 	19.5 	19.4 	19.5 	20.2 	20.9 	20.1 	20.9 	18.9 	12.9 	19.1 	25.2 	28.6 	28.4 	28.2 	31.6 	29.1 
W150103,DOM,RCY,PC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.4 	1.9 	0.4 	3.1 	3 
W150103,DOM,RCY,PC,HU	: 	: 	: 	: 	: 	18.3 	20.6 	19.7 	22.6 	23.4 	34.2 e	34.7 	18.1 	7.5 	31.2 	19.9 	20.1 
W150103,DOM,RCY,PC,IE	: 	: 	: 	97.8 	97.6 	77 	77.1 	75.8 	76.7 s	79.1 	83.2 	92.8 	82.3 	81.6 	84.8 	85.4 	75 
W150103,DOM,RCY,PC,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.8 	61.1 	48.1 	: 	: 	60.9 	62.5 
W150103,DOM,RCY,PC,IT	35 	53 	59.7 	60 	57.4 	50.2 	53.2 	53.8 	53.1 	57.7 	58.7 	55.2 	54.2 	55.9 	59 	60.3 	60 
W150103,DOM,RCY,PC,LI	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
W150103,DOM,RCY,PC,LT	: 	: 	: 	: 	1.8 	1.2 	18.4 	32.1 	43.4 	39 	46.4 	47.4 	48.8 	20.3 	27.2 	24.8 	48.3 
W150103,DOM,RCY,PC,LU	: 	: 	: 	37.6 	35.7 	52.9 	31.1 	31.1 	19.2 	14.4 	32.1 	34.4 	23.4 	51 	31.3 	35.7 	50.6 
W150103,DOM,RCY,PC,LV	: 	: 	: 	: 	73.8 	58.4 	43.4 	24.2 	28.3 	22.3 	29.9 	35.4 	36.7 	36.4 	31.8 	35.1 	39.9 
W150103,DOM,RCY,PC,MT	: 	: 	: 	: 	10.4 	8.4 	12.7 	3.9 	0.7 	2 	2.7 	0 	0.8 	1.5 	6.6 	3.4 	: 
W150103,DOM,RCY,PC,NL	24.8 	27.1 	29.4 	31.9 	33.4 	38.6 	39.1 	31.7 	36.1 	37.6 	32.5 	30.5 	29.3 	21.8 	25.1 	48.2 	51.5 
W150103,DOM,RCY,PC,NO	: 	: 	: 	: 	: 	: 	: 	: 	14.4 	10.4 	13.6 	8.5 	8.2 	8 	8.2 	8.4 	8.6 
W150103,DOM,RCY,PC,PL	: 	: 	: 	: 	20.1 	16.9 	15.6 	47.8 	26.3 	23.1 	21 	27.2 	28.5 	21.9 	48.6 	50.5 	40.8 
W150103,DOM,RCY,PC,PT	0.2 	71.6 	: 	66.5 	66.1 	58.4 	73.3 	71 	64.5 	65.3 	66 	78 	69.7 	98.5 	131.5 	86.5 	103.4 
W150103,DOM,RCY,PC,RO	: 	: 	: 	: 	: 	5.1 	3.3 	8.6 	8.3 	13.2 	18.1 	32.5 	41.1 	28.9 	26.6 	28.8 	: 
W150103,DOM,RCY,PC,SE	: 	: 	: 	16 	6.9 	2 	16.6 	16.6 	16.7 	18.6 	167.2 	136.1 	79.8 	59.9 	22.3 	21.5 	30.9 
W150103,DOM,RCY,PC,SI	: 	: 	: 	: 	4.6 	20.5 	5.2 	21 	7.2 	11 	15.7 	15.6 	33.1 	15.1 	25.9 	19.3 	23.5 
W150103,DOM,RCY,PC,SK	: 	: 	: 	60.6 	30.2 	32.5 	2.6 	4.7 	16.1 	8.7 	8.3 	26.3 	36.7 	36.4 	37.2 	42.1 	55.3 
W150103,DOM,RCY,PC,UK	44.2 	85.7 	54.9 	53.9 	56.8 	54.6 	72.8 	76.5 	76.5 	76.9 	75.4 	58.7 	51.3 	42.3 	31.4 	28.6 	31 
