field,sex,unit,geo\time	2000 	2003 	2006 	2009 	2012 	2015 
READ,T,PC,LV	30.1 	18.0 	21.2 	17.6 	17.0 	17.7 
READ,T,PC,ME	: 	: 	56.3 	49.5 	43.3 	41.9 
READ,T,PC,MK	62.7 	: 	: 	: 	: 	70.7 
READ,T,PC,MT	: 	: 	: 	36.3 	: 	35.6 
READ,T,PC,NL	: 	11.5 	15.1 	14.3 	14.0 	18.1 
READ,T,PC,NO	17.5 	18.1 	22.4 	15.0 	16.2 	14.9 
READ,T,PC,PL	23.2 	16.8 	16.2 	15.0 	10.6 	14.4 
READ,T,PC,PT	26.3 	21.9 	24.9 	17.6 	18.8 	17.2 
READ,T,PC,RO	41.3 	: 	53.5 	40.4 	37.3 	38.7 
READ,T,PC,RS	: 	: 	51.7 	32.8 	33.1 	: 
READ,T,PC,RU	27.4 	34.0 	35.3 	27.4 	22.3 	16.2 
READ,T,PC,SE	12.6 	13.3 	15.3 	17.4 	22.7 	18.4 
READ,T,PC,SI	: 	: 	16.5 	21.2 	21.1 	15.1 
READ,T,PC,SK	: 	24.9 	27.8 	22.2 	28.2 	32.1 
READ,T,PC,TR	: 	36.8 	32.2 	24.5 	21.6 	40.0 
READ,T,PC,UK	: 	: 	19.0 	18.4 	16.6 	17.9 
READ,T,PC,US	17.9 	19.4 	: 	17.6 	16.6 	19.0 
SCI,T,PC,AL	: 	: 	: 	57.3 	53.1 	41.7 
SCI,T,PC,AT	: 	: 	16.3 	20.9 	15.8 	20.8 
SCI,T,PC,BE	: 	: 	17.0 	18.0 	17.7 	19.8 
SCI,T,PC,BG	: 	: 	42.6 	38.8 	36.9 	37.9 
SCI,T,PC,CH	: 	: 	16.1 	14.0 	12.8 	18.5 
SCI,T,PC,CY	: 	: 	: 	: 	38.0 	42.1 
SCI,T,PC,CZ	: 	: 	15.5 	17.3 	13.8 	20.7 
SCI,T,PC,DE	: 	: 	15.4 	14.8 	12.2 	17.0 
SCI,T,PC,DK	: 	: 	18.4 	16.6 	16.7 	15.9 
SCI,T,PC,EE	: 	: 	7.7 	8.3 	5.0 	8.8 
SCI,T,PC,EL	: 	: 	24.0 	25.3 	25.5 	32.7 
SCI,T,PC,ES	: 	: 	19.6 	18.2 	15.7 	18.3 
SCI,T,PC,EU27	: 	: 	: 	17.7 	16.6 	: 
SCI,T,PC,EU28	: 	: 	: 	: 	: 	20.6 
SCI,T,PC,FI	: 	: 	4.1 	6.0 	7.7 	11.5 
SCI,T,PC,FR	: 	: 	21.2 	19.3 	18.7 	22.1 
SCI,T,PC,HR	: 	: 	17.0 	18.5 	17.3 	24.6 
SCI,T,PC,HU	: 	: 	15.0 	14.1 	18.0 	26.0 
SCI,T,PC,IE	: 	: 	15.5 	15.2 	11.1 	15.3 
SCI,T,PC,IS	: 	: 	20.6 	17.9 	24.0 	25.3 
SCI,T,PC,IT	: 	: 	25.3 	20.6 	18.7 	23.2 
SCI,T,PC,JP	: 	: 	12.0 	10.7 	8.5 	9.6 
SCI,T,PC,KR	: 	: 	11.2 	6.3 	6.6 	14.4 
SCI,T,PC,LI	: 	: 	12.9 	11.3 	10.4 	: 
SCI,T,PC,LT	: 	: 	20.3 	17.0 	16.1 	24.7 
SCI,T,PC,LU	: 	: 	22.1 	23.7 	22.2 	25.9 
SCI,T,PC,LV	: 	: 	17.4 	14.7 	12.4 	17.2 
SCI,T,PC,ME	: 	: 	50.2 	53.6 	50.7 	51.0 
SCI,T,PC,MK	: 	: 	: 	: 	: 	62.9 
SCI,T,PC,MT	: 	: 	: 	32.5 	: 	32.5 
SCI,T,PC,NL	: 	: 	13.0 	13.2 	13.1 	18.5 
SCI,T,PC,NO	: 	: 	21.1 	15.8 	19.6 	18.7 
SCI,T,PC,PL	: 	: 	17.0 	13.1 	9.0 	16.3 
SCI,T,PC,PT	: 	: 	24.5 	16.5 	19.0 	17.4 
SCI,T,PC,RO	: 	: 	46.9 	41.4 	37.3 	38.5 
SCI,T,PC,RS	: 	: 	38.5 	34.4 	35.0 	: 
SCI,T,PC,RU	: 	: 	22.2 	22.0 	18.8 	18.2 
SCI,T,PC,SE	: 	: 	16.4 	19.1 	22.2 	21.6 
SCI,T,PC,SI	: 	: 	13.9 	14.8 	12.9 	15.0 
SCI,T,PC,SK	: 	: 	20.2 	19.3 	26.9 	30.7 
SCI,T,PC,TR	: 	: 	46.6 	30.0 	26.4 	44.5 
SCI,T,PC,UK	: 	: 	16.7 	15.0 	15.0 	17.4 
SCI,T,PC,US	: 	: 	24.4 	18.1 	18.1 	20.3 
