unit,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_5Y_CPI10_NAC,P6,FI	-0.1 	2.7 	2.7 	6.3 	1.2 	-7.0 	-4.6 	-3.1 	-6.1 	-5.3 	-5.0 	-9.5 	-9.7 	-10.2 	-7.1 	-5.8 	-4.3 	-5.2 	-2.7 	-2.7 	2.8 	4.7 	5.5 
PCH_5Y_CPI10_NAC,P6,FR	-0.5 	-0.6 	-1.3 	-1.4 	-0.6 	-2.2 	-0.9 	0.9 	-0.5 	-1.6 	-0.3 	-2.1 	-2.6 	-3.3 	0.2 	0.2 	-0.7 	-2.1 	-0.4 	-1.7 	2.8 	6.1 p	5.0 p
PCH_5Y_CPI10_NAC,P6,HR	: 	: 	: 	: 	: 	5.5 	5.2 	3.2 	2.9 	7.8 	8.2 	8.6 	7.9 	6.7 	5.2 	5.6 	4.4 	2.6 	1.3 	0.6 	0.5 	1.7 	2.5 
PCH_5Y_CPI10_NAC,P6,HU	: 	: 	: 	: 	: 	-0.5 	0.9 	0.2 	-1.1 	-0.7 	-0.4 	-2.3 	-3.1 	-4.0 	-2.6 	-0.8 	-0.9 	-2.2 	-0.3 	-0.8 	-0.2 	2.4 	3.3 
PCH_5Y_CPI10_NAC,P6,IE	: 	: 	: 	: 	: 	1.0 	2.2 	4.0 	2.0 	-3.3 	-1.5 	-3.7 	-5.2 	-3.2 	0.8 	-4.2 	-1.4 	-3.6 	-4.7 	-5.3 	2.5 	0.1 	-0.1 
PCH_5Y_CPI10_NAC,P6,IT	: 	: 	: 	: 	: 	-1.1 	-2.7 	-1.1 	-2.0 	-2.6 	0.3 	-3.9 	-4.4 	-8.0 	-1.3 	-2.1 	-1.7 	-4.2 	-0.6 	-4.1 	2.3 	7.9 	7.6 
PCH_5Y_CPI10_NAC,P6,LT	: 	: 	: 	: 	: 	19.9 	10.2 	6.3 	9.4 	14.2 	9.7 	7.0 	7.6 	11.5 	-1.3 	-2.2 	-0.2 	-1.9 	-5.6 	-0.9 	1.5 	4.6 	5.9 
PCH_5Y_CPI10_NAC,P6,LU	: 	: 	: 	: 	: 	-2.3 	-5.1 	-1.3 	2.1 	-0.8 	0.8 	3.2 	1.5 	1.8 	3.6 	4.6 	3.0 	4.2 	2.8 	2.0 	-0.1 	0.3 	-0.1 
PCH_5Y_CPI10_NAC,P6,LV	: 	: 	: 	: 	: 	-6.2 	-4.3 	1.0 	-1.6 	-2.4 	2.3 	0.4 	7.8 	3.9 	1.5 	2.6 	6.3 	-1.3 	1.0 	-0.4 	0.0 	-0.2 	3.4 
PCH_5Y_CPI10_NAC,P6,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.4 	2.1 	2.1 	0.0 	1.0 	1.6 	1.2 	0.2 	1.0 	2.0 	1.0 	1.5 	2.7 
PCH_5Y_CPI10_NAC,P6,NL	: 	: 	: 	: 	: 	1.6 	3.2 	2.7 	1.5 	1.8 	2.2 	0.8 	-0.3 	-0.5 	0.9 	-1.2 	-2.9 	-2.6 	-2.0 	-3.0 	-0.1 	2.0 	1.7 p
PCH_5Y_CPI10_NAC,P6,PL	: 	: 	: 	: 	: 	-9.1 	-6.7 	-6.0 	-8.3 	-4.2 	3.2 	3.1 	5.5 	4.5 	4.5 	1.7 	0.3 	-2.6 	-0.1 	-1.4 	2.5 	4.6 	6.1 
PCH_5Y_CPI10_NAC,P6,PT	: 	: 	: 	: 	: 	-0.4 	2.2 	3.2 	0.3 	-1.3 	0.3 	0.6 	-0.5 	-2.9 	2.3 	2.1 	-0.5 	-0.5 	3.7 	0.1 	4.7 	8.6 	7.3 p
PCH_5Y_CPI10_NAC,P6,RO	: 	: 	: 	: 	: 	8.9 	15.1 	12.8 	9.1 	11.7 	11.2 	17.5 	26.9 	28.3 	24.2 	21.2 	16.6 	4.8 	2.9 	3.8 	6.0 	3.9 	3.6 p
PCH_5Y_CPI10_NAC,P6,SE	: 	: 	: 	1.3 	-1.9 	-5.6 	-6.3 	-7.3 	-7.0 	-5.7 	-5.9 	-4.9 	-1.8 	-2.4 	-0.2 	1.2 	0.6 	-0.7 	0.0 	-0.8 	0.6 	1.9 	1.2 
PCH_5Y_CPI10_NAC,P6,SI	: 	: 	: 	: 	: 	-0.1 	0.0 	1.6 	1.3 	-0.1 	0.9 	-1.3 	-2.3 	-4.1 	0.4 	-1.6 	-2.4 	-4.3 	-2.3 	-4.6 	0.7 	3.0 	3.6 
PCH_5Y_CPI10_NAC,P6,SK	: 	: 	: 	: 	: 	-3.3 	0.4 	-2.6 	0.2 	1.6 	-1.9 	-2.2 	-3.3 	-4.5 	-5.3 	-5.7 	-5.6 	-5.7 	-4.6 	-3.5 	-3.2 	-2.2 	-1.6 
PCH_5Y_CPI10_NAC,P6,UK	: 	: 	: 	: 	: 	3.7 	3.0 	3.7 	4.6 	4.2 	4.4 	2.8 	-0.3 	-4.2 	-3.0 	-1.5 	-2.3 	-0.4 	3.2 	2.7 	2.6 	6.2 	5.3 
PCH_5Y_CPI10_NAC,P61,AT	: 	: 	: 	: 	: 	-3.1 	-1.1 	1.2 	1.8 	2.0 	1.6 	-0.2 	-1.3 	-4.0 	-0.8 	-1.8 	-3.3 	-3.8 	-2.2 	-3.9 	-0.6 	2.6 	1.9 
PCH_5Y_CPI10_NAC,P61,BE	: 	: 	: 	: 	: 	-4.7 	-4.0 	-2.3 	-4.1 	-4.2 	-1.8 	-2.0 	-2.9 	-5.1 	-0.5 	-2.4 	-3.9 	-4.7 	-1.8 	-4.6 	-0.7 	1.9 	1.1 
PCH_5Y_CPI10_NAC,P61,BG	: 	: 	: 	: 	: 	-17.4 	-4.9 	-8.0 	-34.0 	-23.3 	-1.3 	15.1 	27.0 	26.4 	19.7 	22.5 	10.9 	1.4 	0.6 	1.5 	-0.3 	0.8 	4.7 
PCH_5Y_CPI10_NAC,P61,CY	: 	: 	: 	: 	: 	-0.1 	2.5 	-0.8 	2.1 	3.3 	1.2 	-0.7 	2.7 	-1.9 	-0.3 	1.4 	-0.5 	-1.8 	-0.5 	2.1 	6.2 	7.8 p	9.0 p
PCH_5Y_CPI10_NAC,P61,CZ	: 	: 	: 	: 	: 	3.2 	1.3 	3.3 	-0.2 	2.9 	3.2 	-1.6 	-2.6 	-4.7 	-3.6 	-3.5 	-3.0 	-4.6 	-1.1 	-1.9 	1.2 	4.4 	3.5 
PCH_5Y_CPI10_NAC,P61,DE	: 	8.4 	2.2 	3.2 	3.4 	-3.4 	-2.9 	1.5 	0.4 	-1.1 	2.5 	0.2 	-2.1 	-5.6 	1.0 	0.1 	-0.9 	-1.7 	1.9 	-2.6 	3.4 	8.8 	7.6 
PCH_5Y_CPI10_NAC,P61,DK	0.2 	3.1 	0.7 	1.9 	3.9 	5.8 	3.8 	4.1 	5.3 	4.2 	5.3 	7.0 	6.3 	5.1 	8.4 	6.2 	1.8 	1.3 	3.3 	0.6 	1.2 	4.8 	4.3 
PCH_5Y_CPI10_NAC,P61,EE	: 	: 	: 	: 	: 	-1.0 	5.7 	6.2 	8.9 	11.1 	10.9 	9.7 	8.5 	5.8 	5.4 	2.1 	0.2 	-3.0 	-2.9 	-3.2 	-1.5 	0.2 	2.7 
PCH_5Y_CPI10_NAC,P61,EL	: 	: 	: 	: 	: 	-0.6 	-3.1 	-1.8 	-1.8 	-1.5 	-1.9 	-1.1 	-1.5 	-1.1 	-4.3 	-2.0 	-1.0 p	-1.6 p	0.5 p	5.5 p	4.6 p	0.9 p	2.3 p
PCH_5Y_CPI10_NAC,P61,ES	: 	: 	: 	: 	: 	-1.2 	-0.9 	1.7 	-0.6 	-1.2 	4.1 	2.6 	0.4 	-2.9 	3.5 	0.1 	-4.2 	-5.6 	-2.2 	-7.7 	-3.4 	1.1 p	1.6 p
PCH_5Y_CPI10_NAC,P61,FI	-0.3 	2.7 	3.1 	9.1 	2.2 	-6.5 	-2.8 	-0.8 	-5.1 	-4.0 	-5.0 	-11.6 	-12.0 	-11.8 	-6.6 	-4.9 	-3.2 	-4.8 	-2.5 	-3.7 	4.0 	6.9 	7.5 
PCH_5Y_CPI10_NAC,P61,FR	0.7 	0.4 	-0.7 	-0.6 	0.4 	-2.6 	-1.2 	0.2 	-1.2 	-1.7 	0.4 	-1.4 	-1.6 	-2.0 	1.4 	0.4 	-0.9 	-2.8 	-0.9 	-2.4 	4.3 	8.3 p	7.2 p
PCH_5Y_CPI10_NAC,P61,HR	: 	: 	: 	: 	: 	11.5 	9.0 	6.1 	6.3 	10.0 	2.3 	6.9 	9.2 	9.2 	2.4 	4.5 	6.5 	3.1 	0.5 	2.4 	0.2 	-4.6 	-5.5 
PCH_5Y_CPI10_NAC,P61,HU	: 	: 	: 	: 	: 	-4.0 	-2.1 	-2.9 	-4.7 	-3.8 	-3.3 	-4.4 	-4.9 	-5.9 	-3.6 	-1.5 	-1.8 	-2.9 	-0.4 	-1.1 	-0.1 	3.0 	4.4 
PCH_5Y_CPI10_NAC,P61,IE	: 	: 	: 	: 	: 	-1.0 	-0.6 	3.6 	2.1 	-7.4 	-1.5 	-5.0 	-7.5 	-5.0 	7.0 	-5.3 	3.0 	1.0 	0.2 	-6.7 	9.2 	5.5 	-0.2 
PCH_5Y_CPI10_NAC,P61,IT	: 	: 	: 	: 	: 	-0.4 	-0.3 	0.8 	-1.8 	-3.2 	-0.8 	-5.8 	-6.6 	-10.2 	-1.7 	-2.2 	-2.1 	-4.4 	0.4 	-3.8 	4.6 	12.2 	11.2 
PCH_5Y_CPI10_NAC,P61,LT	: 	: 	: 	: 	: 	16.5 	12.2 	7.5 	11.3 	16.5 	10.6 	6.5 	7.1 	12.5 	-3.1 	-3.7 	-0.2 	-1.8 	-6.3 	0.5 	1.5 	4.3 	5.9 
PCH_5Y_CPI10_NAC,P61,LU	: 	: 	: 	: 	: 	-8.9 	-7.5 	-6.0 	-4.7 	-1.9 	1.0 	4.7 	7.4 	8.0 	7.6 	9.9 	7.3 	4.2 	1.9 	3.2 	-0.6 	3.0 	4.5 
PCH_5Y_CPI10_NAC,P61,LV	: 	: 	: 	: 	: 	-17.8 	-11.5 	-6.4 	-7.2 	-3.5 	2.8 	1.8 	12.3 	9.3 	0.4 	3.3 	9.1 	-2.0 	0.9 	3.3 	4.7 	2.4 	7.3 
PCH_5Y_CPI10_NAC,P61,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-5.7 	0.0 	2.4 	0.4 	1.9 	6.9 	6.2 	0.1 	1.5 	9.0 	3.8 	1.0 	8.7 
PCH_5Y_CPI10_NAC,P61,NL	: 	: 	: 	: 	: 	1.7 	3.7 	3.9 	3.2 	3.0 	3.9 	1.9 	0.3 	-0.8 	1.0 	-1.9 	-3.6 	-3.4 	-2.6 	-3.7 	1.2 	3.9 	3.4 p
PCH_5Y_CPI10_NAC,P61,PL	: 	: 	: 	: 	: 	-8.8 	-4.1 	-2.3 	-7.1 	-1.6 	2.0 	1.7 	4.1 	5.2 	5.2 	2.8 	1.1 	-2.2 	1.4 	-0.7 	3.6 	6.2 	7.8 
PCH_5Y_CPI10_NAC,P61,PT	: 	: 	: 	: 	: 	-3.8 	0.8 	1.4 	-0.9 	-2.0 	-0.5 	-0.5 	-1.4 	-3.9 	1.8 	2.3 	-0.7 	-0.4 	4.4 	0.6 	4.0 	7.4 	5.7 p
PCH_5Y_CPI10_NAC,P61,RO	: 	: 	: 	: 	: 	20.2 	21.9 	15.6 	6.1 	7.5 	9.2 	15.9 	25.3 	30.3 	25.5 	21.1 	14.7 	0.6 	-1.0 	-0.7 	0.4 	-2.8 	-0.4 p
PCH_5Y_CPI10_NAC,P61,SE	: 	: 	: 	-0.3 	-3.1 	-7.3 	-7.3 	-8.4 	-7.9 	-6.6 	-6.3 	-6.1 	-2.8 	-3.2 	0.7 	1.7 	1.0 	-0.5 	0.6 	-1.0 	2.0 	4.0 	3.2 
PCH_5Y_CPI10_NAC,P61,SI	: 	: 	: 	: 	: 	-1.2 	-0.6 	1.2 	0.6 	-0.8 	0.6 	-2.0 	-3.4 	-5.3 	-0.2 	-2.6 	-3.7 	-5.5 	-3.1 	-5.8 	0.3 	2.7 	3.4 
PCH_5Y_CPI10_NAC,P61,SK	: 	: 	: 	: 	: 	-4.2 	-0.2 	-2.3 	0.7 	3.0 	-0.8 	-1.2 	-2.9 	-4.5 	-5.9 	-6.4 	-6.1 	-6.3 	-5.0 	-3.9 	-3.3 	-2.1 	-1.6 
PCH_5Y_CPI10_NAC,P61,UK	: 	: 	: 	: 	: 	-1.1 	-2.5 	2.2 	3.4 	4.8 	5.3 	4.3 	1.7 	-0.6 	-1.2 	0.6 	0.5 	1.3 	2.1 	1.1 	-2.5 	1.3 	1.9 
PCH_5Y_CPI10_NAC,P62,AT	: 	: 	: 	: 	: 	-8.9 	-9.0 	-9.0 	-6.6 	-6.8 	-4.9 	-3.9 	-5.1 	-4.4 	-5.5 	-5.5 	-3.4 	-1.8 	-1.7 	0.4 	0.5 	0.0 	0.5 
PCH_5Y_CPI10_NAC,P62,BE	: 	: 	: 	: 	: 	2.3 	3.5 	1.8 	5.0 	5.3 	1.1 	-1.6 	-0.8 	-3.3 	-2.9 	-0.2 	3.1 	4.9 	7.4 	4.8 	2.8 	1.5 	0.6 
PCH_5Y_CPI10_NAC,P62,BG	: 	: 	: 	: 	: 	-63.5 	-18.5 	-9.0 	97.0 	48.5 	7.5 	8.4 	8.7 	12.3 	6.4 	4.3 	12.6 	10.0 	1.8 	2.3 	8.4 	-1.1 	2.7 
PCH_5Y_CPI10_NAC,P62,CY	: 	: 	: 	: 	: 	0.7 	2.6 	2.2 	3.8 	5.8 	3.8 	0.9 	4.3 	-0.3 	-3.9 	-1.6 	1.1 	1.5 	1.6 	-2.2 	-4.8 	-4.8 p	-3.7 p
PCH_5Y_CPI10_NAC,P62,CZ	: 	: 	: 	: 	: 	14.1 	15.7 	21.9 	10.5 	8.1 	10.2 	7.4 	1.8 	5.0 	3.7 	5.6 	5.7 	4.4 	-0.3 	1.6 	-0.7 	-1.8 	-0.2 
PCH_5Y_CPI10_NAC,P62,DE	: 	9.9 	7.2 	2.5 	2.0 	-2.8 	-2.7 	-0.6 	-0.8 	0.0 	1.6 	0.4 	-0.7 	-0.2 	-4.5 	-4.9 	-6.7 	-5.3 	-5.4 	-3.1 	-1.2 	1.7 	1.8 
PCH_5Y_CPI10_NAC,P62,DK	0.9 	0.8 	-0.2 	-3.5 	-5.4 	-7.2 	-7.3 	-5.1 	-4.4 	1.4 	3.2 	-1.2 	-4.2 	0.2 	-6.3 	-0.9 	2.6 	6.5 	1.0 	8.9 	0.7 	-1.8 	0.7 
PCH_5Y_CPI10_NAC,P62,EE	: 	: 	: 	: 	: 	18.1 	17.4 	18.9 	12.1 	10.7 	9.4 	8.7 	8.5 	9.9 	8.1 	3.3 	3.0 	2.1 	4.2 	9.5 	13.1 	6.4 	5.3 
PCH_5Y_CPI10_NAC,P62,EL	: 	: 	: 	: 	: 	8.5 	7.3 	6.9 	11.5 	10.5 	12.0 	10.4 	8.2 	1.4 	1.4 	1.9 	2.1 p	0.6 p	1.1 p	1.2 p	4.0 p	4.4 p	5.7 p
PCH_5Y_CPI10_NAC,P62,ES	: 	: 	: 	: 	: 	4.6 	2.2 	4.7 	6.8 	6.6 	8.5 	9.8 	9.8 	5.0 	4.7 	2.6 	1.1 	-4.2 	-1.6 	-5.8 	-10.1 	-8.9 p	-5.2 p
PCH_5Y_CPI10_NAC,P62,FI	0.5 	0.8 	0.7 	-1.0 	1.5 	-2.2 	-4.6 	-5.6 	-4.1 	-4.8 	-2.3 	-0.3 	-0.3 	-2.5 	-2.5 	-3.9 	-3.9 	-3.5 	-0.9 	-0.8 	1.1 	1.5 	2.2 
PCH_5Y_CPI10_NAC,P62,FR	-5.6 	-4.3 	-3.2 	-3.9 	-3.4 	-0.4 	0.3 	2.4 	0.9 	-2.9 	-4.5 	-5.6 	-6.8 	-7.7 	-4.4 	-1.2 	-0.2 	0.1 	1.2 	1.1 	-0.3 	-0.1 p	-0.8 p
PCH_5Y_CPI10_NAC,P62,HR	: 	: 	: 	: 	: 	-10.0 	3.0 	-0.1 	1.6 	5.0 	7.5 	5.3 	4.0 	2.3 	3.6 	3.1 	0.7 	-0.3 	-1.5 	-3.4 	-2.6 	1.4 	5.5 
PCH_5Y_CPI10_NAC,P62,HU	: 	: 	: 	: 	: 	9.0 	11.1 	12.0 	12.9 	13.2 	12.7 	7.4 	6.5 	7.4 	3.7 	3.4 	4.1 	1.2 	0.7 	0.7 	-0.7 	-1.2 	-1.5 
PCH_5Y_CPI10_NAC,P62,IE	: 	: 	: 	: 	: 	2.0 	9.6 	12.4 	12.3 	12.6 	10.9 	5.4 	3.4 	1.6 	-1.5 	-1.3 	-2.6 	-5.5 	-6.6 	-3.0 	-2.1 	-1.7 	2.3 
PCH_5Y_CPI10_NAC,P62,IT	: 	: 	: 	: 	: 	-3.1 	-10.6 	-7.2 	-2.2 	0.2 	4.9 	4.2 	4.5 	1.3 	0.7 	-1.4 	0.4 	-2.8 	-3.9 	-5.0 	-6.2 	-7.6 	-5.8 
PCH_5Y_CPI10_NAC,P62,LT	: 	: 	: 	: 	: 	32.2 	-0.3 	-3.4 	-1.6 	0.4 	0.7 	10.0 	15.7 	14.7 	11.4 	7.4 	5.2 	3.5 	1.9 	-1.3 	1.3 	1.4 	0.8 
PCH_5Y_CPI10_NAC,P62,LU	: 	: 	: 	: 	: 	-9.5 	-10.1 	-3.2 	3.6 	-0.1 	1.1 	1.2 	-2.9 	-1.9 	1.1 	2.3 	2.1 	4.8 	2.6 	1.1 	-0.9 	-1.3 	-2.1 
PCH_5Y_CPI10_NAC,P62,LV	: 	: 	: 	: 	: 	4.9 	3.0 	4.8 	8.4 	5.6 	10.6 	9.3 	7.9 	-2.2 	-1.4 	-2.7 	-4.2 	0.2 	2.1 	-3.1 	-11.5 	-11.9 	-12.0 
PCH_5Y_CPI10_NAC,P62,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.1 	2.0 	0.0 	-2.0 	-2.6 	-2.7 	-2.9 	-1.2 	-0.9 	-2.2 	-2.5 	-3.0 	-2.8 
PCH_5Y_CPI10_NAC,P62,NL	: 	: 	: 	: 	: 	1.4 	2.2 	0.7 	-1.6 	-0.2 	-1.5 	-1.6 	-2.1 	-0.2 	1.0 	1.0 	-0.7 	-0.1 	-0.2 	-1.9 	-2.9 	-1.3 	-1.3 p
PCH_5Y_CPI10_NAC,P62,PL	: 	: 	: 	: 	: 	-16.0 	-24.6 	-26.2 	-12.5 	-13.8 	11.2 	12.4 	14.2 	-0.4 	0.7 	-2.9 	-2.3 	-1.9 	-2.9 	-2.4 	-0.3 	-1.7 	-1.5 
PCH_5Y_CPI10_NAC,P62,PT	: 	: 	: 	: 	: 	8.9 	6.9 	7.2 	0.0 	-3.5 	-2.2 	0.9 	0.2 	1.6 	-0.5 	-0.9 	0.7 	0.9 	0.2 	0.1 	3.4 	1.8 	2.2 p
PCH_5Y_CPI10_NAC,P62,RO	: 	: 	: 	: 	: 	-38.8 	-17.6 	-3.3 	31.6 	41.5 	23.4 	27.4 	36.0 	12.7 	12.4 	20.9 	29.7 	30.0 	26.1 	25.8 	26.6 	24.0 	11.9 p
PCH_5Y_CPI10_NAC,P62,SE	: 	: 	: 	8.5 	4.9 	3.9 	-0.1 	-0.6 	-0.9 	0.3 	-2.4 	0.7 	1.9 	0.6 	-2.4 	0.0 	0.1 	-0.9 	-1.0 	0.3 	-2.5 	-3.0 	-3.4 
PCH_5Y_CPI10_NAC,P62,SI	: 	: 	: 	: 	: 	1.4 	-0.4 	0.3 	1.7 	1.4 	-0.8 	-0.4 	1.8 	0.9 	1.0 	1.6 	2.8 	0.2 	0.0 	0.8 	1.0 	0.6 	1.1 
PCH_5Y_CPI10_NAC,P62,SK	: 	: 	: 	: 	: 	0.3 	1.5 	-4.3 	-2.4 	-6.0 	-8.1 	-5.4 	-4.7 	-2.9 	-0.3 	0.5 	-1.0 	0.2 	-0.8 	0.1 	-1.6 	-2.8 	-1.3 
PCH_5Y_CPI10_NAC,P62,UK	: 	: 	: 	: 	: 	17.3 	17.4 	4.0 	5.3 	1.3 	1.1 	-1.0 	-4.0 	-8.3 	-7.6 	-5.9 	-5.9 	-1.9 	3.9 	6.2 	8.6 	7.4 	4.5 
