sitc06,partner,indic_et,geo\time	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
SITC3,WORLD,MIO_BAL_VAL,FI	-1.6 	-1.7 	-1.8 	-2.2 	-3.0 	-2.5 	-3.3 	-2.4 	-2.8 	-3.7 	-2.6 	-2.6 	-2.4 	-1.8 	-1.4 	-1.6 
SITC3,WORLD,MIO_BAL_VAL,FR	-1.4 	-1.4 	-1.7 	-2.1 	-2.4 	-2.2 	-2.8 	-2.0 	-2.4 	-3.0 	-3.3 	-3.1 	-2.5 	-1.8 	-1.4 p	-1.7 p
SITC3,WORLD,MIO_BAL_VAL,HR	-3.2 	-2.8 	-2.6 	-3.5 	-3.7 	-3.9 	-5.1 	-3.5 	-3.8 	-5.4 	-5.6 	-5.1 	-4.0 	-3.4 	-2.7 	-2.9 
SITC3,WORLD,MIO_BAL_VAL,HU	-2.4 	-2.3 	-2.1 	-3.0 	-6.2 	-4.6 	-6.2 	-4.9 	-5.1 	-6.0 	-6.3 	-6.3 	-6.2 	-4.2 	-3.2 	-3.8 
SITC3,WORLD,MIO_BAL_VAL,IE	-1.1 	-1.1 	-1.5 	-1.9 	-2.0 	-2.4 	-3.1 	-2.3 	-2.8 	-3.3 	-3.0 	-3.2 	-2.7 	-1.5 	-1.1 	-1.2 
SITC3,WORLD,MIO_BAL_VAL,IT	-1.4 	-1.3 	-1.4 	-2.6 	-3.2 	-2.9 	-3.6 	-2.6 	-3.2 	-3.7 	-3.8 	-3.3 	-2.6 	-2.0 	-1.6 	-1.9 
SITC3,WORLD,MIO_BAL_VAL,LT	-1.7 	-1.4 	0.1 	-2.3 	-3.3 	-4.2 	-5.7 	-4.1 	-7.1 	-7.6 	-7.5 	-6.1 	-4.7 	-3.6 	-2.6 	-3.0 
SITC3,WORLD,MIO_BAL_VAL,LU	-2.5 	-2.7 	-3.2 	-5.5 	-5.8 	-5.3 	-6.6 	-4.1 	-4.8 	-5.9 	-6.3 	-5.4 	-4.4 	-3.1 	-2.5 	-2.8 
SITC3,WORLD,MIO_BAL_VAL,LV	-3.5 	-3.8 	-4.5 	-4.8 	-5.3 	-4.3 	-5.5 	-4.4 	-4.9 	-5.5 	-6.1 	-5.6 	-4.2 	-3.2 	-2.3 	-3.0 
SITC3,WORLD,MIO_BAL_VAL,MT	-2.7 	-3.0 	-3.0 	-4.2 	-4.5 	-1.5 	-2.3 	-0.1 	1.1 	-2.8 	-12.2 	-9.0 	-14.9 	-8.9 	-8.8 	-8.9 
SITC3,WORLD,MIO_BAL_VAL,NL	-0.4 	-0.5 	-1.8 	-1.2 	-1.1 	-1.2 	-0.7 	-0.7 	-1.5 	-1.9 	-2.6 	-1.4 	-1.6 	-1.1 	-0.6 	-0.8 p
SITC3,WORLD,MIO_BAL_VAL,PL	-1.5 	-1.8 	-1.6 	-2.3 	-2.4 	-2.6 	-3.0 	-2.2 	-2.6 	-3.3 	-3.4 	-2.7 	-2.6 	-1.6 	-1.4 	-2.0 
SITC3,WORLD,MIO_BAL_VAL,PT	-2.5 	-2.4 	-2.7 	-3.8 	-3.8 	-3.6 	-4.6 	-2.8 	-3.4 	-4.2 	-4.7 	-3.7 	-3.6 	-2.3 	-1.6 	-2.1 p
SITC3,WORLD,MIO_BAL_VAL,RO	-1.9 	-2.4 	-3.0 	-2.7 	-3.0 	-2.5 	-2.8 	-1.5 	-2.2 	-2.7 	-3.0 	-1.9 	-1.4 	-0.9 	-0.9 	-1.3 p
SITC3,WORLD,MIO_BAL_VAL,SE	-1.3 	-1.4 	-1.2 	-1.5 	-1.7 	-1.6 	-1.9 	-1.2 	-1.6 	-1.8 	-1.7 	-1.5 	-1.3 	-0.9 	-0.8 	-0.9 
