sex,age,unit,isced11,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
M,Y30-34,PC,ED5-8,CZ	14.4 	14.0 	13.7 	14.3 b	13.2 	13.1 	13.7 	13.0 	14.8 	16.4 	18.6 	21.5 b	22.4 	24.0 	24.2 b	24.7 	27.2 	27.7 
M,Y30-34,PC,ED5-8,DE	28.8 	29.0 	26.8 	27.5 	29.1 	28.0 b	27.2 	27.3 	28.3 	29.6 	29.9 b	29.9 	31.0 	32.2 	32.0 b	32.2 	33.4 	33.8 
M,Y30-34,PC,ED5-8,DK	30.5 	28.0 	28.7 	35.3 b	38.7 	39.0 	38.7 	34.8 b	36.8 	35.0 	36.7 	34.7 	33.7 	35.2 	39.4 b	39.6 	41.0 b	41.1 b
M,Y30-34,PC,ED5-8,EA18	23.1 	23.9 	23.9 	25.2 	26.4 	27.3 	27.2 	28.2 	28.7 	29.2 	30.1 	30.4 	31.0 	32.0 	32.5 b	32.8 	32.9 	33.5 
M,Y30-34,PC,ED5-8,EA19	23.2 	23.8 	23.9 	25.2 	26.4 	27.3 	27.3 	28.3 	28.7 	29.3 	30.2 	30.5 	31.1 	32.1 	32.6 b	32.9 	33.0 	33.6 
M,Y30-34,PC,ED5-8,EE	21.2 b	21.1 	22.7 	22.2 	21.3 	26.5 	26.7 	24.4 	29.0 	29.6 	32.2 	30.6 	28.3 	31.8 	32.8 b	34.5 	38.8 	41.6 
M,Y30-34,PC,ED5-8,EL	23.9 	23.6 b	22.2 	21.9 	23.6 b	23.6 	25.5 	25.4 	23.7 	24.3 b	26.2 	26.8 	28.1 	30.8 	32.9 b	35.3 	36.2 	37.0 
M,Y30-34,PC,ED5-8,ES	27.9 	29.4 	31.7 	32.6 	33.4 	35.4 b	34.4 	35.8 	36.5 	35.3 	36.7 	37.2 	36.0 	37.1 	36.8 b	34.8 	33.5 	34.8 
M,Y30-34,PC,ED5-8,EU27	22.2 	22.4 	22.7 	24.0 	25.4 	26.2 	26.4 	27.4 	28.1 	29.1 	30.3 	31.1 	31.9 	33.0 	33.6 b	34.1 	34.5 	35.0 
M,Y30-34,PC,ED5-8,EU28	: 	: 	22.6 	24.0 	25.3 	26.1 	26.3 	27.2 	28.0 	29.0 	30.3 	31.0 	31.8 	32.9 	33.6 b	34.0 	34.4 	34.9 
M,Y30-34,PC,ED5-8,FI	32.9 b	33.6 	33.4 	33.7 	35.0 	35.4 	37.1 	39.3 	35.0 	36.6 	37.7 	37.1 	36.7 	37.6 	38.2 b	38.1 	38.4 	37.3 
M,Y30-34,PC,ED5-8,FR	25.8 	28.3 	29.0 	32.0 b	32.6 	34.9 	35.2 	37.7 	37.1 	38.8 	39.0 	38.9 	38.2 	39.4 b	39.2 b	40.3 	38.1 	38.7 
M,Y30-34,PC,ED5-8,HR	: 	: 	14.8 u	13.8 u	14.1 u	13.7 u	14.2 u	12.3 	15.3 	18.3 	21.6 b	19.5 	18.6 	21.7 	25.6 b	23.7 	22.2 	22.1 
M,Y30-34,PC,ED5-8,HU	12.5 	13.5 b	12.8 	14.7 	15.5 	15.2 	15.4 	16.4 	19.1 	19.1 	21.4 	23.6 	24.6 	26.8 	28.0 b	27.6 	26.4 	27.0 
M,Y30-34,PC,ED5-8,IE	25.8 	28.6 	30.9 	33.9 	35.7 	35.5 	35.9 	39.3 b	41.3 	43.9 	45.3 	43.9 	44.8 	46.6 	45.6 b	45.1 	46.3 	47.5 b
M,Y30-34,PC,ED5-8,IS	31.0 	28.8 	33.7 	33.7 b	32.9 	32.9 	31.0 u	35.3 	35.5 	37.7 	34.5 	36.1 	34.5 	36.1 	40.4 b	39.2 	42.2 	43.0 
M,Y30-34,PC,ED5-8,IT	10.8 	11.4 	12.0 	12.3 	12.8 b	14.1 	14.2 	15.0 	14.9 	15.0 	15.6 	15.9 	17.3 	17.7 	18.8 b	20.0 	19.9 	19.8 
M,Y30-34,PC,ED5-8,LT	37.3 	14.8 	17.0 bu	19.7 	26.4 	34.0 	35.2 	30.3 	31.3 	32.8 	36.4 	38.2 	40.3 	41.9 	44.0 b	47.2 	48.1 	47.6 
M,Y30-34,PC,ED5-8,LU	24.7 	26.0 	25.6 	18.3 b	33.2 	36.7 	32.0 	32.4 b	36.9 	48.4 b	44.8 	49.1 	50.4 	49.2 	49.8 b	46.8 b	52.7 	49.8 u
M,Y30-34,PC,ED5-8,LV	13.6 	: u	12.6 b	13.2 	13.3 	12.2 	14.7 	19.4 	18.1 	20.9 	23.7 	25.0 	26.2 	28.3 	27.8 b	26.8 	30.1 	32.1 
M,Y30-34,PC,ED5-8,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.2 	22.8 	22.5 	25.3 b	29.9 	31.8 	30.0 
M,Y30-34,PC,ED5-8,MK	: 	: 	: 	: 	: 	: 	10.5 	10.8 	11.8 	11.8 	16.2 	18.5 	20.8 	20.7 	21.4 b	23.1 	24.5 	24.6 
M,Y30-34,PC,ED5-8,MT	: du	: du	10.3 d	14.9 d	19.3 d	17.9 b	19.3 	19.1 	21.0 	20.3 	20.6 	22.6 b	25.0 	25.0 	24.1 b	24.2 	29.0 	32.2 
M,Y30-34,PC,ED5-8,NL	27.3 	27.4 	27.8 	31.1 	33.2 	35.1 	35.1 	35.5 	38.5 	38.4 	38.4 b	37.5 b	39.9 	40.1 b	41.6 b	43.0 	41.7 	44.0 
M,Y30-34,PC,ED5-8,NO	32.9 	37.9 	40.2 	37.7 	34.6 	34.6 	36.2 b	37.9 	38.0 	37.9 	39.7 	41.5 	39.9 	39.1 	42.6 b	41.5 	42.4 	42.5 
M,Y30-34,PC,ED5-8,PL	10.4 b	10.7 b	12.2 	14.9 b	17.8 	19.1 	20.4 	22.7 	24.4 	27.3 	29.5 b	30.0 	31.9 	32.9 	34.2 b	35.1 	35.6 	36.3 
M,Y30-34,PC,ED5-8,PT	8.9 b	8.2 	9.0 b	11.1 	12.4 b	13.5 	13.1 	14.7 	16.9 	17.6 	17.9 	21.8 b	24.3 	24.0 	23.2 b	23.3 	27.3 	26.2 
M,Y30-34,PC,ED5-8,RO	9.0 	8.7 	9.1 b	9.4 b	9.9 	10.8 	11.7 	13.6 	14.9 	15.2 	17.5 b	20.1 	20.5 	21.6 	22.9 b	24.2 	23.9 	23.9 
M,Y30-34,PC,ED5-8,SE	30.5 	23.4 b	25.5 	27.1 	28.6 	33.3 b	34.3 b	35.2 	36.6 	38.1 	39.8 	40.5 	42.4 	41.8 	42.4 b	43.2 	43.4 	44.6 
M,Y30-34,PC,ED5-8,SI	13.8 	11.9 	12.9 	17.0 	18.1 	19.4 	21.0 	21.7 	24.3 	24.6 	26.4 	29.4 	29.5 	31.1 	30.0 b	32.0 	33.6 	34.7 
M,Y30-34,PC,ED5-8,SK	11.2 	10.8 	9.7 	11.6 	12.6 	14.0 	13.6 	13.4 	14.0 	15.5 	18.2 	19.4 b	19.4 	22.3 	22.5 b	22.8 	24.0 	26.7 
M,Y30-34,PC,ED5-8,TR	: 	: 	: 	: 	: 	: 	14.2 	14.4 	14.8 	16.5 	17.3 	18.3 	19.8 	21.1 	23.4 b	25.1 	28.3 	28.6 
M,Y30-34,PC,ED5-8,UK	30.7 	31.4 	32.4 	32.2 	33.9 b	34.2 	35.9 	36.6 b	38.1 b	40.5 	41.0 b	42.6 b	43.8 	44.4 	44.3 b	44.5 	46.0 	45.8 
T,Y30-34,PC,ED5-8,AT	: u	: u	: u	: u	20.9 b	20.7 	21.1 b	20.9 	21.9 	23.4 	23.4 	23.6 	26.1 	27.1 	40.0 b	38.7 	40.1 	40.8 
T,Y30-34,PC,ED5-8,BE	35.2 	35.2 	35.2 	37.7 	39.9 	39.1 	41.4 	41.5 	42.9 b	42.0 	44.4 	42.6 	43.9 	42.7 	43.8 b	42.7 	45.6 	45.9 b
T,Y30-34,PC,ED5-8,BG	19.5 	23.6 b	23.2 	23.6 	25.2 	24.9 	25.3 b	26.0 	27.1 	27.9 	28.0 b	27.3 	26.9 	29.4 	30.9 b	32.1 	33.8 	32.8 
T,Y30-34,PC,ED5-8,CH	27.3 	27.3 	30.0 	32.4 	32.8 	33.4 	35.0 	36.5 	41.3 	43.4 	41.9 b	41.8 	42.3 	44.8 	47.2 b	49.3 	51.2 	52.8 
T,Y30-34,PC,ED5-8,CY	31.1 	32.7 	36.0 	39.9 	41.0 	40.8 	46.1 	46.2 	47.1 	45.0 b	45.3 	46.2 	49.9 	47.8 	52.5 b	54.5 	53.4 	55.9 
T,Y30-34,PC,ED5-8,CZ	13.7 	13.3 	12.6 	12.6 b	12.7 	13.0 	13.1 	13.3 	15.4 	17.5 	20.4 	23.7 b	25.6 	26.7 	28.2 b	30.1 	32.8 	34.2 
T,Y30-34,PC,ED5-8,DE	25.7 	25.5 	24.2 	25.1 	26.8 	26.1 b	25.8 	26.5 	27.7 	29.4 	29.7 b	30.6 	31.8 	32.9 	31.4 b	32.3 	33.2 	34.0 
T,Y30-34,PC,ED5-8,DK	32.1 	32.9 	34.2 	38.2 b	41.4 	43.1 	43.0 	38.1 b	39.2 	40.7 	41.2 	41.2 	43.0 	43.4 	44.9 b	47.6 	47.7 b	48.8 b
T,Y30-34,PC,ED5-8,EA18	23.3 	24.0 	24.9 	26.4 	28.1 	29.2 	29.9 	31.0 	31.8 	32.6 	33.6 	34.1 	35.0 	35.9 	36.4 b	37.1 	37.4 	38.2 
T,Y30-34,PC,ED5-8,EA19	23.5 	24.0 	24.8 	26.4 	28.1 	29.3 	30.0 	31.1 	31.9 	32.6 	33.7 	34.2 	35.1 	36.1 	36.5 b	37.3 	37.6 	38.4 
T,Y30-34,PC,ED5-8,EE	30.4 b	28.5 	27.7 	28.0 	28.3 	31.7 	32.5 	33.5 	34.4 	36.3 	40.2 	40.2 	39.5 	42.5 	43.2 b	45.3 	45.4 	48.4 
T,Y30-34,PC,ED5-8,EL	25.4 	25.0 b	23.5 	23.0 	25.1 b	25.5 	26.9 	26.3 	25.7 	26.6 b	28.6 	29.1 	31.2 	34.9 	37.2 b	40.4 	42.7 	43.7 
T,Y30-34,PC,ED5-8,ES	29.2 	31.3 	34.4 	35.1 	36.9 	39.9 b	39.4 	40.9 	41.3 	40.7 	42.0 	41.9 	41.5 	42.3 	42.3 b	40.9 	40.1 	41.2 
T,Y30-34,PC,ED5-8,EU27	22.4 	22.8 	23.6 	25.1 	27.0 	28.2 	29.0 	30.2 	31.3 	32.4 	33.9 	34.9 	36.1 	37.2 	38.0 b	38.8 	39.2 	40.0 
T,Y30-34,PC,ED5-8,EU28	: 	: 	23.6 	25.0 	26.9 	28.1 	29.0 	30.1 	31.2 	32.3 	33.8 	34.8 	36.0 	37.1 	37.9 b	38.7 	39.1 	39.9 
T,Y30-34,PC,ED5-8,FI	40.3 b	41.6 	41.2 	41.7 	43.4 	43.7 	46.2 	47.3 	45.7 	45.9 	45.7 	46.0 	45.8 	45.1 	45.3 b	45.5 	46.1 	44.6 
T,Y30-34,PC,ED5-8,FR	27.4 	29.5 	31.5 	34.8 b	35.6 	37.7 	39.7 	41.4 	41.0 	43.0 	43.2 	43.1 	43.3 	44.0 b	43.7 b	45.0 	43.6 	44.3 
T,Y30-34,PC,ED5-8,HR	: 	: 	16.2 	16.9 	16.8 	17.4 	16.7 	16.8 	18.5 	21.3 	24.5 b	23.9 	23.1 	25.6 	32.1 b	30.8 	29.3 	28.7 
T,Y30-34,PC,ED5-8,HU	14.8 	14.8 b	14.4 	16.3 	18.5 	17.9 	19.4 	20.6 	22.8 	24.0 	26.1 	28.2 	29.8 	32.3 	34.1 b	34.3 	33.0 	32.1 
T,Y30-34,PC,ED5-8,IE	27.5 	30.6 	32.0 	35.1 	38.6 	39.2 	41.3 	44.3 b	47.1 	49.6 	50.6 	50.2 	51.4 	52.7 	52.2 b	51.9 	52.5 	53.5 b
T,Y30-34,PC,ED5-8,IS	32.6 	31.0 	33.6 	38.2 b	38.8 	41.1 	36.4 u	36.3 	38.3 	41.7 	40.9 	44.6 	42.8 	43.9 	46.4 b	47.1 	48.8 	53.7 
T,Y30-34,PC,ED5-8,IT	11.6 	12.2 	13.1 	13.9 	15.6 b	17.1 	17.6 	18.6 	19.2 	19.0 	19.9 	20.4 	21.9 	22.5 	23.9 b	25.3 	26.2 	26.9 
T,Y30-34,PC,ED5-8,LT	42.6 	21.2 	23.4 b	25.2 	30.9 	37.7 	39.4 	36.4 	39.9 	40.4 	43.8 	45.7 	48.6 	51.3 	53.3 b	57.6 	58.7 	58.0 
T,Y30-34,PC,ED5-8,LU	21.2 	23.9 	23.6 	17.3 b	31.4 	37.6 	35.5 	35.3 b	39.8 	46.6 b	46.1 	48.2 	49.6 	52.5 	52.7 b	52.3 b	54.6 u	52.7 u
T,Y30-34,PC,ED5-8,LV	18.6 	16.3 	17.3 b	18.3 	18.2 	18.5 	19.3 	25.7 	26.3 	30.5 	32.6 	35.9 	37.2 	40.7 	39.9 b	41.3 	42.8 	43.8 
T,Y30-34,PC,ED5-8,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.1 	24.2 	26.8 	28.3 b	31.0 	33.9 	34.0 
T,Y30-34,PC,ED5-8,MK	: 	: 	: 	: 	: 	: 	11.6 	12.2 	12.4 	14.3 	17.1 	20.4 	21.7 	23.1 	24.9 b	28.6 	29.1 	30.6 
T,Y30-34,PC,ED5-8,MT	7.4 du	12.9 du	9.3 d	13.7 d	17.6 d	17.6 b	20.7 	20.8 	21.0 	21.9 	22.1 	23.4 b	26.3 	28.7 	28.6 b	29.1 	32.0 	33.5 
T,Y30-34,PC,ED5-8,NL	26.5 	27.2 	28.6 	31.7 	33.6 	34.9 	35.8 	36.4 	40.2 	40.5 	41.4 b	41.2 b	42.2 	43.2 b	44.8 b	46.3 	45.7 	47.9 
T,Y30-34,PC,ED5-8,NO	37.3 	42.2 	43.4 	40.7 	39.5 	39.4 	41.9 b	43.7 	46.2 	47.0 	47.3 	48.8 	47.6 	48.8 	52.1 b	50.9 	50.1 	49.0 
T,Y30-34,PC,ED5-8,PL	12.5 b	13.2 b	14.4 	17.2 b	20.4 	22.7 	24.7 	27.0 	29.7 	32.8 	34.8 b	36.5 	39.1 	40.5 	42.1 b	43.4 	44.6 	45.7 
T,Y30-34,PC,ED5-8,PT	11.1 b	11.6 	12.9 b	14.7 	16.3 b	17.5 	18.3 	19.5 	21.6 	21.3 	24.0 	26.7 b	27.8 	30.0 	31.3 b	31.9 	34.6 	33.5 
T,Y30-34,PC,ED5-8,RO	8.9 	8.8 	9.1 b	8.9 b	10.3 	11.4 	12.4 	13.9 	16.0 	16.8 	18.3 b	20.3 	21.7 	22.9 	25.0 b	25.6 	25.6 	26.3 
T,Y30-34,PC,ED5-8,SE	31.8 	26.6 b	28.3 	31.0 	33.9 	37.6 b	39.5 b	41.0 	42.0 	43.9 	45.3 	46.8 	47.9 	48.3 	49.9 b	50.2 	51.0 	51.3 
T,Y30-34,PC,ED5-8,SI	18.5 	18.1 	20.7 	23.6 	25.1 	24.6 	28.1 	31.0 	30.9 	31.6 	34.8 	37.9 	39.2 	40.1 	41.0 b	43.4 	44.2 	46.4 
T,Y30-34,PC,ED5-8,SK	10.6 	10.7 	10.5 	11.5 	12.9 	14.3 	14.4 	14.8 	15.8 	17.6 	22.1 	23.2 b	23.7 	26.9 	26.9 b	28.4 	31.5 	34.3 
T,Y30-34,PC,ED5-8,TR	: 	: 	: 	: 	: 	: 	11.9 	12.3 	13.0 	14.7 	15.5 	16.3 	18.0 	19.5 	21.5 b	23.6 	26.5 	27.3 
T,Y30-34,PC,ED5-8,UK	29.0 	29.9 	31.5 	31.5 	33.6 b	34.5 	36.4 	38.3 b	39.5 b	41.4 	43.1 b	45.5 b	46.9 	47.4 	47.7 b	47.9 	48.2 	48.3 
