unit,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_WRL,G,CRE,WRL_REST,HU	0.22 	0.22 	0.27 	0.34 	0.36 	0.37 	0.42 	0.47 	0.50 	0.56 	0.57 	0.58 	0.65 	0.67 	0.65 	0.59 	0.56 	0.50 	0.50 	0.53 	0.54 	0.56 	0.56 
PC_WRL,G,CRE,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	1.34 	1.21 	1.16 	1.08 	0.98 	1.00 	0.90 	1.11 	0.92 	0.78 	0.72 	0.71 	0.82 	1.37 	1.36 	1.25 
PC_WRL,G,CRE,WRL_REST,IT	4.99 	4.70 	4.24 	4.43 	4.06 	3.68 	3.91 	3.88 	3.93 	3.81 	3.52 	3.40 	3.58 	3.39 	3.25 	2.92 	2.83 	2.67 	2.71 	2.78 	2.78 	2.88 	2.85 
PC_WRL,G,CRE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.09 	0.11 	0.11 	0.12 	0.14 	0.13 	0.13 	0.15 	0.16 	0.17 	0.17 	0.15 	0.15 	0.17 
PC_WRL,G,CRE,WRL_REST,LU	0.16 	0.14 	0.14 	0.16 	0.15 	0.13 	0.15 	0.15 	0.15 	0.15 	0.14 	0.14 	0.14 	0.15 	0.14 	0.13 	0.13 	0.12 	0.14 	0.15 	0.13 	0.13 	0.12 
PC_WRL,G,CRE,WRL_REST,LV	: 	: 	: 	: 	: 	0.02 	0.02 	0.03 	0.03 	0.04 	0.05 	0.05 	0.06 	0.06 	0.06 	0.06 	0.06 	0.07 	0.07 	0.07 	0.07 	0.07 	0.07 
PC_WRL,G,CRE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.03 	0.02 	0.03 	0.03 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 
PC_WRL,G,CRE,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.62 	3.48 	3.40 	3.49 	3.45 	3.47 	3.21 	3.10 	3.01 	3.06 	3.06 	2.87 	2.96 	3.00 
PC_WRL,G,CRE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.80 	0.85 	0.90 	0.98 	1.06 	1.09 	1.05 	1.03 	1.00 	1.07 	1.13 	1.18 	1.25 	1.31 
PC_WRL,G,CRE,WRL_REST,PT	: 	0.44 	0.42 	0.45 	0.43 	0.38 	0.39 	0.41 	0.43 	0.41 	0.37 	0.37 	0.38 	0.36 	0.36 	0.33 	0.33 	0.31 	0.33 	0.34 	0.34 	0.35 	0.35 
