sex,indic_il,unit,age,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,LI_R_MD60BT,PC,TOTAL,TR	: 	2.51 	4.20 	3.82 	5.13 	7.72 	5.88 	5.84 	6.72 	6.77 	6.97 	: 	: 
F,LI_R_MD60BT,PC,TOTAL,UK	39.56 	37.81 	37.78 	34.85 	44.20 	45.57 	45.34 	47.25 b	48.43 	43.04 	43.79 	44.07 	: 
M,LI_R_MD60BT,PC,TOTAL,AT	52.02 	53.78 	54.89 	42.51 b	44.35 	47.04 	47.57 	46.00 	46.43 	45.71 	46.22 	47.67 	43.98 
M,LI_R_MD60BT,PC,TOTAL,BE	48.54 	46.69 	45.45 	47.69 	48.26 	46.12 	46.13 	46.15 	44.27 	45.05 	45.14 	42.17 	41.57 
M,LI_R_MD60BT,PC,TOTAL,BG	: 	25.43 	14.69 	22.35 	19.18 	25.20 	19.38 	19.42 	22.13 	21.43 	23.95 	19.03 b	20.73 
M,LI_R_MD60BT,PC,TOTAL,CH	: 	: 	36.07 	31.71 	33.49 	36.41 	37.44 	33.79 	39.37 	44.69 b	40.17 	41.53 	: 
M,LI_R_MD60BT,PC,TOTAL,CY	28.22 	30.41 	29.32 	32.84 b	35.98 	36.11 	39.72 	39.72 	37.61 	44.73 	38.55 	38.78 	38.40 
M,LI_R_MD60BT,PC,TOTAL,CZ	52.22 	58.02 	54.92 	57.45 	55.62 	52.94 	47.65 	47.59 	51.27 	45.06 	44.81 	44.08 	46.10 
M,LI_R_MD60BT,PC,TOTAL,DE	49.11 	51.98 	40.25 	38.53 	36.64 	36.32 	38.43 	35.50 	34.78 	34.02 	34.30 	36.40 	34.78 
M,LI_R_MD60BT,PC,TOTAL,DK	59.15 	57.78 	55.86 	55.17 	56.76 	53.21 	56.79 b	56.04 	57.30 	54.24 	50.59 	50.41 	50.19 
M,LI_R_MD60BT,PC,TOTAL,EA18	38.20 	38.82 	36.02 	34.78 	34.76 	36.48 	35.74 	34.29 	35.08 	34.78 	33.73 	33.60 	32.64 e
M,LI_R_MD60BT,PC,TOTAL,EA19	37.77 	38.40 	36.02 	35.06 	34.76 	36.48 	36.00 	34.29 	35.34 	34.78 	33.33 	33.20 	32.23 e
M,LI_R_MD60BT,PC,TOTAL,EE	25.00 	29.13 	26.43 	24.31 	25.85 	38.65 	30.71 	30.29 	28.63 	25.56 b	24.62 	27.27 	30.30 
M,LI_R_MD60BT,PC,TOTAL,EL	13.27 	11.76 	13.66 	12.11 	11.57 	14.98 	13.64 	14.12 	17.65 	15.27 	15.69 	15.87 	15.13 
M,LI_R_MD60BT,PC,TOTAL,ES	18.53 	18.61 	17.70 	24.59 b	24.81 	29.23 	32.54 	28.87 	31.92 	28.43 	26.95 	24.92 	25.00 
M,LI_R_MD60BT,PC,TOTAL,EU27	37.45 e	37.70 e	36.29 	35.80 	36.07 	37.30 	37.11 	35.46 	35.97 	34.77 	33.73 	34.13 	32.92 e
M,LI_R_MD60BT,PC,TOTAL,EU28	: 	: 	: 	: 	: 	37.55 	37.11 	35.46 	35.97 	34.77 	33.73 	34.13 	32.92 e
M,LI_R_MD60BT,PC,TOTAL,FI	60.74 	56.52 	55.51 	50.78 	47.98 	52.31 	50.75 	50.76 	56.37 	54.95 	54.31 	56.18 	56.93 
M,LI_R_MD60BT,PC,TOTAL,FR	50.60 	48.54 	50.77 	48.23 b	48.03 	47.74 	43.98 	41.63 	44.49 	46.61 	43.35 	43.61 	45.57 
M,LI_R_MD60BT,PC,TOTAL,HR	: 	: 	: 	: 	: 	32.76 b	33.89 	36.39 	36.91 	36.39 	37.74 	30.60 	: 
M,LI_R_MD60BT,PC,TOTAL,HU	53.82 	46.03 	58.86 	60.13 	56.46 	56.40 	51.34 	47.14 	44.44 	43.64 	41.13 	44.62 	46.96 
M,LI_R_MD60BT,PC,TOTAL,IE	37.83 	43.55 	48.22 	54.97 	58.26 	62.56 	60.10 	58.06 	58.58 	55.98 	54.26 	52.24 	: 
M,LI_R_MD60BT,PC,TOTAL,IS	49.48 	48.30 	46.15 	48.37 	49.73 	55.66 	60.53 	62.67 	56.95 	61.06 	52.06 	55.67 p	: 
M,LI_R_MD60BT,PC,TOTAL,IT	19.63 	19.91 	19.20 	21.27 	22.48 	22.42 	20.69 	22.32 	23.11 	23.33 	22.76 	22.57 	21.46 
M,LI_R_MD60BT,PC,TOTAL,LT	22.13 	25.10 	28.94 	27.73 	32.01 	33.12 	39.17 	36.49 	33.79 	33.58 	24.04 	24.44 	25.44 
M,LI_R_MD60BT,PC,TOTAL,LU	45.00 	42.02 	43.17 	45.89 	48.12 	50.00 	51.53 	48.42 	46.05 	39.63 	45.26 	39.77 b	35.38 
M,LI_R_MD60BT,PC,TOTAL,LV	23.55 	17.39 	23.98 	16.19 	16.44 	26.21 	29.03 	25.48 	25.00 	22.92 	19.59 	23.32 	24.51 
M,LI_R_MD60BT,PC,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	8.81 	10.22 	11.51 	12.96 	14.67 	: 
M,LI_R_MD60BT,PC,TOTAL,MT	27.60 	33.82 	30.00 	35.94 	35.29 	33.93 	31.82 	36.84 	29.68 	29.91 	28.44 	29.18 	27.35 
M,LI_R_MD60BT,PC,TOTAL,NL	50.47 	52.50 	50.77 	45.03 	46.27 	52.68 	46.80 	51.78 	48.48 	46.45 	46.61 	39.91 b	37.44 
M,LI_R_MD60BT,PC,TOTAL,NO	61.65 	62.89 	59.92 	58.05 	56.65 	59.44 	65.74 	62.45 	58.87 	57.33 	58.63 	57.66 	53.94 
M,LI_R_MD60BT,PC,TOTAL,PL	30.62 	33.45 	34.81 	33.07 	27.78 	29.27 	27.05 	25.97 	24.78 	26.81 	22.98 	25.33 	37.86 
M,LI_R_MD60BT,PC,TOTAL,PT	25.50 	27.76 	27.12 	26.03 	27.62 	33.72 	30.16 	30.28 	27.41 	28.68 	27.69 	25.41 	23.93 
M,LI_R_MD60BT,PC,TOTAL,RO	: 	: 	21.75 	24.25 	25.09 	23.64 	25.00 	20.62 	18.44 	13.06 	13.15 	15.36 	17.63 
M,LI_R_MD60BT,PC,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	23.38 	21.69 	31.32 	28.53 	: 
M,LI_R_MD60BT,PC,TOTAL,SE	66.29 	55.27 	59.30 	54.09 b	49.25 	48.52 	47.79 	47.64 	44.94 	46.95 	44.16 	45.13 	45.39 
M,LI_R_MD60BT,PC,TOTAL,SI	56.91 	55.02 	52.61 	48.60 	51.72 	50.87 	46.96 	48.35 	44.90 	43.15 	45.61 	46.12 	47.14 
M,LI_R_MD60BT,PC,TOTAL,SK	39.73 	41.29 	43.43 	42.94 	38.04 	41.21 	34.02 	34.65 	36.00 	34.20 	35.29 	29.83 	29.14 
M,LI_R_MD60BT,PC,TOTAL,TR	: 	2.96 	4.33 	4.72 	5.36 	8.14 	6.53 	6.43 	6.97 	7.00 	6.69 	: 	: 
M,LI_R_MD60BT,PC,TOTAL,UK	35.64 	35.71 	36.69 	35.56 	42.21 	44.22 	48.43 	44.37 b	45.77 	42.65 	42.29 	43.28 	: 
T,LI_R_MD60BT,PC,TOTAL,AT	50.59 	49.80 	51.42 	41.31 b	42.69 	43.46 	46.49 	44.19 	44.40 	44.49 	45.70 	46.39 	42.17 
T,LI_R_MD60BT,PC,TOTAL,BE	47.70 	45.15 	44.73 	45.56 	45.32 	45.32 	44.96 	44.77 	42.59 	43.64 	44.19 	41.06 	39.54 
T,LI_R_MD60BT,PC,TOTAL,BG	: 	25.51 	13.73 	21.03 	17.42 	23.62 	18.98 	18.15 	21.35 	20.15 	22.54 	17.92 b	19.86 
T,LI_R_MD60BT,PC,TOTAL,CH	: 	: 	33.92 	29.28 	30.97 	34.50 	35.90 	32.05 	36.40 	43.21 b	37.35 	40.49 	: 
T,LI_R_MD60BT,PC,TOTAL,CY	25.81 	27.78 	26.19 	30.57 b	33.05 	33.62 	37.02 	37.45 	37.04 	41.46 	36.22 	35.60 	35.92 
T,LI_R_MD60BT,PC,TOTAL,CZ	50.94 	54.17 	52.24 	55.00 	51.96 	50.28 	45.56 	45.45 	48.19 	43.60 	42.26 	40.49 	42.41 
T,LI_R_MD60BT,PC,TOTAL,DE	47.19 	51.36 	38.71 	37.19 	35.68 	35.54 	37.05 	33.74 	34.02 	33.20 	33.47 	34.78 	33.20 
T,LI_R_MD60BT,PC,TOTAL,DK	60.54 	58.21 	56.83 	57.55 	58.01 	54.30 	56.63 b	56.20 	57.19 	55.02 	52.71 	52.21 	50.99 
T,LI_R_MD60BT,PC,TOTAL,EA18	36.89 	37.50 	34.55 	33.88 	33.74 	35.06 	34.63 	33.33 	34.51 	33.46 	33.07 	32.30 	31.73 e
T,LI_R_MD60BT,PC,TOTAL,EA19	36.48 	37.10 	34.55 	33.47 	33.61 	35.32 	34.63 	32.94 	34.51 	33.72 	33.07 	32.30 	31.33 e
T,LI_R_MD60BT,PC,TOTAL,EE	24.38 	25.61 	23.02 	21.05 	23.94 	36.55 	29.72 	29.44 	26.77 	23.24 b	22.30 	24.91 	27.34 
T,LI_R_MD60BT,PC,TOTAL,EL	13.27 	12.39 	14.35 	13.73 	13.22 	15.55 	13.71 	13.81 	17.50 	15.00 	16.08 	15.87 	15.83 
T,LI_R_MD60BT,PC,TOTAL,ES	17.96 	17.48 	16.88 	22.96 b	24.16 	28.13 	31.33 	28.52 	32.00 	28.62 	26.58 	24.41 	23.94 
T,LI_R_MD60BT,PC,TOTAL,EU27	36.54 e	36.78 e	35.66 	34.65 	35.43 	36.54 	36.36 	34.88 	35.77 	34.10 	33.72 	33.20 	32.40 e
T,LI_R_MD60BT,PC,TOTAL,EU28	: 	: 	: 	: 	: 	36.78 	35.98 	34.88 	35.77 	34.10 	33.72 	33.20 	32.40 e
T,LI_R_MD60BT,PC,TOTAL,FI	58.21 	55.94 	55.02 	50.18 	47.33 	51.48 	50.00 	50.93 	55.30 	53.62 	53.73 	57.04 	56.93 
T,LI_R_MD60BT,PC,TOTAL,FR	50.00 	46.99 	50.38 	46.81 b	46.25 	46.59 	43.32 	40.76 	43.85 	44.58 	43.10 	42.37 	44.81 
T,LI_R_MD60BT,PC,TOTAL,HR	: 	: 	: 	: 	: 	31.33 b	31.92 	33.33 	34.34 	35.12 	35.48 	28.57 	: 
T,LI_R_MD60BT,PC,TOTAL,HU	54.08 	46.28 	58.02 	59.21 	57.09 	56.69 	51.38 	47.62 	44.44 	43.61 	42.02 	43.80 	46.40 
T,LI_R_MD60BT,PC,TOTAL,IE	39.01 	43.60 	48.04 	54.41 	60.00 	61.90 	61.62 	57.97 	59.01 	55.80 	54.97 	52.16 	: 
T,LI_R_MD60BT,PC,TOTAL,IS	50.26 	48.11 	44.51 	46.84 	48.22 	57.02 	60.17 	65.80 	59.03 	62.74 	53.77 	55.56 p	: 
T,LI_R_MD60BT,PC,TOTAL,IT	18.64 	18.57 	17.72 	19.57 	21.03 	21.10 	19.51 	20.41 	21.54 	21.46 	21.65 	21.37 	19.44 
T,LI_R_MD60BT,PC,TOTAL,LT	21.46 	24.81 	25.10 	23.72 	29.02 	34.50 	36.42 	34.51 	32.01 	30.55 	22.38 	21.51 	23.15 
T,LI_R_MD60BT,PC,TOTAL,LU	42.44 	40.25 	42.31 	43.22 	44.81 	50.17 	50.00 	47.93 	45.92 	40.58 	43.75 	39.11 b	35.52 
T,LI_R_MD60BT,PC,TOTAL,LV	24.81 	16.07 	22.91 	14.24 	14.84 	26.67 	29.10 	25.29 	25.38 	21.48 	17.58 	21.58 	21.91 
T,LI_R_MD60BT,PC,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	9.03 	9.70 	10.89 	13.31 	14.79 	: 
T,LI_R_MD60BT,PC,TOTAL,MT	28.86 	33.33 	29.77 	33.19 	34.93 	34.04 	32.76 	37.08 	32.62 	33.19 	31.22 	30.67 	29.11 
T,LI_R_MD60BT,PC,TOTAL,NL	50.69 	53.81 	50.49 	47.24 	45.85 	51.18 	47.37 	50.97 	50.00 	45.54 	47.98 	42.53 b	39.73 
T,LI_R_MD60BT,PC,TOTAL,NO	59.86 	60.78 	57.04 	55.47 	53.57 	57.89 	64.53 	61.24 	58.08 	56.05 	55.09 	53.61 	51.60 
T,LI_R_MD60BT,PC,TOTAL,PL	31.21 	33.22 	34.72 	32.67 	27.54 	27.87 	26.56 	25.33 	24.78 	26.41 	23.14 	24.45 	37.50 
T,LI_R_MD60BT,PC,TOTAL,PT	24.51 	26.29 	25.21 	25.70 	26.34 	32.20 	29.13 	29.25 	26.67 	26.97 	26.14 	24.00 	22.46 
T,LI_R_MD60BT,PC,TOTAL,RO	: 	: 	21.90 	23.38 	23.00 	22.30 	23.63 	20.49 	18.44 	12.85 	13.31 	14.24 	16.61 
T,LI_R_MD60BT,PC,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	22.96 	22.09 	31.72 	28.97 	: 
T,LI_R_MD60BT,PC,TOTAL,SE	66.90 	57.59 	61.82 	55.00 b	50.00 	48.97 	48.32 	47.59 	44.64 	48.00 	45.30 	45.82 	46.08 
T,LI_R_MD60BT,PC,TOTAL,SI	52.90 	52.07 	50.22 	46.52 	48.64 	47.52 	43.80 	46.43 	42.69 	42.23 	42.34 	42.80 	44.58 
T,LI_R_MD60BT,PC,TOTAL,SK	39.27 	42.00 	41.76 	40.76 	35.67 	39.39 	33.33 	34.00 	36.32 	35.71 	35.26 	30.98 	29.14 
T,LI_R_MD60BT,PC,TOTAL,TR	: 	2.55 	4.26 	4.26 	5.24 	7.92 	6.00 	6.32 	6.85 	6.88 	7.02 	: 	: 
T,LI_R_MD60BT,PC,TOTAL,UK	37.91 	36.88 	37.37 	35.29 	43.09 	44.84 	46.89 	46.13 b	47.18 	42.86 	43.34 	43.42 	: 
