unit,time,lev_diff,geo\deg_urb	TOTAL 	DEG1 	DEG2 	DEG3 
PC,2012,L_VL,CZ	85.1 	96.5 	89.8 	70.9 
PC,2012,L_VL,DE	76.5 	95.4 	75.6 	49.9 
PC,2012,L_VL,DK	80.5 	92.7 	81.2 	70.6 
PC,2012,L_VL,EA18	78.9 	89.9 	75.8 	60.5 
PC,2012,L_VL,EA19	78.9 	89.9 	75.8 	60.6 
PC,2012,L_VL,EE	80.3 	94.1 	83.3 	62.7 
PC,2012,L_VL,EL	82.1 	93.3 	88.5 	65.6 
PC,2012,L_VL,ES	90.1 	93.3 	88.0 	79.3 
PC,2012,L_VL,EU	79.6 	90.4 	78.0 	62.6 
PC,2012,L_VL,EU27	79.7 	90.4 	78.1 	62.6 
PC,2012,L_VL,EU28	79.6 	90.4 	78.0 	62.5 
PC,2012,L_VL,FI	69.7 	92.3 	80.8 	52.3 
PC,2012,L_VL,FR	87.5 	90.6 	83.4 	73.1 
PC,2012,L_VL,HR	69.1 	88.7 	58.5 	58.4 
PC,2012,L_VL,HU	87.2 	89.9 	85.1 	86.4 
PC,2012,L_VL,IE	75.1 	94.2 	85.3 	51.4 
PC,2012,L_VL,IS	81.1 	86.0 	: z	72.4 
PC,2012,L_VL,IT	69.9 	77.4 	64.0 	62.4 
PC,2012,L_VL,LT	81.0 	90.9 	92.4 	68.3 
PC,2012,L_VL,LU	90.2 	95.7 	92.2 	86.5 
PC,2012,L_VL,LV	83.2 	90.4 	91.5 	72.8 
PC,2012,L_VL,MT	75.7 	75.2 	79.5 	79.1 
PC,2012,L_VL,NL	83.8 	92.6 	79.1 	64.6 
PC,2012,L_VL,NO	70.5 	82.9 	66.4 	50.6 
PC,2012,L_VL,PL	75.3 	92.4 	81.6 	56.7 
PC,2012,L_VL,PT	86.4 	88.9 	90.8 	76.6 
PC,2012,L_VL,RO	75.9 	87.5 	73.0 	68.6 
PC,2012,L_VL,SE	83.6 	96.2 	89.9 	76.8 
PC,2012,L_VL,SI	75.0 	92.6 	77.7 	64.6 
PC,2012,L_VL,SK	84.2 	94.0 	83.7 	79.1 
PC,2012,L_VL,UK	84.4 	91.5 	83.8 	54.9 
PC,2012,VHIGH,AT	5.9 	0.8 	2.6 	12.2 
PC,2012,VHIGH,BE	6.5 	0.9 	5.4 	19.1 
PC,2012,VHIGH,BG	4.0 	1.9 	3.6 	7.3 
PC,2012,VHIGH,CH	2.7 	0.5 	2.2 	6.1 
PC,2012,VHIGH,CY	3.9 	3.1 	3.3 	5.2 
PC,2012,VHIGH,CZ	2.7 	0.8 	1.3 	5.4 
PC,2012,VHIGH,DE	6.0 	0.7 	4.7 	15.8 
PC,2012,VHIGH,DK	6.3 	1.7 	4.7 	10.8 
PC,2012,VHIGH,EA18	6.1 	2.5 	6.1 	13.5 
PC,2012,VHIGH,EA19	6.0 	2.4 	6.0 	13.4 
PC,2012,VHIGH,EE	4.8 	0.7 	3.0 	10.4 
PC,2012,VHIGH,EL	4.9 	0.2 	1.0 	12.4 
PC,2012,VHIGH,ES	2.2 	1.2 	2.0 	6.3 
PC,2012,VHIGH,EU	5.7 	2.3 	5.6 	11.9 
PC,2012,VHIGH,EU27	5.7 	2.3 	5.6 	12.0 
PC,2012,VHIGH,EU28	5.7 	2.3 	5.6 	11.9 
PC,2012,VHIGH,FI	14.8 	1.1 	5.7 	26.1 
PC,2012,VHIGH,FR	3.7 	2.6 	4.2 	10.1 
PC,2012,VHIGH,HR	6.7 	0.8 	11.4 	9.2 
PC,2012,VHIGH,HU	2.3 	2.1 	2.5 	2.3 
PC,2012,VHIGH,IE	11.9 	1.1 	6.1 	25.3 
PC,2012,VHIGH,IS	5.5 	3.0 	: z	9.9 
PC,2012,VHIGH,IT	9.4 	6.8 	11.2 	12.8 
PC,2012,VHIGH,LT	3.6 	0.3 	0.6 	7.7 
PC,2012,VHIGH,LU	3.1 	0.8 	4.3 	3.0 
PC,2012,VHIGH,LV	3.6 	1.2 	0.9 	7.1 
PC,2012,VHIGH,MT	7.8 	7.9 	6.6 	0.0 
PC,2012,VHIGH,NL	4.6 	2.1 	5.6 	11.3 
PC,2012,VHIGH,NO	11.5 	5.4 	11.5 	22.2 
PC,2012,VHIGH,PL	5.8 	1.1 	3.8 	11.0 
PC,2012,VHIGH,PT	3.2 	1.9 	1.3 	7.8 
PC,2012,VHIGH,RO	5.9 	1.8 	7.0 	8.3 
PC,2012,VHIGH,SE	5.1 	1.2 	2.5 	7.4 
PC,2012,VHIGH,SI	6.2 	1.5 	4.8 	9.6 
PC,2012,VHIGH,SK	2.3 	0.4 	1.8 	3.6 
PC,2012,VHIGH,UK	5.5 	2.5 	5.4 	18.9 
PC,2012,VH_H,AT	20.1 	4.8 	13.2 	36.7 
PC,2012,VH_H,BE	18.7 	5.2 	15.9 	50.1 
PC,2012,VH_H,BG	23.7 	18.6 	20.0 	33.0 
PC,2012,VH_H,CH	11.2 	3.3 	9.4 	23.3 
PC,2012,VH_H,CY	14.4 	14.1 	12.4 	15.9 
PC,2012,VH_H,CZ	15.0 	3.5 	10.2 	29.0 
PC,2012,VH_H,DE	23.6 	4.6 	24.4 	50.1 
PC,2012,VH_H,DK	19.5 	7.3 	18.8 	29.5 
PC,2012,VH_H,EA18	21.2 	10.1 	24.3 	39.5 
PC,2012,VH_H,EA19	21.1 	10.0 	24.1 	39.4 
PC,2012,VH_H,EE	19.7 	5.9 	16.7 	37.2 
PC,2012,VH_H,EL	17.8 	6.7 	11.5 	34.5 
PC,2012,VH_H,ES	10.0 	6.7 	12.0 	20.7 
PC,2012,VH_H,EU	20.4 	9.7 	22.0 	37.4 
PC,2012,VH_H,EU27	20.3 	9.7 	21.9 	37.4 
PC,2012,VH_H,EU28	20.4 	9.7 	22.0 	37.4 
PC,2012,VH_H,FI	30.3 	7.7 	19.2 	47.8 
PC,2012,VH_H,FR	12.5 	9.5 	16.6 	26.9 
PC,2012,VH_H,HR	30.8 	11.2 	41.4 	41.6 
PC,2012,VH_H,HU	12.9 	10.1 	14.9 	13.6 
PC,2012,VH_H,IE	24.9 	5.8 	14.7 	48.6 
PC,2012,VH_H,IS	18.9 	14.0 	: z	27.5 
PC,2012,VH_H,IT	30.1 	22.7 	36.0 	37.5 
PC,2012,VH_H,LT	19.0 	9.1 	7.6 	31.7 
PC,2012,VH_H,LU	9.8 	4.2 	7.8 	13.5 
PC,2012,VH_H,LV	16.8 	9.6 	8.6 	27.1 
PC,2012,VH_H,MT	24.3 	24.8 	20.5 	20.9 
PC,2012,VH_H,NL	16.2 	7.5 	20.9 	35.5 
PC,2012,VH_H,NO	29.6 	17.1 	33.6 	49.3 
PC,2012,VH_H,PL	24.7 	7.6 	18.4 	43.2 
PC,2012,VH_H,PT	13.6 	11.1 	9.2 	23.3 
PC,2012,VH_H,RO	24.1 	12.5 	27.0 	31.4 
PC,2012,VH_H,SE	16.4 	3.8 	10.0 	23.2 
PC,2012,VH_H,SI	24.9 	7.4 	22.3 	35.4 
PC,2012,VH_H,SK	15.8 	6.0 	16.3 	20.9 
PC,2012,VH_H,UK	15.6 	8.5 	16.1 	45.2 
PC,2012,VLOW,AT	44.6 	66.9 	48.2 	24.9 
PC,2012,VLOW,BE	31.1 	48.5 	26.8 	13.6 
PC,2012,VLOW,BG	22.9 	30.5 	25.8 	10.7 
PC,2012,VLOW,CH	46.8 	58.9 	48.5 	30.0 
PC,2012,VLOW,CY	32.5 	31.2 	43.2 	28.0 
PC,2012,VLOW,CZ	34.3 	50.4 	36.7 	17.8 
PC,2012,VLOW,DE	32.7 	52.2 	27.3 	12.6 
PC,2012,VLOW,DK	43.4 	58.3 	40.8 	32.9 
PC,2012,VLOW,EA18	33.1 	45.3 	26.6 	17.2 
PC,2012,VLOW,EA19	33.0 	45.1 	26.6 	17.1 
PC,2012,VLOW,EE	21.4 	29.4 	23.9 	11.0 
PC,2012,VLOW,EL	29.7 	39.6 	32.4 	16.0 
PC,2012,VLOW,ES	41.4 	47.6 	32.6 	26.1 
PC,2012,VLOW,EU	33.6 	45.8 	29.6 	16.9 
PC,2012,VLOW,EU27	33.7 	45.9 	29.7 	16.9 
PC,2012,VLOW,EU28	33.6 	45.8 	29.6 	16.8 
PC,2012,VLOW,FI	27.0 	48.5 	28.9 	13.0 
PC,2012,VLOW,FR	50.0 	55.9 	33.1 	31.8 
PC,2012,VLOW,HR	19.3 	35.9 	6.5 	12.1 
PC,2012,VLOW,HU	24.9 	36.9 	27.8 	12.1 
PC,2012,VLOW,IE	30.5 	50.2 	26.6 	15.4 
PC,2012,VLOW,IS	33.9 	38.4 	: z	25.9 
PC,2012,VLOW,IT	18.5 	24.4 	13.8 	12.8 
PC,2012,VLOW,LT	20.4 	25.8 	30.4 	12.7 
PC,2012,VLOW,LU	51.7 	57.9 	60.0 	42.4 
PC,2012,VLOW,LV	25.0 	31.9 	21.1 	17.4 
PC,2012,VLOW,MT	32.2 	31.7 	36.0 	34.0 
PC,2012,VLOW,NL	57.0 	68.4 	49.9 	35.0 
PC,2012,VLOW,NO	32.3 	43.9 	24.9 	15.9 
PC,2012,VLOW,PL	28.5 	48.5 	27.1 	11.9 
PC,2012,VLOW,PT	19.5 	20.2 	24.4 	13.4 
PC,2012,VLOW,RO	12.8 	17.6 	14.3 	8.4 
PC,2012,VLOW,SE	44.2 	61.6 	48.6 	36.1 
PC,2012,VLOW,SI	24.3 	40.9 	24.7 	16.3 
PC,2012,VLOW,SK	31.4 	44.6 	32.9 	22.9 
PC,2012,VLOW,UK	46.5 	52.8 	45.8 	20.6 
