currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	7610.3 	7700.2 	15899.2 	5636.3 	5165.6 	466.4 	3390.2 	-4179.6 	2674.9 	-923.0 	: c	3307.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51275.0 	11815.0 	28639.0 	22872.0 	48547.0 	39110.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,HR	: 	: 	: 	: 	: 	347.0 	1076.0 	4443.0 	782.0 	1930.0 	1059.0 	1567.0 	1629.0 	6731.0 	6977.0 	-1186.0 	-466.0 	261.0 	-780.0 	10248.0 	900.0 	-1251.0 	3439.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3775222.5 	3989413.9 	-811577.2 	1177272.1 	-8819699.7 	13142624.4 	-772033.4 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19311.0 	21628.0 	12005.0 	125618.0 	56036.0 	-44119.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27175.0 	18157.0 	14337.0 	21481.0 	9226.0 	11685.0 	16879.0 	6719.0 	10980.0 	14264.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	162.7 	166.6 	85.6 	462.2 	265.7 	107.8 	-0.7 	0.6 	256.6 	201.5 	21.0 	117.4 	170.0 	228.7 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,LU	: 	: 	: 	: 	: 	: 	: 	123437.0 	77160.0 	82967.0 	90732.0 	71141.0 	164543.0 	63468.0 	86653.0 	134665.0 	240026.0 	216651.0 	312973.0 	50234.0 	664441.0 	214681.0 	-38350.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	262.0 	317.0 	13.0 	83.0 	151.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	959.1 	2719.6 	3028.0 	10849.5 	3278.3 	839.4 	-675.7 	3730.6 	646.9 	706.0 	349.8 	840.3 	767.3 	709.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	115970.0 	156861.0 	314258.0 	183704.0 	136860.0 	156679.0 	92990.0 	223249.0 	79636.0 	276075.0 	58130.0 	174692.0 	195537.0 	202121.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	2001.0 	9154.0 	25312.0 	10766.0 	7240.0 	11512.0 	1729.0 	18792.0 	-213.0 	-1005.0 	13700.0 	13559.0 	32420.0 	6227.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6193.0 	3898.0 	2862.0 	3051.0 	1128.0 	1943.0 	1257.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	424.0 	-902.0 	: c	: c	0.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,SE	: 	: 	: 	: 	: 	: 	: 	: 	198602.0 	120407.0 	230639.0 	175296.0 	331664.0 	205092.0 	282454.0 	147024.0 	157733.0 	174677.0 	109965.0 	27942.0 	103625.0 	28562.0 	221616.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	732.0 	196.0 	-186.0 	65.0 	-42.5 	-79.9 	-44.5 	177.6 	272.5 	212.1 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-72.7 	-87.8 	-67.2 	116.9 	354.8 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,UK	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	17174.0 	-87725.0 	-15641.0 	12330.0 	: c
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4534.0 	6147.0 	1528.0 	-147.0 	3797.0 	7791.0 	1817.0 	-5944.0 	-2304.0 	-8129.0 	4274.0 	4443.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1081.0 	3181.0 	3219.0 	-1632.0 	2157.0 	716.0 	41.0 	-1185.0 	575.0 	11442.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-14.8 	26.8 	-18.8 	-16.1 	-73.8 	-2.0 	-3.4 	-91.2 	-33.1 	28.7 	44.3 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2049.0 	2341.0 	2443.0 	2756.0 	-26.0 	-710.0 	-109.0 	1864.0 	1651.0 	1352.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,CZ	: 	: 	: 	-3112.0 	-540.0 	-720.0 	2340.0 	-2532.0 	3468.0 	8648.0 	-3704.0 	11540.0 	20528.0 	58008.0 	8948.0 	11216.0 	12844.0 	34880.0 	16328.0 	25246.0 	23924.0 	39348.0 	37351.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,DE	823.0 	3844.0 	2562.0 	1905.0 	1666.0 	-5205.0 	-19786.0 	-13270.0 	-4010.0 	18798.0 	20627.0 	28286.0 	30865.0 	-21011.0 	15774.0 	19961.0 	31347.0 	20009.0 	17947.0 	18675.0 	16804.0 	10867.0 	23779.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F5B,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28047.0 	13355.0 	25414.0 	-1236.0 	-7333.0 	-635.0 	-4119.0 	-9769.0 	14414.0 	21377.0 	9201.0 	6437.0 	21605.0 
