na_item,sector,cofog99,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TE,S13,GF07,PC_GDP,FI	6.8 	6.8 	6.6 	7.0 	7.9 	7.9 	7.8 	8.2 	8.3 	8.3 	7.3 b	7.2 	: 
TE,S13,GF07,PC_GDP,FR	7.6 	7.6 	7.4 	7.4 	7.9 	7.9 	7.9 	8.0 	8.0 	8.2 	8.1 p	8.1 p	: 
TE,S13,GF07,PC_GDP,HR	6.4 	5.8 	5.8 	6.2 	6.3 	6.2 	6.2 	7.2 	6.5 	6.6 	6.4 	6.5 	: 
TE,S13,GF07,PC_GDP,HU	5.7 	5.7 	4.9 	4.9 	5.2 	5.0 	5.1 	5.1 	5.0 	4.8 	5.2 	4.8 	: 
TE,S13,GF07,PC_GDP,IE	6.0 	5.9 	6.2 	6.9 	7.8 	7.5 	7.5 	7.5 	7.2 	6.8 	5.3 	5.2 	: 
TE,S13,GF07,PC_GDP,IS	: 	: 	: 	: 	: 	: 	: 	: 	7.3 	7.5 	7.4 	7.5 	: 
TE,S13,GF07,PC_GDP,IT	6.8 	6.9 	6.7 	7.0 	7.5 	7.4 	7.1 	7.2 	7.2 	7.2 	7.0 	7.0 	: 
TE,S13,GF07,PC_GDP,LT	4.9 	5.3 	5.2 	5.6 	6.7 	6.9 	6.6 	5.9 	5.6 	5.5 	5.8 	5.8 	: 
TE,S13,GF07,PC_GDP,LU	5.1 	4.5 	4.3 	4.4 	5.1 	4.9 	4.7 	4.9 	5.2 	4.9 p	4.7 p	4.8 p	4.9 p
TE,S13,GF07,PC_GDP,LV	4.1 	4.5 	4.0 	4.3 	4.6 	4.2 	4.1 	3.9 	3.7 	3.8 	3.8 	3.7 	: 
TE,S13,GF07,PC_GDP,MT	6.0 	6.0 	5.5 	5.3 	5.1 	5.3 	5.4 	5.5 	5.7 	5.7 	5.8 	5.6 	: 
TE,S13,GF07,PC_GDP,NL	5.5 	6.8 	6.7 	6.8 	7.8 	7.8 	7.9 	8.3 	8.2 	8.2 	8.1 	7.7 p	: 
TE,S13,GF07,PC_GDP,NO	7.2 	6.9 	6.9 	6.6 	7.6 	7.4 	7.2 	7.3 	7.5 	7.9 	8.4 	8.7 	: 
TE,S13,GF07,PC_GDP,PL	4.4 	4.6 	4.5 	5.0 	5.0 	5.0 	4.7 	4.6 	4.6 	4.6 	4.7 	4.6 	: 
TE,S13,GF07,PC_GDP,PT	7.3 	7.0 	7.1 	7.2 	7.9 	7.4 	6.9 	6.5 	6.4 	6.2 e	6.1 e	5.9 e	: 
TE,S13,GF07,PC_GDP,RO	2.6 	2.7 	3.6 	3.7 	4.1 	4.1 	4.1 	3.8 	4.0 	4.0 	4.2 	4.0 	: 
TE,S13,GF07,PC_GDP,SE	6.5 	6.4 	6.4 	6.6 	7.1 	6.8 	6.8 	6.9 	7.0 	7.0 	6.9 	6.9 	: 
TE,S13,GF07,PC_GDP,SI	6.2 	6.2 	5.8 	6.1 	6.8 	7.0 	7.1 	7.1 	6.8 	6.5 	6.7 	6.7 	: 
TE,S13,GF07,PC_GDP,SK	6.2 	6.5 	6.1 	6.7 	7.2 	7.2 	6.8 	6.8 	6.8 	7.0 	7.1 	7.4 	: 
TE,S13,GF07,PC_GDP,UK	6.3 	6.5 	6.5 	6.9 	7.7 	7.7 	7.4 	7.4 	7.4 	7.5 	7.6 	7.6 	: 
TE,S13,GF09,PC_GDP,AT	4.8 	4.8 	4.7 	4.8 	5.1 	5.1 	5.0 	5.0 	5.0 	4.9 	4.9 	4.9 	: 
TE,S13,GF09,PC_GDP,BE	5.7 	5.6 	5.5 	5.7 	6.0 	6.0 	6.2 	6.2 	6.4 	6.3 	6.4 	6.4 	: 
TE,S13,GF09,PC_GDP,BG	4.2 	3.6 	3.6 	4.0 	4.1 	3.6 	3.4 	3.3 	3.7 	4.1 	4.0 	3.4 	: 
TE,S13,GF09,PC_GDP,CH	5.4 	5.2 	4.9 	5.0 	5.4 	5.3 	5.3 	5.5 	5.5 	5.5 	5.6 	5.6 	: 
TE,S13,GF09,PC_GDP,CY	5.9 	5.9 	5.9 	6.3 	6.7 	6.9 	6.7 	6.3 	6.8 	6.0 	6.0 	6.0 	: 
TE,S13,GF09,PC_GDP,CZ	4.8 	4.9 	4.7 	4.7 	5.1 	5.1 	5.1 	5.0 	5.1 	5.1 	4.9 	4.5 	: 
TE,S13,GF09,PC_GDP,DE	4.1 	4.0 	3.9 	3.9 	4.3 	4.4 	4.3 	4.2 	4.3 	4.2 	4.2 	4.2 	: 
TE,S13,GF09,PC_GDP,DK	6.4 	6.2 	5.9 	6.1 	6.9 	7.1 	6.8 	7.0 	6.9 	7.1 	7.0 	6.9 	6.6 
TE,S13,GF09,PC_GDP,EA18	4.7 	4.6 	4.6 	4.6 	5.0 	4.9 	4.8 	4.8 	4.8 	4.7 	4.6 	4.6 	: 
TE,S13,GF09,PC_GDP,EA19	4.7 	4.6 	4.6 	4.6 	5.0 	4.9 	4.8 	4.8 	4.8 	4.7 	4.6 	4.6 	: 
TE,S13,GF09,PC_GDP,EE	6.0 	6.0 	5.9 	6.7 	7.2 	6.6 	6.2 	6.3 	6.0 	5.7 	6.1 	5.9 	: 
TE,S13,GF09,PC_GDP,EL	4.2 	3.6 	3.6 	3.8 	4.1 	4.1 	4.4 	4.5 	4.6 	4.3 	4.3 	4.3 	: 
TE,S13,GF09,PC_GDP,ES	3.9 	4.0 	4.0 	4.2 	4.6 	4.5 	4.4 	4.2 	4.1 	4.1 	4.1 	4.0 p	: 
TE,S13,GF09,PC_GDP,EU27	5.0 	5.0 	4.9 	4.9 	5.3 	5.3 	5.1 	5.0 	4.9 	4.9 	4.8 	4.7 	: 
TE,S13,GF09,PC_GDP,EU28	5.0 	5.0 	4.9 	4.9 	5.3 	5.3 	5.1 	5.0 	4.9 	4.9 	4.8 	4.7 	: 
TE,S13,GF09,PC_GDP,FI	6.1 	6.0 	5.8 	5.8 	6.5 	6.6 	6.5 	6.4 	6.4 	6.4 	6.2 b	6.1 	: 
TE,S13,GF09,PC_GDP,FR	5.5 	5.5 	5.3 	5.4 	5.7 	5.6 	5.5 	5.5 	5.5 	5.5 	5.5 p	5.4 p	: 
TE,S13,GF09,PC_GDP,HR	5.1 	5.3 	4.9 	4.8 	5.1 	5.6 	4.9 	4.9 	5.1 	4.8 	4.8 	4.8 	: 
TE,S13,GF09,PC_GDP,HU	6.0 	5.9 	5.5 	5.3 	5.4 	5.5 	5.1 	4.7 	4.6 	5.1 	5.1 	4.9 	: 
TE,S13,GF09,PC_GDP,IE	4.1 	4.0 	4.3 	4.7 	4.7 	4.6 	5.1 	4.9 	4.7 	4.3 	3.3 	3.3 	: 
TE,S13,GF09,PC_GDP,IS	: 	: 	: 	: 	: 	: 	: 	: 	7.5 	7.6 	7.4 	7.1 	: 
TE,S13,GF09,PC_GDP,IT	4.5 	4.5 	4.5 	4.4 	4.6 	4.4 	4.1 	4.1 	4.1 	4.0 	4.0 	3.9 	: 
TE,S13,GF09,PC_GDP,LT	5.4 	5.4 	5.3 	6.1 	7.2 	6.4 	6.1 	5.8 	5.6 	5.4 	5.4 	5.2 	: 
TE,S13,GF09,PC_GDP,LU	5.0 	4.6 	4.5 	4.8 	5.5 	5.7 	5.6 	5.8 	5.1 	4.9 p	4.9 p	4.9 p	5.0 p
TE,S13,GF09,PC_GDP,LV	5.3 	5.5 	5.6 	6.3 	6.7 	6.2 	5.9 	5.7 	5.7 	5.9 	5.9 	5.5 	: 
TE,S13,GF09,PC_GDP,MT	5.4 	5.5 	5.2 	5.2 	5.4 	5.6 	5.7 	5.8 	5.8 	5.6 	5.5 	5.4 	: 
TE,S13,GF09,PC_GDP,NL	5.2 	5.2 	5.1 	5.3 	5.7 	5.6 	5.5 	5.5 	5.4 	5.4 	5.3 	5.3 p	: 
TE,S13,GF09,PC_GDP,NO	5.2 	4.9 	4.9 	4.7 	5.4 	5.3 	5.0 	4.9 	4.9 	5.1 	5.5 	5.6 	: 
TE,S13,GF09,PC_GDP,PL	6.1 	5.9 	5.7 	5.6 	5.4 	5.5 	5.4 	5.4 	5.3 	5.3 	5.3 	5.0 	: 
TE,S13,GF09,PC_GDP,PT	6.9 	6.6 	6.2 	6.4 	7.0 	7.1 	6.6 	5.8 	5.9 	5.7 e	5.1 e	4.9 e	: 
TE,S13,GF09,PC_GDP,RO	3.6 	4.1 	3.8 	4.3 	3.9 	3.3 	4.1 	3.0 	2.8 	3.0 	3.1 	3.7 	: 
TE,S13,GF09,PC_GDP,SE	6.7 	6.6 	6.3 	6.4 	6.8 	6.5 	6.4 	6.5 	6.6 	6.6 	6.5 	6.6 	: 
TE,S13,GF09,PC_GDP,SI	6.6 	6.3 	5.9 	6.1 	6.6 	6.5 	6.4 	6.4 	6.5 	6.0 	5.5 	5.6 	: 
TE,S13,GF09,PC_GDP,SK	3.8 	3.9 	3.5 	3.5 	4.2 	4.2 	4.1 	4.1 	4.0 	4.1 	4.2 	3.8 	: 
TE,S13,GF09,PC_GDP,UK	5.6 	5.8 	5.8 	6.0 	6.5 	6.5 	6.0 	5.7 	5.1 	5.0 	4.9 	4.7 	: 
TE,S13,GF10,PC_GDP,AT	20.2 	19.9 	19.4 	19.6 	21.2 	21.4 	20.7 	20.9 	21.3 	21.5 	21.4 	21.6 	: 
TE,S13,GF10,PC_GDP,BE	17.0 	17.0 	16.7 	17.4 	19.1 	18.8 	19.0 	19.5 	20.1 	19.8 	20.0 	20.0 	: 
TE,S13,GF10,PC_GDP,BG	10.7 	10.9 	10.1 	10.7 	12.9 	12.9 	12.2 	12.4 	13.5 	13.4 	13.3 	12.7 	: 
TE,S13,GF10,PC_GDP,CH	13.3 	12.6 	12.1 	11.6 	12.8 	12.8 	12.6 	12.9 	13.0 	13.0 	13.3 	13.6 	: 
TE,S13,GF10,PC_GDP,CY	11.0 	10.6 	10.0 	10.2 	11.5 	12.2 	12.6 	12.9 	13.4 	13.7 	13.6 	13.8 	: 
TE,S13,GF10,PC_GDP,CZ	11.7 	11.7 	11.9 	11.9 	13.1 	13.2 	13.2 	13.3 	13.5 	13.1 	12.5 	12.3 	: 
TE,S13,GF10,PC_GDP,DE	20.6 	19.8 	18.7 	18.6 	20.6 	19.9 	18.8 	18.8 	18.9 	18.8 	19.0 	19.3 	: 
TE,S13,GF10,PC_GDP,DK	22.7 	21.7 	21.5 	21.6 	24.3 	24.8 	24.7 	24.6 	24.5 	24.0 	23.6 	23.4 	22.7 
TE,S13,GF10,PC_GDP,EA18	18.3 	18.0 	17.7 	18.1 	20.0 	19.9 	19.7 	20.1 	20.3 	20.3 	20.1 	20.1 	: 
TE,S13,GF10,PC_GDP,EA19	18.3 	18.0 	17.7 	18.1 	20.0 	19.9 	19.6 	20.0 	20.3 	20.2 	20.0 	20.0 	: 
TE,S13,GF10,PC_GDP,EE	9.7 	9.3 	9.3 	11.5 	15.4 	14.2 	12.6 	12.3 	11.9 	11.9 	12.9 	13.5 	: 
TE,S13,GF10,PC_GDP,EL	14.9 	15.1 	15.7 	17.0 	18.6 	18.8 	20.2 	20.8 	19.4 	20.1 	20.3 	20.7 	: 
TE,S13,GF10,PC_GDP,ES	12.7 	12.7 	12.8 	13.8 	16.0 	16.6 	16.8 	17.6 	18.0 	17.7 	17.1 	16.8 p	: 
TE,S13,GF10,PC_GDP,EU27	17.6 	17.3 	17.1 	17.5 	19.4 	19.4 	19.0 	19.4 	19.5 	19.3 	19.1 	19.1 	: 
TE,S13,GF10,PC_GDP,EU28	17.6 	17.3 	17.0 	17.5 	19.4 	19.3 	19.0 	19.4 	19.5 	19.3 	19.1 	19.1 	: 
TE,S13,GF10,PC_GDP,FI	20.2 	19.8 	19.2 	19.4 	22.7 	22.8 	22.7 	23.8 	24.8 	25.4 	25.6 b	25.6 	: 
TE,S13,GF10,PC_GDP,FR	21.3 	21.5 	21.6 	21.8 	23.7 	23.6 	23.7 	24.2 	24.5 	24.5 	24.4 p	24.4 p	: 
TE,S13,GF10,PC_GDP,HR	14.9 	15.4 	13.8 	13.5 	15.1 	15.0 	15.4 	15.5 	15.4 	15.9 	15.3 	14.7 	: 
TE,S13,GF10,PC_GDP,HU	16.6 	17.3 	17.2 	17.4 	18.1 	17.4 	16.9 	16.7 	16.4 	15.3 	14.8 	14.3 	: 
TE,S13,GF10,PC_GDP,IE	11.6 	11.8 	12.5 	14.9 	17.6 	17.6 	16.1 	15.9 	15.1 	13.8 	10.4 	9.9 	: 
TE,S13,GF10,PC_GDP,IS	: 	: 	: 	: 	: 	: 	: 	: 	10.1 	10.1 	9.4 	13.4 	: 
TE,S13,GF10,PC_GDP,IT	17.4 	17.4 	17.5 	18.1 	19.8 	19.9 	19.8 	20.5 	21.0 	21.2 	21.3 	21.1 	: 
TE,S13,GF10,PC_GDP,LT	9.8 	9.8 	10.7 	12.1 	16.4 	14.1 	12.4 	12.0 	11.4 	11.4 	11.1 	11.2 	: 
TE,S13,GF10,PC_GDP,LU	17.8 	16.7 	15.7 	16.8 	19.2 	18.5 	17.9 	18.7 	18.6 	18.1 p	18.2 p	18.1 p	18.4 p
TE,S13,GF10,PC_GDP,LV	9.3 	8.9 	7.9 	9.1 	14.0 	14.2 	12.2 	11.4 	11.5 	11.4 	11.9 	12.0 	: 
TE,S13,GF10,PC_GDP,MT	13.2 	13.3 	13.4 	13.3 	14.2 	13.7 	13.8 	14.0 	13.8 	13.1 	12.4 	12.0 	: 
TE,S13,GF10,PC_GDP,NL	15.1 	14.6 	14.3 	14.7 	16.3 	16.6 	16.5 	16.8 	17.0 	16.9 	16.3 	16.2 p	: 
TE,S13,GF10,PC_GDP,NO	16.0 	15.1 	15.2 	15.0 	17.6 	17.4 	17.2 	17.0 	17.6 	18.1 	19.4 	20.3 	: 
TE,S13,GF10,PC_GDP,PL	17.4 	17.1 	15.9 	15.8 	16.4 	16.7 	15.8 	15.9 	16.3 	16.2 	16.0 	16.9 	: 
TE,S13,GF10,PC_GDP,PT	14.9 	15.0 	14.8 	15.1 	17.0 	17.1 	17.7 	18.3 	19.2 	18.8 e	18.4 e	18.0 e	: 
TE,S13,GF10,PC_GDP,RO	10.7 	10.4 	9.9 	11.0 	13.2 	13.9 	12.9 	12.3 	11.5 	11.4 	11.4 	11.6 	: 
TE,S13,GF10,PC_GDP,SE	22.2 	21.3 	20.2 	20.1 	21.8 	20.7 	20.1 	20.8 	21.3 	20.8 	20.4 	20.6 	: 
TE,S13,GF10,PC_GDP,SI	16.5 	16.1 	15.2 	15.5 	17.5 	18.1 	18.7 	18.5 	18.6 	17.8 	17.3 	16.7 	: 
TE,S13,GF10,PC_GDP,SK	14.6 	13.0 	13.2 	12.6 	15.1 	15.3 	14.7 	15.0 	15.3 	15.1 	15.1 	15.1 	: 
TE,S13,GF10,PC_GDP,UK	14.6 	14.2 	14.3 	15.0 	16.9 	17.0 	16.8 	17.2 	16.7 	16.3 	16.2 	15.8 	: 
