unit,nace_r2,na_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
PCH_SAME_PERS_NSA,A,EMP_DC,HR	1.8 d	-6.2 d	-10.8 d	-24.6 d	-21.6 d	-10.9 d	-14.6 d	-5.7 d	-0.1 d	-3.9 d	2.8 d	-13.5 d
PCH_SAME_PERS_NSA,A,EMP_DC,HU	-4.3 	-2.5 	1.5 	-0.6 	-2.3 	-0.3 	-3.6 	-2.7 	-4.0 	-0.4 	-0.1 	-0.7 
PCH_SAME_PERS_NSA,A,EMP_DC,IE	3.3 	1.0 	2.5 	4.6 	3.5 	4.0 	-1.1 	-4.7 	-4.5 	1.2 	4.4 	-4.4 
PCH_SAME_PERS_NSA,A,EMP_DC,IS	1.3 p	1.4 p	1.4 p	1.3 p	-2.6 p	-1.3 p	-8.3 p	2.6 p	-3.9 p	-2.7 p	9.1 p	-8.9 p
PCH_SAME_PERS_NSA,A,EMP_DC,IT	1.5 	0.3 	2.4 	3.4 	1.0 	2.4 	0.3 	2.2 	-4.1 	-1.6 	-0.5 	2.6 
PCH_SAME_PERS_NSA,A,EMP_DC,LT	2.5 	-6.6 	-12.6 	-14.8 	-10.0 	-2.9 	-6.3 	-3.1 	-2.2 	-0.2 	-0.6 	-0.4 
PCH_SAME_PERS_NSA,A,EMP_DC,LU	-0.9 	-0.6 	-0.8 	-0.9 	0.4 	-0.5 	-0.1 	0.0 	-1.1 	-0.2 	0.2 	0.0 
PCH_SAME_PERS_NSA,A,EMP_DC,LV	10.9 	11.3 	5.5 	11.6 	-6.7 	-20.5 	-1.8 	-8.7 	-1.7 	-0.8 	-10.6 	1.3 
PCH_SAME_PERS_NSA,A,EMP_DC,ME	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_SAME_PERS_NSA,A,EMP_DC,MT	-1.1 	-0.1 	1.1 	1.4 	0.8 	4.1 	3.7 	2.6 	3.3 	1.6 	4.2 	4.2 
PCH_SAME_PERS_NSA,A,EMP_DC,NL	0.5 	-5.6 	0.0 p	1.0 p	-3.3 p	3.7 p	2.2 p	0.0 p	4.0 p	-3.1 p	-2.6 p	-3.6 p
PCH_SAME_PERS_NSA,A,EMP_DC,NO	0.0 	5.7 	-1.6 	3.0 	2.7 	2.7 	0.0 	-1.5 	1.3 	-1.3 	1.6 	3.0 
PCH_SAME_PERS_NSA,A,EMP_DC,PL	3.9 	-0.5 	-7.0 p	-6.0 p	-9.6 p	-9.3 p	-1.6 p	-1.7 p	-0.7 p	-6.0 p	-9.2 p	-6.8 p
PCH_SAME_PERS_NSA,A,EMP_DC,PT	-9.6 	-3.8 	-7.1 	-6.5 	-0.1 	-0.7 	-0.1 	0.9 	-4.8 	-6.8 	-2.6 	-4.0 
PCH_SAME_PERS_NSA,A,EMP_DC,RO	-9.6 	-13.9 	-6.9 	-9.9 	-11.4 	-14.6 	-5.1 p	8.6 p	0.5 p	4.2 p	3.7 p	-7.6 p
PCH_SAME_PERS_NSA,A,EMP_DC,SE	-3.6 	-7.1 	-5.4 	-2.0 	-5.0 	1.3 	-2.5 	-0.5 	0.8 	0.4 	-1.6 	-7.9 
PCH_SAME_PERS_NSA,A,EMP_DC,SI	-1.0 	-1.1 	-1.3 	-1.4 	-1.4 	-1.3 	-1.1 	-1.0 	-0.9 	-1.0 	-0.7 	-0.6 
PCH_SAME_PERS_NSA,A,EMP_DC,SK	1.5 	2.6 	-1.8 	0.2 	-0.8 	-2.0 	-0.4 	-4.0 	-2.6 	-2.2 	-0.9 	0.2 
PCH_SAME_PERS_NSA,A,EMP_DC,UK	-10.6 	2.2 	2.5 	5.0 	5.8 	-3.5 	13.9 	11.7 	6.5 	5.8 	-3.3 	-12.1 
PCH_SAME_PERS_NSA,B-E,EMP_DC,AT	0.6 	0.5 	1.2 	0.7 	0.5 	0.5 	1.1 	1.5 	1.5 	2.0 	3.0 	3.0 
PCH_SAME_PERS_NSA,B-E,EMP_DC,BE	-1.9 	-1.8 	-0.2 	0.2 	0.4 	0.3 	0.4 	0.3 	0.2 	0.6 	0.8 	1.2 
PCH_SAME_PERS_NSA,B-E,EMP_DC,BG	3.2 p	0.9 p	1.7 p	-0.2 p	0.5 p	1.2 p	1.9 p	1.5 p	0.3 p	0.7 p	2.2 p	0.7 p
PCH_SAME_PERS_NSA,B-E,EMP_DC,CH	-0.4 	-1.1 	-1.4 	-1.6 	-0.7 	-1.0 	-1.6 	0.0 	-0.2 	-0.5 	0.3 	-0.3 
PCH_SAME_PERS_NSA,B-E,EMP_DC,CY	1.7 	2.7 	3.6 	4.9 	4.5 	4.4 	1.9 p	3.0 p	4.4 p	5.1 p	5.1 p	5.0 p
PCH_SAME_PERS_NSA,B-E,EMP_DC,CZ	2.9 	3.5 	3.0 	2.1 	2.4 	2.0 	0.6 	1.0 	1.5 	1.6 	2.3 	2.1 
PCH_SAME_PERS_NSA,B-E,EMP_DC,DE	0.1 	0.1 	0.3 	0.3 	0.2 	0.3 	0.8 	1.0 	1.3 	1.4 	1.6 	1.6 
PCH_SAME_PERS_NSA,B-E,EMP_DC,DK	0.6 	0.6 	0.7 	0.6 	1.0 	1.3 	1.3 	1.9 	1.6 	1.6 	1.9 	1.3 
PCH_SAME_PERS_NSA,B-E,EMP_DC,EA	0.3 	0.3 	0.9 	0.8 	0.8 	0.8 	0.9 	1.1 	1.4 	1.4 	1.5 	1.5 
PCH_SAME_PERS_NSA,B-E,EMP_DC,EA19	0.3 	0.3 	0.9 	0.8 	0.8 	0.8 	0.9 	1.1 	1.4 	1.4 	1.5 	1.5 
PCH_SAME_PERS_NSA,B-E,EMP_DC,EE	4.9 	-1.4 	1.8 	-2.4 	-2.3 	2.0 	-1.7 	2.3 	6.9 	11.8 	9.1 	-0.7 
PCH_SAME_PERS_NSA,B-E,EMP_DC,EL	4.8 p	0.2 p	0.2 p	0.2 p	-2.8 p	-2.5 p	3.8 p	3.5 p	2.5 p	5.0 p	1.5 p	0.8 p
PCH_SAME_PERS_NSA,B-E,EMP_DC,ES	2.8 	2.4 	3.8 p	3.5 p	3.7 p	4.2 p	3.4 p	3.4 p	3.3 p	3.3 p	2.7 p	1.7 p
PCH_SAME_PERS_NSA,B-E,EMP_DC,EU28	0.1 	0.2 	1.1 	1.2 	1.2 	1.3 	1.2 	1.4 	1.8 	1.5 	1.8 	1.3 
PCH_SAME_PERS_NSA,B-E,EMP_DC,FI	-0.3 	-1.2 	-2.4 	-0.3 	-0.3 	0.2 	-0.8 	0.7 	1.8 	2.2 	3.7 	1.5 
PCH_SAME_PERS_NSA,B-E,EMP_DC,FR	-1.9 	-1.8 	-1.3 	-1.0 	-0.8 	-0.7 	-0.9 	-0.9 	-0.8 	-0.5 	0.0 	0.0 
PCH_SAME_PERS_NSA,B-E,EMP_DC,HR	3.5 d	-0.8 d	-0.1 d	0.5 d	2.5 d	0.0 d	3.6 d	0.3 d	0.5 d	2.8 d	4.9 d	6.6 d
PCH_SAME_PERS_NSA,B-E,EMP_DC,HU	-1.3 	0.5 	3.0 	3.7 	3.3 	2.6 	3.2 	3.2 	3.4 	3.0 	2.9 	2.4 
PCH_SAME_PERS_NSA,B-E,EMP_DC,IE	6.8 	2.7 	3.1 	5.3 	6.6 	5.0 	5.4 	1.5 	1.3 	1.3 	-1.5 	-2.7 
PCH_SAME_PERS_NSA,B-E,EMP_DC,IS	0.4 p	1.3 p	2.6 p	1.2 p	1.6 p	1.7 p	-3.0 p	-2.4 p	0.0 p	-0.4 p	3.0 p	4.5 p
PCH_SAME_PERS_NSA,B-E,EMP_DC,IT	-0.4 	0.6 	1.5 	0.9 	0.9 	0.3 	0.2 	0.7 	1.4 	0.4 	0.7 	1.5 
PCH_SAME_PERS_NSA,B-E,EMP_DC,LT	1.1 	3.4 	5.3 	4.0 	3.0 	3.5 	4.8 	2.1 	0.9 	-3.1 	1.1 	4.7 
PCH_SAME_PERS_NSA,B-E,EMP_DC,LU	0.8 	1.0 	1.3 	0.9 	1.0 	0.8 	1.4 	1.4 	1.4 	1.6 	1.8 	1.7 
PCH_SAME_PERS_NSA,B-E,EMP_DC,LV	0.8 	0.1 	0.7 	0.0 	0.1 	0.1 	-0.4 	-0.1 	0.1 	0.3 	0.6 	-0.6 
PCH_SAME_PERS_NSA,B-E,EMP_DC,ME	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_SAME_PERS_NSA,B-E,EMP_DC,MT	-2.4 	1.6 	-1.4 	0.1 	-0.6 	0.0 	2.0 	0.3 	1.4 	3.0 	5.2 	5.5 
PCH_SAME_PERS_NSA,B-E,EMP_DC,NL	0.2 	0.0 	0.2 p	-0.1 p	-0.1 p	0.6 p	0.5 p	0.5 p	1.1 p	0.8 p	1.3 p	2.0 p
PCH_SAME_PERS_NSA,B-E,EMP_DC,NO	-3.4 	-5.2 	-5.6 	-5.3 	-5.3 	-4.5 	-3.4 	-3.1 	-1.9 	-0.6 	0.3 	1.0 
PCH_SAME_PERS_NSA,B-E,EMP_DC,PL	-0.8 	0.2 	2.3 p	5.1 p	4.7 p	2.9 p	3.4 p	2.9 p	2.3 p	1.9 p	1.8 p	-1.3 p
PCH_SAME_PERS_NSA,B-E,EMP_DC,PT	2.4 	3.1 	1.8 	1.0 	2.0 	1.9 	3.2 	3.5 	3.6 	4.3 	4.0 	3.3 
PCH_SAME_PERS_NSA,B-E,EMP_DC,RO	-3.4 	-2.5 	3.4 	0.7 	1.6 	5.6 	2.2 p	5.0 p	6.6 p	1.3 p	1.4 p	2.1 p
PCH_SAME_PERS_NSA,B-E,EMP_DC,SE	-5.0 	-3.6 	-2.2 	-1.1 	-2.2 	-0.9 	0.7 	0.9 	2.6 	1.5 	1.0 	1.4 
PCH_SAME_PERS_NSA,B-E,EMP_DC,SI	1.3 	1.9 	2.0 	2.6 	2.5 	2.2 	2.6 	2.9 	3.5 	4.1 	4.7 	4.5 
PCH_SAME_PERS_NSA,B-E,EMP_DC,SK	1.9 	2.3 	3.4 	3.1 	3.5 	3.3 	3.3 	4.6 	4.1 	3.7 	3.5 	2.3 
PCH_SAME_PERS_NSA,B-E,EMP_DC,UK	0.7 	-0.2 	-1.1 	0.1 	-0.6 	-0.1 	-0.4 	-0.5 	1.5 	2.0 	3.2 	1.5 
PCH_SAME_PERS_NSA,C,EMP_DC,AT	0.7 	0.6 	1.2 	0.6 	0.4 	0.5 	1.3 	1.6 	1.7 	2.2 	3.2 	3.2 
PCH_SAME_PERS_NSA,C,EMP_DC,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
PCH_SAME_PERS_NSA,C,EMP_DC,BG	3.6 p	1.2 p	2.3 p	0.0 p	1.1 p	1.8 p	2.2 p	1.4 p	0.2 p	0.6 p	2.3 p	0.5 p
PCH_SAME_PERS_NSA,C,EMP_DC,CH	-0.6 	-1.3 	-1.6 	-1.8 	-0.9 	-1.2 	-1.7 	0.0 	-0.2 	-0.5 	0.3 	-0.4 
PCH_SAME_PERS_NSA,C,EMP_DC,CY	2.4 	3.7 	5.3 	5.7 	4.8 	4.9 	2.0 p	3.2 p	4.9 p	5.7 p	5.7 p	5.5 p
PCH_SAME_PERS_NSA,C,EMP_DC,CZ	3.1 	3.8 	3.3 	2.5 	2.8 	2.3 	0.7 	1.1 	1.7 	1.6 	2.4 	2.1 
PCH_SAME_PERS_NSA,C,EMP_DC,DE	0.3 	0.2 	0.4 	0.4 	0.3 	0.3 	0.8 	1.0 	1.3 	1.4 	1.7 	1.6 
PCH_SAME_PERS_NSA,C,EMP_DC,DK	1.1 	1.1 	0.7 	0.7 	1.1 	1.4 	1.4 	1.8 	1.7 	1.4 	1.7 	1.4 
PCH_SAME_PERS_NSA,C,EMP_DC,EA	0.3 	0.4 	0.9 	0.8 	0.8 	0.8 	1.0 	1.1 	1.4 	1.4 	1.6 	1.6 
PCH_SAME_PERS_NSA,C,EMP_DC,EA19	0.3 	0.4 	0.9 	0.8 	0.8 	0.8 	1.0 	1.1 	1.4 	1.4 	1.6 	1.6 
PCH_SAME_PERS_NSA,C,EMP_DC,EE	7.2 	-0.1 	0.3 	-3.4 	-0.7 	6.9 	0.8 	0.4 	4.5 	7.7 	7.1 	0.5 
PCH_SAME_PERS_NSA,C,EMP_DC,EL	5.9 p	-0.9 p	-0.3 p	-0.7 p	-3.7 p	-2.3 p	3.2 p	2.9 p	1.8 p	4.2 p	0.7 p	0.1 p
PCH_SAME_PERS_NSA,C,EMP_DC,ES	3.1 	2.7 	4.1 p	3.9 p	4.0 p	4.3 p	3.6 p	3.6 p	3.6 p	3.7 p	3.2 p	2.1 p
PCH_SAME_PERS_NSA,C,EMP_DC,EU28	0.2 	0.4 	1.2 	1.5 	1.4 	1.4 	1.4 	1.6 	2.1 	1.9 	2.0 	1.2 
PCH_SAME_PERS_NSA,C,EMP_DC,FI	-0.7 	-1.8 	-3.2 	-0.5 	-0.4 	0.3 	-1.2 	-0.1 	2.8 	2.1 	4.1 	2.4 
PCH_SAME_PERS_NSA,C,EMP_DC,FR	-2.2 	-2.0 	-1.4 	-1.0 	-0.7 	-0.5 	-0.7 	-0.7 	-0.7 	-0.3 	0.1 	0.1 
PCH_SAME_PERS_NSA,C,EMP_DC,HR	2.1 d	-0.7 d	-0.9 d	1.1 d	7.2 d	3.3 d	4.6 d	-2.0 d	2.0 d	3.4 d	7.6 d	8.2 d
PCH_SAME_PERS_NSA,C,EMP_DC,HU	-0.5 	0.4 	3.0 	3.9 	3.5 	2.7 	3.5 	3.6 	3.8 	3.3 	3.0 	2.4 
PCH_SAME_PERS_NSA,C,EMP_DC,IE	6.3 	3.0 	3.7 	7.0 	8.7 	5.5 	5.1 	0.1 	-0.2 	-0.3 	-1.8 	-3.0 
PCH_SAME_PERS_NSA,C,EMP_DC,IS	0.5 p	0.9 p	2.4 p	1.4 p	1.3 p	1.8 p	-3.8 p	-2.7 p	-0.4 p	-0.9 p	2.9 p	4.2 p
PCH_SAME_PERS_NSA,C,EMP_DC,IT	-0.5 	0.5 	1.5 	0.9 	0.9 	0.2 	0.1 	0.7 	1.4 	0.4 	0.8 	1.6 
PCH_SAME_PERS_NSA,C,EMP_DC,LT	1.7 	3.2 	5.7 	3.4 	3.0 	2.6 	2.7 	0.1 	-1.7 	-4.0 	2.7 	5.3 
PCH_SAME_PERS_NSA,C,EMP_DC,LU	0.7 	1.0 	1.2 	0.7 	0.6 	0.4 	1.3 	1.3 	1.3 	1.7 	1.7 	1.5 
PCH_SAME_PERS_NSA,C,EMP_DC,LV	0.1 	-0.2 	0.4 	0.7 	0.3 	0.3 	-0.5 	-0.1 	0.2 	0.5 	1.2 	0.7 
PCH_SAME_PERS_NSA,C,EMP_DC,ME	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_SAME_PERS_NSA,C,EMP_DC,MT	2.6 	2.3 	-1.8 	-0.1 	-0.8 	-0.1 	1.7 	-0.8 	0.2 	2.0 	4.5 	5.4 
PCH_SAME_PERS_NSA,C,EMP_DC,NL	0.3 	0.0 	0.3 p	0.0 p	-0.3 p	0.9 p	0.7 p	0.7 p	1.4 p	0.7 p	1.3 p	2.1 p
PCH_SAME_PERS_NSA,C,EMP_DC,NO	-3.1 	-4.8 	-4.9 	-4.9 	-4.5 	-3.3 	-3.0 	-3.0 	-1.3 	-0.4 	0.4 	1.8 
PCH_SAME_PERS_NSA,C,EMP_DC,PL	1.0 	1.3 	2.9 p	6.6 p	6.2 p	3.8 p	5.1 p	4.7 p	3.5 p	3.8 p	3.3 p	-1.3 p
PCH_SAME_PERS_NSA,C,EMP_DC,PT	2.4 	3.2 	1.9 	1.1 	2.0 	2.0 	3.3 	3.6 	3.7 	4.5 	4.1 	3.4 
PCH_SAME_PERS_NSA,C,EMP_DC,RO	-4.0 	-1.7 	4.4 	1.1 	0.9 	5.0 	1.1 p	4.9 p	8.9 p	3.3 p	0.3 p	1.6 p
PCH_SAME_PERS_NSA,C,EMP_DC,SE	-5.6 	-4.2 	-2.1 	-1.2 	-2.2 	-1.7 	0.7 	1.1 	2.8 	1.6 	1.0 	1.5 
PCH_SAME_PERS_NSA,C,EMP_DC,SI	1.5 	2.3 	2.7 	3.3 	3.1 	2.8 	3.0 	3.4 	4.0 	4.5 	5.1 	4.8 
PCH_SAME_PERS_NSA,C,EMP_DC,SK	2.3 	2.6 	3.6 	3.5 	4.0 	3.7 	3.7 	5.0 	4.3 	4.0 	3.5 	2.1 
PCH_SAME_PERS_NSA,C,EMP_DC,UK	0.1 	-0.3 	-1.3 	0.6 	-0.1 	-0.3 	-0.1 	-0.4 	1.9 	2.4 	3.3 	0.0 
PCH_SAME_PERS_NSA,F,EMP_DC,AT	-0.3 	0.1 	1.3 	1.0 	0.7 	2.5 	2.3 	3.3 	2.9 	2.0 	3.7 	2.6 
PCH_SAME_PERS_NSA,F,EMP_DC,BE	-0.4 	-0.1 	0.2 	0.6 	0.8 	1.0 	1.3 	1.4 	1.2 	1.1 	1.1 	1.1 
PCH_SAME_PERS_NSA,F,EMP_DC,BG	4.0 p	1.3 p	-0.8 p	-4.2 p	-5.1 p	-5.3 p	-1.3 p	0.1 p	-0.2 p	2.0 p	4.1 p	8.5 p
PCH_SAME_PERS_NSA,F,EMP_DC,CH	0.4 	0.7 	0.1 	0.4 	1.2 	1.0 	0.7 	2.0 	1.3 	0.7 	1.3 	-0.2 
PCH_SAME_PERS_NSA,F,EMP_DC,CY	0.8 	3.0 	6.1 	6.5 	8.2 	10.2 	9.7 p	10.0 p	10.6 p	13.7 p	12.7 p	10.8 p
PCH_SAME_PERS_NSA,F,EMP_DC,CZ	-0.5 	-1.0 	-2.1 	-2.6 	-1.1 	-0.9 	0.1 	-0.1 	0.8 	-1.2 	-0.5 	-0.7 
PCH_SAME_PERS_NSA,F,EMP_DC,DE	-0.5 	0.2 	1.2 	1.1 	0.9 	1.2 	1.6 	1.6 	1.5 	1.5 	2.1 	1.8 
PCH_SAME_PERS_NSA,F,EMP_DC,DK	2.9 	3.5 	4.3 	3.5 	3.4 	3.4 	3.5 	3.4 	3.3 	3.8 	4.0 	3.8 
PCH_SAME_PERS_NSA,F,EMP_DC,EA	-0.3 	-0.1 	0.0 	0.3 	0.3 	0.8 	1.7 	1.4 	1.6 	2.5 	2.1 	2.4 
PCH_SAME_PERS_NSA,F,EMP_DC,EA19	-0.3 	-0.1 	0.0 	0.3 	0.3 	0.8 	1.7 	1.4 	1.6 	2.5 	2.1 	2.4 
PCH_SAME_PERS_NSA,F,EMP_DC,EE	13.4 	0.6 	-7.0 	-16.9 	-11.1 	-12.9 	6.1 	0.0 	-7.0 	15.0 	2.1 	22.1 
PCH_SAME_PERS_NSA,F,EMP_DC,EL	-8.2 p	-7.1 p	2.2 p	3.5 p	0.0 p	-0.6 p	1.1 p	-3.0 p	5.6 p	1.3 p	1.4 p	1.3 p
PCH_SAME_PERS_NSA,F,EMP_DC,ES	5.5 	4.7 	0.5 p	0.7 p	2.2 p	2.5 p	5.0 p	6.0 p	5.3 p	7.2 p	7.7 p	8.5 p
PCH_SAME_PERS_NSA,F,EMP_DC,EU28	0.3 	1.2 	0.9 	1.8 	1.0 	1.1 	2.2 	1.6 	2.0 	2.2 	1.6 	1.9 
PCH_SAME_PERS_NSA,F,EMP_DC,FI	1.9 	4.4 	4.8 	6.7 	4.1 	3.5 	5.6 	3.2 	2.0 	2.0 	4.3 	3.8 
PCH_SAME_PERS_NSA,F,EMP_DC,FR	-2.7 	-2.5 	-2.1 	-1.7 	-1.3 	-1.1 	-0.9 	-0.5 	-0.1 	0.8 	1.4 	1.1 
PCH_SAME_PERS_NSA,F,EMP_DC,HR	12.5 d	6.2 d	10.7 d	9.4 d	-4.8 d	-3.3 d	-6.4 d	-6.5 d	-7.3 d	1.8 d	6.6 d	9.6 d
PCH_SAME_PERS_NSA,F,EMP_DC,HU	0.9 	-0.2 	4.2 	2.5 	1.5 	3.8 	2.8 	4.5 	4.4 	5.5 	8.1 	6.4 
PCH_SAME_PERS_NSA,F,EMP_DC,IE	14.2 	9.8 	8.6 	9.8 	8.5 	10.5 	10.1 	7.1 	6.9 	9.6 	9.1 	16.3 
PCH_SAME_PERS_NSA,F,EMP_DC,IS	9.0 p	8.1 p	11.6 p	13.5 p	14.7 p	17.8 p	16.0 p	13.6 p	13.6 p	12.7 p	13.0 p	11.9 p
PCH_SAME_PERS_NSA,F,EMP_DC,IT	-2.1 	-1.4 	0.1 	-0.2 	-1.2 	0.9 	1.4 	-1.9 	0.3 	1.2 	-3.2 	-1.2 
PCH_SAME_PERS_NSA,F,EMP_DC,LT	-1.0 	-1.2 	-6.2 	-0.3 	3.9 	-2.9 	-4.6 	-4.5 	-5.7 	-3.1 	-1.2 	-2.3 
PCH_SAME_PERS_NSA,F,EMP_DC,LU	1.8 	2.0 	2.6 	2.8 	3.1 	3.6 	2.6 	2.6 	2.1 	2.2 	3.9 	3.9 
PCH_SAME_PERS_NSA,F,EMP_DC,LV	-9.6 	-7.3 	-15.7 	-10.8 	-6.8 	2.9 	1.3 	4.9 	8.0 	7.8 	11.9 	8.3 
PCH_SAME_PERS_NSA,F,EMP_DC,ME	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_SAME_PERS_NSA,F,EMP_DC,MT	4.0 	3.3 	-0.7 	1.3 	1.4 	3.0 	3.7 	3.8 	4.4 	3.6 	5.6 	5.9 
PCH_SAME_PERS_NSA,F,EMP_DC,NL	0.9 	-0.7 	-1.8 p	0.9 p	1.1 p	-1.3 p	1.1 p	3.3 p	-0.4 p	4.3 p	2.2 p	-1.1 p
PCH_SAME_PERS_NSA,F,EMP_DC,NO	3.7 	3.2 	2.4 	2.3 	2.7 	3.1 	5.5 	4.9 	5.2 	4.7 	3.9 	3.8 
PCH_SAME_PERS_NSA,F,EMP_DC,PL	1.9 	5.9 	2.3 p	3.5 p	-1.5 p	-1.3 p	1.6 p	-0.7 p	-0.7 p	-1.1 p	-1.1 p	2.7 p
PCH_SAME_PERS_NSA,F,EMP_DC,PT	1.4 	2.2 	1.1 	0.0 	1.3 	2.4 	4.9 	5.8 	5.9 	6.7 	6.0 	4.6 
PCH_SAME_PERS_NSA,F,EMP_DC,RO	-0.7 	2.6 	4.1 	8.5 	8.1 	5.5 	6.3 p	0.9 p	2.5 p	4.3 p	0.6 p	-2.6 p
PCH_SAME_PERS_NSA,F,EMP_DC,SE	2.4 	4.7 	0.3 	2.0 	3.1 	1.5 	6.1 	4.7 	6.5 	4.5 	3.3 	4.8 
PCH_SAME_PERS_NSA,F,EMP_DC,SI	0.6 	0.2 	-0.8 	-1.0 	-1.4 	-0.7 	1.4 	2.3 	2.9 	3.8 	6.1 	5.1 
PCH_SAME_PERS_NSA,F,EMP_DC,SK	-0.1 	-0.4 	2.3 	2.0 	0.8 	2.1 	1.2 	1.0 	2.4 	2.5 	4.1 	4.5 
PCH_SAME_PERS_NSA,F,EMP_DC,UK	1.4 	3.7 	2.4 	6.2 	4.0 	2.6 	3.5 	3.7 	4.4 	1.8 	-0.5 	-2.4 
PCH_SAME_PERS_NSA,G-I,EMP_DC,AT	0.7 	0.7 	1.0 	0.7 	1.3 	1.8 	2.2 	2.6 	1.9 	1.5 	1.8 	1.6 
PCH_SAME_PERS_NSA,G-I,EMP_DC,BE	0.8 	0.5 	0.1 	0.3 	0.6 	0.8 	0.9 	1.0 	1.0 	0.6 	0.6 	0.7 
PCH_SAME_PERS_NSA,G-I,EMP_DC,BG	1.3 p	0.2 p	1.8 p	4.2 p	2.7 p	1.2 p	-2.1 p	0.9 p	0.3 p	1.9 p	3.5 p	1.8 p
PCH_SAME_PERS_NSA,G-I,EMP_DC,CH	0.2 	-0.6 	-0.5 	-0.8 	0.3 	0.8 	-0.2 	0.5 	-0.2 	-0.9 	0.2 	-0.2 
PCH_SAME_PERS_NSA,G-I,EMP_DC,CY	1.8 	2.4 	3.8 	6.2 	6.1 	5.4 	2.5 p	2.8 p	3.5 p	4.7 p	3.3 p	4.1 p
PCH_SAME_PERS_NSA,G-I,EMP_DC,CZ	1.0 	0.2 	0.3 	1.0 	0.1 	0.3 	1.3 	0.7 	2.2 	1.4 	1.1 	2.2 
