worktime,age,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PT,Y20-64,PC_EMP,IT	21.2 	22.1 	22.3 	22.9 	23.1 	23.9 	23.8 	24.3 	24.3 	24.4 	24.5 	24.6 	24.3 
PT,Y20-64,PC_EMP,LT	3.7 	4.0 	3.2 	3.4 	2.5 	2.5 	3.2 	3.7 	3.9 	4.3 	4.3 	3.4 	3.7 
PT,Y20-64,PC_EMP,LU	36.0 	34.0 	34.8 b	35.8 	30.5 b	32.5 	31.6 	31.4 	31.0 	30.9 	28.1 b	28.7 	29.4 
PT,Y20-64,PC_EMP,LV	4.1 	3.0 	2.8 	3.3 	2.6 	3.4 	3.2 	4.3 	3.9 	4.3 	5.5 	4.8 	5.8 
PT,Y20-64,PC_EMP,ME	: 	: 	: 	: 	: 	: 	0.3 	0.6 	-1.3 	-0.7 	0.9 	-0.7 	-0.2 
PT,Y20-64,PC_EMP,MK	: 	1.8 	0.9 	2.8 	2.4 	2.4 	1.3 	1.3 	0.6 	-1.3 	0.2 	0.9 	0.5 
PT,Y20-64,PC_EMP,MT	15.7 b	17.0 	20.5 	20.8 	18.7 	19.1 	20.1 	19.7 	19.6 	21.1 	20.0 	19.7 	18.0 
PT,Y20-64,PC_EMP,NL	55.9 	55.2 	55.0 	55.3 	54.9 	54.6 b	55.0 b	54.8 	53.5 	53.0 	52.9 	52.7 	51.5 
PT,Y20-64,PC_EMP,NO	30.7 	31.8 b	30.6 	29.5 	28.3 	28.0 	28.2 	26.5 	26.5 	24.5 	23.1 	22.6 	21.1 
PT,Y20-64,PC_EMP,PL	6.6 	6.2 	6.2 	6.0 	6.0 	6.0 b	5.9 	6.2 	6.0 	6.1 	5.9 	6.0 	6.3 
PT,Y20-64,PC_EMP,PT	9.5 	8.6 	9.1 	10.0 	8.8 	7.4 	6.6 b	5.9 	5.7 	4.9 	5.4 	5.3 	5.6 
PT,Y20-64,PC_EMP,RO	0.3 	0.0 	0.9 	1.4 	1.3 	0.3 b	1.5 	1.2 	0.9 	1.2 	0.6 	0.4 	0.2 
PT,Y20-64,PC_EMP,SE	27.1 b	28.1 	27.8 	28.6 	27.6 	27.4 	26.8 	25.7 	24.7 	24.1 	22.8 	22.4 	21.0 
PT,Y20-64,PC_EMP,SI	4.0 	4.5 	3.6 	4.2 	4.5 	6.0 	5.2 	6.0 	6.3 	6.9 	6.6 	7.2 	7.7 
PT,Y20-64,PC_EMP,SK	2.7 	3.3 	3.2 	2.7 	2.0 	2.6 	3.0 b	2.6 	2.8 	3.0 	4.1 	3.8 	4.1 
PT,Y20-64,PC_EMP,TR	: 	13.4 	14.7 	15.0 	17.4 	17.3 	18.1 	17.7 	17.8 	15.6 b	14.0 	12.6 	12.7 
PT,Y20-64,PC_EMP,UK	33.2 	33.0 	32.4 b	31.5 b	31.5 	31.5 	31.2 	30.9 	30.1 	30.2 	29.9 	29.7 	29.5 
