unit,age,sex,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y25-64,F,EU28	: 	: 	7.7 	9.0 b	9.8 	10.3 	10.5 b	10.3 	10.4 	10.4 	10.2 	9.8 	9.9 	11.6 b	11.8 	11.7 	11.7 	11.8 
PC,Y25-64,F,FI	19.6 b	19.7 	20.0 	26.2 b	26.4 	26.1 	27.0 	27.5 	26.9 	25.9 	27.1 	27.7 	28.4 	28.8 	28.8 	29.1 	30.3 	31.5 
PC,Y25-64,F,FR	3.1 	3.0 	3.0 	7.0 b	6.1 	6.2 	6.8 	6.6 	6.4 	6.1 	5.4 	5.9 	6.0 	20.0 b	20.8 b	21.1 	21.2 	21.1 
PC,Y25-64,F,HR	: 	: 	1.9 	1.9 	2.0 	2.1 b	2.9 b	3.3 	2.9 	2.9 	3.0 	3.3 	3.7 	3.3 	3.0 	3.6 	2.9 	2.6 
PC,Y25-64,F,HU	3.3 	3.1 b	3.3 	4.9 b	4.6 	4.6 	4.6 b	4.5 	3.8 	3.4 	3.1 	3.1 	3.1 	3.2 	3.6 	7.5 b	7.0 	6.4 
PC,Y25-64,F,IE	: 	: 	6.4 	6.8 	7.1 b	8.6 	8.8 b	9.1 b	8.2 	7.2 	7.5 	7.5 	7.7 	7.9 	7.3 	6.8 	6.5 	9.9 b
PC,Y25-64,F,IS	26.7 	28.1 	27.7 	34.1 bu	28.9 	29.8 	33.7 	32.0 	30.5 	30.1 b	29.6 	29.5 	32.0 	29.8 	30.6 	32.7 	28.3 	26.8 
PC,Y25-64,F,IT	4.8 	4.6 	4.6 	4.8 	6.7 b	6.2 	6.5 b	6.5 	6.6 	6.4 	6.5 	6.1 	7.0 	6.5 	8.3 	7.7 	8.7 	8.4 
PC,Y25-64,F,LT	3.6 	4.6 	4.0 b	4.7 	7.5 b	7.8 	6.8 b	7.2 	6.0 	5.5 	5.2 	7.3 	6.2 	6.5 	5.6 	6.5 	6.8 	7.3 
PC,Y25-64,F,LU	3.9 	4.7 	6.4 	6.1 b	10.1 	8.5 	8.9 b	7.6 b	9.6 	13.7 b	14.2 	13.3 	14.1 	15.2 	15.1 	17.8 b	16.9 	17.6 
PC,Y25-64,F,LV	: 	: 	9.2 b	9.8 b	10.8 	10.6 	9.7 b	9.4 	9.2 	7.3 	7.0 	6.5 	8.1 	8.2 	6.3 	7.2 	8.5 	8.8 
PC,Y25-64,F,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3 	2.2 	2.8 	2.7 	2.5 	2.9 	2.5 
PC,Y25-64,F,MK	: 	: 	: 	: 	: 	: 	2.3 	3.1 b	2.8 	3.5 	3.6 	3.5 	4.0 	3.6 	3.3 	2.5 	3.0 	2.2 
PC,Y25-64,F,MT	3.5 	3.4 	3.8 	3.6 	3.8 b	4.7 b	5.5 b	5.6 	6.2 	6.4 	6.4 	7.1 	7.6 	8.0 	8.1 	7.9 	8.7 	11.9 b
PC,Y25-64,F,NL	14.7 	15.2 	15.5 	16.8 b	16.8 	16.1 	16.3 b	17.5 	17.7 	18.0 	17.7 b	17.3 b	17.4 	18.4 b	18.6 	19.4 	19.6 	20.1 
PC,Y25-64,F,NO	13.8 u	14.5 u	14.0 u	18.0 b	18.6 	19.3 	20.7 b	19.4 	21.0 	20.0 	19.8 	19.7 	21.8 	22.4 	21.9 	22.0 	21.4 	21.6 
PC,Y25-64,F,PL	: 	4.9 	4.7 	4.9 b	5.7 b	5.4 	5.1 	5.5 	5.2 b	5.1 	5.7 b	4.9 	5.1 	4.9 b	4.3 	3.8 	4.0 	4.4 
PC,Y25-64,F,PT	3.5 b	3.6 	3.1 b	3.4 	4.4 b	4.2 	4.3 b	4.5 	5.6 	6.8 	5.7 	12.1 b	10.9 	10.1 	9.9 	9.8 	9.7 	10.0 
PC,Y25-64,F,RO	0.8 	1.0 	1.0 	1.2 b	1.4 	1.6 	1.5 b	1.6 	1.9 	1.9 	1.4 b	1.5 	1.4 	1.8 	1.4 	1.3 	1.2 	1.0 
PC,Y25-64,F,SE	24.1 u	19.7 b	21.2 	: 	: 	21.9 	24.2 	24.7 	28.9 b	28.8 	31.3 	32.0 	33.9 	35.5 	36.3 	36.7 	36.7 	37.5 
PC,Y25-64,F,SI	: 	7.9 	8.9 	14.7 b	17.6 	17.2 	16.5 b	16.3 	15.7 	16.6 	18.5 	18.3 	16.2 	14.6 	13.8 	13.3 	13.2 	14.1 
PC,Y25-64,F,SK	: 	: 	8.8 	3.9 b	4.8 	5.0 	4.6 b	4.6 	4.4 	3.7 	3.7 	4.6 b	3.7 	3.3 	3.2 	3.4 	3.2 	3.3 
PC,Y25-64,F,TR	: 	: 	: 	: 	: 	: 	1.7 	1.4 	1.8 	2.4 	2.8 	3.2 	3.8 	4.5 	5.5 b	5.3 	5.6 	5.6 
PC,Y25-64,F,UK	23.6 	24.4 	24.9 	31.1 u	33.1 bu	32.1 u	32.2 bu	23.9 b	23.9 b	24.1 	23.3 	18.2 	18.0 	18.3 	18.0 	17.5 	15.8 	15.8 
PC,Y25-64,M,AT	9.2 	8.7 	7.6 	8.6 	11.0 b	12.3 	12.4 b	11.7 	12.4 	12.9 	12.8 	12.3 	13.2 	12.8 	13.2 	13.3 	13.5 	14.2 
PC,Y25-64,M,BE	6.7 	6.9 	5.9 	7.0 	8.7 b	8.2 	7.7 b	7.2 	6.7 	6.6 	7.2 	7.0 	6.5 	6.7 	6.9 	6.5 	6.5 	8.1 b
PC,Y25-64,M,BG	: 	1.3 b	1.2 	1.1 b	1.2 	1.3 	1.6 b	1.7 	1.5 	1.4 	1.5 	1.5 	1.7 	1.9 	1.8 	1.9 	2.1 	2.2 
PC,Y25-64,M,CH	40.0 	42.4 	40.8 	25.3 b	29.7 	27.4 	21.7 	26.2 	27.6 	22.8 	30.6 b	30.0 	30.1 	30.0 	30.8 	31.5 	31.7 	31.9 
PC,Y25-64,M,CY	3.1 	3.4 	3.6 	7.1 b	9.0 	5.4 	6.8 b	8.5 	8.6 	8.4 b	7.9 	7.7 	7.4 	7.0 	6.7 	6.9 	6.7 	6.7 
PC,Y25-64,M,CZ	: 	: 	5.8 	4.8 b	5.5 	5.2 	5.6 b	5.8 	8.0 	6.9 	7.6 	11.4 b	10.8 	10.0 b	9.3 	8.3 	8.6 	9.6 
PC,Y25-64,M,DE	5.6 	5.7 	6.1 	6.4 b	7.8 	8.0 b	7.7 	8.0 	8.2 b	8.1 	7.9 b	7.9 	8.1 	7.9 	8.1 	8.2 	8.7 	8.7 
PC,Y25-64,M,DK	17.1 	16.1 	15.6 	21.0 b	22.1 	23.6 	24.6 	23.9 b	24.8 	25.3 	26.0 	25.6 	25.4 	25.7 	26.1 	25.3 	22.8 b	22.3 b
PC,Y25-64,M,EA18	5.4 	5.3 	5.2 	6.3 b	6.9 	7.6 	7.6 b	7.7 	7.9 	7.7 	7.7 	7.9 	8.1 	9.9 b	10.2 	10.1 	10.4 	10.5 
PC,Y25-64,M,EA19	5.4 	5.2 	5.2 	6.2 b	6.9 	7.6 	7.6 b	7.7 	7.8 	7.7 	7.6 	7.9 	8.1 	9.8 b	10.2 	10.0 	10.4 	10.5 
PC,Y25-64,M,EE	4.8 b	3.6 	3.5 	5.1 b	5.4 	4.5 	4.3 	4.5 	6.6 	7.5 b	8.6 	9.2 	10.7 	9.8 	9.2 	10.6 	12.9 	13.7 
PC,Y25-64,M,EL	1.0 	1.2 b	1.1 	2.6 b	1.8 b	2.0 	2.2 b	2.4 	3.0 b	3.5 b	3.4 	2.9 	3.5 	3.3 	3.4 	3.3 	4.0 	4.7 
PC,Y25-64,M,ES	4.1 	4.0 	4.0 	4.4 b	4.3 	9.8 b	9.6 b	9.6 	9.7 	9.8 	10.3 	10.3 	10.2 	10.5 	9.4 b	9.2 	8.6 	9.2 
PC,Y25-64,M,EU27	6.7 	6.6 	6.6 	7.9 b	8.5 	8.9 	8.8 b	8.6 	8.7 	8.6 	8.5 	8.4 	8.5 	9.8 b	10.0 	9.8 	9.9 	10.0 
PC,Y25-64,M,EU28	: 	: 	6.6 	7.8 b	8.5 	8.8 	8.7 b	8.5 	8.6 	8.6 	8.4 	8.3 	8.5 	9.7 b	9.9 	9.7 	9.8 	10.0 
PC,Y25-64,M,FI	15.5 b	14.7 	14.5 	18.6 b	19.2 	19.0 	19.3 	19.4 	19.3 	18.5 	18.9 	19.9 	20.7 	21.1 	21.6 	21.8 	22.6 	23.3 
PC,Y25-64,M,FR	2.6 	2.5 	2.4 	6.7 b	5.8 	5.6 	5.9 	5.6 	5.6 	5.2 	4.5 	5.1 	5.4 	15.5 b	16.0 b	15.9 	16.3 	16.2 
PC,Y25-64,M,HR	: 	: 	2.0 	1.8 u	1.8 u	2.0 b	3.3 b	2.5 	2.4 	3.2 	3.0 	2.9 	2.9 	3.0 	2.6 	2.7 	3.1 	2.1 
PC,Y25-64,M,HU	2.4 	2.2 b	2.6 	4.0 b	3.4 	3.2 	3.4 b	3.3 	2.9 	2.7 	2.9 	2.8 	2.7 	3.1 	3.0 	6.8 b	5.6 	5.9 
PC,Y25-64,M,IE	: 	: 	4.7 	5.1 	5.1 b	6.2 	6.0 b	6.5 b	6.2 	6.0 	6.7 	6.8 	7.1 	7.2 	6.2 	5.8 	5.9 	7.8 b
PC,Y25-64,M,IS	20.4 	19.0 	20.4 	25.0 bu	19.6 	21.6 	22.4 	22.4 	20.1 	20.4 b	21.3 	23.3 	24.2 	22.9 	21.9 	23.5 	21.3 	20.4 
PC,Y25-64,M,IT	4.8 	4.4 	4.2 	4.2 	5.9 b	5.4 	5.7 b	5.8 	6.0 	5.7 	5.9 	5.3 	6.1 	5.8 	7.8 	6.9 	7.8 	7.5 
PC,Y25-64,M,LT	1.9 	2.3 	1.9 bu	2.8 	4.3 b	4.3 	3.1 b	3.7 	3.7 	3.7 	3.5 	4.5 	4.5 	5.2 	4.6 	5.1 	5.1 	4.4 
PC,Y25-64,M,LU	5.7 	5.9 	8.9 	6.8 b	9.5 	8.5 	7.7 b	6.8 b	7.8 	13.8 b	12.9 	14.5 	14.3 	14.0 	13.9 	18.2 b	16.7 	16.9 
PC,Y25-64,M,LV	: 	: 	5.1 b	5.3 b	5.7 	4.8 	4.5 b	4.8 	4.4 	3.7 	3.6 	4.1 	6.2 	5.1 	4.9 	4.1 	6.1 	6.0 
PC,Y25-64,M,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.6 	2.7 	2.7 	3.1 	3.4 	3.7 	3.1 
PC,Y25-64,M,MK	: 	: 	: 	: 	: 	: 	2.4 	2.9 b	2.7 	3.5 	3.4 	3.6 	4.1 	3.9 	3.2 	2.7 	2.8 	2.4 
PC,Y25-64,M,MT	5.6 	5.8 	4.9 	4.7 	4.8 b	5.8 b	5.5 b	6.3 	6.5 	6.1 	5.9 	6.2 	6.8 	7.4 	7.3 	6.9 	7.0 	9.5 b
PC,Y25-64,M,NL	16.3 	16.5 	16.0 	16.1 b	16.1 	15.6 	15.6 b	16.5 	17.2 	16.9 	16.4 b	16.9 b	16.4 	17.4 b	18.0 	18.4 	18.0 	18.2 
PC,Y25-64,M,NO	12.8 u	13.8 u	12.6 u	16.2 b	16.3 	16.3 	17.5 b	17.4 	18.5 	17.1 	16.7 	17.5 	19.1 	19.2 	18.4 	18.3 	17.9 	18.3 
PC,Y25-64,M,PL	: 	3.7 	3.6 	3.9 b	4.3 b	4.3 	4.3 	4.7 	4.2 b	4.3 	4.7 b	3.9 	3.8 	3.8 b	3.6 	3.3 	3.4 	3.5 
PC,Y25-64,M,PT	3.2 b	2.9 	2.6 b	2.9 	4.0 b	4.0 	4.0 b	4.3 	4.9 	6.0 	5.7 	10.8 b	10.0 	9.3 	9.3 	9.7 	9.6 	9.6 
PC,Y25-64,M,RO	0.9 	1.1 	1.0 	1.1 b	1.5 	1.5 	1.5 b	1.4 	1.6 	1.6 	1.3 b	1.7 	1.5 	2.2 	1.7 	1.3 	1.2 	1.1 
PC,Y25-64,M,SE	19.2 u	15.4 b	15.7 	: 	: 	13.0 	13.5 	13.4 	16.3 b	16.3 	18.3 	18.7 	20.3 	21.5 	22.3 	22.3 	22.7 	23.7 
PC,Y25-64,M,SI	: 	6.7 	7.9 	12.0 b	14.8 	13.6 	13.9 b	13.9 	12.8 	13.1 	14.3 	13.8 	11.6 	10.5 	10.5 	10.7 	10.2 	10.0 
PC,Y25-64,M,SK	: 	: 	8.2 	3.5 b	3.8 	4.3 	4.0 b	3.7 	2.8 	2.5 	2.5 	3.5 b	2.8 	2.9 	3.0 	2.7 	2.6 	3.5 
PC,Y25-64,M,TR	: 	: 	: 	: 	: 	: 	2.4 	2.1 	2.4 	2.8 	3.1 	3.5 	4.0 	4.6 	5.8 b	5.6 	6.0 	6.1 
PC,Y25-64,M,UK	17.6 	17.6 	17.9 	23.4 u	24.9 bu	23.1 u	22.7 bu	17.1 b	17.1 b	17.2 	16.9 	14.4 	14.6 	15.0 	14.6 	13.9 	13.0 	12.9 
PC,Y25-64,T,AT	8.3 	8.2 	7.5 	8.6 	11.6 b	12.9 	13.2 b	12.9 	13.3 	13.9 	13.8 	13.5 	14.2 	14.1 	14.3 	14.4 	14.9 	15.8 
PC,Y25-64,T,BE	6.2 	6.4 	6.0 	7.0 	8.6 b	8.3 	7.8 b	7.4 	7.1 	7.1 	7.4 	7.4 	6.9 	6.9 	7.4 	6.9 	7.0 	8.5 b
PC,Y25-64,T,BG	: 	1.4 b	1.2 	1.3 b	1.3 	1.3 	1.6 b	1.6 	1.6 	1.6 	1.6 	1.6 	1.7 	2.0 	2.1 	2.0 	2.2 	2.3 
PC,Y25-64,T,CH	34.7 	37.3 	35.8 	24.7 b	28.6 	27.0 	22.5 	26.8 	27.9 	23.9 	29.7 b	28.9 	29.1 	29.3 	30.5 	30.8 	31.4 	31.2 
PC,Y25-64,T,CY	3.1 	3.4 	3.7 	7.9 b	9.3 	5.9 	7.4 b	8.7 	8.8 	8.3 b	8.1 	7.8 	7.7 	7.2 	7.1 	7.5 	6.9 	6.9 
PC,Y25-64,T,CZ	: 	: 	5.6 	5.1 b	5.8 	5.6 	5.8 b	6.0 	8.0 	7.1 	7.8 	11.6 b	11.1 	10.0 b	9.6 	8.5 	8.8 	9.8 
PC,Y25-64,T,DE	5.2 	5.2 	5.8 	6.0 b	7.4 	7.7 b	7.5 	7.8 	8.1 b	8.0 	7.8 b	7.9 	7.9 	7.9 	8.0 	8.1 	8.5 	8.4 
PC,Y25-64,T,DK	19.4 	18.4 	18.0 	24.2 b	25.6 	27.4 	29.2 	29.1 b	30.0 	31.3 	32.6 	32.3 	31.6 	31.4 	31.9 	31.3 	27.7 b	26.8 b
PC,Y25-64,T,EA18	5.4 	5.3 	5.4 	6.4 b	7.1 	7.9 	8.0 b	8.2 	8.3 	8.2 	8.1 	8.3 	8.5 	10.7 b	11.0 	10.9 	11.2 	11.4 
PC,Y25-64,T,EA19	5.3 	5.3 	5.4 	6.4 b	7.1 	7.9 	8.0 b	8.1 	8.2 	8.1 	8.1 	8.3 	8.5 	10.6 b	10.9 	10.9 	11.2 	11.3 
PC,Y25-64,T,EE	6.6 b	5.4 	5.3 	6.8 b	6.6 	6.0 	6.5 	7.0 	9.7 	10.5 b	11.0 	11.9 	12.8 	12.6 	11.6 	12.4 	15.7 	17.2 
PC,Y25-64,T,EL	1.0 	1.2 b	1.1 	2.7 b	1.8 b	1.9 	2.1 b	2.4 	3.2 b	3.5 b	3.3 	2.8 	3.3 	3.2 	3.2 	3.3 	4.0 	4.5 
PC,Y25-64,T,ES	4.5 	4.4 	4.5 	4.8 b	4.8 	10.8 b	10.7 b	10.8 	10.7 	10.8 	11.2 	11.2 	11.2 	11.4 	10.1 b	9.9 	9.4 	9.9 
PC,Y25-64,T,EU27	7.1 	7.1 	7.2 	8.5 b	9.2 	9.6 	9.7 b	9.5 	9.6 	9.5 	9.4 	9.1 	9.3 	10.7 b	10.9 	10.8 	10.8 	11.0 
PC,Y25-64,T,EU28	: 	: 	7.1 	8.4 b	9.1 	9.6 	9.6 b	9.4 	9.5 	9.5 	9.3 	9.1 	9.2 	10.7 b	10.8 	10.7 	10.8 	10.9 
PC,Y25-64,T,FI	17.5 b	17.2 	17.3 	22.4 b	22.8 	22.5 	23.1 	23.4 	23.1 	22.1 	23.0 	23.8 	24.5 	24.9 	25.1 	25.4 	26.4 	27.4 
PC,Y25-64,T,FR	2.8 	2.7 	2.7 	6.8 b	6.0 	5.9 	6.4 	6.1 	6.0 	5.7 	5.0 	5.5 	5.7 	17.8 b	18.4 b	18.6 	18.8 	18.7 
PC,Y25-64,T,HR	: 	: 	1.9 	1.8 	1.9 	2.1 b	3.1 b	2.9 	2.6 	3.0 	3.0 	3.1 	3.3 	3.1 	2.8 	3.1 	3.0 	2.3 
PC,Y25-64,T,HU	2.9 	2.7 b	2.9 	4.5 b	4.0 	3.9 	4.0 b	3.9 	3.4 	3.0 	3.0 	3.0 	2.9 	3.2 	3.3 	7.1 b	6.3 	6.2 
PC,Y25-64,T,IE	: 	: 	5.5 	5.9 	6.1 b	7.4 	7.4 b	7.8 b	7.2 	6.6 	7.1 	7.2 	7.4 	7.5 	6.8 	6.3 	6.2 	8.9 b
PC,Y25-64,T,IS	23.5 	23.5 	24.0 	29.5 bu	24.2 	25.7 	27.9 	27.0 	25.1 	25.1 b	25.4 	26.4 	28.1 	26.3 	26.3 	28.1 	24.7 	23.6 
PC,Y25-64,T,IT	4.8 	4.5 	4.4 	4.5 	6.3 b	5.8 	6.1 b	6.2 	6.3 	6.0 	6.2 	5.7 	6.6 	6.2 	8.1 	7.3 	8.3 	7.9 
PC,Y25-64,T,LT	2.8 	3.5 	3.0 b	3.8 	6.0 b	6.1 	5.0 b	5.5 	4.9 	4.6 	4.4 	6.0 	5.4 	5.9 	5.1 	5.8 	6.0 	5.9 
PC,Y25-64,T,LU	4.8 	5.3 	7.7 	6.5 b	9.8 	8.5 	8.3 b	7.2 b	8.7 	13.8 b	13.5 	13.9 	14.2 	14.6 	14.5 	18.0 b	16.8 	17.2 
PC,Y25-64,T,LV	: 	: 	7.3 b	7.7 b	8.4 	7.8 	7.3 b	7.2 	6.9 	5.6 	5.4 	5.4 	7.2 	6.8 	5.6 	5.7 	7.3 	7.5 
PC,Y25-64,T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.4 	2.4 	2.8 	2.9 	3.0 	3.3 	2.8 
PC,Y25-64,T,MK	: 	: 	: 	: 	: 	: 	2.3 	3.0 b	2.8 	3.5 	3.5 	3.6 	4.1 	3.7 	3.2 	2.6 	2.9 	2.3 
PC,Y25-64,T,MT	4.5 	4.6 	4.4 	4.2 	4.3 b	5.2 b	5.5 b	5.9 	6.3 	6.2 	6.2 	6.6 	7.2 	7.7 	7.7 	7.4 	7.8 	10.6 b
PC,Y25-64,T,NL	15.5 	15.9 	15.8 	16.4 b	16.4 	15.9 	15.9 b	17.0 	17.4 	17.4 	17.0 b	17.1 b	16.9 	17.9 b	18.3 	18.9 	18.8 	19.1 
PC,Y25-64,T,NO	13.3 u	14.2 u	13.3 u	17.1 b	17.4 	17.8 	19.1 b	18.4 	19.7 	18.5 	18.2 	18.6 	20.4 	20.8 	20.1 	20.1 	19.6 	19.9 
PC,Y25-64,T,PL	: 	4.3 	4.2 	4.4 b	5.0 b	4.9 	4.7 	5.1 	4.7 b	4.7 	5.2 b	4.4 	4.5 	4.3 b	4.0 	3.5 	3.7 	4.0 
PC,Y25-64,T,PT	3.3 b	3.2 	2.8 b	3.2 	4.2 b	4.1 	4.2 b	4.4 	5.3 	6.4 	5.7 	11.5 b	10.5 	9.7 	9.6 	9.7 	9.6 	9.8 
PC,Y25-64,T,RO	0.9 	1.0 	1.0 	1.1 b	1.5 	1.6 	1.5 b	1.5 	1.8 	1.8 	1.4 b	1.6 	1.4 	2.0 	1.5 	1.3 	1.2 	1.1 
PC,Y25-64,T,SE	21.6 u	17.5 b	18.4 	: 	: 	17.4 	18.8 	19.0 	22.5 b	22.5 	24.7 	25.3 	27.0 	28.4 	29.2 	29.4 	29.6 	30.4 
PC,Y25-64,T,SI	: 	7.3 	8.4 	13.3 b	16.2 	15.3 	15.2 b	15.1 	14.3 	14.8 	16.4 	16.0 	13.8 	12.5 	12.1 	11.9 	11.6 	12.0 
PC,Y25-64,T,SK	: 	: 	8.5 	3.7 b	4.3 	4.6 	4.3 b	4.1 	3.6 	3.1 	3.1 	4.1 b	3.2 	3.1 	3.1 	3.1 	2.9 	3.4 
PC,Y25-64,T,TR	: 	: 	: 	: 	: 	: 	2.0 	1.8 	2.1 	2.6 	2.9 	3.4 	3.9 	4.5 	5.7 b	5.5 	5.8 	5.8 
PC,Y25-64,T,UK	20.5 	20.9 	21.3 	27.2 u	29.0 bu	27.6 u	27.4 bu	20.5 b	20.5 b	20.7 	20.1 	16.3 	16.3 	16.6 	16.3 	15.7 	14.4 	14.3 
