unit,s_adj,na_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
CLV_PCH_PRE,SCA,P311_S14,SI	6.2 	1.4 	4.4 	1.3 	1.2 	4.3 	6.2 	1.5 	-0.8 	4.8 	1.3 	4.4 
CLV_PCH_PRE,SCA,P311_S14,UK	2.2 	2.2 	4.4 	2.3 	1.8 	0.9 	3.3 	-3.8 	3.3 	1.6 	0.2 	0.8 
CLV_PCH_PRE,SCA,P312_S14,CZ	0.5 	3.2 	0.4 	-0.2 	2.7 	1.1 	4.6 	2.4 	1.6 	1.7 	0.8 	2.1 
CLV_PCH_PRE,SCA,P312_S14,DE	-0.7 	1.0 	2.9 	1.0 	-2.2 	3.5 	2.8 	-0.8 	0.7 	-0.1 	0.2 	1.4 
CLV_PCH_PRE,SCA,P312_S14,DK	0.9 	1.8 	1.5 	1.1 	-1.7 	1.8 	-0.7 	0.4 	1.3 	-0.1 	-0.5 	1.8 
CLV_PCH_PRE,SCA,P312_S14,EE	2.0 	-1.4 	3.2 	1.2 	-1.7 	2.7 	1.6 	-0.2 	3.8 	-0.2 	-0.5 	3.0 
CLV_PCH_PRE,SCA,P312_S14,FI	-0.2 	1.0 	0.3 	0.4 	0.7 	-0.2 	0.4 	1.4 	1.1 	1.4 	1.0 	1.1 
CLV_PCH_PRE,SCA,P312_S14,FR	-0.2 	-1.5 	0.9 	-0.2 	-1.6 	2.1 	1.3 	-0.8 	1.4 	-0.4 	-0.1 	0.7 
CLV_PCH_PRE,SCA,P312_S14,IE	1.8 	0.5 	-0.1 	-0.3 	0.7 	0.5 	7.5 	1.3 	1.7 	1.1 	-1.4 	2.3 
CLV_PCH_PRE,SCA,P312_S14,IT	1.0 	1.6 	-1.7 	1.2 	0.1 	-0.1 	0.8 	-0.1 	0.5 	-0.2 	2.7 	-1.1 
CLV_PCH_PRE,SCA,P312_S14,LU	-0.1 	0.4 	-3.5 	2.0 	-1.0 	2.8 	-3.3 	1.2 	0.5 	-0.4 	3.3 	0.5 
CLV_PCH_PRE,SCA,P312_S14,LV	1.1 	-0.6 	1.4 	0.2 	0.3 	1.3 	1.5 	0.6 	3.0 	0.7 	1.3 	0.7 
CLV_PCH_PRE,SCA,P312_S14,MT	5.8 	-1.6 	-1.1 	-1.8 	0.9 	3.0 	2.1 	4.7 	1.6 	1.3 	1.8 	-1.3 
CLV_PCH_PRE,SCA,P312_S14,NL	1.1 	-2.7 	1.2 p	2.1 p	-2.0 p	2.6 p	1.7 p	1.8 p	0.6 p	-2.7 p	1.3 p	2.9 p
CLV_PCH_PRE,SCA,P312_S14,NO	-1.5 	-0.7 	1.3 	-0.7 	-0.6 	2.2 	-1.1 	1.1 	1.6 	-0.8 	1.0 	2.4 
CLV_PCH_PRE,SCA,P312_S14,SE	0.9 	0.6 	1.7 	-0.5 	0.4 	1.3 	0.4 	0.0 	1.1 	0.2 	-0.9 	1.7 
CLV_PCH_PRE,SCA,P312_S14,UK	1.7 	1.6 	-1.0 	0.2 	1.1 	1.0 	2.1 	1.3 	0.6 	0.5 	-0.3 	0.6 
CLV_PCH_PRE,SCA,P313_S14,CZ	0.7 	1.5 	0.5 	-0.1 	1.0 	1.0 	0.3 	1.5 	0.5 	0.8 	1.4 	0.1 
CLV_PCH_PRE,SCA,P313_S14,DE	0.5 	-0.2 	0.8 	-0.8 	0.9 	0.7 	0.2 	1.7 	-0.9 	0.2 	0.6 	-0.3 
CLV_PCH_PRE,SCA,P313_S14,DK	1.0 	-1.3 	0.9 	-1.1 	0.4 	2.3 	-1.2 	0.6 	-1.5 	0.9 	1.4 	0.0 
CLV_PCH_PRE,SCA,P313_S14,EE	0.6 	0.5 	1.0 	0.0 	0.3 	-0.1 	-1.3 	0.7 	-0.4 	0.3 	1.0 	0.8 
CLV_PCH_PRE,SCA,P313_S14,FI	0.6 	0.2 	1.0 	-0.6 	-0.2 	0.2 	-0.3 	0.2 	-0.3 	0.0 	0.8 	-0.3 
CLV_PCH_PRE,SCA,P313_S14,FR	0.3 	-0.4 	0.7 	0.2 	-0.1 	0.7 	-0.8 	0.7 	0.1 	-0.1 	0.1 	-1.0 
CLV_PCH_PRE,SCA,P313_S14,IE	0.9 	0.2 	3.1 	-0.1 	-0.1 	0.6 	-4.0 	0.3 	1.3 	0.8 	0.1 	1.6 
CLV_PCH_PRE,SCA,P313_S14,IT	0.5 	-0.2 	0.0 	-0.1 	0.0 	0.1 	0.6 	-0.2 	0.0 	0.0 	0.0 	0.0 
CLV_PCH_PRE,SCA,P313_S14,LU	-0.8 	-0.1 	1.9 	0.9 	-1.2 	2.2 	-1.8 	0.3 	0.7 	-1.2 	2.4 	-0.5 
CLV_PCH_PRE,SCA,P313_S14,LV	0.7 	-0.9 	0.8 	0.1 	0.1 	1.4 	1.6 	1.1 	2.7 	1.0 	1.2 	0.9 
CLV_PCH_PRE,SCA,P313_S14,MT	2.0 	-3.8 	1.1 	0.6 	-0.2 	3.0 	1.4 	-2.3 	2.4 	-1.2 	1.1 	0.6 
CLV_PCH_PRE,SCA,P313_S14,NL	-2.4 	0.2 	1.2 p	-0.8 p	2.1 p	0.1 p	-1.7 p	2.1 p	1.0 p	-1.2 p	2.0 p	-0.3 p
CLV_PCH_PRE,SCA,P313_S14,NO	0.6 	-0.4 	0.6 	-0.9 	0.0 	-0.1 	0.9 	0.3 	0.3 	0.7 	0.2 	0.0 
CLV_PCH_PRE,SCA,P313_S14,SE	0.8 	0.0 	1.6 	-0.8 	0.5 	0.6 	-1.2 	1.8 	-0.8 	1.2 	1.7 	-1.2 
CLV_PCH_PRE,SCA,P313_S14,UK	0.7 	-1.3 	2.2 	0.1 	0.0 	1.2 	-0.3 	1.1 	0.5 	0.7 	0.1 	-0.5 
CLV_PCH_PRE,SCA,P314_S14,CZ	0.5 	0.4 	0.9 	0.5 	1.0 	0.7 	0.7 	1.0 	0.5 	0.9 	1.0 	0.9 
CLV_PCH_PRE,SCA,P314_S14,DE	0.7 	0.3 	0.0 	0.8 	0.1 	0.3 	0.6 	0.2 	0.2 	0.1 	0.5 	0.6 
CLV_PCH_PRE,SCA,P314_S14,DK	0.7 	0.5 	0.4 	0.8 	0.8 	0.8 	0.5 	-0.1 	-0.4 	0.4 	0.5 	0.6 
CLV_PCH_PRE,SCA,P314_S14,EE	-0.1 	0.9 	1.5 	-0.2 	1.0 	0.9 	0.5 	1.3 	1.2 	0.5 	0.6 	1.4 
CLV_PCH_PRE,SCA,P314_S14,FI	0.6 	0.1 	0.2 	1.0 	0.4 	0.3 	0.9 	-0.4 	0.5 	0.8 	0.1 	0.7 
CLV_PCH_PRE,SCA,P314_S14,FR	0.2 	0.3 	0.7 	0.2 	0.5 	0.5 	0.6 	0.3 	0.5 	0.4 	0.4 	0.1 
CLV_PCH_PRE,SCA,P314_S14,IE	0.9 	0.0 	2.1 	-0.2 	0.1 	0.2 	1.8 	0.6 	1.3 	1.0 	-0.3 	1.4 
CLV_PCH_PRE,SCA,P314_S14,IT	0.4 	0.6 	0.1 	0.0 	0.5 	0.4 	0.7 	0.4 	0.3 	0.3 	0.0 	0.3 
CLV_PCH_PRE,SCA,P314_S14,LU	0.0 	1.3 	1.5 	2.5 	-0.7 	3.7 	0.3 	1.7 	1.0 	0.5 	0.8 	0.9 
CLV_PCH_PRE,SCA,P314_S14,LV	1.2 	-0.9 	1.0 	-0.2 	-0.5 	1.2 	0.4 	0.6 	1.4 	0.6 	0.8 	0.8 
CLV_PCH_PRE,SCA,P314_S14,MT	2.3 	0.9 	-0.1 	0.0 	0.8 	2.9 	3.2 	1.2 	0.8 	3.0 	3.0 	2.7 
CLV_PCH_PRE,SCA,P314_S14,NL	0.6 	0.4 	0.7 p	-0.3 p	1.0 p	0.2 p	0.6 p	0.5 p	0.5 p	0.4 p	1.1 p	0.7 p
CLV_PCH_PRE,SCA,P314_S14,NO	0.8 	0.7 	0.7 	-0.1 	0.6 	0.6 	0.9 	0.8 	0.6 	0.5 	0.4 	0.7 
CLV_PCH_PRE,SCA,P314_S14,SE	0.9 	0.8 	0.6 	1.0 	0.8 	0.6 	1.0 	0.3 	0.6 	0.8 	0.5 	1.0 
CLV_PCH_PRE,SCA,P314_S14,UK	0.7 	0.4 	0.4 	0.8 	1.3 	-0.2 	0.4 	0.5 	0.1 	-0.2 	0.6 	0.6 
CLV_PCH_PRE,SCA,P31_S14,AT	-0.1 	0.3 	0.2 	0.8 	0.5 	0.5 	0.2 	0.4 	0.6 	0.3 	0.8 	0.5 
CLV_PCH_PRE,SCA,P31_S14,BE	0.3 	0.1 	0.5 	0.7 	0.3 	0.1 	0.4 	0.5 	0.2 	-0.1 	0.5 	-0.1 
CLV_PCH_PRE,SCA,P31_S14,BG	1.7 	0.5 	1.4 	-0.4 	1.7 	2.1 	1.0 	0.3 	0.7 	1.1 	0.6 p	2.2 p
CLV_PCH_PRE,SCA,P31_S14,CZ	0.7 	1.2 	0.9 	0.1 	1.3 	0.8 	1.1 	1.5 	0.8 	0.8 	1.3 	0.6 
CLV_PCH_PRE,SCA,P31_S14,DE	0.6 	0.3 	0.8 	0.2 	0.3 	0.7 	0.8 	0.6 	0.1 	0.2 	0.6 	0.2 
CLV_PCH_PRE,SCA,P31_S14,DK	1.1 	0.2 	0.6 	0.5 	0.2 	1.3 	0.1 	0.5 	-1.1 	1.5 	0.9 	0.4 
CLV_PCH_PRE,SCA,P31_S14,EE	0.7 	0.4 	1.6 	0.1 	0.5 	0.8 	-0.1 	1.0 	0.8 	0.5 	0.8 	1.2 
CLV_PCH_PRE,SCA,P31_S14,EL	-1.7 p	0.0 p	-0.5 p	-0.1 p	0.6 p	0.8 p	-0.1 p	0.2 p	0.6 p	-0.3 p	0.8 p	0.5 p
CLV_PCH_PRE,SCA,P31_S14,ES	1.3 	0.5 	0.7 p	0.8 p	0.7 p	0.6 p	0.5 p	0.9 p	0.9 p	0.2 p	1.0 p	0.1 p
CLV_PCH_PRE,SCA,P31_S14,FI	0.8 	0.7 	0.0 	1.1 	-0.2 	0.2 	0.9 	-0.4 	0.7 	0.7 	0.6 	0.5 
CLV_PCH_PRE,SCA,P31_S14,FR	0.4 	0.0 	0.9 	0.3 	-0.2 	0.9 	0.2 	0.5 	0.5 	0.2 	0.2 	-0.1 
CLV_PCH_PRE,SCA,P31_S14,IE	1.1 	0.0 	2.5 	0.3 	0.1 	0.1 	0.7 	0.2 	1.6 	0.8 	-0.2 	1.6 
CLV_PCH_PRE,SCA,P31_S14,IT	0.6 	0.4 	0.0 	0.2 	0.3 	0.4 	0.8 	0.1 	0.4 	0.1 	0.3 	0.1 
CLV_PCH_PRE,SCA,P31_S14,LT	1.3 	0.7 	1.0 	1.7 	1.3 	1.0 	1.0 	0.5 	0.1 	1.2 	1.6 	1.8 
CLV_PCH_PRE,SCA,P31_S14,LU	-0.3 	0.7 	0.2 	1.8 	-0.9 	3.0 	-0.5 	1.0 	0.8 	-0.3 	2.0 	0.2 
CLV_PCH_PRE,SCA,P31_S14,LV	1.0 	-0.8 	0.8 	0.0 	-0.2 	1.3 	1.1 	1.0 	1.8 	1.0 	1.2 	1.1 
CLV_PCH_PRE,SCA,P31_S14,MT	2.7 	-0.2 	-0.7 	0.2 	0.6 	2.9 	2.2 	0.7 	0.9 	1.0 	2.6 	1.8 
CLV_PCH_PRE,SCA,P31_S14,NL	0.0 	0.1 	0.5 p	0.0 p	1.1 p	0.4 p	0.2 p	1.3 p	0.8 p	-0.8 p	2.2 p	0.7 p
CLV_PCH_PRE,SCA,P31_S14,NO	0.6 	0.2 	1.2 	-0.8 	0.3 	0.7 	0.8 	0.7 	0.6 	0.7 	-0.1 	1.1 
CLV_PCH_PRE,SCA,P31_S14,PL	0.3 	0.8 	1.2 	0.9 	1.5 	1.1 	1.2 	1.1 	1.2 	1.1 	1.1 	1.3 
CLV_PCH_PRE,SCA,P31_S14,PT	0.0 	0.1 	1.8 	0.1 	0.7 	1.5 	0.9 	0.2 	0.8 	1.4 	0.7 	0.5 
CLV_PCH_PRE,SCA,P31_S14,SE	1.2 	0.8 	1.2 	0.3 	0.6 	0.8 	0.4 	0.5 	0.2 	0.9 	0.7 	1.0 
CLV_PCH_PRE,SCA,P31_S14,SI	0.7 	0.1 	1.7 	1.1 	0.8 	0.7 	0.2 	0.8 	0.7 	1.0 	0.2 	0.2 
CLV_PCH_PRE,SCA,P31_S14,UK	1.0 	0.3 	1.0 	0.7 	1.1 	0.4 	0.7 	0.3 	0.5 	0.3 	0.4 	0.4 
