hhtyp,incgrp,unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,TOTAL,PC,TOTAL,M,CH	: 	2.0 	0.0 n	0.1 	0.1 	0.1 	0.1 	0.0 	0.3 b	0.1 	0.0 n	: 
TOTAL,TOTAL,PC,TOTAL,M,CY	1.6 	1.3 	0.8 b	0.6 	1.2 	1.1 	0.9 	0.9 	0.9 	0.7 	0.6 	0.5 
TOTAL,TOTAL,PC,TOTAL,M,CZ	1.1 	0.9 	0.7 	0.6 	0.5 	0.5 	0.6 	0.5 	0.3 	0.3 	0.3 	0.3 
TOTAL,TOTAL,PC,TOTAL,M,DE	0.4 	0.6 	0.4 	0.4 	0.6 	0.1 	0.1 	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n
TOTAL,TOTAL,PC,TOTAL,M,DK	0.7 	1.0 	0.6 	0.7 	0.9 	2.4 	2.4 	2.2 	2.4 	2.1 	2.4 	2.3 
TOTAL,TOTAL,PC,TOTAL,M,EA18	0.9 e	0.9 	0.8 	0.7 	0.7 	0.6 	0.5 e	0.5 	0.5 	0.4 	0.5 	0.5 e
TOTAL,TOTAL,PC,TOTAL,M,EA19	1.2 e	1.1 	0.9 	0.8 	0.8 	0.8 	0.7 e	0.6 	0.6 	0.6 	0.6 	0.6 e
TOTAL,TOTAL,PC,TOTAL,M,EE	19.6 	18.5 	14.9 	13.4 	12.6 	10.9 	9.8 	9.5 	8.5 b	7.6 	8.1 	7.5 
TOTAL,TOTAL,PC,TOTAL,M,EL	1.3 	1.2 	1.6 	1.1 	0.8 	1.3 	0.7 	1.0 	0.7 	0.4 	0.4 	0.5 
TOTAL,TOTAL,PC,TOTAL,M,ES	0.5 	0.4 	0.1 	0.0 n	0.0 n	0.0 n	0.1 	0.1 	0.2 	0.1 	0.4 	0.1 
TOTAL,TOTAL,PC,TOTAL,M,EU27	: 	3.6 	3.4 	3.1 	2.9 	2.8 	2.7 e	2.5 	2.4 	2.3 	2.2 	2.3 e
TOTAL,TOTAL,PC,TOTAL,M,EU28	: 	: 	: 	: 	2.9 	2.8 	2.7 e	2.5 	2.4 	2.3 	2.2 	2.3 e
TOTAL,TOTAL,PC,TOTAL,M,FI	1.7 	1.5 	1.7 	1.1 	1.0 	1.0 	0.9 	0.8 	0.8 	0.9 	0.9 	0.7 
TOTAL,TOTAL,PC,TOTAL,M,FR	0.9 	1.0 	0.9 	0.7 	0.6 	0.6 	0.5 	0.6 	0.6 	0.6 	0.6 	0.7 
TOTAL,TOTAL,PC,TOTAL,M,HR	: 	: 	: 	: 	0.5 	1.6 	2.3 b	2.0 	2.1 	2.0 	2.0 	: 
TOTAL,TOTAL,PC,TOTAL,M,HU	4.4 	4.6 	4.2 	4.4 	4.4 	4.5 	4.8 	4.7 	4.8 	4.1 	4.6 	3.8 
TOTAL,TOTAL,PC,TOTAL,M,IE	0.6 	0.8 	0.9 	0.7 	0.9 	5.5 	2.5 	1.6 	0.4 	0.3 	0.4 	: 
TOTAL,TOTAL,PC,TOTAL,M,IS	0.0 	0.0 n	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.4 p	: 
TOTAL,TOTAL,PC,TOTAL,M,IT	0.3 	0.3 	0.2 	0.4 	0.4 	0.5 	0.6 	0.5 	0.4 	0.4 	0.4 	0.7 
TOTAL,TOTAL,PC,TOTAL,M,LT	22.7 	17.9 	18.8 	16.7 	15.2 	16.6 	15.5 	13.1 	12.4 	12.8 	14.5 	12.8 
TOTAL,TOTAL,PC,TOTAL,M,LU	0.5 	0.5 	0.4 	0.3 	0.5 	0.2 	0.2 	0.2 	0.2 	0.2 	1.0 b	0.5 
TOTAL,TOTAL,PC,TOTAL,M,LV	20.4 	24.0 	19.9 	19.8 	20.7 	19.5 	19.2 	17.6 	16.9 	15.8 	15.2 	13.2 
TOTAL,TOTAL,PC,TOTAL,M,MK	: 	: 	: 	: 	11.0 	9.2 	7.8 	6.5 	7.2 	4.0 	4.0 	: 
TOTAL,TOTAL,PC,TOTAL,M,MT	0.7 	0.6 	0.3 	0.2 	0.4 	0.3 	0.3 	0.3 	0.3 	0.2 	0.1 	0.0 n
TOTAL,TOTAL,PC,TOTAL,M,NL	: 	0.2 	0.0 n	0.0 n	0.0 n	0.0 n	0.1 	0.0 n	0.0 n	0.1 	0.1 b	0.1 
TOTAL,TOTAL,PC,TOTAL,M,NO	0.2 	0.2 	0.1 	0.1 	0.1 	0.3 	0.2 	0.4 	0.2 	0.3 	0.5 	0.4 
TOTAL,TOTAL,PC,TOTAL,M,PL	8.1 	7.2 	6.3 	5.7 	4.5 	4.6 	4.4 	3.8 	3.8 	3.5 	3.0 	3.2 
TOTAL,TOTAL,PC,TOTAL,M,PT	3.7 	3.4 	3.1 	2.6 	1.8 	1.3 	1.1 	1.1 	1.3 	1.5 	1.3 	1.2 
TOTAL,TOTAL,PC,TOTAL,M,RO	: 	42.8 	42.5 	41.3 	39.4 	37.3 	35.8 	34.9 	33.2 	31.2 	31.0 	28.3 
TOTAL,TOTAL,PC,TOTAL,M,RS	: 	: 	: 	: 	: 	: 	: 	4.5 	3.9 	3.7 	3.4 	: 
TOTAL,TOTAL,PC,TOTAL,M,SE	0.2 	0.6 	0.6 b	0.6 	0.5 	0.6 	0.5 	0.7 	0.5 	0.9 	0.2 	0.1 
TOTAL,TOTAL,PC,TOTAL,M,SI	1.2 	1.1 	1.0 	0.7 	0.6 	0.7 	0.6 	0.7 	0.8 	0.5 	0.4 	0.3 
TOTAL,TOTAL,PC,TOTAL,M,SK	1.2 	1.2 	0.1 b	0.3 	0.3 	0.3 	0.3 	0.2 	0.7 	0.8 	0.8 	1.0 
TOTAL,TOTAL,PC,TOTAL,M,TR	6.9 	5.7 	5.5 	5.1 	: 	3.1 	2.8 	2.6 	2.2 	2.0 	: 	: 
TOTAL,TOTAL,PC,TOTAL,M,UK	0.3 	0.1 	0.2 	0.2 	0.3 	0.2 	0.5 b	0.4 	0.5 	0.6 	0.7 	: 
TOTAL,TOTAL,PC,TOTAL,T,AT	0.9 	1.0 	0.7 b	0.7 	0.6 	0.5 	0.5 	0.2 	0.3 	0.5 	0.2 	0.3 
TOTAL,TOTAL,PC,TOTAL,T,BE	1.0 	1.0 	0.8 	0.9 	0.3 	0.9 	0.8 	0.7 	0.7 	0.7 	0.5 	0.4 
TOTAL,TOTAL,PC,TOTAL,T,BG	21.5 	20.0 	18.5 	15.6 	15.4 	15.2 	13.9 	13.8 	12.5 	11.6 	11.2 b	10.4 
TOTAL,TOTAL,PC,TOTAL,T,CH	: 	2.2 	0.1 	0.1 	0.2 	0.1 	0.1 	0.0 n	0.2 b	0.1 	0.0 n	: 
TOTAL,TOTAL,PC,TOTAL,T,CY	1.7 	1.4 	1.1 b	0.8 	1.1 	1.1 	0.9 	1.0 	1.0 	0.9 	0.7 	0.6 
TOTAL,TOTAL,PC,TOTAL,T,CZ	1.0 	0.8 	0.7 	0.5 	0.5 	0.5 	0.6 	0.5 	0.3 	0.3 	0.3 	0.3 
TOTAL,TOTAL,PC,TOTAL,T,DE	0.4 	0.6 	0.4 	0.3 	0.5 	0.1 	0.1 	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n
TOTAL,TOTAL,PC,TOTAL,T,DK	0.7 	0.8 	0.7 	0.7 	0.8 	2.4 	2.4 	2.0 	2.2 	2.2 	2.4 	2.0 
TOTAL,TOTAL,PC,TOTAL,T,EA18	0.9 e	0.9 	0.7 	0.6 	0.6 	0.6 	0.5 e	0.5 	0.5 	0.4 	0.5 	0.5 e
TOTAL,TOTAL,PC,TOTAL,T,EA19	1.2 e	1.1 	0.9 	0.8 	0.8 	0.8 	0.6 e	0.6 	0.6 	0.5 	0.6 	0.6 e
TOTAL,TOTAL,PC,TOTAL,T,EE	18.5 	17.7 	14.2 	12.8 	11.9 	10.5 	9.5 	9.2 	8.2 b	7.3 	7.5 	7.0 
TOTAL,TOTAL,PC,TOTAL,T,EL	1.4 	1.2 	1.6 	1.1 	0.9 	1.3 	0.7 	0.9 	0.7 	0.5 	0.4 	0.5 
TOTAL,TOTAL,PC,TOTAL,T,ES	0.4 	0.4 	0.1 	0.0 n	0.0 n	0.0 n	0.1 	0.1 	0.1 	0.1 	0.3 	0.1 
TOTAL,TOTAL,PC,TOTAL,T,EU27	: 	3.6 	3.3 	3.0 	2.9 	2.8 	2.6 e	2.5 	2.3 	2.2 	2.2 	2.3 e
TOTAL,TOTAL,PC,TOTAL,T,EU28	: 	: 	: 	: 	2.8 	2.7 	2.6 e	2.5 	2.3 	2.2 	2.2 	2.2 e
TOTAL,TOTAL,PC,TOTAL,T,FI	1.5 	1.3 	1.5 	1.0 	0.8 	0.8 	0.7 	0.7 	0.7 	0.8 	0.7 	0.5 
TOTAL,TOTAL,PC,TOTAL,T,FR	0.8 	0.8 	0.8 	0.6 	0.6 	0.6 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 
TOTAL,TOTAL,PC,TOTAL,T,HR	: 	: 	: 	: 	0.5 	1.5 	2.2 b	1.8 	1.9 	1.7 	1.6 	: 
TOTAL,TOTAL,PC,TOTAL,T,HU	4.4 	4.5 	4.1 	4.2 	4.4 	4.3 	4.4 	4.3 	4.3 	3.7 	4.1 	3.5 
TOTAL,TOTAL,PC,TOTAL,T,IE	0.4 	0.7 	0.7 	0.6 	0.9 	5.5 	2.8 	1.6 	0.3 	0.2 	0.3 	: 
TOTAL,TOTAL,PC,TOTAL,T,IS	0.0 n	0.0 n	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.2 p	: 
TOTAL,TOTAL,PC,TOTAL,T,IT	0.4 	0.3 	0.2 	0.4 	0.4 	0.5 	0.5 	0.6 	0.4 	0.4 	0.4 	0.6 
TOTAL,TOTAL,PC,TOTAL,T,LT	22.2 	18.3 	18.9 	16.4 	15.4 	16.1 	14.8 	12.9 	12.0 	11.5 	13.0 	11.5 
TOTAL,TOTAL,PC,TOTAL,T,LU	0.4 	0.3 	0.3 	0.2 	0.3 	0.2 	0.1 	0.3 	0.2 	0.1 	1.1 b	0.5 
TOTAL,TOTAL,PC,TOTAL,T,LV	20.1 	23.4 	19.6 	18.8 	19.2 	18.4 	18.5 	17.0 	16.2 	15.3 	14.2 	12.2 
TOTAL,TOTAL,PC,TOTAL,T,MK	: 	: 	: 	: 	10.9 	9.0 	7.6 	6.3 	7.2 	4.2 	3.8 	: 
TOTAL,TOTAL,PC,TOTAL,T,MT	0.7 	0.5 	0.3 	0.2 	0.3 	0.3 	0.3 	0.3 	0.3 	0.2 	0.1 	0.1 
TOTAL,TOTAL,PC,TOTAL,T,NL	: 	0.3 	0.0 n	0.0 n	0.0 n	0.0 n	0.1 	0.0 n	0.0 n	0.1 	0.1 b	0.1 
TOTAL,TOTAL,PC,TOTAL,T,NO	0.2 	0.1 	0.1 	0.1 	0.1 	0.4 	0.2 	0.4 	0.2 	0.3 	0.4 	0.4 
TOTAL,TOTAL,PC,TOTAL,T,PL	8.0 	7.1 	6.2 	5.6 	4.6 	4.5 	4.2 	3.7 	3.7 	3.3 	2.9 	2.9 
TOTAL,TOTAL,PC,TOTAL,T,PT	3.8 	3.6 	3.2 	2.7 	1.9 	1.3 	1.1 	1.1 	1.3 	1.5 	1.3 	1.2 
TOTAL,TOTAL,PC,TOTAL,T,RO	: 	42.1 	41.8 	40.7 	38.9 	36.8 	35.4 	34.2 	32.5 	30.8 	30.5 	27.8 
TOTAL,TOTAL,PC,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	4.3 	3.8 	3.8 	3.5 	: 
TOTAL,TOTAL,PC,TOTAL,T,SE	0.2 	0.6 	0.5 b	0.5 	0.6 	0.6 	0.5 	0.6 	0.5 	0.7 	0.1 	0.0 n
TOTAL,TOTAL,PC,TOTAL,T,SI	1.2 	1.0 	0.9 	0.6 	0.6 	0.6 	0.5 	0.6 	0.7 	0.5 	0.4 	0.3 
TOTAL,TOTAL,PC,TOTAL,T,SK	1.3 	1.4 	0.1 b	0.3 	0.3 	0.3 	0.3 	0.3 	0.7 	0.8 	0.8 	0.9 
TOTAL,TOTAL,PC,TOTAL,T,TR	7.1 	5.7 	5.6 	5.2 	: 	3.1 	2.9 	2.7 	2.2 	2.0 	: 	: 
TOTAL,TOTAL,PC,TOTAL,T,UK	0.3 	0.2 	0.3 	0.2 	0.3 	0.3 	0.5 b	0.4 	0.5 	0.6 	0.6 	: 
