age,indic_il,sex,wstatus,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_GE18,LI_R_MD60,T,EMP,TR	18.2 	17.9 	18.4 	18.8 	18.0 	16.0 	15.3 	14.9 	14.4 	13.7 	: 	: 
Y_GE18,LI_R_MD60,T,EMP,UK	7.8 	8.0 	8.5 	6.7 	6.8 	7.9 	9.0 b	8.4 	8.7 	8.1 	8.6 	: 
Y_GE18,LI_R_MD60,T,INAC_OTH,AT	21.5 	20.6 	25.4 b	25.2 	25.1 	25.0 	25.3 	23.2 	26.1 	26.4 	26.5 	30.3 
Y_GE18,LI_R_MD60,T,INAC_OTH,BE	26.8 	26.9 	25.6 	26.7 	25.8 	27.3 	29.5 	30.7 b	32.0 	31.5 	33.3 	34.1 
Y_GE18,LI_R_MD60,T,INAC_OTH,BG	16.9 	19.3 	23.9 	24.0 	24.4 	27.6 	27.4 	25.1 	27.7 	29.1 	32.3 b	33.8 
Y_GE18,LI_R_MD60,T,INAC_OTH,CH	: 	20.0 	19.6 	22.1 	23.0 	21.8 	25.2 	22.6 	18.8 b	23.1 	20.3 	: 
Y_GE18,LI_R_MD60,T,INAC_OTH,CY	16.3 	16.9 	20.6 b	19.6 	19.1 	16.6 	17.6 	20.9 	17.9 	18.7 	19.4 	19.7 
Y_GE18,LI_R_MD60,T,INAC_OTH,CZ	14.8 	13.1 	12.4 	13.0 	12.9 	14.0 	13.7 	11.9 	14.7 	14.0 	14.5 	13.4 
Y_GE18,LI_R_MD60,T,INAC_OTH,DE	19.5 	24.5 	22.6 	25.4 	25.0 	26.2 	26.6 	27.0 	28.7 	30.3 	28.8 	32.2 
Y_GE18,LI_R_MD60,T,INAC_OTH,DK	31.8 	32.3 	30.6 	30.8 	30.4 	30.7 b	30.7 	30.5 	34.8 	34.1 	34.5 	37.0 
Y_GE18,LI_R_MD60,T,INAC_OTH,EA18	25.8 	26.8 	25.9 	26.2 	26.5 	26.7 	27.0 	26.4 	26.9 	27.4 	27.8 	29.4 e
Y_GE18,LI_R_MD60,T,INAC_OTH,EA19	25.8 	26.8 	25.9 	26.2 	26.6 	26.8 	27.0 	26.4 	26.9 	27.4 	27.8 	29.5 e
Y_GE18,LI_R_MD60,T,INAC_OTH,EE	30.5 	32.2 	31.9 	30.0 	27.5 	31.4 	32.9 	32.5 	32.6 b	33.6 	32.3 	33.7 
Y_GE18,LI_R_MD60,T,INAC_OTH,EL	25.7 	25.3 	26.0 	26.5 	27.4 	30.0 	33.3 	30.3 	28.4 	26.2 	25.4 	25.7 
Y_GE18,LI_R_MD60,T,INAC_OTH,ES	29.6 	28.8 	27.7 b	27.5 	27.0 	25.7 	25.0 	22.6 	22.8 	23.9 	24.4 	25.3 
Y_GE18,LI_R_MD60,T,INAC_OTH,EU27	26.7 e	27.2 	26.7 	26.6 	26.9 	27.0 	27.4 	26.9 	27.8 	29.0 	28.9 	29.7 e
Y_GE18,LI_R_MD60,T,INAC_OTH,EU28	: 	: 	: 	: 	27.0 	27.1 	27.4 	27.0 	27.8 	29.0 	28.9 	29.7 e
Y_GE18,LI_R_MD60,T,INAC_OTH,FI	27.3 	27.4 	29.1 	31.2 	29.6 	29.4 	28.6 	26.2 	28.3 	30.2 	28.8 	28.3 
Y_GE18,LI_R_MD60,T,INAC_OTH,FR	26.7 	26.7 	24.5 b	26.2 	29.1 	27.5 	30.2 	31.1 	28.2 	28.8 	27.2 	28.2 
Y_GE18,LI_R_MD60,T,INAC_OTH,HR	: 	: 	: 	: 	37.2 b	34.3 	31.1 	30.8 	31.0 	32.4 	32.3 	: 
Y_GE18,LI_R_MD60,T,INAC_OTH,HU	25.8 	22.8 	23.9 	18.9 	19.5 	22.0 	22.6 	23.3 	23.6 	24.5 	23.5 	19.5 
Y_GE18,LI_R_MD60,T,INAC_OTH,IE	30.2 	31.4 	26.6 	23.3 	22.6 	23.3 	26.1 	23.8 	28.1 	28.3 	30.7 	: 
Y_GE18,LI_R_MD60,T,INAC_OTH,IS	18.7 	15.5 	19.5 	18.5 	14.5 	14.1 	11.6 	15.4 	12.3 	14.3 	15.2 p	: 
Y_GE18,LI_R_MD60,T,INAC_OTH,IT	28.8 	29.6 	28.8 	26.8 	27.8 	28.5 	27.2 	25.9 	26.6 	26.4 	28.8 	30.2 
Y_GE18,LI_R_MD60,T,INAC_OTH,LT	26.6 	29.0 	34.0 	33.4 	30.6 	28.5 	24.5 	24.2 	24.3 	30.1 	35.2 	37.7 
Y_GE18,LI_R_MD60,T,INAC_OTH,LU	16.9 	15.5 	15.9 	19.6 	17.8 	16.4 	19.2 	18.8 	22.8 	22.7 	23.1 b	27.0 
Y_GE18,LI_R_MD60,T,INAC_OTH,LV	32.0 	29.8 	32.6 	32.6 	30.6 	27.7 	28.3 	27.3 	28.7 	31.9 	29.8 	30.7 
Y_GE18,LI_R_MD60,T,INAC_OTH,MK	: 	: 	: 	: 	: 	: 	33.0 	29.2 	26.1 	26.7 	29.4 	: 
Y_GE18,LI_R_MD60,T,INAC_OTH,MT	19.3 	20.9 	21.7 	20.2 	20.8 	20.4 	20.8 	22.2 	23.1 	25.2 	27.2 	29.0 
Y_GE18,LI_R_MD60,T,INAC_OTH,NL	19.3 	17.6 	18.8 	22.3 	20.9 	22.3 	22.9 	25.6 	27.7 	27.9 	28.6 b	30.6 
Y_GE18,LI_R_MD60,T,INAC_OTH,NO	34.5 	37.7 	40.5 	31.9 	29.1 	26.7 	28.7 	30.7 	33.4 	35.2 	34.0 	48.9 
Y_GE18,LI_R_MD60,T,INAC_OTH,PL	22.1 	21.2 	25.0 	26.8 	25.7 	26.8 	26.5 	24.9 	24.8 	28.1 	29.6 	27.2 
Y_GE18,LI_R_MD60,T,INAC_OTH,PT	29.0 	30.2 	28.3 	29.9 	28.0 	28.4 	29.2 	29.6 	32.4 	31.9 	31.2 	32.3 
Y_GE18,LI_R_MD60,T,INAC_OTH,RO	: 	33.7 	32.2 	31.4 	31.7 	34.3 	36.7 	37.0 	40.9 	42.1 	41.8 	40.8 
Y_GE18,LI_R_MD60,T,INAC_OTH,RS	: 	: 	: 	: 	: 	: 	: 	32.5 	33.3 	36.6 	34.7 	: 
Y_GE18,LI_R_MD60,T,INAC_OTH,SE	34.9 	32.1 	34.9 b	33.2 	33.3 	33.2 	35.0 	37.7 	39.2 	42.1 	42.9 	41.3 
Y_GE18,LI_R_MD60,T,INAC_OTH,SI	18.9 	19.1 	21.6 	10.9 	14.9 	16.5 	15.6 	16.8 	21.2 	19.9 	21.0 	18.9 
Y_GE18,LI_R_MD60,T,INAC_OTH,SK	15.7 	15.3 	15.7 	15.9 	16.5 	18.5 	17.9 	17.4 	16.7 	15.7 	19.8 	19.6 
Y_GE18,LI_R_MD60,T,INAC_OTH,TR	25.0 	23.1 	22.9 	24.0 	22.8 	23.6 	24.4 	23.6 	25.0 	24.1 	: 	: 
Y_GE18,LI_R_MD60,T,INAC_OTH,UK	36.1 	36.1 	34.7 	31.4 	31.8 	28.8 	29.4 b	29.8 	31.4 	35.1 	30.9 	: 
Y_GE18,LI_R_MD60,T,NEMP,AT	18.6 	17.3 	21.7 b	21.3 	20.9 	20.7 	20.2 	19.7 	20.3 	19.4 	19.8 	20.4 
Y_GE18,LI_R_MD60,T,NEMP,BE	24.8 	25.0 	23.8 	23.8 	22.3 	24.5 	24.7 	24.9 b	24.3 	23.2 	24.5 	25.1 
Y_GE18,LI_R_MD60,T,NEMP,BG	26.3 	32.5 	34.7 	36.8 	32.4 	33.5 	31.3 	30.9 	29.3 	35.0 	32.7 b	37.7 
Y_GE18,LI_R_MD60,T,NEMP,CH	: 	22.8 	24.9 	26.9 	25.6 	25.3 	28.2 	26.7 	23.1 b	25.8 	24.5 	: 
Y_GE18,LI_R_MD60,T,NEMP,CY	30.9 	30.8 	32.2 b	31.9 	28.8 	26.4 	24.3 	23.0 	22.7 	23.4 	23.7 	23.9 
Y_GE18,LI_R_MD60,T,NEMP,CZ	13.9 	13.5 	13.6 	12.9 	12.7 	13.8 	13.4 	12.6 	14.3 	14.3 	14.7 	15.1 
Y_GE18,LI_R_MD60,T,NEMP,DE	18.9 	23.9 	22.8 	24.0 	23.9 	24.0 	24.4 	24.3 	25.8 	26.3 	26.6 	27.2 
Y_GE18,LI_R_MD60,T,NEMP,DK	22.4 	23.4 	22.8 	24.7 	23.5 	20.4 b	21.2 	20.9 	22.3 	21.9 	21.5 	22.9 
Y_GE18,LI_R_MD60,T,NEMP,EA18	22.5 	23.5 	22.8 	22.8 	22.6 	22.9 	23.0 	22.8 	23.2 	23.3 	23.8 	23.7 e
Y_GE18,LI_R_MD60,T,NEMP,EA19	22.6 	23.6 	22.9 	22.8 	22.6 	23.0 	23.1 	22.9 	23.3 	23.4 	23.9 	23.9 e
Y_GE18,LI_R_MD60,T,NEMP,EE	32.4 	37.2 	39.9 	36.5 	26.3 	27.2 	29.3 	32.4 	36.4 b	39.1 	41.4 	42.3 
Y_GE18,LI_R_MD60,T,NEMP,EL	26.0 	24.7 	24.6 	23.9 	25.1 	28.1 	27.9 	26.6 	25.6 	24.1 	23.6 	23.3 
Y_GE18,LI_R_MD60,T,NEMP,ES	28.7 	27.7 	26.6 b	26.8 	27.1 	26.6 	26.6 	26.0 	26.7 	26.7 	27.4 	26.9 
Y_GE18,LI_R_MD60,T,NEMP,EU27	23.3 e	23.8 	23.3 	23.1 	22.8 	23.1 	23.0 	22.8 	23.3 	23.7 	23.9 	23.7 e
Y_GE18,LI_R_MD60,T,NEMP,EU28	: 	: 	: 	: 	22.9 	23.2 	23.1 	22.8 	23.3 	23.8 	24.0 	23.7 e
Y_GE18,LI_R_MD60,T,NEMP,FI	24.4 	24.5 	25.8 	27.2 	25.0 	25.1 	24.6 	22.0 	23.5 	22.6 	21.1 	20.6 
Y_GE18,LI_R_MD60,T,NEMP,FR	19.7 	18.5 	17.3 b	17.4 	17.4 	17.3 	17.7 	17.9 	16.4 	16.9 	16.4 	16.5 
Y_GE18,LI_R_MD60,T,NEMP,HR	: 	: 	: 	: 	31.6 b	30.5 	28.7 	27.6 	28.1 	29.6 	29.3 	: 
Y_GE18,LI_R_MD60,T,NEMP,HU	19.6 	14.9 	15.1 	14.1 	14.6 	16.6 	18.0 	18.1 	18.2 	17.0 	16.6 	15.7 
Y_GE18,LI_R_MD60,T,NEMP,IE	30.9 	31.9 	25.0 	22.5 	21.2 	22.4 	25.1 	23.9 	25.9 	27.1 	28.1 	: 
Y_GE18,LI_R_MD60,T,NEMP,IS	16.1 	17.2 	19.0 	17.8 	13.9 	12.4 	11.0 	13.2 	13.5 	13.3 	14.3 p	: 
Y_GE18,LI_R_MD60,T,NEMP,IT	25.6 	26.0 	25.3 	23.5 	23.6 	24.7 	23.9 	23.6 	24.0 	24.0 	25.5 	24.7 
Y_GE18,LI_R_MD60,T,NEMP,LT	29.7 	32.1 	34.5 	31.7 	26.6 	25.5 	28.5 	29.4 	29.2 	33.6 	36.0 	40.1 
Y_GE18,LI_R_MD60,T,NEMP,LU	15.1 	14.6 	14.3 	16.2 	15.1 	13.7 	16.7 	16.3 	17.8 	16.5 	18.5 b	21.8 
Y_GE18,LI_R_MD60,T,NEMP,LV	38.3 	38.4 	48.3 	47.2 	29.6 	24.6 	26.9 	28.1 	33.2 	37.9 	40.3 	41.6 
Y_GE18,LI_R_MD60,T,NEMP,MK	: 	: 	: 	: 	: 	: 	33.7 	30.4 	27.5 	27.4 	28.7 	: 
Y_GE18,LI_R_MD60,T,NEMP,MT	21.7 	22.8 	22.7 	21.0 	21.6 	21.1 	21.1 	21.4 	22.1 	24.4 	26.0 	27.0 
Y_GE18,LI_R_MD60,T,NEMP,NL	14.0 	14.5 	15.3 	16.0 	14.5 	15.0 	15.0 	16.5 	18.4 	17.9 	20.5 b	21.8 
Y_GE18,LI_R_MD60,T,NEMP,NO	23.2 	21.9 	22.6 	22.7 	21.0 	19.7 	19.8 	21.0 	21.9 	22.9 	21.7 	28.1 
Y_GE18,LI_R_MD60,T,NEMP,PL	21.3 	19.1 	19.8 	21.4 	22.1 	22.5 	22.3 	21.2 	20.9 	22.2 	23.1 	21.7 
Y_GE18,LI_R_MD60,T,NEMP,PT	26.3 	26.8 	24.9 	24.3 	24.6 	24.3 	24.1 	23.8 	24.7 	25.2 	25.4 	25.1 
Y_GE18,LI_R_MD60,T,NEMP,RO	: 	27.5 	24.5 	21.9 	20.4 	19.8 	21.5 	22.1 	23.8 	26.4 	26.2 	25.9 
Y_GE18,LI_R_MD60,T,NEMP,RS	: 	: 	: 	: 	: 	: 	: 	29.0 	29.9 	30.5 	30.9 	: 
Y_GE18,LI_R_MD60,T,NEMP,SE	17.2 	15.3 	21.0 b	23.3 	22.9 	24.2 	24.5 	25.2 	24.4 	26.3 	27.7 	26.0 
Y_GE18,LI_R_MD60,T,NEMP,SI	18.7 	18.6 	20.5 	18.6 	20.8 	21.4 	20.9 	22.0 	22.0 	21.9 	22.6 	20.5 
Y_GE18,LI_R_MD60,T,NEMP,SK	15.0 	14.1 	14.5 	15.3 	16.1 	16.9 	17.3 	16.8 	18.0 	16.2 	16.8 	16.7 
Y_GE18,LI_R_MD60,T,NEMP,TR	23.7 	21.5 	21.3 	22.0 	21.1 	21.9 	22.3 	21.2 	22.4 	21.7 	: 	: 
Y_GE18,LI_R_MD60,T,NEMP,UK	31.5 	32.1 	31.9 	28.6 	28.0 	27.3 	25.3 b	24.8 	26.5 	26.7 	24.9 	: 
Y_GE18,LI_R_MD60,T,POP,AT	12.0 	11.3 	14.4 b	14.0 	13.6 	13.7 	13.6 	13.3 	13.1 	13.1 	13.5 	13.4 
Y_GE18,LI_R_MD60,T,POP,BE	14.5 	14.7 	14.0 	14.0 	13.3 	14.3 	14.5 	14.5 b	14.5 	13.9 	14.9 	15.2 
Y_GE18,LI_R_MD60,T,POP,BG	16.8 	20.5 	20.5 	21.1 	19.4 	20.9 	19.7 	19.6 	19.4 	21.5 	22.0 b	23.4 
Y_GE18,LI_R_MD60,T,POP,CH	: 	13.3 	14.7 	14.8 	14.0 	14.1 	15.5 	14.4 	12.3 b	14.6 	13.7 	: 
Y_GE18,LI_R_MD60,T,POP,CY	16.9 	16.4 	16.5 b	16.8 	16.4 	15.3 	14.9 	15.2 	14.8 	16.0 	15.7 	15.3 
Y_GE18,LI_R_MD60,T,POP,CZ	8.2 	7.9 	8.0 	7.5 	7.8 	8.6 	8.7 	8.0 	8.5 	8.6 	8.6 	8.6 
Y_GE18,LI_R_MD60,T,POP,DE	12.1 	15.5 	14.6 	14.9 	15.0 	15.1 	15.3 	15.7 	17.1 	17.1 	17.1 	17.0 
Y_GE18,LI_R_MD60,T,POP,DK	12.0 	12.1 	12.4 	13.6 	13.8 	12.4 b	12.3 	12.6 	12.7 	12.5 	12.5 	12.8 
Y_GE18,LI_R_MD60,T,POP,EA18	14.8 	15.5 	15.1 	15.1 	15.1 	15.6 	15.7 	15.7 	16.3 	16.3 	16.6 	16.4 e
Y_GE18,LI_R_MD60,T,POP,EA19	14.8 	15.5 	15.2 	15.2 	15.2 	15.6 	15.7 	15.8 	16.4 	16.3 	16.6 	16.4 e
Y_GE18,LI_R_MD60,T,POP,EE	17.9 	19.8 	20.2 	19.6 	15.5 	17.0 	17.8 	18.6 	22.4 b	22.0 	22.4 	22.2 
Y_GE18,LI_R_MD60,T,POP,EL	20.1 	19.6 	19.4 	18.9 	19.5 	20.9 	22.6 	21.4 	21.0 	19.9 	19.9 	19.1 
Y_GE18,LI_R_MD60,T,POP,ES	19.0 	18.4 	18.2 b	18.7 	19.0 	19.1 	19.3 	19.0 	20.5 	20.5 	20.7 	20.1 
Y_GE18,LI_R_MD60,T,POP,EU27	15.4 e	15.7 	15.5 	15.3 	15.3 	15.7 	15.7 	15.6 	16.2 	16.3 	16.4 	16.3 e
Y_GE18,LI_R_MD60,T,POP,EU28	: 	: 	: 	: 	15.3 	15.7 	15.7 	15.7 	16.2 	16.3 	16.5 	16.3 e
Y_GE18,LI_R_MD60,T,POP,FI	13.3 	13.5 	14.0 	14.3 	13.7 	14.1 	13.8 	12.5 	13.3 	13.1 	12.3 	11.8 
Y_GE18,LI_R_MD60,T,POP,FR	12.5 	12.2 	11.6 b	11.6 	11.8 	12.2 	12.6 	12.5 	12.1 	11.9 	11.9 	11.7 
Y_GE18,LI_R_MD60,T,POP,HR	: 	: 	: 	: 	20.8 b	20.9 	19.7 	19.0 	19.0 	19.8 	19.3 	: 
Y_GE18,LI_R_MD60,T,POP,HU	13.5 	10.4 	10.6 	10.3 	10.3 	11.8 	12.3 	12.9 	12.7 	13.1 	12.9 	12.7 
Y_GE18,LI_R_MD60,T,POP,IE	17.0 	16.8 	14.5 	13.7 	13.6 	14.3 	15.7 	14.8 	15.8 	15.6 	15.8 	: 
Y_GE18,LI_R_MD60,T,POP,IS	8.8 	9.3 	9.6 	10.1 	8.8 	8.2 	7.0 	8.2 	7.2 	8.4 	8.4 p	: 
Y_GE18,LI_R_MD60,T,POP,IT	18.2 	18.4 	17.8 	17.2 	17.2 	18.5 	18.0 	18.0 	18.2 	18.4 	19.4 	19.0 
Y_GE18,LI_R_MD60,T,POP,LT	19.1 	18.4 	20.3 	19.7 	19.4 	17.8 	18.1 	18.9 	18.1 	20.7 	21.0 	22.4 
Y_GE18,LI_R_MD60,T,POP,LU	12.4 	11.6 	11.5 	12.7 	12.5 	11.5 	13.0 	13.5 	14.0 	13.6 	14.9 b	17.4 
Y_GE18,LI_R_MD60,T,POP,LV	22.8 	21.6 	26.2 	26.2 	19.8 	17.4 	17.8 	18.2 	19.8 	22.2 	22.5 	23.1 
Y_GE18,LI_R_MD60,T,POP,MK	: 	: 	: 	: 	: 	: 	24.6 	22.4 	20.3 	19.7 	20.1 	: 
Y_GE18,LI_R_MD60,T,POP,MT	13.2 	13.9 	14.0 	13.4 	14.0 	13.8 	13.3 	13.8 	14.0 	14.8 	15.5 	15.8 
Y_GE18,LI_R_MD60,T,POP,NL	8.6 	9.0 	9.2 	9.6 	9.1 	9.5 	9.1 	9.7 	11.1 	10.8 	12.2 b	12.9 
Y_GE18,LI_R_MD60,T,POP,NO	12.4 	11.7 	11.6 	11.5 	10.9 	10.7 	10.4 	11.1 	11.0 	11.9 	11.8 	15.7 
Y_GE18,LI_R_MD60,T,POP,PL	17.3 	15.4 	15.5 	15.9 	16.6 	16.6 	16.1 	15.8 	15.5 	16.4 	16.6 	15.4 
Y_GE18,LI_R_MD60,T,POP,PT	17.9 	17.3 	17.4 	16.7 	16.9 	17.0 	16.9 	17.4 	18.1 	18.3 	18.2 	17.8 
Y_GE18,LI_R_MD60,T,POP,RO	: 	22.3 	21.0 	19.6 	19.1 	19.4 	20.2 	20.2 	21.7 	22.4 	22.3 	21.5 
Y_GE18,LI_R_MD60,T,POP,RS	: 	: 	: 	: 	: 	: 	: 	23.3 	24.4 	24.5 	24.4 	: 
Y_GE18,LI_R_MD60,T,POP,SE	11.1 	9.8 	12.8 b	13.9 	14.1 	14.5 	14.3 	14.9 	14.7 	15.6 	15.2 	14.6 
Y_GE18,LI_R_MD60,T,POP,SI	11.6 	11.5 	12.5 	11.2 	12.6 	13.4 	13.5 	14.4 	14.4 	14.3 	14.3 	13.3 
Y_GE18,LI_R_MD60,T,POP,SK	10.2 	9.0 	9.6 	9.7 	10.6 	11.4 	11.5 	11.1 	11.2 	10.6 	10.9 	10.6 
Y_GE18,LI_R_MD60,T,POP,TR	21.4 	19.9 	19.9 	20.5 	19.7 	19.1 	19.0 	18.2 	18.6 	18.0 	: 	: 
Y_GE18,LI_R_MD60,T,POP,UK	17.4 	17.5 	17.5 	16.1 	15.7 	15.8 	15.4 b	15.0 	16.0 	15.8 	15.1 	: 
Y_GE18,LI_R_MD60,T,RET,AT	13.3 	11.9 	16.7 b	16.4 	15.5 	15.5 	14.4 	14.6 	14.2 	12.9 	12.2 	12.1 
Y_GE18,LI_R_MD60,T,RET,BE	20.2 	19.6 	18.3 	17.8 	16.1 	17.3 	16.7 	15.1 b	12.9 	12.4 	13.3 	13.7 
Y_GE18,LI_R_MD60,T,RET,BG	18.3 	23.6 	31.7 	36.5 	30.0 	28.6 	26.2 	25.9 	21.1 	30.0 	24.7 b	32.4 
Y_GE18,LI_R_MD60,T,RET,CH	: 	24.7 	26.5 	30.2 	26.9 	27.8 	29.6 	29.3 	25.7 b	27.6 	26.0 	: 
Y_GE18,LI_R_MD60,T,RET,CY	50.1 	49.5 	46.2 b	45.8 	39.1 	34.9 	29.0 	19.7 	21.3 	16.5 	19.8 	21.6 
Y_GE18,LI_R_MD60,T,RET,CZ	6.8 	6.3 	8.0 	7.1 	6.6 	6.7 	6.4 	6.1 	6.9 	7.4 	8.1 	10.8 
Y_GE18,LI_R_MD60,T,RET,DE	12.4 	17.0 	15.0 	14.9 	13.4 	14.0 	15.1 	15.0 	16.7 	17.0 	18.0 	17.5 
Y_GE18,LI_R_MD60,T,RET,DK	15.5 	16.6 	16.5 	19.1 	16.6 	12.6 b	12.6 	10.0 	10.2 	8.8 	8.8 	8.6 
Y_GE18,LI_R_MD60,T,RET,EA18	15.1 	15.9 	15.0 	14.4 	12.5 	12.8 	12.5 	11.9 	11.8 	12.0 	12.8 	12.8 e
Y_GE18,LI_R_MD60,T,RET,EA19	15.2 	16.0 	15.2 	14.5 	12.5 	12.8 	12.6 	12.0 	11.9 	12.2 	13.0 	13.1 e
Y_GE18,LI_R_MD60,T,RET,EE	28.6 	37.1 	43.3 	37.9 	17.9 	14.9 	19.6 	27.1 	35.6 b	40.1 	45.0 	46.1 
