airpol,geo\time	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PM2_5,EU28	: 	: 	: 	: 	: 	: 	: 	14.8 	14.4 	14.4 	14.6 	14.9 	16.9 	15.6 	18 	16.8 	17.2 	17.4 	18.1 	18.3 	16.6 	15.5 	15.1 	14.5 	: 
PM2_5,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.2 	8.8 	8.8 	7.6 	8.3 	9.8 	8.8 	8.4 	7.6 	8.4 	7.5 	7 	6.7 	8.4 	6 	: 
PM2_5,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.7 	15.8 	15.6 	13.5 	13.5 	13.6 	12.9 	15.7 	18.1 	18.3 	17.8 	16 	15.8 	12.6 	13.5 	: 
PM2_5,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.9 	19.4 	18.3 	: 
PM2_5,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16 	22.3 	26.5 	23.4 	17.3 	20.2 	: 	: 
PM2_5,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.6 	10.9 	8.9 	: 	10.3 	7.8 	7.9 	: 
PM2_5,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.6 	9.5 	7.7 	: 	: 	: 	6 	7.7 	4.7 	4.6 	7 	: 	: 	: 
PM2_5,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51.4 	: 	30.8 	28.8 	25.1 	25.1 	23.4 	26 	23 	20.1 	17.5 	21.7 	: 
PM2_5,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.9 	16 	13.7 	12.2 	16.3 	11.4 	11.7 	: 
PM2_5,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.4 	15.8 	: 	: 	17.3 	16.8 	18.3 	15.9 	: 
PM2_5,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.3 	16.7 	17.1 	16.8 	13.5 	14 	13.9 	12.7 	: 
PM2_5,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.1 	9.5 	10 	: 	8.1 	8.2 	11.2 	10.2 	9.5 	9.2 	8.5 	7.6 	10 
PM2_5,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.6 	23.8 	24.3 	17.1 	28.6 	28.5 	30.4 	27.4 	26.9 	25.4 	26 	23.8 	: 
PM2_5,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.4 	15.3 	13.6 	14.7 	10.7 	10.8 	8.8 	10.7 	9.2 	8.9 	9.9 	12.4 	: 
PM2_5,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	19.1 	19.5 	19.4 	15.4 	15.1 	17 	: 
PM2_5,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.7 	11.1 	11.7 	9.5 	9.2 	7.2 	7.4 	7.8 	6 	5.3 	7.2 	5.2 	: 
PM2_5,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.9 	18.7 	21.8 	24.1 	20.4 	20.1 	17.5 	21.6 	: 
PM2_5,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.8 	: 	: 	33.3 	26.4 	25.1 	27.2 	22.8 	26.7 	22.7 	17.2 	19.7 	19 	: 
PM2_5,UK	: 	: 	: 	: 	: 	: 	: 	14.8 	14.3 	13.1 	13.7 	14.1 	12.5 	12.8 	14 	14.2 	12.9 	13.2 	13.6 	14.6 	13.2 	12.7 	12.6 	9.9 	: 
