cpatc,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 
Y02W_X_1030_3030_9010,NR,NL	12.56 	12.44 	12.82 	8.28 	7.19 	17.81 	12.85 	12.73 	8.9 	10.09 	8.14 	13.46 	17.73 	13.98 
Y02W_X_1030_3030_9010,NR,PL	10.25 	10 	12.75 	8.67 	13.83 	13.92 	12.33 	10.83 	24.8 	20.17 	33 	39.08 	53.82 	34.5 
Y02W_X_1030_3030_9010,NR,PT	0.5 	0 	0 	0.33 	0 	3.75 	1.83 	3.5 	0.26 	0 	2.5 	5.33 	2.86 	1 
Y02W_X_1030_3030_9010,NR,RO	0 	1 	1 	2 	1 	1 	2 	2 	2.5 	5.34 	6.16 	3 	4.99 	2 
Y02W_X_1030_3030_9010,NR,RU	48.55 	42.63 	12.67 	2.85 	10.45 	37.57 	58.17 	68.03 	90.39 	48.14 	42.85 	29.69 	38.5 	29.99 
Y02W_X_1030_3030_9010,NR,SE	3.53 	4.12 	4.32 	4.6 	3.7 	3.3 	0.75 	0.17 	2.98 	1.18 	2.12 	6.21 	4.32 	7.75 
Y02W_X_1030_3030_9010,NR,SI	0 	0.2 	0.33 	1.5 	0 	1 	1 	0 	1 	1 	0 	0.25 	0 	2 
Y02W_X_1030_3030_9010,NR,SK	2.33 	0 	0.5 	2.88 	0 	0 	0.33 	0 	0.5 	1 	0 	0 	1.33 	1 
Y02W_X_1030_3030_9010,NR,UK	22.17 	17.03 	32.33 	22.91 	25.49 	15.73 	18.35 	11.5 	15.18 	20.28 	19.81 	21.71 	25.69 	24 
Y02W_X_1030_3030_9010,NR,US	184.39 	143.34 	136.84 	135.55 	124.92 	155.81 	127.71 	107.19 	81.28 	79.72 	107.92 	92.82 	189.88 	183.9 
Y02W_X_1030_3030_9010,NR,WRL_REST	45.89 	49.69 	57.91 	74.82 	72.78 	74.08 	75.92 	89.36 	70.06 	88.87 	98.74 	98.51 	136.73 	102.15 
Y02W_X_1030_3030_9010,P_MHAB,AT	1.18 	0.97 	1.9 	1.39 	1.04 	1.14 	0.72 	0.85 	0.96 	0.58 	0.84 	1.05 	1.04 	1.18 
Y02W_X_1030_3030_9010,P_MHAB,BE	0.75 	0.79 	0.76 	0.33 	0.71 	0.3 	0.46 	0.4 	0.6 	0.97 	1.02 	0.71 	0.62 	1.38 
Y02W_X_1030_3030_9010,P_MHAB,BG	0.12 	0 	0 	0.04 	0.13 	0 	0.13 	0.13 	0.13 	0.13 	0.27 	0.14 	0.07 	0 
Y02W_X_1030_3030_9010,P_MHAB,CY	0 	0.94 	0.94 	0 	0 	0 	0.67 	0.22 	0 	0.12 	0 	1.76 	0 	0 
Y02W_X_1030_3030_9010,P_MHAB,CZ	0.29 	0.49 	0.1 	0.26 	0.38 	0.76 	0.23 	0.58 	0.19 	0.69 	0.79 	0.56 	0.95 	0.7 
Y02W_X_1030_3030_9010,P_MHAB,DE	1.47 	1.16 	1.17 	1.1 	1.05 	1.1 	0.99 	0.95 	1.12 	1.13 	0.87 	1.08 	1.03 	1.15 
Y02W_X_1030_3030_9010,P_MHAB,DK	0.52 	0.74 	0.54 	0.82 	1.42 	1.02 	0.77 	0.78 	0.47 	0.23 	0.17 	0.18 	0.61 	1.46 
Y02W_X_1030_3030_9010,P_MHAB,EE	0 	0 	0 	0 	0 	0 	0.74 	0 	0 	0.75 	0.13 	0 	0.29 	0 
Y02W_X_1030_3030_9010,P_MHAB,EL	0.03 	0 	0 	0.09 	0 	0.02 	0.05 	0.06 	0 	0 	0.09 	0 	0 	0.09 
Y02W_X_1030_3030_9010,P_MHAB,ES	0.25 	0.37 	0.32 	0.31 	0.17 	0.42 	0.15 	0.32 	0.42 	0.42 	0.24 	0.33 	0.38 	0.61 
Y02W_X_1030_3030_9010,P_MHAB,EU28	0.55 	0.51 	0.53 	0.5 	0.48 	0.51 	0.46 	0.42 	0.53 	0.56 	0.57 	0.61 	0.69 	0.72 
Y02W_X_1030_3030_9010,P_MHAB,FI	1.02 	1.56 	1.67 	1.04 	1.05 	1.33 	1.7 	1.82 	1 	0.95 	1.95 	1.27 	1.87 	2.65 
Y02W_X_1030_3030_9010,P_MHAB,FR	0.62 	0.67 	0.48 	0.58 	0.54 	0.5 	0.58 	0.45 	0.61 	0.51 	0.73 	0.59 	0.85 	0.82 
Y02W_X_1030_3030_9010,P_MHAB,HR	0 	0 	0.23 	0 	0 	0.12 	0 	0.08 	0 	0 	0.23 	0.12 	0.06 	0 
Y02W_X_1030_3030_9010,P_MHAB,HU	0.05 	0.05 	0 	0.3 	0.27 	0.1 	0.55 	0.13 	0.48 	0.11 	0.67 	0.46 	0.25 	0.2 
Y02W_X_1030_3030_9010,P_MHAB,IE	0.96 	0.63 	1.1 	1.68 	1.02 	0.05 	0.35 	0.13 	0.86 	0.62 	0.35 	0.66 	0.29 	0.43 
Y02W_X_1030_3030_9010,P_MHAB,IT	0.23 	0.23 	0.18 	0.24 	0.24 	0.32 	0.26 	0.24 	0.4 	0.59 	0.46 	0.52 	0.5 	0.58 
Y02W_X_1030_3030_9010,P_MHAB,LT	0.5 	0.2 	0.87 	0.59 	0 	0.6 	0.6 	0 	0.31 	0 	0.65 	0.66 	0.67 	0.34 
Y02W_X_1030_3030_9010,P_MHAB,LU	4.86 	4.53 	0 	0 	3.99 	3.72 	1.76 	0.5 	1.7 	10.75 	3.24 	2.74 	5.03 	6 
Y02W_X_1030_3030_9010,P_MHAB,LV	0 	0.43 	0.43 	0 	0.44 	0 	0 	0 	0 	0.93 	0.95 	0 	0.65 	1.49 
Y02W_X_1030_3030_9010,P_MHAB,MT	0 	0 	0 	1.25 	0 	0 	0.79 	0 	0 	0 	0 	0 	0 	0 
Y02W_X_1030_3030_9010,P_MHAB,NL	0.79 	0.78 	0.79 	0.51 	0.44 	1.09 	0.79 	0.78 	0.54 	0.61 	0.49 	0.81 	1.06 	0.83 
Y02W_X_1030_3030_9010,P_MHAB,PL	0.27 	0.26 	0.33 	0.23 	0.36 	0.36 	0.32 	0.28 	0.65 	0.53 	0.87 	1.03 	1.41 	0.91 
Y02W_X_1030_3030_9010,P_MHAB,PT	0.05 	0 	0 	0.03 	0 	0.36 	0.17 	0.33 	0.02 	0 	0.24 	0.5 	0.27 	0.1 
Y02W_X_1030_3030_9010,P_MHAB,RO	0 	0.05 	0.05 	0.09 	0.05 	0.05 	0.09 	0.1 	0.12 	0.26 	0.3 	0.15 	0.25 	0.1 
Y02W_X_1030_3030_9010,P_MHAB,SE	0.4 	0.46 	0.48 	0.51 	0.41 	0.37 	0.08 	0.02 	0.32 	0.13 	0.23 	0.66 	0.45 	0.81 
Y02W_X_1030_3030_9010,P_MHAB,SI	0 	0.1 	0.17 	0.75 	0 	0.5 	0.5 	0 	0.49 	0.49 	0 	0.12 	0 	0.97 
Y02W_X_1030_3030_9010,P_MHAB,SK	0.43 	0 	0.09 	0.54 	0 	0 	0.06 	0 	0.09 	0.19 	0 	0 	0.25 	0.18 
Y02W_X_1030_3030_9010,P_MHAB,UK	0.38 	0.29 	0.54 	0.38 	0.42 	0.26 	0.3 	0.19 	0.25 	0.33 	0.32 	0.34 	0.4 	0.37 
