unit,incgrp,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,TOTAL,T,MK	: 	: 	: 	: 	: 	: 	53.6 	51.7 	47.0 	52.1 	51.1 	: 
PC,TOTAL,TOTAL,T,MT	3.7 	4.5 	4.1 	4.1 	4.3 	4.8 	4.2 	3.8 	4.3 	3.8 	3.1 	2.8 
PC,TOTAL,TOTAL,T,NL	1.3 	1.7 	1.4 	1.1 	1.6 	1.4 	2.1 	2.0 	2.9 	2.8 	3.3 b	3.5 
PC,TOTAL,TOTAL,T,NO	4.3 	4.2 	3.9 	3.7 	4.4 	3.7 	4.6 	4.7 	3.4 	3.8 	3.9 	3.4 
PC,TOTAL,TOTAL,T,PL	56.4 	54.6 	53.1 	51.4 	49.6 	49.1 	48.2 	46.6 	45.9 	45.2 	42.2 	42.1 
PC,TOTAL,TOTAL,T,PT	16.6 	17.0 	16.7 	14.9 	15.4 	11.8 	10.8 	12.3 	11.1 	11.2 	11.1 	10.1 
PC,TOTAL,TOTAL,T,RO	: 	59.8 	58.7 	57.5 	56.0 	55.4 	55.8 	54.8 	53.7 	54.3 	53.4 	51.9 
PC,TOTAL,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	56.5 	52.7 	55.6 	57.6 	: 
PC,TOTAL,TOTAL,T,SE	8.8 	7.8 	9.3 b	10.7 	12.1 	12.4 	11.5 	10.5 	10.5 	11.6 	12.5 	12.1 
PC,TOTAL,TOTAL,T,SI	41.5 	40.9 	40.4 	38.8 	35.9 	17.8 b	17.2 	16.3 	15.4 	14.1 	13.3 	13.5 
PC,TOTAL,TOTAL,T,SK	46.5 	45.0 	44.7 	41.5 	41.8 	41.5 	40.3 	41.6 	40.5 	39.3 	39.4 	38.0 
PC,TOTAL,TOTAL,T,TR	52.3 	52.4 	51.4 	49.7 	48.3 	48.0 	47.0 	46.9 	48.6 	47.8 	: 	: 
PC,TOTAL,TOTAL,T,UK	7.0 	6.8 	7.2 	8.1 	8.2 	7.9 	7.0 b	8.3 	7.3 	7.5 	8.1 	: 
