indic_il,hhtyp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60,A1,IS	17.4 	26.0 	25.2 	27.5 	19.8 	19.4 	13.9 	16.1 	18.9 	20.5 	21.9 p	: 
LI_R_MD60,A1,IT	27.7 	27.5 	27.4 	26.4 	25.0 	25.0 	24.4 	23.6 	23.0 	23.6 	25.1 	25.3 
LI_R_MD60,A1,LT	38.0 	49.5 	47.9 	45.3 	26.7 	25.1 	31.6 	33.7 	34.9 	39.5 	42.7 	47.9 
LI_R_MD60,A1,LU	17.2 	14.9 	14.2 	16.1 	16.4 	15.4 	14.9 	15.7 	15.3 	18.7 	24.1 b	25.9 
LI_R_MD60,A1,LV	55.5 	56.7 	61.4 	59.1 	32.5 	20.5 	27.6 	31.3 	42.2 	50.9 	55.7 	54.9 
LI_R_MD60,A1,MK	: 	: 	: 	: 	: 	: 	13.3 	8.9 	8.8 	8.9 	8.2 	: 
LI_R_MD60,A1,MT	24.0 	20.1 	24.5 	23.4 	22.5 	22.7 	20.0 	21.0 	20.4 	23.5 	24.1 	26.0 
LI_R_MD60,A1,NL	14.6 	14.6 	16.9 	17.5 	17.6 	16.4 	18.2 	19.7 	20.6 	18.7 	22.0 b	24.2 
LI_R_MD60,A1,NO	27.1 	27.8 	29.2 	27.7 	27.3 	27.1 	24.3 	25.7 	28.8 	28.1 	27.2 	27.5 
LI_R_MD60,A1,PL	15.9 	15.6 	20.3 	22.2 	24.5 	25.5 	24.4 	22.0 	20.3 	22.9 	26.0 	27.9 
LI_R_MD60,A1,PT	34.9 	33.0 	31.0 	28.0 	30.1 	27.5 	24.2 	21.9 	23.1 	25.4 	26.3 	25.4 
LI_R_MD60,A1,RO	: 	35.7 	33.3 	29.5 	27.1 	23.5 	24.3 	24.7 	25.6 	29.8 	30.2 	28.7 
LI_R_MD60,A1,RS	: 	: 	: 	: 	: 	: 	: 	26.3 	28.7 	29.0 	32.5 	: 
LI_R_MD60,A1,SE	21.3 	20.1 	25.1 b	26.8 	25.9 	26.5 	29.4 	29.7 	29.3 	31.3 	30.4 	29.2 
LI_R_MD60,A1,SI	42.4 	39.2 	41.9 	43.4 	38.5 	40.0 	36.7 	32.8 	33.0 	35.4 	35.8 	37.1 
LI_R_MD60,A1,SK	16.6 	17.4 	21.7 	23.0 	19.1 	18.7 	19.3 	15.5 	15.7 	15.0 	15.5 	18.2 
LI_R_MD60,A1,TR	13.8 	11.6 	12.1 	14.4 	14.6 	14.4 	15.9 	13.9 	15.0 	14.2 	: 	: 
LI_R_MD60,A1,UK	27.7 	27.8 	29.6 	26.4 	27.0 	25.4 	23.5 b	25.8 	26.9 	23.6 	25.5 	: 
LI_R_MD60,A2_2LT65,AT	10.3 	10.3 	12.6 b	10.7 	12.5 	9.7 	11.8 	11.2 	10.6 	11.0 	10.2 	9.6 
LI_R_MD60,A2_2LT65,BE	9.7 	7.9 	7.4 	9.5 	9.1 	9.9 	9.5 	8.7 	8.1 	8.6 	9.7 	8.9 
LI_R_MD60,A2_2LT65,BG	12.3 	17.2 	16.5 	13.3 	12.0 	12.7 	13.9 	13.8 	13.2 	15.1 	16.0 b	12.6 
LI_R_MD60,A2_2LT65,CH	: 	7.6 	7.3 	6.5 	7.5 	7.4 	6.3 	5.7 	4.3 b	6.7 	6.5 	: 
LI_R_MD60,A2_2LT65,CY	14.8 	12.9 	9.9 b	11.3 	13.1 	10.7 	12.6 	15.8 	16.5 	17.4 	16.6 	15.1 
LI_R_MD60,A2_2LT65,CZ	4.9 	5.1 	6.2 	4.9 	5.9 	7.3 	7.1 	6.2 	7.6 	7.4 	7.1 	6.5 
LI_R_MD60,A2_2LT65,DE	11.4 	13.2 	12.3 	14.0 	10.3 	11.3 	10.5 	12.4 	11.6 	13.2 	11.7 	11.2 
LI_R_MD60,A2_2LT65,DK	5.3 	4.9 	4.9 	5.5 	6.0 	6.8 b	7.2 	7.4 	6.7 	8.7 	9.9 	13.5 
LI_R_MD60,A2_2LT65,EA18	10.3 	10.7 	10.6 	10.8 	10.4 	10.9 	11.0 	11.6 	11.7 	12.4 	12.6 	11.1 e
LI_R_MD60,A2_2LT65,EA19	10.4 	10.7 	10.6 	10.9 	10.5 	10.9 	11.0 	11.6 	11.8 	12.5 	12.6 	11.2 e
LI_R_MD60,A2_2LT65,EE	14.0 	14.4 	9.9 	9.5 	12.6 	15.3 	15.7 	14.0 	16.1 b	12.0 	12.4 	11.5 
LI_R_MD60,A2_2LT65,EL	15.5 	15.0 	16.0 	17.2 	18.3 	16.2 	14.6 	14.9 	18.4 	17.8 	20.1 	18.0 
LI_R_MD60,A2_2LT65,ES	11.1 	11.1 	13.2 b	13.3 	11.9 	14.5 	15.9 	14.6 	16.5 	16.8 	18.4 	16.5 
LI_R_MD60,A2_2LT65,EU27	10.3 e	10.6 	10.4 	10.5 	10.4 	10.9 	11.1 	11.2 	11.5 	12.1 	12.3 	11.3 e
LI_R_MD60,A2_2LT65,EU28	: 	: 	: 	: 	10.4 	11.0 	11.1 	11.3 	11.5 	12.1 	12.4 	11.3 e
LI_R_MD60,A2_2LT65,FI	6.6 	6.1 	6.4 	6.7 	8.2 	8.8 	7.2 	6.8 	8.3 	9.2 	9.0 	7.7 
LI_R_MD60,A2_2LT65,FR	8.5 	8.0 	6.6 b	6.8 	8.8 	7.7 	8.8 	8.6 	7.7 	7.9 	8.8 	6.5 
LI_R_MD60,A2_2LT65,HR	: 	: 	: 	: 	21.1 b	22.9 	21.2 	22.2 	19.2 	20.5 	18.6 	: 
LI_R_MD60,A2_2LT65,HU	10.3 	8.4 	8.9 	8.1 	8.9 	10.8 	10.1 	12.0 	11.9 	12.7 	13.3 	14.8 
LI_R_MD60,A2_2LT65,IE	13.6 	12.3 	10.5 	10.7 	12.0 	12.3 	12.4 	11.6 	10.2 	9.7 	11.5 	: 
LI_R_MD60,A2_2LT65,IS	6.8 	7.0 	6.8 	9.5 	6.8 	5.8 	7.1 	8.7 	4.8 	6.5 	8.4 p	: 
LI_R_MD60,A2_2LT65,IT	10.9 	11.8 	11.8 	10.7 	12.1 	13.3 	12.6 	14.1 	14.9 	15.5 	17.3 	14.8 
LI_R_MD60,A2_2LT65,LT	13.7 	10.6 	14.9 	15.9 	22.1 	17.1 	16.3 	15.0 	12.7 	15.4 	15.5 	12.3 
LI_R_MD60,A2_2LT65,LU	8.0 	8.2 	7.7 	6.8 	7.1 	7.0 	7.1 	6.4 	8.9 	7.5 	10.5 b	13.6 
LI_R_MD60,A2_2LT65,LV	21.6 	18.7 	18.7 	18.2 	17.3 	20.2 	18.8 	18.7 	16.7 	18.6 	19.9 	18.7 
LI_R_MD60,A2_2LT65,MK	: 	: 	: 	: 	: 	: 	22.7 	20.3 	23.2 	19.4 	23.0 	: 
LI_R_MD60,A2_2LT65,MT	13.6 	16.3 	17.6 	15.0 	13.5 	11.9 	11.4 	10.5 	10.2 	12.4 	12.4 	12.8 
LI_R_MD60,A2_2LT65,NL	4.9 	5.4 	7.8 	4.7 	6.2 	5.5 	5.1 	6.5 	8.8 	10.3 	8.6 b	6.9 
LI_R_MD60,A2_2LT65,NO	5.6 	6.1 	6.5 	6.7 	5.0 	5.2 	6.9 	6.4 	5.7 	6.9 	7.1 	6.9 
LI_R_MD60,A2_2LT65,PL	13.7 	12.0 	11.2 	12.3 	12.6 	13.5 	12.2 	12.0 	13.3 	14.3 	13.4 	12.9 
LI_R_MD60,A2_2LT65,PT	18.3 	17.6 	16.5 	16.4 	16.6 	16.2 	16.6 	17.0 	17.4 	16.8 	16.0 	18.1 
LI_R_MD60,A2_2LT65,RO	: 	16.6 	13.8 	12.8 	13.3 	13.2 	14.6 	14.4 	15.0 	16.0 	16.3 	15.9 
LI_R_MD60,A2_2LT65,RS	: 	: 	: 	: 	: 	: 	: 	24.6 	24.0 	24.1 	21.8 	: 
LI_R_MD60,A2_2LT65,SE	6.9 	6.2 	7.7 b	6.9 	8.9 	9.2 	8.1 	8.4 	7.9 	9.0 	7.3 	6.5 
LI_R_MD60,A2_2LT65,SI	12.6 	12.5 	11.2 	10.5 	9.7 	9.6 	12.6 	13.0 	13.6 	13.6 	14.9 	13.1 
LI_R_MD60,A2_2LT65,SK	8.5 	3.7 	4.6 	4.2 	7.8 	7.4 	9.1 	8.8 	9.9 	9.0 	8.1 	7.2 
LI_R_MD60,A2_2LT65,TR	8.9 	8.3 	8.8 	8.1 	6.6 	6.9 	5.7 	6.4 	5.6 	6.1 	: 	: 
LI_R_MD60,A2_2LT65,UK	9.3 	10.4 	10.0 	9.8 	9.8 	10.8 	11.5 b	9.9 	10.3 	10.2 	11.3 	: 
LI_R_MD60,A_GE3,AT	6.3 	4.4 	8.3 b	8.2 	4.0 	7.1 	7.0 	5.5 	4.7 	4.8 	7.5 	4.9 
LI_R_MD60,A_GE3,BE	8.5 	6.3 	5.9 	5.2 	5.3 	6.1 	8.0 	6.0 	9.2 	9.2 	10.3 	8.0 
LI_R_MD60,A_GE3,BG	10.9 	9.8 	10.6 	9.3 	7.9 	10.5 	9.9 	10.7 	12.0 	12.7 	10.8 b	12.2 
LI_R_MD60,A_GE3,CH	: 	9.8 	9.0 	6.5 	7.0 	8.2 	7.3 	5.5 	11.1 b	7.7 	8.1 	: 
LI_R_MD60,A_GE3,CY	10.5 	7.4 	8.1 b	10.4 	10.9 	9.2 	8.9 	10.7 	12.8 	14.0 	9.0 	10.3 
LI_R_MD60,A_GE3,CZ	2.8 	1.7 	2.5 	2.2 	2.9 	3.1 	5.9 	5.3 	3.0 	2.6 	1.7 	1.7 
LI_R_MD60,A_GE3,DE	6.3 	9.5 	6.5 	6.8 	5.0 	4.9 	8.1 	10.4 	11.2 	8.5 	6.8 	6.1 
LI_R_MD60,A_GE3,DK	3.2 	3.3 	2.6 	2.1 	2.8 	7.8 b	8.4 	3.3 	11.8 	0.2 	9.7 	5.7 
LI_R_MD60,A_GE3,EA18	9.4 	9.9 	8.7 	8.3 	8.5 	9.9 	10.5 	10.9 	12.5 	12.0 	11.8 	11.1 e
LI_R_MD60,A_GE3,EA19	9.4 	9.9 	8.7 	8.3 	8.5 	9.9 	10.5 	10.9 	12.5 	12.0 	11.8 	11.1 e
LI_R_MD60,A_GE3,EE	7.0 	7.5 	9.1 	7.6 	9.0 	11.3 	12.3 	11.9 	12.0 b	11.8 	9.5 	10.4 
LI_R_MD60,A_GE3,EL	14.9 	14.6 	15.9 	12.7 	12.5 	17.2 	20.5 	20.9 	21.7 	18.6 	19.6 	19.4 
LI_R_MD60,A_GE3,ES	10.6 	11.0 	8.3 b	7.9 	10.7 	13.1 	12.2 	11.8 	15.6 	16.8 	15.5 	14.5 
LI_R_MD60,A_GE3,EU27	10.1 e	9.8 	8.9 	8.6 	8.7 	9.7 	10.4 	10.3 	11.8 	11.7 	10.9 	11.0 e
LI_R_MD60,A_GE3,EU28	: 	: 	: 	: 	8.7 	9.7 	10.4 	10.3 	11.9 	11.8 	11.0 	11.0 e
LI_R_MD60,A_GE3,FI	4.9 	5.6 	4.1 	3.9 	5.9 	5.9 	7.3 	3.9 	5.4 	5.4 	4.1 	2.9 
LI_R_MD60,A_GE3,FR	11.5 	11.1 	8.5 b	7.5 	6.5 	6.9 	6.2 	5.7 	6.1 	7.6 	9.7 	8.4 
LI_R_MD60,A_GE3,HR	: 	: 	: 	: 	12.9 b	12.3 	12.4 	13.6 	15.3 	15.2 	14.3 	: 
LI_R_MD60,A_GE3,HU	5.8 	3.7 	5.1 	3.9 	4.6 	4.9 	6.2 	7.9 	5.9 	9.3 	6.4 	7.7 
LI_R_MD60,A_GE3,IE	6.7 	8.0 	4.3 	7.9 	6.4 	11.5 	8.5 	10.5 	15.6 	10.8 	7.2 	: 
LI_R_MD60,A_GE3,IS	4.6 	2.2 	3.7 	4.1 	3.4 	2.7 	2.7 	1.7 	1.5 	2.0 	1.2 p	: 
LI_R_MD60,A_GE3,IT	9.5 	10.0 	10.1 	9.8 	9.5 	11.2 	11.4 	12.1 	13.3 	12.8 	13.2 	12.1 
LI_R_MD60,A_GE3,LT	9.5 	6.6 	6.7 	9.2 	11.8 	10.5 	12.5 	9.2 	9.7 	8.9 	7.4 	6.9 
LI_R_MD60,A_GE3,LU	6.2 	5.6 	7.4 	6.7 	4.3 	7.8 	6.9 	6.5 	4.9 	6.4 	7.9 b	9.9 
LI_R_MD60,A_GE3,LV	11.6 	10.4 	12.3 	14.4 	13.5 	13.7 	10.6 	9.2 	10.6 	11.3 	11.6 	10.2 
LI_R_MD60,A_GE3,MK	: 	: 	: 	: 	: 	: 	20.6 	21.0 	16.4 	13.5 	13.6 	: 
LI_R_MD60,A_GE3,MT	4.1 	4.7 	3.3 	3.2 	3.9 	5.1 	4.2 	3.5 	4.1 	4.1 	5.7 	3.2 
LI_R_MD60,A_GE3,NL	5.0 	7.2 	7.1 	3.1 	4.7 	2.8 	3.8 	5.2 	4.3 	2.2 	4.4 b	8.5 
LI_R_MD60,A_GE3,NO	12.6 	6.3 	7.1 	6.1 	4.6 	1.7 	6.9 	7.0 	1.1 	4.7 	1.4 	1.7 
LI_R_MD60,A_GE3,PL	11.7 	9.8 	9.1 	9.8 	10.8 	10.7 	11.8 	10.4 	11.2 	10.8 	9.2 	12.0 
LI_R_MD60,A_GE3,PT	9.5 	9.3 	7.4 	8.7 	9.1 	9.1 	10.1 	12.0 	13.1 	13.7 	12.8 	12.5 
LI_R_MD60,A_GE3,RO	: 	14.9 	12.0 	12.9 	9.9 	12.3 	11.9 	13.7 	14.6 	13.0 	15.0 	14.1 
LI_R_MD60,A_GE3,RS	: 	: 	: 	: 	: 	: 	: 	19.2 	22.2 	19.9 	20.1 	: 
LI_R_MD60,A_GE3,SE	4.3 	5.1 	5.3 b	5.7 	9.9 	7.9 	4.3 	8.5 	12.0 	9.3 	10.5 	5.0 
LI_R_MD60,A_GE3,SI	6.4 	5.9 	6.8 	4.1 	5.5 	4.4 	5.0 	7.1 	7.5 	7.3 	6.8 	5.0 
LI_R_MD60,A_GE3,SK	4.7 	3.7 	3.5 	3.9 	4.8 	5.1 	6.0 	4.9 	6.4 	5.8 	5.3 	5.1 
LI_R_MD60,A_GE3,TR	10.3 	9.7 	11.3 	11.4 	10.5 	9.3 	9.1 	7.2 	8.2 	7.4 	: 	: 
LI_R_MD60,A_GE3,UK	13.3 	10.8 	11.0 	10.0 	9.5 	9.0 	9.9 b	7.1 	10.6 	12.7 	8.5 	: 
