currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,UK	-439635.7 	-519143.0 	-272721.9 	-144998.2 	-223864.4 	-55422.9 	-75497.1 	-155077.2 	-238109.3 	-197300.6 	-309907.4 	-279483.1 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,XK	245.4 	162.3 	136.8 	124.6 	179.1 	98.6 	160.4 	156.9 	166.0 	-366.4 	-572.3 	-594.8 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,AL	-3662.7 	-3647.5 	-3701.1 	-3916.4 	-4163.7 	-4343.2 	-4504.0 	-4758.0 	-5029.3 	-5226.5 	-5575.4 	-5951.1 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,AT	48531.0 	42889.0 	41815.0 	37445.0 	40859.0 	44484.0 	43855.0 	40555.0 	37642.0 	37305.0 	35312.0 	37320.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,BE	29929.0 	49793.0 	9054.0 	16337.0 	20974.0 	90126.0 	86314.0 	68365.0 	83091.0 	89348.0 	92525.0 	105114.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,BG	-37955.1 	-38279.9 	-38495.5 	-38971.2 	-39011.7 	-38655.3 	-38885.2 	-38994.6 	-38902.4 	-39061.1 	-39633.6 	-39168.5 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,CH	251471.1 	228840.9 	230868.1 	237280.2 	249374.2 	200031.5 	200881.8 	147236.6 	173163.4 	176768.9 	197290.8 	227203.1 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,CY	-6439.0 	-1691.0 	-2282.0 	-1397.0 	148.0 	-2975.0 	-4849.0 	-2565.0 	-9860.0 	-8629.0 	-7672.0 	-8795.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,CZ	-86278.6 	-90058.7 	-90728.9 	-93805.4 	-97074.1 	-97189.6 	-99557.2 	-104391.3 	-105950.8 	-109396.6 	-109476.5 	-109448.6 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,DE	492823.0 	520563.0 	503150.0 	496361.0 	493433.0 	540373.0 	553146.0 	534885.0 	536192.0 	546388.0 	561372.0 	603606.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,DK	78565.2 	81161.4 	81160.5 	79723.6 	78320.7 	85258.9 	93949.6 	90649.4 	89688.1 	86242.1 	85719.6 	84864.3 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,EA19	1891257.0 	2003631.0 	1980696.0 	1978091.0 	2011721.0 	2154877.0 	2141754.0 	2060904.0 	2018763.0 	1902588.0 	1911360.0 	2044935.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,EE	-12044.1 	-11823.3 	-12115.8 	-12118.5 	-12340.7 	-12609.1 	-12808.6 	-12908.8 	-13379.3 	-13412.9 	-13046.9 	-13681.8 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,EL	8605.0 	310.0 	-208.0 	-2392.0 	-3452.0 	-6270.0 	-6655.0 	-7918.0 	-7470.0 	-10992.0 	-10904.0 	-12347.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,ES	-53465.0 	-46255.0 	-48801.0 	-39452.0 	-51958.0 	-40900.0 	-41192.0 	-59943.0 	-52916.0 	-53157.0 	-62614.0 	-86413.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,FI	13587.0 	11866.0 	33134.0 	26596.0 	28442.0 	29905.0 	34405.0 	36137.0 	36431.0 	29947.0 	28420.0 	34395.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,FR	529318.0 	533496.0 	500860.0 	519880.0 	505157.0 	545273.0 	521889.0 	497517.0 	486981.0 	481231.0 	510850.0 	525227.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,HR	-18879.6 	-18752.8 	-18921.9 	-19130.7 	-21048.7 	-21409.8 	-22005.6 	-22073.6 	-22099.9 	-23006.3 	-22904.3 	-23245.2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__D__F,HU	-53555.5 	-45609.4 	-44083.1 	-41335.3 	-44709.4 	-42822.2 	-41953.8 	-40062.3 	-41550.9 	-43035.8 	-43288.6 	-40328.6 
