unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
AVG,TOTAL,T,FR	3.6 	3.5 	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.5 	3.5 
AVG,TOTAL,T,HR	: 	: 	: 	: 	3.7 	3.7 	3.7 	3.7 	3.7 	3.6 	3.6 	: 
AVG,TOTAL,T,HU	4.0 	3.9 	3.8 	3.8 	3.9 	3.9 	4.0 	4.1 	4.1 	4.0 	3.9 	3.8 
AVG,TOTAL,T,IE	3.7 	3.6 	3.6 	3.5 	3.4 	3.5 	3.5 	3.6 	3.5 	3.5 	3.6 	: 
AVG,TOTAL,T,IS	3.3 	3.3 	3.4 b	3.3 	3.4 	3.4 	3.4 	3.4 	3.4 	3.4 	3.3 p	: 
AVG,TOTAL,T,IT	3.7 	3.7 	3.7 	3.7 	3.7 	3.7 	3.8 	3.7 	3.7 	3.7 	3.9 	3.8 
AVG,TOTAL,T,LT	4.1 	4.0 	3.9 b	4.0 	3.9 	3.9 	3.9 	3.8 	3.7 	3.8 	3.8 	3.8 
AVG,TOTAL,T,LU	3.5 	3.4 	3.3 	3.3 	3.2 	3.3 	3.4 	3.4 	3.4 	3.5 	3.4 b	3.4 
AVG,TOTAL,T,LV	4.1 	4.0 	4.0 b	4.0 	4.1 	4.1 	4.0 	4.1 	4.0 	4.0 	3.8 	3.9 
AVG,TOTAL,T,MK	: 	: 	: 	: 	: 	: 	4.4 	4.3 	4.4 	4.1 	4.1 	: 
AVG,TOTAL,T,MT	3.4 	3.4 	3.4 	3.4 	3.6 	3.5 	3.7 	3.7 	3.8 	3.8 	3.6 	3.6 
AVG,TOTAL,T,NL	3.5 	3.4 	3.4 	3.4 	3.4 	3.5 	3.5 	3.4 	3.5 	3.5 	3.5 b	3.5 
AVG,TOTAL,T,NO	3.7 	3.7 	3.6 	3.6 	3.5 	3.7 	3.6 	3.6 	3.5 	3.6 	3.7 	3.7 
AVG,TOTAL,T,PL	4.1 	3.9 	3.8 b	3.8 	3.8 	3.7 	3.7 	3.7 	3.7 	3.8 	3.7 	3.7 
AVG,TOTAL,T,PT	3.7 	3.7 	3.6 	3.7 	3.6 	3.6 	3.6 	3.6 	3.6 	3.7 	3.6 	3.6 
AVG,TOTAL,T,RO	: 	4.6 	4.3 	4.3 	4.2 	4.2 	4.3 	4.3 	4.2 	4.2 	4.1 	3.9 
AVG,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	4.1 	4.1 	4.0 	3.9 	: 
AVG,TOTAL,T,SE	3.5 	3.5 	3.4 b	3.4 	3.4 	3.4 	3.4 	3.5 	3.3 	3.3 	3.3 	3.3 
AVG,TOTAL,T,SI	3.5 	3.5 	3.5 	3.5 	3.5 	3.5 	3.6 	3.6 	3.5 	3.6 	3.6 	3.5 
AVG,TOTAL,T,SK	3.8 	3.7 	3.6 	3.7 	3.7 	3.7 	3.7 	3.7 	3.7 	3.7 	3.6 	3.7 
AVG,TOTAL,T,TR	4.8 	4.7 	4.6 	4.7 	4.7 	4.6 	4.6 	4.5 b	4.2 	4.2 	: 	: 
AVG,TOTAL,T,UK	3.6 	3.5 	3.5 	3.4 u	3.5 	3.5 	3.7 b	3.7 	3.7 	3.6 	3.6 	: 
