reason,sex,age,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
FAMRESP,M,Y20-64,PC_INAC,EU28	: 	: 	1.8 	1.9 	1.7 	1.5 b	1.9 	2.2 	2.9 	3.1 	3.3 	3.4 	3.7 	4.0 	3.9 	4.1 	4.3 	4.5 
FAMRESP,M,Y20-64,PC_INAC,FI	1.1 bu	1.4 u	1.0 u	1.5 	1.3 u	1.0 bu	1.6 	2.3 b	2.4 b	1.9 	1.8 	2.3 	2.7 	2.3 	2.3 	2.0 	3.0 	2.5 
FAMRESP,M,Y20-64,PC_INAC,FR	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: u	0.7 u	: u	0.6 u	1.0 u	1.1 bu	0.8 u	1.1 u	1.1 u
FAMRESP,M,Y20-64,PC_INAC,HR	: 	: 	1.5 u	4.1 bu	3.2 u	3.6 bu	3.3 bu	4.1 	4.4 	4.2 	5.6 	5.5 	6.3 	6.9 	5.8 	6.1 	8.5 	6.3 
FAMRESP,M,Y20-64,PC_INAC,HU	1.4 	1.6 b	1.0 	1.4 	1.4 	2.2 b	2.0 	2.0 	1.9 	2.0 	1.9 	2.1 	2.1 	2.4 	2.6 	2.7 	3.5 	3.5 
FAMRESP,M,Y20-64,PC_INAC,IE	: u	: u	: u	: u	: u	: bu	1.8 u	2.0 b	1.9 	1.4 u	1.2 u	1.3 u	5.2 b	6.7 	8.3 	9.2 	9.0 	10.5 b
FAMRESP,M,Y20-64,PC_INAC,IS	: c	: 	: c	: bc	: c	: 	: c	: u	: c	: u	: c	: c	: c	: c	: u	: u	: c	: c
FAMRESP,M,Y20-64,PC_INAC,IT	1.2 	2.3 	1.9 	2.3 	0.6 b	1.2 b	1.6 	1.8 	2.2 	3.1 	2.9 	3.5 	4.2 	5.1 	4.1 	3.8 	3.3 	3.3 
FAMRESP,M,Y20-64,PC_INAC,LT	: u	4.0 u	: bu	: u	: u	: bu	: u	4.8 u	5.7 u	5.2 	4.3 u	3.8 u	4.6 u	3.7 u	4.8 u	7.0 	7.0 	8.2 
FAMRESP,M,Y20-64,PC_INAC,LU	: u	: u	: u	: bu	2.2 u	: bu	2.5 u	3.8 b	3.9 	: bu	3.2 u	3.3 	3.7 	4.2 	2.3 u	2.7 bu	2.7 u	2.3 u
FAMRESP,M,Y20-64,PC_INAC,LV	: 	: u	7.6 bu	: u	: u	6.2 b	9.0 	8.1 	8.1 	4.9 	6.5 	8.5 	7.7 	9.7 	9.3 	10.6 	11.0 	7.9 
FAMRESP,M,Y20-64,PC_INAC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.9 	7.0 	14.1 	11.3 	13.5 	11.1 	11.4 
FAMRESP,M,Y20-64,PC_INAC,MK	: 	: 	: 	: 	: 	: 	2.1 	4.8 	3.3 	2.4 	2.8 	3.5 	4.0 	2.6 	4.1 	4.0 	4.3 	5.8 
