duration,sex,age,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
M24-59,T,Y20-64,PC,CZ	18.4 b	18.3 	17.7 	18.6 	18.5 	18.4 	17.6 b	17.7 	17.0 	16.1 	15.1 	15.4 	16.7 
M24-59,T,Y20-64,PC,DE	15.9 b	14.7 	14.3 	14.4 	15.0 	15.7 b	15.3 b	15.3 	15.5 	16.2 	15.9 	15.3 	15.6 
M24-59,T,Y20-64,PC,DK	18.0 b	16.7 	16.2 	17.6 	21.1 	23.0 	21.1 	18.9 	17.1 	16.7 	17.5 	18.0 b	18.8 b
M24-59,T,Y20-64,PC,EA18	16.3 b	15.2 	15.0 	15.3 	16.0 	16.6 	16.0 	15.2 	14.7 	14.8 	14.3 	14.0 	14.3 
M24-59,T,Y20-64,PC,EA19	16.3 b	15.3 	15.1 	15.4 	16.1 	16.7 	16.1 	15.2 	14.7 	14.9 	14.3 	14.1 	14.3 
M24-59,T,Y20-64,PC,EE	21.6 b	22.4 	22.9 	23.8 	23.9 	23.3 	18.9 	17.1 	19.0 	20.3 	20.9 	21.2 	19.6 
M24-59,T,Y20-64,PC,EL	15.4 b	15.3 	15.2 	15.3 	16.1 b	15.6 	15.4 	14.4 	12.4 	11.9 	11.2 	12.5 	12.8 
M24-59,T,Y20-64,PC,ES	17.4 b	16.7 	17.0 	17.7 	18.6 	18.8 	17.2 	14.9 	13.4 	13.3 	12.3 	12.1 	13.0 
M24-59,T,Y20-64,PC,EU27	16.9 b	16.2 	16.1 	16.5 	17.4 	18.0 	17.3 	16.4 	15.8 	15.9 	15.4 	15.5 	15.8 
M24-59,T,Y20-64,PC,EU28	16.9 b	16.2 	16.1 	16.5 	17.4 	18.0 	17.3 	16.4 	15.8 	15.8 	15.4 	15.5 	15.8 
M24-59,T,Y20-64,PC,FI	14.2 b	13.9 	14.0 	14.4 b	16.1 	17.0 	15.8 	14.7 	15.3 	16.7 	16.4 	14.9 	14.4 
M24-59,T,Y20-64,PC,FR	15.3 b	14.2 	14.0 	14.0 	15.2 	15.8 	15.2 	14.1 	14.0 	14.2 b	14.0 	13.6 	13.5 
M24-59,T,Y20-64,PC,HR	14.9 b	15.6 b	16.6 	16.9 	17.2 	18.3 	16.3 	14.6 	14.0 	14.1 	12.9 	13.6 	14.8 
M24-59,T,Y20-64,PC,HU	19.1 b	18.9 	18.1 	18.4 	18.9 	18.8 	18.6 	18.4 	18.4 	19.7 	18.6 	19.1 	20.0 
M24-59,T,Y20-64,PC,IE	18.5 b	15.4 	21.1 b	20.8 	22.5 	22.8 	19.5 	16.7 	15.0 	14.7 	14.4 	15.5 	17.0 b
M24-59,T,Y20-64,PC,IS	17.0 b	15.1 	17.2 	20.3 	21.6 	21.8 	20.2 	17.5 	17.1 	18.9 	17.7 	19.1 	18.5 
M24-59,T,Y20-64,PC,IT	16.8 b	15.7 	14.9 	15.1 	15.6 	16.1 	15.3 	14.5 	13.8 	13.3 	12.4 	12.4 	12.6 
M24-59,T,Y20-64,PC,LT	19.2 b	19.5 	24.2 	27.2 	27.0 	23.7 	21.2 	20.2 	18.8 	20.8 	20.3 	19.9 	19.2 
M24-59,T,Y20-64,PC,LU	16.1 b	15.8 	16.2 b	16.1 	17.5 b	17.8 	18.2 	18.5 	18.0 	17.2 	18.3 b	17.6 b	17.6 
M24-59,T,Y20-64,PC,LV	20.4 b	19.3 	19.7 	21.3 	22.2 	20.6 	19.8 	19.1 	18.7 	20.1 	19.1 	20.1 	20.5 
M24-59,T,Y20-64,PC,ME	: 	: 	: 	: 	: 	: 	17.5 	18.1 	17.1 	15.1 	13.4 	13.9 	15.1 
M24-59,T,Y20-64,PC,MK	: 	14.4 	11.4 	12.1 	12.2 	13.7 	14.5 	15.5 	15.7 	16.0 	16.1 	18.1 	18.9 
