currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,G,S1,S1,BAL,WRL_REST,AT	-5779.0 	-6196.0 	-4596.0 	-4233.0 	-3851.0 	-3309.0 	-2089.0 	2024.0 	70.0 	718.0 	1123.0 	2567.0 	3895.0 	1572.0 	-492.0 	-1384.0 	-3631.0 	-3162.0 	-996.0 	838.0 	2276.0 	1881.0 	872.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,BE	: 	: 	: 	: 	: 	4984.2 	5626.0 	10606.4 	8327.3 	7523.7 	3516.1 	2685.4 	3126.5 	-9974.0 	-3377.0 	-3427.0 	-9726.0 	-9629.0 	-6621.0 	-5302.0 	-949.0 	46.0 	381.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-15409.2 	-18222.1 	-9425.9 	-7008.7 	-5261.6 	-7807.7 	-5735.9 	-5430.5 	-5129.0 	-1925.4 	-1497.9 
MIO_NAC,G,S1,S1,BAL,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-5725.0 	-4038.0 	-4411.0 	-3979.0 	-3513.0 	-2938.0 	-2812.0 	-2970.0 	-3885.0 	-4756.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,CZ	-133103.0 	-170287.0 	-181707.0 	-127693.0 	-154327.0 	-228786.0 	-225758.0 	-173914.0 	-168215.0 	-67842.0 	19729.0 	24373.0 	10368.0 	-4428.0 	64961.0 	40390.0 	75479.0 	123800.0 	166973.0 	219952.0 	188032.0 	245690.0 	240950.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,DE	50759.0 	58812.0 	67148.0 	71635.0 	68017.0 	64061.0 	101273.0 	142103.0 	130020.0 	153166.0 	157009.0 	161446.0 	201989.0 	184521.0 	141167.0 	161148.0 	163426.0 	200401.0 	212662.0 	228185.0 	261134.0 	267999.0 	265361.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54522.0 	32593.0 	14619.0 	23986.0 	68734.0 	89399.0 	90110.0 	81965.0 	85771.0 	89259.0 	96647.0 	123609.0 	123037.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,EE	-505.1 	-821.1 	-1057.5 	-1088.8 	-883.0 	-963.4 	-1120.4 	-1354.1 	-1574.9 	-1759.7 	-1550.7 	-2381.8 	-2554.5 	-2095.0 	-726.0 	-404.0 	-351.4 	-1280.1 	-924.8 	-993.1 	-882.2 	-760.9 	-816.3 
MIO_NAC,G,S1,S1,BAL,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-29364.0 	-35205.0 	-42788.0 	-44364.0 	-33136.0 	-30377.0 	-26287.0 	-21030.0 	-20776.0 	-22255.0 	-17232.0 	-16584.0 	-18353.0 
MIO_NAC,G,S1,S1,BAL,WRL_REST,ES	-15757.0 	-13471.0 	-13994.0 	-20627.0 	-30911.0 	-41171.0 	-40136.0 	-38623.0 	-42251.0 	-56033.0 	-71082.0 	-86447.0 	-93241.0 	-87038.0 	-41472.0 	-47804.0 	-44475.0 	-29250.0 	-14011.0 	-22217.0 	-21589.0 	-15267.0 	-21843.0 
