na_item,co_nco,sector,finpos,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,CO,S121,LIAB,PC_GDP,ES	18.6 	19.0 	18.6 	17.7 	19.3 	17.9 	13.4 	13.0 	13.5 	13.0 	13.6 	13.9 	16.4 	18.9 	20.4 	19.0 	33.4 	53.1 	37.4 	34.9 	41.4 	51.9 	59.6 
F,CO,S121,LIAB,PC_GDP,FI	11.5 	7.8 	6.0 	5.4 	7.7 	5.4 	6.1 	9.0 	9.1 	9.3 	9.6 	9.3 	10.2 	13.3 	17.8 	22.9 	47.8 	48.4 	22.6 	20.7 	24.2 	33.7 	47.0 
F,CO,S121,LIAB,PC_GDP,FR	6.9 	6.6 	6.8 	7.8 	9.7 	8.1 	7.9 	9.3 	9.4 	9.9 	11.4 	12.0 	18.0 	26.7 	25.4 	23.4 	33.8 	34.2 	25.0 	25.9 	31.5 	36.8 	44.7 
F,CO,S121,LIAB,PC_GDP,HR	: 	: 	: 	: 	: 	: 	20.5 	20.2 	22.2 	20.1 	22.1 	23.3 	22.7 	19.5 	23.1 	24.2 	25.6 	25.9 	30.0 	29.6 	31.2 	30.7 	35.1 
F,CO,S121,LIAB,PC_GDP,HU	90.5 	69.5 	56.5 	51.2 	49.8 	45.0 	35.3 	22.5 	20.2 	17.0 	19.2 	18.4 	17.0 	25.8 	32.8 	36.0 	42.7 	35.8 	36.7 	37.6 	32.4 	26.7 	22.8 
F,CO,S121,LIAB,PC_GDP,IE	: 	: 	: 	: 	: 	: 	19.0 	15.3 	18.9 	18.0 	19.3 	21.8 	27.1 	61.8 	73.1 	121.3 	102.4 	78.0 	57.7 	41.3 	29.6 	30.2 	30.1 
F,CO,S121,LIAB,PC_GDP,IT	12.2 	10.2 	10.4 	10.0 	12.4 	10.4 	8.2 	8.8 	7.9 	8.5 	8.9 	10.1 	10.9 	11.9 	13.8 	14.1 	25.4 	30.2 	29.2 	26.8 	29.2 	39.0 	47.4 
F,CO,S121,LIAB,PC_GDP,LT	13.6 	11.1 	11.1 	13.8 	12.1 	12.0 	13.5 	15.5 	17.7 	14.8 	15.7 	18.7 	18.5 	14.4 	17.7 	19.0 	21.3 	19.9 	17.6 	22.2 	30.4 	37.2 	44.7 
F,CO,S121,LIAB,PC_GDP,LU	: 	: 	: 	: 	72.2 	90.6 	76.8 	99.3 	105.8 	124.0 	145.5 	154.5 	158.3 	264.3 	208.2 	198.1 	294.4 	273.2 	254.1 	232.7 	303.9 	378.1 	374.3 
F,CO,S121,LIAB,PC_GDP,LV	15.1 	15.7 	16.1 	15.6 	16.3 	14.8 	16.8 	15.9 	14.9 	15.9 	16.4 	20.7 	17.9 	20.0 	26.2 	32.6 	24.8 	26.6 	25.8 	33.9 	45.5 	58.5 	64.3 
