indic_il,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60,TOTAL,F,LT	13.5 	7.7 	5.3 	4.0 	8.4 	9.7 	6.2 	6.0 	4.8 	5.1 	4.5 	4.6 
LI_R_MD60,TOTAL,F,LU	14.1 	14.3 	14.6 	14.8 	14.1 	15.8 	17.9 	18.4 	17.5 	15.5 	19.1 b	19.0 
LI_R_MD60,TOTAL,F,LV	19.5 	10.0 	7.7 	6.1 	7.2 	9.1 	8.2 	7.4 	5.8 	5.4 	4.2 	: 
LI_R_MD60,TOTAL,F,MT	13.7 	12.8 	13.4 	10.6 	12.5 	11.9 	10.7 	10.0 	7.3 	6.0 	6.0 	5.0 
LI_R_MD60,TOTAL,F,NL	10.0 	9.5 	7.7 	8.1 	7.3 	8.2 	8.8 	8.7 	10.1 	8.3 	7.6 b	7.2 
LI_R_MD60,TOTAL,F,NO	13.0 	11.8 	9.4 	7.4 	6.3 	5.5 	4.3 	4.4 	4.5 	5.4 	5.5 	: 
LI_R_MD60,TOTAL,F,PL	15.3 	12.2 	8.0 	6.7 	6.0 	5.8 	5.8 	5.6 	4.9 	4.5 	4.1 	: 
LI_R_MD60,TOTAL,F,PT	19.9 	19.1 	17.6 	15.5 	14.3 	16.1 	18.4 	19.5 	20.9 	19.8 	18.0 	16.7 
LI_R_MD60,TOTAL,F,SE	11.2 	8.6 	9.7 b	9.6 	9.9 	10.8 	8.9 	8.9 	8.9 	7.8 	7.8 	7.5 
LI_R_MD60,TOTAL,F,SI	11.9 	10.9 	10.0 	7.6 	9.3 	10.0 	9.8 	12.4 	12.2 	10.8 	10.4 	: 
LI_R_MD60,TOTAL,F,SK	8.9 	5.3 	4.7 	2.3 	2.5 	2.6 	2.0 	2.7 	3.0 	3.4 	2.5 	3.2 
LI_R_MD60,TOTAL,F,UK	18.8 	15.9 	15.7 	16.4 	17.4 	18.5 	16.4 b	16.8 	16.7 	14.8 	14.0 	: 
LI_R_MD60,TOTAL,M,AT	11.3 	11.1 	13.5 b	11.1 	11.1 	11.8 	11.3 	11.8 	10.5 	10.9 	10.8 	: 
LI_R_MD60,TOTAL,M,BE	13.2 	13.6 	13.8 	10.7 	11.8 	12.8 	13.1 	11.5 	11.9 	10.7 	10.9 	: 
LI_R_MD60,TOTAL,M,CY	10.4 	8.6 	8.8 	7.8 	10.4 	8.7 	9.7 	14.0 	18.5 	22.3 	20.3 	17.5 
LI_R_MD60,TOTAL,M,CZ	8.1 	6.8 	5.8 	4.4 	5.0 	4.9 	5.2 	4.6 	4.9 	4.8 	4.3 	: 
LI_R_MD60,TOTAL,M,DE	14.5 	12.8 	12.6 	12.9 	12.7 	13.4 	13.1 	13.7 	14.6 	13.4 	11.5 	10.7 
LI_R_MD60,TOTAL,M,DK	11.0 	10.4 	11.0 	11.0 	11.9 	9.8 b	10.1 	10.1 	10.1 	9.3 	8.9 	: 
LI_R_MD60,TOTAL,M,EA18	14.8 	14.1 	13.3 e	12.7 e	13.0 e	14.7 e	15.8 e	16.7 e	17.7 e	17.1 e	15.9 e	15.5 e
LI_R_MD60,TOTAL,M,EA19	14.8 	14.0 	13.2 e	12.6 e	13.0 e	14.7 e	15.7 e	16.6 e	17.5 e	16.9 e	15.9 e	15.4 e
LI_R_MD60,TOTAL,M,EE	11.2 	8.1 	5.7 	4.6 	6.1 	8.5 	7.8 	7.0 	7.1 b	6.0 	4.1 	3.7 
LI_R_MD60,TOTAL,M,EL	19.2 	18.9 	18.1 	15.8 	15.7 	22.4 	31.8 	39.0 	42.5 	41.9 	42.0 	: 
LI_R_MD60,TOTAL,M,ES	17.6 	16.8 	12.2 b	11.2 	12.9 	14.8 	17.1 	18.0 	20.9 	20.4 	19.0 	: 
LI_R_MD60,TOTAL,M,EU28	: 	: 	: 	: 	12.5 e	13.6 e	14.3 e	14.8 e	15.3 e	14.7 e	13.6 e	: 
LI_R_MD60,TOTAL,M,FI	10.6 	10.4 	10.5 	8.8 	8.2 	8.7 	9.0 	8.0 	8.2 	7.8 	7.7 	: 
LI_R_MD60,TOTAL,M,HU	13.9 	10.5 	9.6 	9.0 	10.6 	12.4 	12.7 	14.6 	13.1 	11.5 	8.7 	: 
LI_R_MD60,TOTAL,M,IE	16.0 	11.3 	9.7 	9.7 	12.8 	16.6 	17.8 	16.8 	17.0 	13.6 	12.3 	: 
LI_R_MD60,TOTAL,M,IS	8.4 	5.8 	6.4 	6.7 	9.8 	11.3 	12.8 	12.2 	8.2 	8.2 	5.5 p	: 
LI_R_MD60,TOTAL,M,IT	17.8 	17.5 	17.0 	16.7 	16.9 	19.6 	20.7 	21.8 	21.7 	22.4 	22.0 	21.3 
LI_R_MD60,TOTAL,M,LT	13.4 	7.4 	5.6 	5.5 	11.4 	9.8 	6.3 	5.9 	5.5 	6.2 	6.3 	6.4 
LI_R_MD60,TOTAL,M,LU	13.4 	13.2 	13.0 	12.8 	14.4 	13.9 	16.7 	18.2 	17.1 	14.8 	16.7 b	17.5 
LI_R_MD60,TOTAL,M,LV	16.6 	9.4 	6.9 	7.2 	9.7 	11.4 	9.8 	8.5 	7.2 	6.1 	5.0 	: 
LI_R_MD60,TOTAL,M,MT	12.4 	12.3 	11.6 	9.8 	11.6 	11.0 	9.9 	9.5 	7.7 	6.5 	6.4 	5.1 
LI_R_MD60,TOTAL,M,NL	9.6 	8.5 	7.6 	7.9 	6.5 	8.1 	8.1 	8.7 	9.7 	8.4 	7.6 b	7.8 
LI_R_MD60,TOTAL,M,NO	10.5 	9.1 	7.3 	6.7 	6.7 	6.0 	5.0 	4.7 	4.9 	5.1 	5.3 	: 
LI_R_MD60,TOTAL,M,PL	16.7 	12.9 	8.6 	7.2 	6.7 	6.5 	6.5 	6.0 	5.6 	5.6 	4.7 	: 
LI_R_MD60,TOTAL,M,PT	18.3 	17.3 	16.5 	14.4 	13.8 	15.5 	17.6 	19.5 	19.9 	18.6 	16.8 	16.1 
LI_R_MD60,TOTAL,M,SE	11.6 	9.2 	9.9 b	9.7 	9.7 	9.6 	9.0 	8.5 	8.6 	8.1 	8.4 	8.2 
LI_R_MD60,TOTAL,M,SI	9.2 	8.4 	8.1 	5.7 	7.4 	7.7 	8.6 	11.1 	11.1 	9.1 	8.8 	: 
LI_R_MD60,TOTAL,M,SK	9.4 	5.5 	4.9 	2.6 	2.8 	2.9 	2.2 	3.0 	3.4 	3.7 	3.1 	3.9 
LI_R_MD60,TOTAL,M,UK	17.1 	14.4 	13.8 	15.2 	16.1 	15.7 	16.0 b	15.7 	15.2 	14.2 	13.0 	: 
LI_R_MD60,TOTAL,T,AT	12.8 	12.5 	14.2 b	11.7 	11.9 	12.3 	12.1 	12.6 	11.2 	11.3 	10.9 	: 
LI_R_MD60,TOTAL,T,BE	14.2 	14.4 	15.0 	11.5 	12.3 	13.1 	13.6 	11.5 	11.9 	11.1 	11.7 	: 
LI_R_MD60,TOTAL,T,CY	12.5 	10.2 	10.8 	9.8 	12.1 	10.6 	11.5 	15.2 	19.6 	23.5 	21.5 	18.9 
LI_R_MD60,TOTAL,T,CZ	8.7 	7.2 	6.0 	4.6 	5.1 	5.1 	5.5 	4.8 	5.2 	4.9 	4.3 	: 
LI_R_MD60,TOTAL,T,DE	15.3 	13.8 	13.4 	13.5 	13.3 	14.1 	14.2 	14.7 	15.1 	13.8 	12.2 	11.2 
LI_R_MD60,TOTAL,T,DK	11.3 	10.8 	11.2 	11.1 	11.6 	9.4 b	9.8 	9.5 	9.8 	8.7 	8.7 	: 
LI_R_MD60,TOTAL,T,EA18	15.9 	15.0 	14.1 e	13.4 e	13.6 e	15.4 e	16.5 e	17.3 e	18.1 e	17.4 e	16.4 e	16.0 e
LI_R_MD60,TOTAL,T,EA19	15.9 	14.9 	14.0 e	13.3 e	13.6 e	15.3 e	16.4 e	17.2 e	18.0 e	17.3 e	16.3 e	15.9 e
LI_R_MD60,TOTAL,T,EE	11.5 	8.1 	5.4 	3.7 	5.3 	7.9 	7.2 	6.4 	6.3 b	5.0 	3.4 	2.9 
LI_R_MD60,TOTAL,T,EL	20.2 	19.6 	18.5 	16.2 	16.3 	22.9 	32.3 	40.0 	42.7 	42.2 	42.4 	: 
LI_R_MD60,TOTAL,T,ES	18.9 	17.7 	12.9 b	11.5 	13.0 	15.3 	17.1 	17.6 	20.7 	19.9 	18.8 	: 
LI_R_MD60,TOTAL,T,EU28	: 	: 	: 	: 	13.0 e	14.2 e	14.8 e	15.3 e	15.7 e	14.9 e	14.0 e	: 
LI_R_MD60,TOTAL,T,FI	11.0 	11.0 	10.9 	9.4 	8.5 	8.8 	9.1 	7.8 	8.1 	7.4 	7.2 	: 
LI_R_MD60,TOTAL,T,HU	13.5 	10.3 	9.5 	8.7 	10.2 	11.9 	12.2 	14.1 	12.6 	11.0 	8.7 	: 
LI_R_MD60,TOTAL,T,IE	17.0 	12.0 	9.9 	9.9 	13.3 	16.4 	18.2 	17.1 	17.2 	13.6 	12.7 	: 
LI_R_MD60,TOTAL,T,IS	8.9 	6.1 	6.1 	7.0 	9.7 	11.6 	13.2 	12.5 	8.0 	8.0 	5.2 p	: 
LI_R_MD60,TOTAL,T,IT	19.5 	18.9 	18.5 	18.3 	18.3 	20.9 	22.1 	23.0 	22.8 	23.4 	22.9 	22.2 
LI_R_MD60,TOTAL,T,LT	13.5 	7.6 	5.4 	4.7 	9.8 	9.7 	6.3 	6.0 	5.1 	5.6 	5.3 	5.4 
LI_R_MD60,TOTAL,T,LU	13.7 	13.7 	13.8 	13.8 	14.2 	14.9 	17.3 	18.3 	17.3 	15.2 	17.9 b	18.3 
LI_R_MD60,TOTAL,T,LV	18.1 	9.7 	7.4 	6.6 	8.3 	10.1 	8.9 	7.9 	6.5 	5.7 	4.6 	: 
LI_R_MD60,TOTAL,T,MT	13.0 	12.6 	12.5 	10.2 	12.1 	11.4 	10.3 	9.8 	7.5 	6.3 	6.2 	5.0 
LI_R_MD60,TOTAL,T,NL	9.8 	9.0 	7.7 	8.0 	6.9 	8.1 	8.4 	8.7 	9.9 	8.4 	7.6 b	7.5 
LI_R_MD60,TOTAL,T,NO	11.7 	10.5 	8.4 	7.1 	6.5 	5.7 	4.6 	4.6 	4.7 	5.2 	5.4 	: 
LI_R_MD60,TOTAL,T,PL	16.0 	12.5 	8.3 	7.0 	6.3 	6.1 	6.1 	5.8 	5.3 	5.0 	4.4 	: 
LI_R_MD60,TOTAL,T,PT	19.2 	18.2 	17.0 	15.0 	14.1 	15.8 	18.0 	19.5 	20.4 	19.3 	17.4 	16.5 
LI_R_MD60,TOTAL,T,SE	11.4 	8.9 	9.8 b	9.7 	9.8 	10.2 	8.9 	8.7 	8.7 	7.9 	8.1 	7.9 
LI_R_MD60,TOTAL,T,SI	10.6 	9.7 	9.1 	6.7 	8.3 	8.8 	9.2 	11.7 	11.6 	9.9 	9.6 	: 
LI_R_MD60,TOTAL,T,SK	9.1 	5.4 	4.8 	2.4 	2.6 	2.7 	2.1 	2.8 	3.2 	3.6 	2.8 	3.5 
LI_R_MD60,TOTAL,T,UK	18.0 	15.1 	14.8 	15.8 	16.8 	17.1 	16.2 b	16.2 	15.9 	14.5 	13.5 	: 
