sex,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
M,PL	9.0 	8.8 	7.6 	7.9 	7.0 	6.9 	6.0 	5.8 	6.1 	5.7 	4.8 	5.0 	4.7 	4.2 	4.5 	4.5 
M,PT	23.2 	24.4 	24.3 	23.7 	20.5 	19.8 	16.7 	18.1 	15.8 	15.5 	14.6 	13.3 	12.8 	12.6 	11.7 	11.2 
M,RO	20.8 	24.1 	22.7 	21.3 	19.7 	16.9 	16.1 	15.2 	15.3 	14.8 	14.5 	13.0 	12.6 	11.2 	11.3 	11.0 
M,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	4.3 	4.5 	3.1 	2.9 
M,SE	2.3 	2.4 	2.6 	2.4 	1.7 	2.3 	2.2 	2.2 	1.8 	2.4 	1.5 	1.7 	1.9 	2.3 	1.3 	1.6 
M,SI	2.1 	3.7 	4.4 	3.4 	1.4 	2.1 	: 	4.1 	3.4 	2.0 	: 	1.8 	1.1 	1.0 	3.0 	: 
M,SK	3.6 	2.8 	3.5 	: 	3.3 	: 	2.3 	1.6 	: 	1.9 	2.0 	1.4 	1.2 	1.3 	1.7 	1.6 
M,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.5 d	5.1 d	5.1 d	5.1 d	4.3 d
M,UK	2.6 	2.3 	2.6 	2.6 	2.1 	2.3 	2.4 	2.3 	2.3 	2.3 	2.0 	2.0 d	1.9 d	2.0 	1.8 	2.0 
T,AL	: 	: 	: 	: 	2.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,AT	2.2 	2.1 	5.0 	5.9 	5.4 	6.3 	4.7 	4.4 	4.8 	4.8 	4.5 	4.7 	3.9 	4.4 	4.5 	4.3 
T,BE	: 	: 	: 	2.8 	2.9 	2.7 	2.3 	2.5 	2.6 	2.2 	2.0 	1.8 	1.7 	1.8 	1.4 	1.4 
T,BG	5.1 	5.0 	4.4 	4.2 	4.1 	4.4 	4.3 	4.2 	3.6 	3.1 	3.1 	2.7 	2.7 	2.4 	2.4 	2.1 
T,CH	4.0 	3.7 	3.2 	3.2 	2.9 	2.6 	2.6 	2.2 	2.2 	1.9 	2.0 	2.0 	2.0 	1.9 	1.8 	1.6 
T,CY	: 	: 	: 	: 	1.3 	2.1 	1.2 	1.0 	: 	: 	0.7 	1.7 	1.5 	1.0 	1.6 	1.6 
T,CZ	1.8 	1.4 	: 	: 	: 	1.0 	0.9 	1.2 	1.1 	1.1 	0.8 	2.1 	1.9 	1.1 	1.0 	1.0 
T,DE	3.2 	2.9 	2.9 	2.9 	2.7 	2.5 	2.4 	2.3 	2.1 	2.2 	2.2 	2.2 d	2.1 d	2.0 	1.8 	1.8 
T,DK	1.7 	1.9 	1.9 	1.9 	2.2 	1.7 	1.5 	1.5 	1.3 	1.6 	: 	1.0 	1.3 	1.3 	1.1 	0.9 
T,EE	8.7 	8.5 	7.0 	8.2 	9.8 	6.4 	9.0 	8.3 	7.7 	8.7 	6.5 	8.7 	7.3 	6.5 	6.4 	5.4 
T,EL	1.7 	2.0 	2.1 	2.3 	1.8 	2.0 	1.9 	1.9 	1.7 	1.6 	1.6 	1.4 	2.0 	1.9 	1.8 	1.4 
T,ES	7.8 	7.7 	7.6 	7.7 	7.5 	7.0 	6.3 	6.1 	5.5 	5.6 	5.2 	4.5 	4.4 	4.0 	4.0 	3.7 
T,EU28	: 	: 	4.8 p	4.9 	4.6 p	4.4 p	4.0 	4.0 	3.9 	3.7 	3.6 p	3.4 d	3.3 d	3.1 d	3.0 	2.9 
T,FI	3.8 	3.0 	2.8 	2.3 	2.1 	2.2 	1.7 	1.7 	1.6 	1.6 	1.2 	1.5 	1.2 	0.8 	1.0 	: 
T,FR	: 	5.8 	5.4 	5.0 	4.7 	4.5 	4.0 	3.7 	3.6 	3.0 	2.9 	2.7 	2.6 	2.5 	2.2 	2.1 
T,HR	: 	: 	5.8 	4.9 	5.4 	4.4 	5.0 	3.9 	3.6 	4.0 	3.3 	2.6 	2.7 d	2.4 	2.2 	2.7 
T,HU	4.8 	4.9 	4.1 	3.6 	3.5 	3.1 	2.0 	2.6 	2.2 	2.4 	2.1 	1.9 d	3.3 d	3.2 	3.1 	3.3 
T,IE	3.2 	2.0 	2.5 	2.3 	2.4 	1.7 	2.3 	2.7 	2.1 	2.2 	2.4 	1.8 	1.7 	1.7 	1.6 	1.3 
T,IT	5.2 	5.1 	5.8 	7.1 	: 	: 	6.2 	6.5 	6.4 	6.2 	6.2 	6.4 	6.5 	5.8 	5.5 	5.5 
T,LT	12.9 	12.4 	12.2 	12.3 	11.1 	12.3 	12.8 	12.2 	12.1 	9.5 	8.8 	9.0 	10.2 	9.1 	9.4 	7.8 
T,LU	1.9 	3.0 	2.4 	2.8 	: 	0.9 	1.7 	2.1 	: 	: 	1.6 	2.1 	: 	: 	2.3 	1.5 
T,LV	14.2 	13.7 	10.5 	11.5 	10.1 	10.4 	10.7 	10.0 	10.1 	10.3 	8.4 	8.8 	8.9 	13.1 	10.7 	11.6 
T,MK	: 	8.1 	: 	: 	: 	: 	4.7 	4.5 	4.1 	: 	: 	: 	: 	: 	: 	: 
T,MT	: 	: 	3.2 	1.9 	1.5 	1.4 	2.1 	3.2 	: 	: 	: 	3.0 	1.2 	1.8 	1.7 	1.2 
T,NL	2.0 	1.9 	1.5 	1.5 	1.5 	1.4 	1.3 	1.1 	1.1 	1.2 	1.1 	0.9 	0.9 	0.8 	0.7 	0.8 
T,NO	2.1 	2.0 	1.4 	2.1 	2.0 	2.1 	1.4 	1.3 	1.4 	1.6 	1.1 	1.2 	0.9 	0.8 	0.9 	0.9 
T,PL	5.4 	5.0 	4.5 	4.5 	4.0 	3.9 	3.6 	3.5 	3.8 	3.3 	2.8 	3.1 	3.0 	2.6 	2.8 	2.8 
T,PT	13.9 	14.0 	14.1 	14.2 	12.5 	12.2 	9.9 	11.4 	9.9 	9.7 	9.0 	8.2 	7.7 	7.4 	7.2 	6.8 
T,RO	12.6 	14.3 	13.5 	12.6 	11.8 	10.1 	9.5 	9.0 	9.1 	8.6 	8.3 	7.8 	7.6 	7.0 	7.2 	6.8 
T,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8 	3.0 	2.9 	2.2 	2.1 
T,SE	1.5 	1.8 	2.1 	1.5 	1.3 	1.9 	1.7 	1.8 	1.6 	1.8 	1.1 	1.4 	1.2 	1.5 	1.1 	1.2 
T,SI	1.9 	2.6 	1.9 	2.3 	0.8 	2.2 	: 	2.6 	3.0 	1.7 	: 	1.0 	0.9 	0.9 	1.7 	0.8 
T,SK	2.1 	2.0 	2.1 	: 	1.8 	: 	1.5 	1.3 	1.1 	1.2 	1.3 	0.8 	0.8 	0.9 	1.3 	0.9 
T,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.6 d	3.8 d	3.9 d	3.7 d	3.3 d
T,UK	1.7 	1.7 	1.8 	1.8 	1.6 	1.7 	1.7 	1.5 	1.6 	1.6 	1.5 	1.4 d	1.4 d	1.4 	1.3 	1.4 
