aquaenv,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 
SEA_EXC_PC,MT	97.70 	96.55 	98.85 	100.00 	97.70 	98.85 	98.85 
SEA_EXC_PC,NL	67.82 	78.02 	73.33 	68.13 	75.00 	80.65 	80.65 
SEA_EXC_PC,PL	80.90 	73.86 	75.90 	60.00 	55.40 	56.18 	48.45 
SEA_EXC_PC,PT	88.17 	91.76 	91.93 	87.39 	89.60 	89.01 	90.63 
SEA_EXC_PC,RO	87.76 	8.16 	34.69 	22.45 	30.60 	69.39 	51.02 
SEA_EXC_PC,SE	55.02 	61.69 	53.44 	50.61 	56.90 	68.98 	41.80 
SEA_EXC_PC,SI	95.24 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 
SEA_EXC_PC,UK	83.31 	58.83 	80.52 	77.63 	59.50 	65.04 	61.17 
SEA_NR,AL	0 	0 	73 	73 	78 	92 	102 
SEA_NR,BE	42 	42 	42 	42 	42 	42 	42 
SEA_NR,BG	89 	89 	90 	90 	90 	90 	91 
SEA_NR,CY	112 	112 	112 	112 	113 	113 	113 
SEA_NR,DE	372 	366 	367 	363 	367 	367 	366 
SEA_NR,DK	1012 	973 	923 	917 	918 	921 	915 
SEA_NR,EE	27 	27 	26 	27 	27 	27 	27 
SEA_NR,EL	2149 	2149 	2156 	1538 	1540 	1540 	1595 
SEA_NR,ES	1927 	1926 	1931 	1942 	1948 	1949 	1960 
SEA_NR,EU28	15444 	15406 	15436 	14828 	14791 	14821 	14935 
SEA_NR,FI	85 	83 	82 	81 	77 	77 	77 
SEA_NR,FR	2029 	2034 	2034 	2038 	2063 	2066 	2065 
SEA_NR,HR	906 	912 	919 	918 	908 	922 	949 
SEA_NR,IE	126 	127 	126 	127 	128 	131 	133 
SEA_NR,IT	4902 	4880 	4867 	4864 	4866 	4864 	4864 
SEA_NR,LT	16 	16 	16 	16 	16 	16 	16 
SEA_NR,LV	32 	32 	33 	33 	33 	33 	33 
SEA_NR,MT	87 	87 	87 	87 	87 	87 	87 
SEA_NR,NL	87 	91 	90 	91 	92 	93 	93 
SEA_NR,PL	89 	88 	83 	85 	83 	89 	97 
SEA_NR,PT	431 	437 	446 	452 	460 	464 	480 
SEA_NR,RO	49 	49 	49 	49 	49 	49 	49 
SEA_NR,SE	249 	248 	247 	245 	246 	245 	244 
SEA_NR,SI	21 	21 	21 	21 	21 	21 	21 
SEA_NR,UK	605 	617 	616 	617 	617 	615 	618 
