indic_il,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
S80_S20,Y_GE65,M,CH	: 	5.2 	5.6 	6.4 	5.0 	5.2 	4.8 	4.7 	5.0 b	5.0 	4.8 	: 
S80_S20,Y_GE65,M,CY	4.8 	4.7 	4.9 b	5.2 	5.1 	5.0 	4.9 	5.6 	5.1 	5.1 	5.2 	5.0 
S80_S20,Y_GE65,M,CZ	2.2 	2.1 	2.1 	2.2 	2.3 	2.3 	2.3 	2.3 	2.4 	2.4 	2.3 	2.2 
S80_S20,Y_GE65,M,DE	3.4 	4.2 	4.2 	3.7 	4.0 	4.0 	4.1 	3.9 	4.2 	4.1 	4.2 	4.0 
S80_S20,Y_GE65,M,DK	2.8 	2.9 	3.3 	4.1 	4.2 b	3.5 b	3.0 	3.1 	3.8 	3.3 	3.6 	3.0 
S80_S20,Y_GE65,M,EA18	4.1 	4.3 	4.4 	4.4 	4.2 	4.3 	4.3 	4.2 	4.2 	4.2 	4.2 	4.2 
S80_S20,Y_GE65,M,EA19	4.1 	4.3 	4.4 	4.4 	4.2 	4.3 	4.3 	4.2 	4.2 	4.2 	4.2 	4.2 
S80_S20,Y_GE65,M,EE	3.0 	3.3 	3.3 	3.2 	3.0 	2.9 	3.0 	3.3 	3.8 b	3.8 	3.9 	4.1 
S80_S20,Y_GE65,M,EL	5.0 	4.9 	4.6 	4.2 	4.2 	4.8 	4.8 	4.0 	4.2 	4.2 	4.0 	4.2 
S80_S20,Y_GE65,M,ES	4.6 	4.3 	5.4 b	5.0 	4.8 	4.9 	4.7 	4.6 	4.3 	4.3 	4.3 	4.5 
S80_S20,Y_GE65,M,EU27	4.1 	4.1 	4.3 	4.2 	4.1 	4.2 	4.1 	4.0 	4.1 	4.2 	4.2 	4.1 
S80_S20,Y_GE65,M,EU28	: 	: 	: 	: 	4.1 	4.2 	4.1 	4.0 	4.2 	4.2 	4.2 	4.1 
S80_S20,Y_GE65,M,FI	2.9 	3.0 	3.3 	3.3 	3.2 	3.1 	3.4 	3.4 	3.4 	3.2 	3.2 	3.1 
S80_S20,Y_GE65,M,FR	4.0 	4.1 	4.4 b	5.1 	4.5 	4.7 	4.8 	4.3 	4.6 	4.4 	4.2 	4.0 
S80_S20,Y_GE65,M,HR	: 	: 	: 	: 	5.1 b	5.0 	4.6 	4.7 	4.6 	4.6 	4.6 	: 
S80_S20,Y_GE65,M,HU	3.6 	2.7 	2.7 	2.7 	2.6 	2.8 	2.8 	3.0 	2.9 	3.2 	3.3 	3.7 
S80_S20,Y_GE65,M,IE	3.6 	3.5 	4.1 	4.2 	4.1 	4.6 	4.7 	4.6 	4.0 	4.1 	4.1 	: 
S80_S20,Y_GE65,M,IS	3.4 	3.3 	3.9 	4.8 	4.1 	3.2 	3.5 	3.3 	3.1 	3.3 	3.1 p	: 
S80_S20,Y_GE65,M,IT	4.6 	4.8 	4.6 	4.8 	4.2 	4.5 	4.4 	4.5 	4.5 	4.7 	4.8 	4.8 
S80_S20,Y_GE65,M,LT	3.6 	3.8 	4.0 	4.0 	3.9 	3.7 	3.7 	3.8 	4.0 	4.0 	4.3 	5.1 
S80_S20,Y_GE65,M,LU	3.2 	3.2 	3.1 	3.0 	3.6 	3.5 	3.7 	4.5 	3.6 	3.6 	4.4 b	4.7 
S80_S20,Y_GE65,M,LV	4.6 	5.0 	5.3 	5.1 	3.8 	3.7 	3.8 	3.9 	4.7 	4.3 	4.9 	5.2 
S80_S20,Y_GE65,M,MK	: 	: 	: 	: 	: 	: 	6.3 	5.6 	5.4 	4.8 	5.1 	: 
S80_S20,Y_GE65,M,MT	4.0 	3.7 	3.7 	3.7 	4.1 	3.6 	3.6 	3.5 	3.4 	3.6 	3.5 	3.4 
S80_S20,Y_GE65,M,NL	3.8 	3.5 	3.4 	3.6 	3.2 	3.5 	3.2 	3.2 	3.4 	3.0 	3.2 b	3.2 
S80_S20,Y_GE65,M,NO	5.8 u	2.7 	2.9 	2.7 	2.6 	2.8 	2.5 	2.6 	2.8 	2.8 	3.1 	3.3 
S80_S20,Y_GE65,M,PL	3.5 	3.3 	3.5 	3.5 	3.4 	3.4 	3.4 	3.3 	3.4 	3.5 	3.3 	3.3 
S80_S20,Y_GE65,M,PT	6.4 	6.0 	5.4 	5.3 	5.2 	5.4 	5.5 	5.1 	4.9 	5.1 	5.6 	5.6 
S80_S20,Y_GE65,M,RO	: 	4.7 	4.4 	4.0 	3.8 	4.0 	4.0 	4.1 	4.6 	7.6 	3.9 	3.8 
S80_S20,Y_GE65,M,RS	: 	: 	: 	: 	: 	: 	: 	6.1 	6.1 	5.9 	6.1 	: 
S80_S20,Y_GE65,M,SE	2.8 	2.7 	3.4 b	3.5 	3.2 	3.5 	3.4 	3.3 	3.7 	3.4 	4.0 	4.1 
S80_S20,Y_GE65,M,SI	3.3 	3.1 	3.2 	3.2 	3.2 	3.3 	3.4 	3.3 	3.4 	3.4 	3.3 	3.2 
S80_S20,Y_GE65,M,SK	2.9 	2.3 	2.2 	2.2 	2.3 	2.9 	2.4 	2.3 	2.3 	2.3 	2.4 	2.4 
S80_S20,Y_GE65,M,TR	10.7 	8.7 	8.2 	10.1 	9.5 	8.1 	8.0 	7.6 	7.7 	7.4 	: 	: 
S80_S20,Y_GE65,M,UK	5.1 	4.4 	4.7 	4.4 	4.4 	4.7 	4.2 b	3.8 	4.4 	4.3 	4.6 	: 
S80_S20,Y_GE65,T,AT	3.6 	3.7 	4.2 b	3.8 	4.2 	4.1 	4.1 	4.1 	4.0 	3.7 	3.7 	3.7 
S80_S20,Y_GE65,T,BE	3.4 	3.4 	3.1 	3.4 	3.7 	3.0 	3.2 	3.1 	3.0 	3.2 	3.2 	2.9 
S80_S20,Y_GE65,T,BG	3.5 	4.0 	4.0 	4.0 	4.5 	4.7 	4.3 	4.6 	4.2 	4.5 	4.3 b	5.1 
S80_S20,Y_GE65,T,CH	: 	4.8 	5.3 	5.7 	4.5 	4.9 	4.7 	4.5 	4.7 b	4.8 	4.6 	: 
S80_S20,Y_GE65,T,CY	4.5 	4.5 	4.6 b	4.9 	4.7 	4.5 	4.6 	4.8 	4.8 	4.7 	4.8 	4.7 
S80_S20,Y_GE65,T,CZ	2.3 	2.2 	2.3 	2.3 	2.4 	2.4 	2.4 	2.4 	2.4 	2.4 	2.4 	2.4 
S80_S20,Y_GE65,T,DE	3.4 	4.2 	4.0 	3.7 	3.8 	3.9 	3.9 	3.8 	4.2 	4.0 	4.1 	3.9 
S80_S20,Y_GE65,T,DK	2.7 	2.7 	2.9 	3.2 	3.6 b	3.0 b	3.0 	3.0 	3.8 	3.2 	3.2 	2.9 
S80_S20,Y_GE65,T,EA18	4.0 	4.2 	4.3 	4.3 	4.1 	4.2 	4.2 	4.1 	4.2 	4.1 	4.2 	4.2 
S80_S20,Y_GE65,T,EA19	4.0 	4.2 	4.3 	4.3 	4.1 	4.2 	4.2 	4.1 	4.2 	4.1 	4.2 	4.2 
S80_S20,Y_GE65,T,EE	3.2 	3.2 	3.3 	3.2 	2.9 	2.9 	2.9 	3.1 	3.3 b	3.4 	3.5 	3.7 
S80_S20,Y_GE65,T,EL	4.8 	4.8 	4.5 	4.1 	4.1 	4.5 	4.5 	3.9 	4.1 	4.1 	3.9 	4.2 
S80_S20,Y_GE65,T,ES	4.4 	4.3 	5.2 b	4.9 	4.8 	4.7 	4.5 	4.5 	4.3 	4.3 	4.3 	4.6 
S80_S20,Y_GE65,T,EU27	4.0 	4.1 	4.2 	4.1 	4.0 	4.1 	4.1 	3.9 	4.1 	4.1 	4.1 	4.1 
S80_S20,Y_GE65,T,EU28	: 	: 	: 	: 	4.0 	4.1 	4.1 	4.0 	4.1 	4.1 	4.1 	4.1 
S80_S20,Y_GE65,T,FI	2.9 	2.9 	3.2 	3.3 	3.1 	3.0 	3.3 	3.3 	3.2 	3.1 	3.1 	3.0 
S80_S20,Y_GE65,T,FR	4.0 	4.0 	4.4 b	4.9 	4.4 	4.5 	4.6 	4.3 	4.5 	4.5 	4.4 	4.3 
S80_S20,Y_GE65,T,HR	: 	: 	: 	: 	5.3 b	5.0 	4.9 	5.1 	4.5 	4.6 	4.6 	: 
S80_S20,Y_GE65,T,HU	3.3 	2.7 	2.6 	2.6 	2.6 	2.7 	2.7 	2.8 	2.8 	3.0 	3.1 	3.6 
S80_S20,Y_GE65,T,IE	3.4 	3.4 	3.8 	3.9 	4.0 	4.1 	4.5 	4.7 	4.3 	4.2 	3.9 	: 
S80_S20,Y_GE65,T,IS	3.1 	3.5 	3.8 	4.8 	4.0 	3.1 	3.3 	3.0 	2.9 	3.5 	3.4 p	: 
S80_S20,Y_GE65,T,IT	4.6 	4.7 	4.5 	4.7 	4.2 	4.3 	4.3 	4.4 	4.4 	4.5 	4.7 	4.7 
S80_S20,Y_GE65,T,LT	3.6 	3.7 	4.1 	4.0 	3.6 	3.4 	3.4 	3.9 	4.0 	4.2 	4.4 	5.0 
S80_S20,Y_GE65,T,LU	3.0 	3.2 	3.0 	3.1 	3.2 	3.3 	3.6 	4.1 	3.7 	3.5 	4.6 b	4.6 
S80_S20,Y_GE65,T,LV	4.6 	4.9 	5.6 	5.2 	3.8 	3.6 	3.7 	3.9 	4.3 	4.2 	4.6 	4.8 
S80_S20,Y_GE65,T,MK	: 	: 	: 	: 	: 	: 	5.9 	5.1 	5.1 	4.7 	5.0 	: 
S80_S20,Y_GE65,T,MT	4.0 	3.5 	3.7 	3.4 	3.7 	3.3 	3.5 	3.2 	3.2 	3.4 	3.3 	3.3 
S80_S20,Y_GE65,T,NL	3.3 	3.2 	3.2 	3.4 	3.1 	3.3 	3.1 	3.2 	3.4 	3.0 	3.0 b	3.0 
S80_S20,Y_GE65,T,NO	4.9 	2.8 	3.0 	2.8 	2.8 	2.8 	2.7 	2.7 	2.9 	2.9 	3.1 	3.3 
S80_S20,Y_GE65,T,PL	3.5 	3.3 	3.4 	3.4 	3.5 	3.5 	3.5 	3.4 	3.4 	3.5 	3.5 	3.5 
S80_S20,Y_GE65,T,PT	6.0 	6.0 	5.4 	5.2 	5.0 	5.0 	5.3 	4.9 	4.9 	5.0 	5.4 	5.4 
S80_S20,Y_GE65,T,RO	: 	5.6 	5.0 	4.5 	4.2 	4.2 	4.3 	4.5 	4.8 	6.2 	4.4 	4.4 
S80_S20,Y_GE65,T,RS	: 	: 	: 	: 	: 	: 	: 	6.4 	6.7 	5.9 	6.4 	: 
S80_S20,Y_GE65,T,SE	2.9 	2.8 	3.3 b	3.4 	3.1 	3.4 	3.3 	3.4 	3.6 	3.3 	3.8 	3.7 
S80_S20,Y_GE65,T,SI	3.5 	3.5 	3.6 	3.5 	3.6 	3.6 	3.6 	3.5 	3.5 	3.6 	3.6 	3.4 
S80_S20,Y_GE65,T,SK	3.0 	2.4 	2.3 	2.4 	2.3 	2.6 	2.4 	2.3 	2.3 	2.3 	2.4 	2.4 
S80_S20,Y_GE65,T,TR	10.5 	8.9 	7.9 	9.4 	8.6 	7.9 	7.8 	7.5 	7.4 	7.2 	: 	: 
S80_S20,Y_GE65,T,UK	4.7 	4.3 	4.7 	4.1 	4.3 	4.6 	4.2 b	3.8 	4.3 	4.2 	4.5 	: 
