unit,direct,na_item,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CP_MNAC,PAID,B8N,S13,BG	-70 b	-170 b	388 b	911 b	-182 b	-135 	439 	-160 	-2 	1099 	1051 	1531 	3341 	2708 	-2092 	-1876 	-1865 	-604 	-689 	-1490 	-1185 	598 	: 
CP_MNAC,PAID,B8N,S13,CY	224 	99 	-50 	-164 	-147 	30 	48 	-150 	-362 	-350 	-252 	61 	922 	534 	-401 	-275 	-715 	-915 	-817 	25 	-18 	170 p	: 
CP_MNAC,PAID,B8N,S13,CZ	9109 	-7326 	-16385 	-19140 	-39736 	-56703 	-52599 	-68000 	-77628 	-13648 	-17586 	-20251 	13982 	-32434 	-190204 	-176211 	-134042 	-108186 	-99957 	-110704 	-49560 	-14835 	38618 
CP_MNAC,PAID,B8N,S13,DE	-34772 	-46108 	-40008 	-28567 	-11566 	-5342 	-36496 	-57424 	-63804 	-62852 	-56074 	-19849 	22267 	23999 	-51558 	-57184 	396 	18837 	12460 	31284 	37697 	47544 	67234 
CP_MNAC,PAID,B8N,S13,DK	-33915 	-22640 	-11794 	-5025 	9890 	24814 	11465 	-3574 	-6849 	25056 	71819 	81325 	87022 	65056 	-43781 	-40079 	-23725 	-20095 	3604 	64480 	10055 	18499 	37413 
CP_MNAC,PAID,B8N,S13,EE	17 	48 	217 	184 	-23 	160 	225 	361 	452 	438 	413 	742 	1067 	333 	62 	46 	260 	412 	307 	500 	353 	244 	399 
CP_MNAC,PAID,B8N,S13,EL	-8550 p	-8667 p	-5748 p	-5176 p	-4756 p	-3025 p	-4710 p	-4173 p	-7342 p	-10299 p	-11266 p	-13376 p	-14821 p	-19677 p	-31518 p	-26543 p	-25324 p	-15928 p	-7495 p	-9058 p	-7295 p	-2013 p	: 
CP_MNAC,PAID,B8N,S13,ES	-15297 	-13128 	-6872 	-1895 	6305 	9049 	14232 	17506 	17666 	24494 	35874 	50331 	56584 	-10136 	-74421 	-66914 	-76312 	-66006 	-68947 	-64147 	-56245 	-52501 	-38852 
CP_MNAC,PAID,B8N,S13,FI	-2733 	-1255 	-21 	3209 	3762 	10013 	7907 	7057 	4732 	4781 	5154 	7038 	10314 	8825 	-3288 	-4214 	-1089 	-3252 	-4280 	-5209 	-4972 	-2630 	-809 
CP_MNAC,PAID,B8N,S13,FR	-35235 	-29328 	-29046 	-14903 	-1404 	707 	429 	-28140 	-43919 	-37792 	-32502 	-16280 	-19592 	-29397 	-101127 	-101482 	-76216 	-69673 	-56121 	-59376 	-58928 	-60316 p	-37739 p
CP_MNAC,PAID,B8N,S13,HR	: 	: 	: 	: 	: 	: 	: 	3399 	5361 	4295 	6815 	7229 	11197 	9513 	-4391 	-5783 	-10824 	-10179 	: 	: 	: 	: 	: 
CP_MNAC,PAID,B8N,S13,HU	-418441 	-336079 	-405043 	-425859 	-509750 	-199838 	-276681 	-672804 	-1015438 	-1081967 	-1387883 	-1592610 	-807315 	-889597 	-1292407 	-1373466 	-1428432 	-797257 	-851560 	-543940 	36677 	-97235 	-26164 
CP_MNAC,PAID,B8N,S13,IE	-1056 	-33 	994 	1960 	4468 	6793 	4006 	2222 	2685 	4320 	5131 	7681 	5261 	-5690 	-15386 	-14777 	-13294 	-12738 	-10142 	-5727 	-1318 	-653 	: 
CP_MNAC,PAID,B8N,S13,IT	-53173 	-53514 	-24604 	-19139 	-875 	-9704 	-15969 	-20296 	-35058 	-31702 	-34396 	-11904 	5953 	-16389 	-58453 	-49883 	-47881 	-32071 	-41977 	-40311 	-26230 	-36455 	-23376 
CP_MNAC,PAID,B8N,S13,LT	-111 	-223 	-38 	-353 	-368 	-238 	-337 	-178 	-155 	-75 	40 	206 	472 	-247 	-2353 	-1959 	-1591 	-1299 	-1009 	-570 	-247 	36 	316 
CP_MNAC,PAID,B8N,S13,LU	886 	907 	996 	1248 	1423 	2036 	1867 	1591 	1175 	812 	1331 	1708 	2609 	2304 	1097 	1345 	1571 	1407 	1415 	1723 	1806 	2186 	: 
CP_MNAC,PAID,B8N,S13,LV	-250 	-205 	-231 	-237 	-377 	-311 	-224 	-241 	-262 	-133 	-171 	97 	260 	-995 	-1617 	-1361 	-692 	-500 	-489 	-598 	-516 	-267 	-30 
CP_MNAC,PAID,B8N,S13,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-164 	-166 	-87 	-248 	-213 	-250 	-204 	-248 	-185 	-131 	-56 	170 	448 
CP_MNAC,PAID,B8N,S13,NL	-10511 	-4869 	-3141 	-2175 	4896 	9715 	4776 	-3025 	-7805 	-5023 	904 	4437 	3904 	8195 	-19386 	-22933 	-21603 	-19508 	-14139 	-11922 	-11127 	3495 	10726 p
CP_MNAC,PAID,B8N,S13,PL	-12782 	-13947 	-17058 	-15374 	-9850 	-23712 	-31292 	-32808 	-40584 	-39840 	-25704 	-16740 	5496 	-8378 	-56254 	-66594 	-36351 	-33630 	-47129 	-37008 	-21158 	-28291 	: 
CP_MNAC,PAID,B8N,S13,PT	-3071 	-2431 	-1343 	-1481 	-510 	-1706 	-3376 	-3279 	-4862 	-6654 	-8018 	-6198 	-4699 	-5956 	-14775 	-14421 	-12394 	-12178 	-9891 	-8517 	-6891 	-6358 	-3315 p
CP_MNAC,PAID,B8N,S13,SE	-93072 	-32769 	-3722 	23787 	42356 	90102 	54168 	-11431 	-8967 	31866 	79368 	96575 	142986 	99757 	9380 	39717 	40283 	1209 	-16185 	-15240 	52289 	106747 	134530 
CP_MNAC,PAID,B8N,S13,SI	190 	184 	1 	118 	86 	-153 	-209 	17 	44 	134 	228 	355 	983 	648 	-1123 	-1207 	-1491 	-1074 	-1140 	-889 	-628 	-595 	300 
CP_MNAC,PAID,B8N,S13,SK	241 	-618 	-538 	-597 	-703 	-1103 	-1558 	-1877 	-1295 	-1328 	-868 	-1633 	-1167 	-1122 	-4209 	-4978 	-3245 	-3640 	-2778 	-2657 	-1343 	-2320 	-1275 
CP_MNAC,PAID,B8N,S13,UK	-29404 	-24360 	-12174 	5097 	15554 	23553 	15395 	-8023 	-21322 	-19891 	-19048 	-16547 	-15575 	-41518 	-105688 	-107095 	-90468 	-99194 	-70951 	-71200 	-50883 	-30303 	-8293 
CP_MNAC,PAID,B8N,S14_S15,AT	16656 	13738 	12026 	12304 	14744 	13689 	11834 	12595 	13391 	13741 	17133 	18738 	20933 	21460 	19819 	16796 	14163 	16566 	13311 	14001 	13139 	15737 	14097 
