currency,bop_item,sector10,sectpart,partner,stk_flow,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1242.0 	-925.0 	-2429.0 	-3381.0 	-3344.0 	-2422.0 	-2954.0 	-2809.0 	-2962.0 	-2149.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-6669.0 	-1247.0 	1668.0 	5111.0 	1633.0 	2551.0 	-5919.0 	-6412.0 	-7999.0 	-7224.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	499.0 	1006.0 	-414.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-25549.0 	-47977.0 	-19942.0 	-15732.0 	-17296.0 	-24588.0 	-6592.0 	2384.0 	-5732.0 	-27286.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,HR	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-205.0 	-1332.0 	-782.0 	-1415.0 	-1653.0 	-149.0 	1541.0 	1742.0 	115.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-166277.8 	-96918.6 	-539310.3 	-452125.6 	-192630.8 	-120599.9 	-74998.8 	56190.2 	157530.5 	94817.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-16254.0 	-12744.0 	-2830.0 	-8131.0 	-7904.0 	-5406.0 	-4685.0 	-3388.0 	-1381.0 	-2084.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,IT	: 	: 	: 	: 	-16.0 	453.0 	-38.0 	-607.0 	1781.0 	2466.0 	2383.0 	1488.0 	2523.0 	-11081.0 	-6940.0 	-13644.0 	-21184.0 	-24986.0 	-15518.0 	-22630.0 	-16237.0 	-20510.0 	-17408.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.1 	4.7 	29.7 	123.6 	-65.5 	-76.5 	-1.0 	25.0 	49.6 	13.4 	163.2 	50.0 	79.6 	27.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,LU	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	-8737.0 	-12364.0 	-11652.0 	-12308.0 	-8798.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-16.0 	-50.0 	-14.0 	3.0 	-50.0 	-58.0 	12.0 	103.0 	145.0 	14.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-27.6 	-2.0 	-16.6 	26.2 	-23.0 	-38.1 	-90.8 	-76.7 	-159.3 	-18.7 	-87.3 	279.0 	457.8 	481.4 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,NL	: 	: 	: 	: 	: 	: 	: 	: 	-14317.0 	-18005.0 	-14307.0 	-10339.0 	-4187.0 	-24181.0 	-23928.0 	-17654.0 	-15661.0 	-33722.0 	-33918.0 	-34156.0 	-23968.0 	-22696.0 	-20717.0 
