indic_is,ind_type,unit,geo\time	2015 	2016 	2017 
I_DSK_BAB,IND_TOTAL,PC_IND,BE	60 	61 	61 
I_DSK_BAB,IND_TOTAL,PC_IND,BG	31 	26 	29 
I_DSK_BAB,IND_TOTAL,PC_IND,CH	: 	: 	76 b
I_DSK_BAB,IND_TOTAL,PC_IND,CY	43 	43 	50 
I_DSK_BAB,IND_TOTAL,PC_IND,CZ	57 	54 	60 
I_DSK_BAB,IND_TOTAL,PC_IND,DE	67 	68 	68 
I_DSK_BAB,IND_TOTAL,PC_IND,DK	75 	78 	71 
I_DSK_BAB,IND_TOTAL,PC_IND,EA	57 	57 	58 
I_DSK_BAB,IND_TOTAL,PC_IND,EE	65 	60 	60 
I_DSK_BAB,IND_TOTAL,PC_IND,EL	44 	46 	46 
I_DSK_BAB,IND_TOTAL,PC_IND,ES	54 	53 	55 
I_DSK_BAB,IND_TOTAL,PC_IND,EU27	55 	56 	57 
I_DSK_BAB,IND_TOTAL,PC_IND,EU28	55 	56 	57 
I_DSK_BAB,IND_TOTAL,PC_IND,FI	74 	73 	76 
I_DSK_BAB,IND_TOTAL,PC_IND,FR	57 	56 	57 
I_DSK_BAB,IND_TOTAL,PC_IND,HR	51 	55 	41 
I_DSK_BAB,IND_TOTAL,PC_IND,HU	50 	51 	50 
I_DSK_BAB,IND_TOTAL,PC_IND,IE	44 	44 	48 
I_DSK_BAB,IND_TOTAL,PC_IND,IS	: 	: 	85 
I_DSK_BAB,IND_TOTAL,PC_IND,IT	43 	44 	: u
I_DSK_BAB,IND_TOTAL,PC_IND,LT	51 	52 	55 
I_DSK_BAB,IND_TOTAL,PC_IND,LU	86 	86 	85 
I_DSK_BAB,IND_TOTAL,PC_IND,LV	49 	50 b	48 
I_DSK_BAB,IND_TOTAL,PC_IND,ME	: 	: 	50 
I_DSK_BAB,IND_TOTAL,PC_IND,MK	37 	34 	32 
I_DSK_BAB,IND_TOTAL,PC_IND,MT	52 	49 	56 
I_DSK_BAB,IND_TOTAL,PC_IND,NL	72 	77 	79 
I_DSK_BAB,IND_TOTAL,PC_IND,NO	80 	75 	77 
I_DSK_BAB,IND_TOTAL,PC_IND,PL	40 	44 	46 
I_DSK_BAB,IND_TOTAL,PC_IND,PT	48 	48 	50 
I_DSK_BAB,IND_TOTAL,PC_IND,RO	26 	28 	29 
I_DSK_BAB,IND_TOTAL,PC_IND,RS	32 	: 	39 
I_DSK_BAB,IND_TOTAL,PC_IND,SE	72 	69 b	77 
I_DSK_BAB,IND_TOTAL,PC_IND,SI	51 	53 	54 
I_DSK_BAB,IND_TOTAL,PC_IND,SK	53 	55 	59 
I_DSK_BAB,IND_TOTAL,PC_IND,TR	23 	28 	34 
I_DSK_BAB,IND_TOTAL,PC_IND,UK	67 	69 	71 
I_DSK_BAB,M_Y16_74,PC_IND,AT	71 	70 	73 
I_DSK_BAB,M_Y16_74,PC_IND,BE	62 	64 	62 
I_DSK_BAB,M_Y16_74,PC_IND,BG	31 	25 	29 
I_DSK_BAB,M_Y16_74,PC_IND,CH	: 	: 	77 b
I_DSK_BAB,M_Y16_74,PC_IND,CY	45 	41 	50 
I_DSK_BAB,M_Y16_74,PC_IND,CZ	59 	55 	63 
I_DSK_BAB,M_Y16_74,PC_IND,DE	70 	71 	71 
I_DSK_BAB,M_Y16_74,PC_IND,DK	77 	79 	75 
I_DSK_BAB,M_Y16_74,PC_IND,EA	60 	60 	60 
I_DSK_BAB,M_Y16_74,PC_IND,EE	65 	61 	61 
I_DSK_BAB,M_Y16_74,PC_IND,EL	48 	47 	49 
I_DSK_BAB,M_Y16_74,PC_IND,ES	57 	57 	57 
I_DSK_BAB,M_Y16_74,PC_IND,EU27	58 	58 	60 
I_DSK_BAB,M_Y16_74,PC_IND,EU28	58 	58 	60 
I_DSK_BAB,M_Y16_74,PC_IND,FI	74 	72 	74 
I_DSK_BAB,M_Y16_74,PC_IND,FR	58 	56 	57 
I_DSK_BAB,M_Y16_74,PC_IND,HR	56 	59 	48 
I_DSK_BAB,M_Y16_74,PC_IND,HU	52 	54 	52 
I_DSK_BAB,M_Y16_74,PC_IND,IE	45 	46 	47 
I_DSK_BAB,M_Y16_74,PC_IND,IS	: 	: 	85 
I_DSK_BAB,M_Y16_74,PC_IND,IT	48 	47 	: u
I_DSK_BAB,M_Y16_74,PC_IND,LT	51 	52 	54 
I_DSK_BAB,M_Y16_74,PC_IND,LU	90 	91 	88 
I_DSK_BAB,M_Y16_74,PC_IND,LV	48 	48 b	46 
I_DSK_BAB,M_Y16_74,PC_IND,ME	: 	: 	54 
I_DSK_BAB,M_Y16_74,PC_IND,MK	38 	33 	34 
I_DSK_BAB,M_Y16_74,PC_IND,MT	55 	49 	56 
I_DSK_BAB,M_Y16_74,PC_IND,NL	75 	79 	82 
I_DSK_BAB,M_Y16_74,PC_IND,NO	82 	76 	79 
I_DSK_BAB,M_Y16_74,PC_IND,PL	42 	46 	48 
I_DSK_BAB,M_Y16_74,PC_IND,PT	52 	50 	53 
I_DSK_BAB,M_Y16_74,PC_IND,RO	28 	29 	30 
I_DSK_BAB,M_Y16_74,PC_IND,RS	35 	: 	42 
I_DSK_BAB,M_Y16_74,PC_IND,SE	72 	70 b	78 
I_DSK_BAB,M_Y16_74,PC_IND,SI	50 	53 	51 
I_DSK_BAB,M_Y16_74,PC_IND,SK	54 	57 	62 
I_DSK_BAB,M_Y16_74,PC_IND,TR	29 	35 	41 
I_DSK_BAB,M_Y16_74,PC_IND,UK	69 	69 	72 
