unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_10Y,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	106.0 	37.0 	20.9 	7.4 	5.3 	0.2 	4.6 	10.1 	9.5 	12.9 	11.8 	11.7 	6.4 	8.9 
PCH_10Y,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.9 	12.1 	11.5 	11.0 	17.9 	21.2 	19.0 	15.5 	17.2 	17.0 	12.7 	12.9 	10.6 	14.9 
PCH_10Y,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.8 	43.4 	37.0 	68.8 	92.2 	60.3 	48.9 	47.5 	55.9 	58.6 	56.3 	44.6 	30.6 	7.7 
PCH_10Y,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.5 	-2.1 	3.7 	4.5 	4.9 	6.7 	9.8 	9.9 	13.5 	12.5 	7.9 	9.4 	6.6 	4.8 
PCH_10Y,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.7 	6.7 	7.6 	8.4 	7.1 	7.2 	4.4 	3.9 	1.8 	1.2 	0.9 	0.3 	-0.1 	-2.5 
PCH_10Y,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	85.7 	49.1 	22.9 	9.4 	3.8 	-3.8 	-3.3 	-7.5 	-3.5 	0.4 	2.1 	1.1 	4.0 	1.7 
PCH_10Y,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.0 	20.9 	16.8 	11.8 	6.9 	3.9 	0.5 	-3.7 	-8.7 	-9.0 	-10.0 	-11.9 	-9.9 	-8.2 
PCH_10Y,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	2455.7 	2192.1 	1616.6 	757.8 	466.2 	296.9 	169.7 	75.3 	81.7 	51.9 	53.6 	22.8 	21.9 	32.8 
PCH_10Y,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	1.0 	-2.3 	-0.9 	5.1 	5.8 	0.8 	-0.2 	2.5 	4.4 	6.1 	6.1 	7.2 	5.6 
PCH_10Y,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.8 	50.8 	43.4 	38.9 	36.1 	35.9 	29.4 	18.7 	12.6 	9.1 	3.8 	3.1 	3.0 	1.1 
PCH_10Y,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	43.1 	50.1 	42.6 	29.8 	24.6 	22.5 	12.4 	11.3 	7.4 	4.7 	2.1 	0.0 	-0.8 	2.0 
PCH_10Y,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.8 	13.9 	17.4 	17.7 	11.4 	10.2 	11.6 	9.0 	9.6 	10.3 	6.6 	7.4 	5.8 	5.0 
PCH_1Y,AT	-1.3 	-2.1 	-0.7 	-0.4 	-1.3 	-1.3 	-0.7 	-1.8 	-0.8 	-0.5 	0.1 	1.1 	0.0 	0.2 	0.0 	1.0 	0.0 	0.6 	1.2 	1.2 	1.0 	1.2 	-0.6 
PCH_1Y,BE	-1.3 	-0.8 	-0.2 	0.7 	0.1 	-1.0 	2.4 	-0.6 	-1.1 	-1.4 	0.0 	1.6 	0.5 	1.1 	-1.6 	0.1 	2.0 	1.1 	0.8 	-0.8 	-0.9 	-1.0 	0.5 
PCH_1Y,BG	-2.3 	70.3 	829.0 	50.9 	7.8 	1.0 	6.3 	-2.6 	-0.6 	1.5 	2.9 	2.1 	6.8 	8.5 	4.9 	5.0 	1.9 	3.0 	6.7 	4.0 	2.0 	1.5 	4.8 
PCH_1Y,CY	-2.1 	2.1 	2.7 	-1.6 	0.1 	0.7 	0.2 	0.6 	6.5 	0.9 	4.5 	0.7 	-0.1 	-1.1 	2.6 	0.3 	1.5 	0.5 	-4.8 	-4.1 	-1.8 	-1.6 	-0.5 
PCH_1Y,CZ	6.4 	10.7 	9.5 	6.1 	1.2 	0.8 	3.6 	4.7 	1.1 	2.3 	-1.4 	0.2 	1.6 	0.0 	-2.4 	1.1 	-0.1 	0.5 	-0.9 	-0.5 	-1.6 	2.2 	2.7 
PCH_1Y,DE	0.9 	-1.8 	-2.3 	-0.5 	-0.6 	-0.7 	-2.8 	-2.1 	-1.6 	-1.7 	-2.4 	-3.7 	-2.8 	-2.0 	2.2 	-0.4 	-0.1 	1.3 	0.9 	1.4 	2.3 	1.1 	1.5 
PCH_1Y,DK	-0.7 	0.7 	1.0 	2.6 	0.7 	-1.0 	2.4 	1.2 	0.1 	-0.5 	1.3 	1.3 	3.9 	1.8 	-0.1 	0.1 	-0.7 	-1.5 	-0.7 	0.0 	1.2 	0.0 	-0.2 
PCH_1Y,EE	23.7 	15.7 	6.6 	6.0 	3.1 	1.1 	2.4 	2.4 	3.6 	4.4 	1.2 	7.0 	13.7 	10.5 	-1.6 	-2.6 	-1.0 	2.1 	2.4 	3.1 	3.5 	2.9 	1.8 
PCH_1Y,EL	10.0 	3.8 	7.9 	6.2 	2.2 	0.4 	-0.1 	6.6 	0.5 	1.1 	7.5 	-1.4 	1.3 	1.6 	2.1 	1.9 	-2.1 	-4.1 	-7.8 	-2.3 	-1.7 	-0.9 	0.1 
PCH_1Y,ES	1.0 	0.8 	1.6 	1.4 	0.9 	1.1 	1.1 	0.6 	0.7 	2.4 	2.1 	2.7 	3.0 	2.3 	-2.8 	-1.0 	-1.6 	-4.5 	-1.7 	-0.8 	1.2 	-1.5 	-1.0 
PCH_1Y,FI	-0.4 	-1.5 	-1.6 	0.5 	0.2 	-0.7 	0.6 	-1.1 	-2.0 	-0.4 	1.0 	0.3 	-1.3 	1.8 	3.8 	-0.3 	1.6 	2.8 	0.0 	0.3 	0.7 	-1.6 	-3.6 
PCH_1Y,FR	-0.7 	-0.7 	-0.7 	-0.8 	-0.6 	-0.1 	0.1 	0.5 	-0.4 	0.1 	0.9 	1.2 	0.2 	-1.0 	-1.2 	2.2 	0.3 	0.2 	-0.1 	0.3 	-0.4 	-0.5 	0.1 
PCH_1Y,HR	-1.5 	4.8 	7.1 	11.4 	6.6 	2.6 	-4.4 	3.3 	1.4 	0.5 	1.6 	0.5 	1.9 	1.3 	1.7 	0.1 	-0.7 	-3.3 	-4.1 	-3.2 	-1.3 	-3.9 	-2.5 
PCH_1Y,HU	-1.6 	19.8 	18.6 	11.2 	5.3 	10.3 	9.6 	4.2 	5.4 	4.4 	2.0 	1.4 	3.8 	0.6 	-2.0 	0.6 	1.0 	1.2 	-0.5 	0.5 	-3.1 	3.4 	4.7 
PCH_1Y,IE	-4.0 	-1.3 	0.6 	5.9 	-0.1 	1.7 	3.3 	-1.8 	3.0 	1.5 	3.1 	2.8 	3.6 	3.8 	-8.9 	-8.5 	-3.5 	-2.6 	-0.2 	-5.2 	-17.2 	-1.0 	-3.7 
PCH_1Y,IT	-0.5 	4.5 	2.4 	-2.6 	0.5 	-1.0 	1.0 	2.0 	2.8 	2.0 	0.7 	1.6 	0.6 	0.6 	0.6 	1.1 	0.1 	-0.2 	-0.7 	-0.7 	0.4 	0.0 	-1.4 
PCH_1Y,LT	56.6 	24.6 	13.8 	5.8 	0.0 	-9.1 	-4.8 	0.0 	-1.7 	3.0 	4.2 	9.9 	1.1 	3.8 	-4.8 	-5.1 	0.2 	-0.6 	1.4 	2.0 	4.2 	4.7 	3.4 
PCH_1Y,LU	1.0 	2.6 	-0.5 	-0.9 	-0.2 	1.6 	4.5 	0.7 	-0.6 	2.2 	2.2 	2.0 	-0.9 	5.3 	2.6 	-0.3 	1.5 	2.2 	-0.7 	-1.6 	2.4 	-0.1 	2.9 
PCH_1Y,LV	-5.3 	19.0 	0.9 	0.9 	2.7 	-0.3 	-2.1 	-3.2 	1.9 	5.5 	13.4 	13.6 	24.4 	14.9 	-14.4 	-7.3 	-3.0 	2.3 	3.7 	4.0 	5.0 	2.6 	2.5 
PCH_1Y,MT	4.4 	-2.5 	0.1 	-0.7 	-0.8 	-2.0 	4.2 	-1.4 	1.0 	2.3 	-2.3 	3.4 	0.8 	-0.3 	0.9 	0.9 	4.3 	1.8 	0.1 	-1.8 	-1.0 	0.7 	-0.9 
PCH_1Y,NL	-1.4 	-1.0 	0.9 	1.4 	0.8 	2.2 	1.1 	2.6 	0.4 	-0.5 	-1.4 	-0.2 	1.6 	0.2 	0.9 	-0.5 	0.6 	0.6 	-0.2 	-0.7 	-2.0 	-0.6 	-0.8 
PCH_1Y,PL	24.2 	19.7 	14.6 	9.5 	3.8 	2.8 	4.7 	-4.5 	-5.0 	-1.9 	-0.3 	-1.3 	2.0 	3.9 	-3.7 	3.4 	0.1 	-0.4 	-1.2 	-0.2 	-1.2 	1.6 	-0.3 
PCH_1Y,PT	5.2 	2.8 	3.5 	3.3 	1.5 	3.0 	1.9 	0.8 	1.2 	-0.7 	1.8 	-0.6 	-0.9 	-1.2 	-1.3 	-0.3 	-2.4 	-4.4 	0.9 	-1.7 	-0.5 	1.6 	1.0 
PCH_1Y,RO	34.2 	38.8 	102.4 	80.9 	37.9 	63.2 	42.5 	-3.0 	17.5 	2.4 	20.4 	3.9 	1.1 	19.4 	-3.3 	10.9 	-7.4 	0.6 	-1.8 	3.6 	-3.8 	3.2 	10.3 
PCH_1Y,SE	-1.7 	2.9 	1.4 	-4.6 	0.2 	3.3 	2.8 	-1.1 	-1.5 	-1.3 	-0.7 	-0.6 	2.8 	1.2 	0.8 	-1.6 	1.8 	1.6 	0.3 	0.3 	-0.6 	0.5 	1.3 
PCH_1Y,SI	-1.6 	5.9 	4.8 	4.9 	3.4 	6.5 	7.3 	3.8 	2.3 	3.0 	0.4 	0.7 	1.5 	2.7 	3.3 	1.4 	-1.5 	-1.6 	-0.9 	-2.1 	-0.3 	0.6 	-0.4 
PCH_1Y,SK	-1.7 	6.6 	8.8 	4.7 	3.0 	8.6 	1.2 	2.1 	1.4 	2.1 	3.1 	1.2 	-1.0 	0.5 	1.3 	-0.3 	0.2 	-1.5 	-1.1 	-0.4 	1.0 	0.4 	1.9 
PCH_1Y,UK	0.9 	0.3 	2.0 	3.5 	2.0 	1.8 	1.9 	-1.4 	0.0 	2.8 	0.1 	3.5 	2.2 	-2.0 	0.8 	3.1 	-0.5 	-0.8 	0.6 	-0.6 	0.8 	1.9 	1.4 
