s_adj,unit,nace_r2,lcstruct,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
SCA,PCH_PRE,B-E,D1_D4_MD5,ES	0.3 p	-0.1 p	0.0 p	0.0 p	0.4 p	0.1 p	0.1 p	0.3 p	-0.2 p	0.4 p	0.1 p	0.2 p
SCA,PCH_PRE,B-E,D1_D4_MD5,EU	0.2 	0.5 	0.6 	0.0 	0.8 	0.4 	0.4 	0.8 	0.6 	0.7 	0.8 	0.6 
SCA,PCH_PRE,B-E,D1_D4_MD5,EU28	0.2 	0.5 	0.6 	0.1 	0.8 	0.4 	0.4 	0.8 	0.6 	0.7 	0.8 	0.6 
SCA,PCH_PRE,B-E,D1_D4_MD5,FI	-0.4 p	0.7 p	0.2 p	-1.4 p	3.5 p	-2.3 p	-1.4 p	0.0 p	-1.1 p	1.0 p	0.5 p	1.6 p
SCA,PCH_PRE,B-E,D1_D4_MD5,FR	0.4 p	0.7 p	0.8 p	-0.4 p	0.2 p	0.5 p	0.7 p	0.5 p	0.5 p	0.1 p	1.4 p	0.4 p
SCA,PCH_PRE,B-E,D1_D4_MD5,HR	0.7 	1.4 	0.6 e	-0.5 e	1.8 e	2.6 e	1.3 e	-0.8 e	1.8 e	1.1 e	4.1 e	3.7 e
SCA,PCH_PRE,B-E,D1_D4_MD5,HU	0.5 	1.5 	0.7 	1.1 	2.6 	2.1 	1.2 	2.8 	2.1 	2.0 	1.9 	2.2 
SCA,PCH_PRE,B-E,D1_D4_MD5,IE	0.2 	1.0 	0.8 	-0.5 	0.6 	1.3 	-0.4 	-0.5 	1.1 	1.1 	0.9 	-0.8 p
SCA,PCH_PRE,B-E,D1_D4_MD5,IT	-0.8 	0.5 	-1.6 	0.1 	0.4 	1.3 	-0.8 	-0.7 	0.7 	-0.8 	1.5 	0.8 
SCA,PCH_PRE,B-E,D1_D4_MD5,LT	2.2 	1.7 	2.1 	2.3 	2.4 	2.9 	1.9 	1.9 	1.8 	2.0 	1.6 	2.8 
SCA,PCH_PRE,B-E,D1_D4_MD5,LU	-0.3 	-0.7 	0.8 	-1.0 	1.0 	0.9 	0.4 	0.9 	0.5 	0.0 	-0.3 	0.6 
SCA,PCH_PRE,B-E,D1_D4_MD5,LV	1.8 	1.8 	1.4 	2.0 	2.9 	2.9 	-0.6 	2.5 	0.7 	5.9 	2.8 	2.1 
SCA,PCH_PRE,B-E,D1_D4_MD5,MT	2.7 p	0.9 p	-5.1 p	-3.9 p	7.0 p	6.2 p	-4.0 p	0.7 p	1.3 p	-2.8 p	-2.8 p	4.8 p
SCA,PCH_PRE,B-E,D1_D4_MD5,NL	-0.2 p	0.4 p	1.2 p	-0.3 p	1.1 p	-0.7 p	0.4 p	1.1 p	0.7 p	0.8 p	0.8 p	: n
SCA,PCH_PRE,B-E,D1_D4_MD5,NO	0.4 	0.9 	1.0 	0.1 	-1.1 	1.4 	0.9 	0.0 	-0.3 	1.6 	1.9 	-0.6 
SCA,PCH_PRE,B-E,D1_D4_MD5,PL	1.8 	-0.1 	1.9 	-1.7 	4.7 	-0.5 	1.7 	3.5 	0.1 	1.8 	2.8 	1.4 
SCA,PCH_PRE,B-E,D1_D4_MD5,PT	1.1 	0.4 	-0.5 p	0.9 p	0.3 p	0.3 p	1.6 p	-0.7 p	0.7 p	0.3 p	0.3 p	1.6 p
SCA,PCH_PRE,B-E,D1_D4_MD5,RO	1.5 	2.9 	0.5 	3.5 	2.1 	3.0 	4.4 p	4.1 p	0.1 p	3.6 p	2.0 p	3.3 p
SCA,PCH_PRE,B-E,D1_D4_MD5,SE	0.0 p	1.2 p	1.6 p	-0.9 p	1.4 p	0.3 p	-0.4 p	1.0 p	0.0 p	0.6 p	1.6 p	0.5 p
SCA,PCH_PRE,B-E,D1_D4_MD5,SI	-0.3 	-0.3 	2.7 	0.0 	0.4 	3.9 	-1.6 	5.1 	0.9 	1.6 	0.1 	0.3 
SCA,PCH_PRE,B-E,D1_D4_MD5,SK	-0.1 	2.2 	0.9 	-0.9 	3.3 	1.8 	0.5 p	2.5 p	1.7 p	1.4 p	3.1 p	2.2 p
SCA,PCH_PRE,B-E,D1_D4_MD5,TR	6.2 	3.2 	9.1 	3.0 	3.6 	1.5 	1.2 	3.6 	2.3 	2.9 	6.9 	4.5 
SCA,PCH_PRE,B-E,D1_D4_MD5,UK	0.4 	0.2 	1.8 	0.4 	0.6 	-1.1 	1.0 	2.1 	0.5 	2.2 	2.0 	-1.1 
SCA,PCH_PRE,B-N,D1_D4_MD5,AT	-0.5 	2.9 	-0.7 	-1.4 	1.1 	1.2 	-0.6 	1.9 	0.5 	0.1 	1.1 	1.2 p
SCA,PCH_PRE,B-N,D1_D4_MD5,BE	0.1 	0.1 	-0.2 	0.1 	0.1 	0.1 	0.4 	0.4 	0.4 	0.5 	0.4 	0.4 p
SCA,PCH_PRE,B-N,D1_D4_MD5,BG	1.2 	1.9 	1.6 	2.6 	0.2 	2.3 	5.6 p	1.8 p	1.5 p	3.5 p	-0.8 p	3.4 p
SCA,PCH_PRE,B-N,D1_D4_MD5,CY	0.1 	0.2 	0.4 	0.4 	0.1 	0.3 	0.1 p	0.5 p	0.6 p	0.6 p	-1.9 p	2.6 p
SCA,PCH_PRE,B-N,D1_D4_MD5,CZ	0.9 	1.8 	0.4 	0.7 	2.1 	1.2 	1.5 p	2.2 p	1.5 p	1.2 p	2.7 p	2.1 p
SCA,PCH_PRE,B-N,D1_D4_MD5,DE	0.4 	0.5 	0.9 	-0.2 	0.8 	1.3 	0.7 	0.4 	0.8 	0.4 	0.9 	0.3 
SCA,PCH_PRE,B-N,D1_D4_MD5,DK	0.2 	0.5 	0.6 	0.5 	0.6 	0.4 	0.3 	0.4 	0.7 	0.4 	0.3 	0.9 
SCA,PCH_PRE,B-N,D1_D4_MD5,EA	0.3 	0.3 	0.3 	0.2 	0.4 	0.5 	0.4 	0.5 	0.6 	0.5 	0.7 	0.7 
SCA,PCH_PRE,B-N,D1_D4_MD5,EA19	0.3 	0.3 	0.3 	0.2 	0.4 	0.5 	0.4 	0.5 	0.6 	0.5 	0.7 	0.7 
SCA,PCH_PRE,B-N,D1_D4_MD5,EE	1.2 	0.9 	2.1 	0.5 	1.1 	1.4 	2.7 	3.0 	1.6 	0.1 	1.0 	1.2 
SCA,PCH_PRE,B-N,D1_D4_MD5,EL	6.2 	-0.8 	-4.9 	2.6 	1.8 	-1.6 	-1.1 	1.6 	2.3 	1.6 	-2.3 	2.6 
SCA,PCH_PRE,B-N,D1_D4_MD5,ES	0.3 p	0.0 p	0.1 p	-0.1 p	0.0 p	0.2 p	0.1 p	0.4 p	0.0 p	1.1 p	0.3 p	0.3 p
SCA,PCH_PRE,B-N,D1_D4_MD5,EU	0.5 	0.4 	0.5 	0.2 	0.6 	0.5 	0.5 	0.8 	0.6 	0.7 	0.8 	0.7 
SCA,PCH_PRE,B-N,D1_D4_MD5,EU28	0.4 	0.4 	0.5 	0.2 	0.6 	0.5 	0.5 	0.8 	0.6 	0.7 	0.8 	0.7 
SCA,PCH_PRE,B-N,D1_D4_MD5,FI	-1.6 p	0.3 p	1.4 p	-1.4 p	1.9 p	-0.8 p	-1.2 p	0.6 p	-0.6 p	1.2 p	0.5 p	1.0 p
SCA,PCH_PRE,B-N,D1_D4_MD5,FR	0.4 p	0.5 p	0.9 p	-0.3 p	0.3 p	0.2 p	0.6 p	0.2 p	0.4 p	0.7 p	1.1 p	0.8 p
SCA,PCH_PRE,B-N,D1_D4_MD5,HR	0.2 	0.9 	1.3 e	0.2 e	1.8 e	2.0 e	1.8 e	-0.6 e	2.2 e	1.4 e	3.4 e	3.3 e
SCA,PCH_PRE,B-N,D1_D4_MD5,HU	1.0 	1.3 	0.7 	0.8 	2.5 	1.6 	1.8 	3.2 	1.5 	2.5 	1.6 	2.3 
SCA,PCH_PRE,B-N,D1_D4_MD5,IE	0.1 	0.4 	1.0 	0.0 	0.0 	1.1 	0.5 	0.3 	0.9 	1.1 	0.9 	-0.1 p
SCA,PCH_PRE,B-N,D1_D4_MD5,IT	-0.3 	-0.4 	-0.7 	-0.4 	0.3 	1.2 	0.0 	-0.6 	0.3 	-0.3 	1.0 	1.1 
SCA,PCH_PRE,B-N,D1_D4_MD5,LT	2.2 	0.8 	2.7 	2.0 	2.7 	2.7 	2.4 	2.4 	1.5 	2.1 	2.6 	3.3 
SCA,PCH_PRE,B-N,D1_D4_MD5,LU	-1.0 	0.0 	1.2 	-0.9 	1.4 	0.6 	-0.3 	2.0 	0.2 	0.5 	-0.6 	0.8 
SCA,PCH_PRE,B-N,D1_D4_MD5,LV	1.4 	2.4 	0.7 	2.6 	3.4 	0.8 	0.5 	2.5 	1.0 	3.3 	3.9 p	2.5 p
SCA,PCH_PRE,B-N,D1_D4_MD5,MT	2.7 p	-0.2 p	-3.8 p	-2.0 p	5.6 p	2.3 p	-2.8 p	1.9 p	-1.7 p	0.5 p	1.4 p	1.1 p
SCA,PCH_PRE,B-N,D1_D4_MD5,NL	0.1 p	-0.1 p	0.9 p	-0.5 p	1.3 p	-0.5 p	0.4 p	0.6 p	0.6 p	0.5 p	0.7 p	0.2 p
SCA,PCH_PRE,B-N,D1_D4_MD5,NO	0.4 	0.2 	0.6 	0.2 	0.7 	0.5 	0.4 	0.1 	1.1 	0.9 	0.9 	-0.1 
SCA,PCH_PRE,B-N,D1_D4_MD5,PL	1.3 	0.7 	2.2 	-1.1 	3.8 	-0.6 	1.6 	3.7 	0.9 	1.5 	2.2 	1.8 
SCA,PCH_PRE,B-N,D1_D4_MD5,PT	0.4 	0.4 	-1.0 p	0.9 p	0.2 p	0.1 p	1.5 p	-1.0 p	0.2 p	0.1 p	0.0 p	1.2 p
SCA,PCH_PRE,B-N,D1_D4_MD5,RO	2.2 	3.1 	1.7 	3.7 	2.4 	2.9 	4.3 p	3.5 p	0.6 p	3.4 p	3.0 p	4.1 p
SCA,PCH_PRE,B-N,D1_D4_MD5,SE	0.8 p	1.3 p	1.4 p	0.1 p	0.9 p	0.6 p	1.0 p	0.6 p	0.3 p	0.6 p	0.4 p	0.5 p
SCA,PCH_PRE,B-N,D1_D4_MD5,SI	-1.4 	-0.4 	1.7 	0.4 	0.0 	3.5 	-0.2 	2.0 	2.3 	0.9 	-0.3 	1.9 
SCA,PCH_PRE,B-N,D1_D4_MD5,SK	0.3 	2.1 	-0.5 	-0.6 	2.5 	2.1 	0.4 p	2.0 p	2.7 p	0.7 p	2.4 p	1.5 p
SCA,PCH_PRE,B-N,D1_D4_MD5,UK	1.1 	0.3 	0.8 	0.5 	0.4 	0.3 	0.0 	1.9 	1.1 	1.2 	0.6 	-0.1 
SCA,PCH_PRE,B-S,D1_D4_MD5,AT	-0.5 	3.4 	-1.2 	-1.3 	1.3 	1.0 	-0.9 	2.1 	0.1 	-0.3 	2.1 	0.2 p
SCA,PCH_PRE,B-S,D1_D4_MD5,BE	0.0 	0.1 	-0.1 	0.1 	0.2 	0.1 	0.3 	0.4 	0.4 	0.4 	0.4 	0.4 p
SCA,PCH_PRE,B-S,D1_D4_MD5,BG	1.2 	2.0 	1.7 	2.6 	0.6 	1.8 	5.7 p	2.0 p	1.7 p	3.4 p	-0.5 p	3.3 p
SCA,PCH_PRE,B-S,D1_D4_MD5,CY	0.0 	0.2 	0.1 	0.2 	0.1 	-0.1 	0.2 p	0.5 p	0.5 p	0.7 p	0.0 p	1.4 p
SCA,PCH_PRE,B-S,D1_D4_MD5,CZ	0.9 	1.8 	0.6 	1.0 	1.9 	1.3 	1.5 p	2.2 p	1.9 p	1.6 p	2.9 p	2.2 p
SCA,PCH_PRE,B-S,D1_D4_MD5,DE	0.4 	0.7 	0.6 	-0.1 	0.9 	1.3 	0.7 	0.3 	0.6 	0.4 	0.9 	0.2 
SCA,PCH_PRE,B-S,D1_D4_MD5,DK	0.2 	0.3 	0.7 	0.4 	0.6 	0.6 	0.4 	0.4 	0.7 	0.3 	0.2 	0.5 
SCA,PCH_PRE,B-S,D1_D4_MD5,EA	0.3 	0.4 	0.4 	0.3 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	0.6 	0.6 
SCA,PCH_PRE,B-S,D1_D4_MD5,EA19	0.3 	0.4 	0.4 	0.3 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	0.6 	0.6 
SCA,PCH_PRE,B-S,D1_D4_MD5,EE	1.3 	1.0 	2.2 	0.5 	1.3 	1.5 	2.1 	3.0 	1.7 	1.0 	1.0 	1.1 
SCA,PCH_PRE,B-S,D1_D4_MD5,EL	6.7 	0.1 	-2.9 	2.4 	0.8 	0.5 	-0.4 	0.8 	1.5 	1.1 	1.2 	0.5 
SCA,PCH_PRE,B-S,D1_D4_MD5,ES	0.1 p	0.5 p	-0.2 p	0.0 p	0.2 p	-0.1 p	0.1 p	0.3 p	-0.1 p	0.9 p	0.0 p	0.1 p
SCA,PCH_PRE,B-S,D1_D4_MD5,EU	0.5 	0.4 	0.5 	0.4 	0.5 	0.5 	0.5 	0.6 	0.6 	0.7 	0.7 	0.7 
SCA,PCH_PRE,B-S,D1_D4_MD5,EU28	0.5 	0.4 	0.4 	0.4 	0.5 	0.5 	0.5 	0.6 	0.6 	0.7 	0.7 	0.7 
SCA,PCH_PRE,B-S,D1_D4_MD5,FI	-1.5 p	-0.2 p	1.9 p	-2.0 p	2.0 p	-0.4 p	-2.0 p	0.4 p	-0.6 p	1.4 p	0.1 p	0.5 p
SCA,PCH_PRE,B-S,D1_D4_MD5,FR	0.3 p	0.5 p	0.7 p	-0.2 p	0.3 p	0.3 p	0.7 p	-0.1 p	0.6 p	0.4 p	0.8 p	0.6 p
SCA,PCH_PRE,B-S,D1_D4_MD5,HR	0.2 	1.1 	1.1 e	0.2 e	1.4 e	1.8 e	1.9 e	-0.4 e	1.9 e	1.6 e	3.1 e	2.8 e
SCA,PCH_PRE,B-S,D1_D4_MD5,HU	1.2 	1.4 	0.1 	1.8 	2.4 	1.9 	2.0 	2.6 	2.3 	2.4 	2.6 	2.4 
SCA,PCH_PRE,B-S,D1_D4_MD5,IE	0.1 	0.3 	0.5 	-0.1 	0.1 	0.7 	0.4 	0.7 	0.8 	0.8 	0.9 	0.0 p
SCA,PCH_PRE,B-S,D1_D4_MD5,IT	0.0 	-0.2 	-0.4 	-0.4 	0.4 	0.8 	0.2 	-0.8 	0.6 	-0.2 	1.1 	1.8 
SCA,PCH_PRE,B-S,D1_D4_MD5,LT	2.0 	0.5 	2.5 	1.5 	2.9 	3.0 	1.8 	2.2 	1.1 	2.8 	2.5 	2.9 
SCA,PCH_PRE,B-S,D1_D4_MD5,LU	-1.0 	0.0 	1.2 	-1.5 	1.9 	0.6 	-0.1 	1.8 	0.2 	1.3 	-0.9 	0.5 
SCA,PCH_PRE,B-S,D1_D4_MD5,LV	1.5 	1.8 	0.7 	2.6 	3.0 	1.5 	0.8 	2.2 	1.3 	3.1 	4.3 p	2.4 p
SCA,PCH_PRE,B-S,D1_D4_MD5,MT	2.3 p	0.1 p	-2.6 p	-1.7 p	4.5 p	1.3 p	-1.3 p	2.0 p	-0.2 p	1.0 p	0.8 p	1.2 p
SCA,PCH_PRE,B-S,D1_D4_MD5,NL	0.4 p	-0.3 p	0.9 p	-0.4 p	1.6 p	-0.6 p	0.4 p	0.6 p	0.5 p	0.6 p	0.8 p	-0.7 p
SCA,PCH_PRE,B-S,D1_D4_MD5,PL	1.0 	0.6 	1.9 	-0.7 	3.1 	0.1 	1.2 	3.2 	0.9 	2.0 	1.6 	1.5 
SCA,PCH_PRE,B-S,D1_D4_MD5,PT	-0.4 	0.5 	0.4 p	0.6 p	1.1 p	-0.6 p	1.5 p	0.0 p	-0.4 p	1.1 p	-0.7 p	1.0 p
SCA,PCH_PRE,B-S,D1_D4_MD5,RO	2.5 	4.1 	2.0 	3.9 	3.9 	2.8 	5.4 p	5.4 p	1.3 p	2.5 p	3.2 p	6.3 p
SCA,PCH_PRE,B-S,D1_D4_MD5,SE	0.7 p	1.2 p	1.1 p	0.1 p	1.1 p	0.6 p	0.8 p	0.8 p	0.5 p	0.6 p	0.7 p	0.4 p
SCA,PCH_PRE,B-S,D1_D4_MD5,SI	-1.0 	0.5 	1.9 	0.2 	0.6 	2.6 	-0.3 	2.7 	1.3 	1.2 	-0.2 	1.1 
SCA,PCH_PRE,B-S,D1_D4_MD5,SK	0.1 	2.1 	0.4 	-0.7 	2.3 	2.5 	0.1 p	2.2 p	2.4 p	1.1 p	2.5 p	1.6 p
SCA,PCH_PRE,B-S,D1_D4_MD5,UK	1.2 	-0.2 	1.1 	1.0 	-0.4 	0.6 	-0.3 	1.9 	1.0 	1.2 	0.5 	0.1 
SCA,PCH_PRE,C,D1_D4_MD5,AT	0.6 	1.2 	0.0 	0.2 	0.6 	0.3 	0.3 	0.1 	0.4 	0.9 	1.5 	0.8 p
SCA,PCH_PRE,C,D1_D4_MD5,BE	0.0 	0.2 	-0.1 	0.0 	0.1 	0.0 	0.5 	0.3 	0.5 	0.6 	0.0 	0.6 p
SCA,PCH_PRE,C,D1_D4_MD5,BG	2.3 	3.1 	2.2 	2.9 	0.7 	2.7 	4.3 p	2.9 p	2.1 p	3.6 p	1.6 p	2.6 p
SCA,PCH_PRE,C,D1_D4_MD5,CY	0.0 	0.8 	-0.2 	0.4 	0.2 	0.1 	0.1 p	0.7 p	0.4 p	0.7 p	-1.3 p	-0.9 p
SCA,PCH_PRE,C,D1_D4_MD5,CZ	1.0 	1.2 	0.9 	1.4 	1.7 	1.6 	1.8 p	1.9 p	2.0 p	2.0 p	2.4 p	2.3 p
SCA,PCH_PRE,C,D1_D4_MD5,DE	-0.2 	0.4 	1.2 	-0.3 	1.1 	0.8 	0.1 	0.2 	0.8 	0.7 	0.4 	0.3 
SCA,PCH_PRE,C,D1_D4_MD5,DK	-0.5 	0.5 	1.6 	0.6 	0.8 	0.1 	0.0 	0.5 	1.0 	0.6 	-0.4 	1.7 
SCA,PCH_PRE,C,D1_D4_MD5,EA	0.1 	0.4 	0.5 	0.1 	0.7 	0.5 	0.2 	0.4 	0.5 	0.4 	0.7 	0.5 
SCA,PCH_PRE,C,D1_D4_MD5,EA19	0.1 	0.4 	0.5 	0.1 	0.7 	0.5 	0.2 	0.4 	0.5 	0.4 	0.7 	0.5 
SCA,PCH_PRE,C,D1_D4_MD5,EE	2.7 	0.1 	2.1 	0.9 	0.8 	3.0 	0.7 	1.9 	1.5 	0.6 	1.8 	1.2 
SCA,PCH_PRE,C,D1_D4_MD5,EL	6.7 	-0.9 	-1.3 	-2.2 	4.8 	-1.5 	-1.8 	0.5 	2.2 	0.8 	-0.7 	1.6 
SCA,PCH_PRE,C,D1_D4_MD5,ES	0.0 p	0.1 p	0.0 p	0.0 p	0.4 p	0.0 p	0.2 p	0.3 p	-0.3 p	0.5 p	0.1 p	0.2 p
SCA,PCH_PRE,C,D1_D4_MD5,EU	0.2 	0.5 	0.6 	0.1 	0.8 	0.4 	0.3 	0.7 	0.6 	0.7 	0.8 	0.7 
SCA,PCH_PRE,C,D1_D4_MD5,EU28	0.2 	0.5 	0.6 	0.1 	0.8 	0.4 	0.3 	0.7 	0.6 	0.7 	0.8 	0.7 
SCA,PCH_PRE,C,D1_D4_MD5,FI	-0.4 p	1.0 p	0.1 p	-1.6 p	3.9 p	-2.3 p	-1.3 p	0.1 p	-1.2 p	1.1 p	0.5 p	1.7 p
SCA,PCH_PRE,C,D1_D4_MD5,FR	0.5 p	0.8 p	0.9 p	-0.7 p	0.3 p	0.5 p	0.6 p	0.6 p	0.4 p	0.2 p	1.2 p	0.7 p
SCA,PCH_PRE,C,D1_D4_MD5,HR	0.8 	1.6 	0.4 e	-0.3 e	2.0 e	2.8 e	1.7 e	-1.0 e	2.2 e	1.3 e	5.0 e	4.0 e
SCA,PCH_PRE,C,D1_D4_MD5,HU	0.6 	1.7 	0.7 	1.2 	2.6 	2.2 	0.9 	2.9 	2.3 	2.1 	1.7 	2.3 
SCA,PCH_PRE,C,D1_D4_MD5,IE	-0.3 	1.0 	1.3 	-0.4 	0.1 	1.7 	-0.9 	0.2 	0.4 	1.4 	1.5 	-1.0 p
SCA,PCH_PRE,C,D1_D4_MD5,IT	-0.6 	0.6 	-1.8 	-0.1 	0.7 	1.1 	-0.7 	-0.7 	0.5 	-0.7 	1.7 	1.0 
SCA,PCH_PRE,C,D1_D4_MD5,LT	2.4 	1.5 	2.3 	2.9 	2.5 	3.2 	2.0 	1.9 	2.3 	2.0 	1.8 	2.5 
SCA,PCH_PRE,C,D1_D4_MD5,LU	0.0 	-0.6 	0.7 	-0.9 	0.9 	0.9 	0.6 	0.5 	0.6 	-0.1 	-0.4 	0.8 
SCA,PCH_PRE,C,D1_D4_MD5,LV	1.1 	2.8 	0.9 	2.6 	2.7 	1.7 	0.5 	2.4 	2.5 	2.7 	4.8 p	1.6 p
SCA,PCH_PRE,C,D1_D4_MD5,MT	3.1 p	0.5 p	-5.3 p	-4.0 p	7.2 p	6.3 p	-4.1 p	0.8 p	1.5 p	-2.9 p	-3.4 p	5.1 p
SCA,PCH_PRE,C,D1_D4_MD5,NL	-0.2 p	0.9 p	0.9 p	-0.2 p	1.2 p	-0.4 p	0.3 p	1.3 p	0.4 p	1.2 p	0.7 p	: n
SCA,PCH_PRE,C,D1_D4_MD5,NO	0.5 p	0.9 p	1.0 p	0.3 p	-1.0 p	1.1 p	0.2 p	0.6 p	0.3 p	1.0 p	1.0 p	0.2 p
SCA,PCH_PRE,C,D1_D4_MD5,PL	1.9 	-0.5 	2.2 	-0.3 	2.1 	1.9 	1.1 	2.1 	1.4 	2.1 	2.3 	2.1 
SCA,PCH_PRE,C,D1_D4_MD5,PT	1.3 	0.4 	-0.4 p	1.0 p	0.3 p	0.2 p	1.6 p	-0.8 p	0.6 p	0.5 p	0.4 p	1.4 p
SCA,PCH_PRE,C,D1_D4_MD5,RO	2.1 	3.6 	0.3 	4.1 	2.3 	3.1 	5.2 p	4.6 p	0.0 p	2.7 p	3.7 p	2.5 p
SCA,PCH_PRE,C,D1_D4_MD5,SE	0.1 p	1.3 p	1.6 p	-1.2 p	1.6 p	0.3 p	-0.6 p	1.0 p	-0.1 p	0.7 p	1.7 p	0.6 p
SCA,PCH_PRE,C,D1_D4_MD5,SI	-1.0 	0.1 	2.3 	-0.4 	1.0 	4.9 	-1.6 	5.1 	1.1 	0.9 	0.6 	0.4 
SCA,PCH_PRE,C,D1_D4_MD5,SK	-0.1 	2.6 	0.0 	-0.5 	3.3 	1.8 	1.0 p	2.3 p	1.8 p	1.4 p	3.3 p	2.8 p
SCA,PCH_PRE,C,D1_D4_MD5,TR	5.8 	3.4 	9.4 	3.0 	4.0 	1.3 	1.3 	3.6 	2.6 	3.2 	6.9 	4.2 
SCA,PCH_PRE,C,D1_D4_MD5,UK	0.0 	0.5 	1.7 	0.6 	0.1 	-0.8 	1.3 	1.7 	1.0 	2.7 	1.2 	-0.7 
SCA,PCH_PRE,F,D1_D4_MD5,AT	0.0 	1.7 	-0.9 	0.1 	0.0 	1.3 	-0.1 	0.1 	0.8 	-0.1 	1.9 	0.3 p
SCA,PCH_PRE,F,D1_D4_MD5,BE	0.1 	0.0 	-0.1 	-0.1 	-0.1 	0.2 	0.3 	0.2 	0.5 	-0.1 	0.4 	0.3 p
SCA,PCH_PRE,F,D1_D4_MD5,BG	0.4 	2.3 	3.1 	-2.0 	-0.3 	-0.9 	9.9 p	0.0 p	-0.3 p	2.8 p	3.5 p	3.1 p
SCA,PCH_PRE,F,D1_D4_MD5,CY	-0.4 	0.4 	0.1 	-0.5 	0.2 	0.0 	0.0 p	0.4 p	0.4 p	0.3 p	2.4 p	11.6 p
SCA,PCH_PRE,F,D1_D4_MD5,CZ	1.3 	1.7 	-0.4 	1.5 	1.8 	-0.1 	1.5 p	1.3 p	1.5 p	0.0 p	2.6 p	2.4 p
SCA,PCH_PRE,F,D1_D4_MD5,DE	0.4 	0.7 	0.9 	0.6 	0.8 	1.4 	0.8 	1.0 	1.2 	1.3 	-0.3 	1.2 
SCA,PCH_PRE,F,D1_D4_MD5,DK	0.3 	0.4 	0.7 	1.3 	-0.3 	0.9 	0.0 	0.6 	1.2 	0.8 	0.7 	1.1 
SCA,PCH_PRE,F,D1_D4_MD5,EA	0.2 	0.2 	0.5 	0.3 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 	0.5 	0.7 
SCA,PCH_PRE,F,D1_D4_MD5,EA19	0.2 	0.2 	0.5 	0.3 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 	0.5 	0.7 
SCA,PCH_PRE,F,D1_D4_MD5,EE	-1.8 	0.7 	3.0 	-0.1 	-2.3 	1.5 	3.3 	2.6 	3.0 	-1.0 	1.4 	0.7 
SCA,PCH_PRE,F,D1_D4_MD5,EL	9.1 	-6.1 	0.1 	7.3 	-3.6 	-10.7 	-2.4 	3.4 	0.6 	-5.1 	-7.2 	2.8 
SCA,PCH_PRE,F,D1_D4_MD5,ES	0.3 p	-1.1 p	-0.3 p	-0.5 p	-0.7 p	0.0 p	-1.0 p	0.5 p	-0.1 p	-0.2 p	0.8 p	-0.4 p
SCA,PCH_PRE,F,D1_D4_MD5,EU	0.5 	0.4 	1.0 	0.5 	0.5 	0.6 	0.3 	0.6 	0.9 	0.9 	1.1 	1.1 
