s_adj,age,sex,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
SA,Y_LT25,F,PC_ACT,EU28	15.7 	15.7 	15.6 	15.3 	15.1 	14.8 	14.6 	14.3 	14.3 	14.2 	14.1 	: 
SA,Y_LT25,F,PC_ACT,FI	18.2 	17.9 	17.7 	17.7 	17.8 	17.8 	17.6 	17.4 	17.3 	17.6 	17.8 	18.0 
SA,Y_LT25,F,PC_ACT,FR	20.4 	20.4 	21.0 	21.7 	21.6 	20.9 	19.9 	19.2 	18.7 	18.8 	18.7 	: 
SA,Y_LT25,F,PC_ACT,HR	28.6 	28.6 	28.6 	29.1 	29.1 	29.1 	27.3 	27.3 	27.3 	: 	: 	: 
SA,Y_LT25,F,PC_ACT,HU	12.3 	12.6 	12.4 	13.0 	12.4 	12.6 	12.0 	11.8 	11.4 	10.0 	: 	: 
SA,Y_LT25,F,PC_ACT,IE	12.5 	11.7 	11.8 	12.3 	12.7 	13.1 	12.9 	13.1 	13.1 	13.6 	13.0 	12.0 
SA,Y_LT25,F,PC_ACT,IS	6.5 	6.5 	6.5 	6.4 	6.3 	6.2 	6.3 	6.4 	6.6 	6.6 	6.7 	: 
SA,Y_LT25,F,PC_ACT,IT	36.8 	36.8 	36.8 	35.8 	35.8 	35.8 	34.7 	34.7 	34.7 	: 	: 	: 
SA,Y_LT25,F,PC_ACT,LT	11.3 	11.3 	11.6 	10.8 	10.8 	11.0 	10.3 	10.3 	10.6 	11.4 	11.1 	: 
SA,Y_LT25,F,PC_ACT,LU	12.8 	13.5 	13.4 	12.8 	12.4 	12.3 	12.8 	13.3 	13.2 	12.6 	12.7 	: 
SA,Y_LT25,F,PC_ACT,LV	14.3 	13.7 	13.1 	14.2 	13.4 	12.7 	10.5 	9.5 	9.0 	8.8 	8.5 	: 
SA,Y_LT25,F,PC_ACT,MT	11.3 	11.0 	10.3 	8.8 	6.6 	5.9 	4.8 	4.0 	5.3 	7.0 	7.3 	: 
SA,Y_LT25,F,PC_ACT,NL	7.6 	7.3 	7.5 	6.9 	6.5 	6.3 	6.0 	6.3 	6.7 	6.9 	7.3 	7.1 
SA,Y_LT25,F,PC_ACT,NO	8.9 	8.8 	8.4 	7.8 	7.2 	7.6 	7.5 	8.1 	8.2 	8.5 	: 	: 
SA,Y_LT25,F,PC_ACT,PL	15.3 	15.1 	14.1 	12.5 	11.6 	11.4 	11.5 	11.1 	10.4 	9.2 	8.2 	: 
SA,Y_LT25,F,PC_ACT,PT	27.2 	24.9 	22.7 	21.9 	19.3 	21.3 	20.1 	23.2 	20.8 	21.3 	20.5 	: 
SA,Y_LT25,F,PC_ACT,RO	20.5 	20.5 	20.5 	16.5 	16.5 	16.5 	15.6 	15.6 	15.6 	: 	: 	: 
SA,Y_LT25,F,PC_ACT,SE	14.1 	17.3 	16.7 	15.6 	14.3 	15.0 	13.9 	12.1 	16.3 	17.6 	17.3 	: 
SA,Y_LT25,F,PC_ACT,SI	12.6 	12.6 	12.6 	12.1 	12.1 	12.1 	10.3 	10.3 	10.3 	: 	: 	: 
SA,Y_LT25,F,PC_ACT,SK	20.3 	20.1 	19.4 	18.3 	17.5 	17.1 	17.3 	17.6 	17.5 	17.1 	16.9 	: 
SA,Y_LT25,F,PC_ACT,UK	10.8 	10.9 	11.0 	10.9 	10.7 	10.4 	10.2 	10.0 	10.2 	10.2 	: 	: 
SA,Y_LT25,F,PC_ACT,US	7.7 	8.2 	8.0 	8.5 	8.0 	7.5 	7.0 	7.2 	7.7 	7.6 	7.4 	: 
SA,Y_LT25,M,PC_ACT,AT	9.9 u	11.3 u	10.7 u	9.9 u	10.2 u	9.1 u	8.2 u	8.9 u	10.3 u	9.0 u	7.6 u	: 
SA,Y_LT25,M,PC_ACT,BE	16.0 	16.0 	16.0 	18.6 	18.6 	18.6 	19.6 	19.6 	19.6 	: 	: 	: 
SA,Y_LT25,M,PC_ACT,BG	12.2 	11.7 	11.8 	12.2 	13.1 	14.3 	15.6 	16.0 	15.6 	15.0 	14.0 	: 
SA,Y_LT25,M,PC_ACT,CY	27.8 	27.8 	27.8 	27.1 	27.1 	27.1 	24.3 	24.3 	24.3 	: 	: 	: 
SA,Y_LT25,M,PC_ACT,CZ	7.3 	5.3 	5.5 	6.2 	6.8 	5.9 	6.4 	6.7 	7.2 	6.2 	5.8 	: 
SA,Y_LT25,M,PC_ACT,DE	7.2 	7.2 	7.2 	7.2 	7.2 	7.2 	7.2 	7.2 	7.2 	7.2 	7.2 	: 
SA,Y_LT25,M,PC_ACT,DK	10.3 	10.3 	10.3 	10.4 	10.4 	10.4 	11.3 	11.3 	11.3 	: 	: 	: 
SA,Y_LT25,M,PC_ACT,EA	18.7 	18.3 	18.2 	18.0 	18.1 	17.7 	17.7 	17.3 	17.5 	17.2 	17.2 	: 
SA,Y_LT25,M,PC_ACT,EA18	18.7 	18.4 	18.2 	18.0 	18.2 	17.7 	17.7 	17.4 	17.5 	17.2 	17.2 	: 
SA,Y_LT25,M,PC_ACT,EA19	18.7 	18.3 	18.2 	18.0 	18.1 	17.7 	17.7 	17.3 	17.5 	17.2 	17.2 	: 
SA,Y_LT25,M,PC_ACT,EE	11.0 	8.3 	5.8 	6.0 	7.6 	7.7 	8.1 	10.3 	11.3 	16.1 	: 	: 
SA,Y_LT25,M,PC_ACT,EL	36.8 	41.7 	38.9 	37.9 	41.0 	39.1 	36.8 	35.4 	35.1 	34.5 	: 	: 
SA,Y_LT25,M,PC_ACT,ES	38.4 	37.5 	37.3 	36.9 	36.7 	36.2 	35.6 	35.2 	34.8 	34.1 	34.2 	: 
SA,Y_LT25,M,PC_ACT,EU27	16.8 	16.5 	16.4 	16.1 	16.1 	15.8 	15.9 	15.5 	15.6 	15.4 	15.4 	: 
SA,Y_LT25,M,PC_ACT,EU28	16.9 	16.6 	16.4 	16.2 	16.2 	15.9 	15.9 	15.6 	15.7 	15.4 	15.4 	: 
SA,Y_LT25,M,PC_ACT,FI	19.6 	19.3 	18.9 	18.5 	18.3 	18.1 	17.9 	17.6 	17.2 	17.1 	17.1 	17.1 
SA,Y_LT25,M,PC_ACT,FR	22.5 	22.1 	21.9 	21.8 	21.7 	21.6 	21.5 	21.6 	21.7 	21.6 	21.4 	: 
SA,Y_LT25,M,PC_ACT,HR	23.7 	23.7 	23.7 	22.5 	22.5 	22.5 	21.7 	21.7 	21.7 	: 	: 	: 
SA,Y_LT25,M,PC_ACT,HU	9.0 	8.8 	9.4 	9.4 	9.0 	8.3 	7.6 	8.7 	9.3 	9.5 	: 	: 
SA,Y_LT25,M,PC_ACT,IE	15.2 	14.8 	14.5 	14.5 	14.4 	14.7 	14.9 	15.2 	15.1 	15.1 	14.7 	13.7 
SA,Y_LT25,M,PC_ACT,IS	8.1 	7.8 	7.5 	7.3 	7.3 	7.3 	7.4 	7.5 	7.7 	7.8 	7.7 	: 
SA,Y_LT25,M,PC_ACT,IT	31.3 	31.3 	31.3 	30.2 	30.2 	30.2 	29.8 	29.8 	29.8 	: 	: 	: 
SA,Y_LT25,M,PC_ACT,LT	14.3 	14.5 	15.0 	13.8 	13.4 	13.9 	11.5 	11.2 	11.7 	13.2 	13.0 	: 
SA,Y_LT25,M,PC_ACT,LU	14.9 	14.7 	15.2 	15.0 	14.8 	14.9 	14.7 	14.5 	14.4 	14.1 	14.3 	: 
SA,Y_LT25,M,PC_ACT,LV	20.0 	21.1 	20.6 	18.1 	15.8 	14.3 	13.5 	12.6 	11.7 	10.0 	8.4 	: 
SA,Y_LT25,M,PC_ACT,MT	12.2 	12.3 	12.3 	10.4 	9.6 	10.2 	9.7 	10.4 	11.2 	10.9 	10.2 	: 
SA,Y_LT25,M,PC_ACT,NL	8.2 	8.3 	8.6 	8.0 	8.0 	7.6 	7.7 	7.5 	7.7 	7.8 	8.2 	7.8 
SA,Y_LT25,M,PC_ACT,NO	11.5 	11.5 	11.2 	10.6 	9.9 	10.5 	10.5 	11.3 	11.5 	11.7 	: 	: 
SA,Y_LT25,M,PC_ACT,PL	14.0 	13.8 	13.2 	12.4 	11.8 	11.4 	11.3 	11.2 	11.1 	11.0 	10.9 	: 
SA,Y_LT25,M,PC_ACT,PT	22.3 	20.9 	21.7 	21.1 	22.6 	22.2 	20.9 	18.1 	18.6 	18.4 	18.7 	: 
SA,Y_LT25,M,PC_ACT,RO	19.2 	19.2 	19.2 	17.0 	17.0 	17.0 	17.4 	17.4 	17.4 	: 	: 	: 
SA,Y_LT25,M,PC_ACT,SE	18.7 	16.7 	18.2 	17.7 	14.9 	18.6 	17.7 	18.0 	18.4 	17.7 	18.5 	: 
SA,Y_LT25,M,PC_ACT,SI	10.1 	10.1 	10.1 	8.2 	8.2 	8.2 	7.9 	7.9 	7.9 	: 	: 	: 
SA,Y_LT25,M,PC_ACT,SK	17.7 	17.2 	17.2 	17.6 	17.2 	16.3 	14.8 	13.7 	12.9 	12.4 	12.1 	: 
SA,Y_LT25,M,PC_ACT,UK	13.2 	13.3 	12.8 	12.6 	12.6 	12.5 	12.2 	11.7 	11.7 	11.8 	: 	: 
SA,Y_LT25,M,PC_ACT,US	10.2 	10.9 	9.7 	9.9 	10.0 	9.5 	9.8 	10.1 	10.0 	9.6 	9.5 	: 
SA,Y_LT25,T,PC_ACT,AT	9.8 	10.0 	9.5 	9.3 	9.9 	9.9 	9.7 	9.7 	9.6 	8.9 	8.4 	: 
SA,Y_LT25,T,PC_ACT,BE	16.5 	16.5 	16.5 	17.0 	17.0 	17.0 	19.1 	19.1 	19.1 	: 	: 	: 
SA,Y_LT25,T,PC_ACT,BG	11.8 	11.5 	11.6 	12.1 	12.7 	13.7 	14.6 	15.1 	14.9 	14.6 	13.8 	: 
SA,Y_LT25,T,PC_ACT,CY	23.0 	23.0 	23.0 	22.2 	22.2 	22.2 	19.0 	19.0 	19.0 	: 	: 	: 
SA,Y_LT25,T,PC_ACT,CZ	6.5 	5.0 	5.7 	6.5 	7.4 	7.2 	8.3 	8.2 	7.7 	6.4 	6.3 	: 
SA,Y_LT25,T,PC_ACT,DE	6.5 	6.5 	6.4 	6.4 	6.4 	6.4 	6.3 	6.3 	6.3 	6.3 	6.2 	: 
SA,Y_LT25,T,PC_ACT,DK	9.8 	9.6 	10.1 	9.7 	9.9 	9.4 	10.3 	9.3 	9.3 	9.4 	9.9 	: 
SA,Y_LT25,T,PC_ACT,EA	18.2 	17.9 	17.8 	17.6 	17.7 	17.3 	17.2 	16.9 	16.9 	16.7 	16.6 	: 
SA,Y_LT25,T,PC_ACT,EA18	18.3 	17.9 	17.8 	17.7 	17.7 	17.3 	17.2 	16.9 	16.9 	16.7 	16.6 	: 
SA,Y_LT25,T,PC_ACT,EA19	18.2 	17.9 	17.8 	17.6 	17.7 	17.3 	17.2 	16.9 	16.9 	16.7 	16.6 	: 
SA,Y_LT25,T,PC_ACT,EE	9.5 	7.9 	6.7 	8.6 	10.4 	8.6 	7.3 	8.1 	9.9 	12.7 	: 	: 
SA,Y_LT25,T,PC_ACT,EL	41.4 	44.4 	43.3 	41.9 	46.9 	42.2 	40.2 	38.7 	38.4 	37.9 	: 	: 
SA,Y_LT25,T,PC_ACT,ES	37.3 	36.8 	36.6 	36.0 	35.7 	35.1 	34.6 	34.3 	34.2 	33.7 	33.6 	: 
SA,Y_LT25,T,PC_ACT,EU27	16.3 	16.1 	16.0 	15.7 	15.6 	15.4 	15.3 	14.9 	15.0 	14.8 	14.8 	: 
SA,Y_LT25,T,PC_ACT,EU28	16.4 	16.2 	16.1 	15.8 	15.7 	15.4 	15.3 	15.0 	15.1 	14.9 	14.8 	: 
SA,Y_LT25,T,PC_ACT,FI	18.9 	18.6 	18.3 	18.1 	18.0 	18.0 	17.7 	17.5 	17.3 	17.3 	17.5 	17.5 
SA,Y_LT25,T,PC_ACT,FR	21.5 	21.4 	21.5 	21.8 	21.7 	21.3 	20.8 	20.5 	20.4 	20.3 	20.2 	: 
SA,Y_LT25,T,PC_ACT,HR	25.7 	25.7 	25.7 	25.1 	25.1 	25.1 	23.9 	23.9 	23.9 	: 	: 	: 
SA,Y_LT25,T,PC_ACT,HU	10.4 	10.4 	10.7 	10.9 	10.4 	10.0 	9.4 	10.0 	10.2 	9.7 	: 	: 
SA,Y_LT25,T,PC_ACT,IE	14.0 	13.4 	13.2 	13.5 	13.6 	13.9 	14.0 	14.2 	14.2 	14.4 	13.9 	12.9 
SA,Y_LT25,T,PC_ACT,IS	7.3 	7.2 	7.0 	6.9 	6.8 	6.8 	6.9 	7.0 	7.1 	7.2 	7.2 	: 
SA,Y_LT25,T,PC_ACT,IT	34.5 	33.3 	32.9 	32.5 	33.3 	31.6 	32.6 	31.3 	31.7 	30.8 	31.0 	: 
SA,Y_LT25,T,PC_ACT,JP	4.5 	4.3 	4.6 	3.3 	4.2 	3.8 	3.8 	3.4 	3.8 	3.8 	4.1 	: 
SA,Y_LT25,T,PC_ACT,LT	12.9 	13.0 	13.4 	12.4 	12.2 	12.6 	11.0 	10.8 	11.2 	12.4 	12.2 	: 
SA,Y_LT25,T,PC_ACT,LU	13.9 	14.1 	14.4 	14.0 	13.7 	13.7 	13.8 	13.9 	13.8 	13.4 	13.5 	: 
SA,Y_LT25,T,PC_ACT,LV	17.5 	17.9 	17.3 	16.3 	14.7 	13.5 	12.1 	11.2 	10.4 	9.4 	8.4 	: 
SA,Y_LT25,T,PC_ACT,MT	11.8 	11.7 	11.4 	9.6 	8.1 	8.1 	7.4 	7.4 	8.5 	9.1 	8.8 	: 
SA,Y_LT25,T,PC_ACT,NL	7.9 	7.8 	8.0 	7.4 	7.2 	7.0 	6.9 	6.9 	7.2 	7.3 	7.7 	7.5 
SA,Y_LT25,T,PC_ACT,NO	10.3 	10.2 	9.8 	9.3 	8.6 	9.1 	9.1 	9.8 	9.9 	10.2 	: 	: 
SA,Y_LT25,T,PC_ACT,PL	14.6 	14.3 	13.5 	12.5 	11.7 	11.4 	11.4 	11.2 	10.8 	10.2 	9.7 	: 
SA,Y_LT25,T,PC_ACT,PT	24.6 	22.8 	22.1 	21.5 	21.1 	21.8 	20.5 	20.5 	19.6 	19.7 	19.5 	: 
SA,Y_LT25,T,PC_ACT,RO	19.7 	19.7 	19.7 	16.8 	16.8 	16.8 	16.6 	16.6 	16.6 	: 	: 	: 
SA,Y_LT25,T,PC_ACT,SE	16.4 	17.0 	17.4 	16.6 	14.6 	16.9 	15.8 	15.2 	17.4 	17.6 	17.9 	: 
SA,Y_LT25,T,PC_ACT,SI	11.2 	11.2 	11.2 	9.9 	9.9 	9.9 	8.9 	8.9 	8.9 	: 	: 	: 
SA,Y_LT25,T,PC_ACT,SK	18.7 	18.3 	18.1 	17.8 	17.3 	16.6 	15.7 	15.2 	14.6 	14.1 	13.9 	: 
SA,Y_LT25,T,PC_ACT,TR	19.0 	18.7 	18.3 	18.6 	18.3 	18.2 	18.7 	19.3 	19.9 	: 	: 	: 
SA,Y_LT25,T,PC_ACT,UK	12.0 	12.1 	11.9 	11.8 	11.7 	11.5 	11.3 	10.9 	11.0 	11.0 	: 	: 
SA,Y_LT25,T,PC_ACT,US	9.0 	9.6 	8.9 	9.2 	9.0 	8.5 	8.4 	8.7 	8.9 	8.6 	8.4 	: 
