unit,s_adj,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NSA,CA,DEB,WRL_REST,FI	33.9 	35.3 	36.9 	37.0 	36.1 	42.1 	40.1 	38.5 	39.3 	40.7 	45.4 	49.1 	50.7 	52.2 	41.6 	45.8 	49.0 	49.9 	48.8 	47.8 	45.2 	45.4 	46.6 
PC_GDP,NSA,CA,DEB,WRL_REST,FR	: 	: 	: 	: 	29.9 	34.2 	33.7 	32.6 	31.8 	32.8 	35.4 	38.0 	39.1 	39.4 	34.0 	36.7 	38.8 	39.5 	38.8 	39.6 	40.8 	40.7 	41.1 
PC_GDP,NSA,CA,DEB,WRL_REST,HR	: 	: 	: 	: 	: 	44.0 	47.1 	50.1 	52.2 	50.7 	51.2 	52.7 	52.8 	53.7 	45.0 	44.4 	47.2 	48.1 	48.2 	49.6 	50.8 	54.1 	56.2 
PC_GDP,NSA,CA,DEB,WRL_REST,HU	44.1 	47.7 	55.0 	62.6 	66.2 	78.4 	73.7 	66.9 	67.5 	73.6 	76.0 	89.8 	95.4 	98.4 	91.0 	97.7 	98.9 	99.1 	96.3 	98.3 	97.2 	96.6 	97.7 
PC_GDP,NSA,CA,DEB,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	117.1 	105.4 	106.1 	111.5 	122.2 	132.1 	138.1 	133.7 	140.5 	141.6 	144.9 	135.0 	142.3 	142.3 	151.7 	139.7 
PC_GDP,NSA,CA,DEB,WRL_REST,IT	29.4 	25.3 	26.2 	27.2 	27.5 	30.6 	30.2 	29.9 	28.9 	29.4 	31.2 	34.0 	35.3 	35.3 	29.5 	33.2 	34.9 	33.5 	32.4 	32.2 	32.6 	31.8 	33.6 
PC_GDP,NSA,CA,DEB,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	60.2 	66.9 	72.7 	71.8 	76.9 	56.9 	74.8 	87.8 	89.9 	90.6 	84.9 	84.6 	80.8 	85.7 
PC_GDP,NSA,CA,DEB,WRL_REST,LU	297.3 	269.1 	299.1 	347.1 	331.5 	371.5 	383.9 	395.2 	369.9 	360.9 	413.5 	465.2 	491.2 	529.1 	429.9 	440.7 	520.8 	619.0 	666.2 	574.5 	630.3 	572.1 	584.6 
PC_GDP,NSA,CA,DEB,WRL_REST,LV	: 	: 	: 	: 	: 	39.2 	42.3 	42.5 	49.8 	60.1 	66.6 	73.2 	70.2 	63.0 	47.8 	63.2 	72.1 	74.9 	72.9 	70.9 	70.0 	67.6 	69.7 
PC_GDP,NSA,CA,DEB,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	134.1 	163.4 	223.8 	286.1 	329.3 	303.3 	278.9 	320.7 	317.6 	298.9 	273.0 	250.8 	243.8 	: 
PC_GDP,NSA,CA,DEB,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	80.9 	88.9 	93.7 	104.2 	99.6 	87.1 	100.2 	106.4 	107.6 	107.6 	112.5 	116.2 	110.1 	107.5 
PC_GDP,NSA,CA,DEB,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	43.5 	41.8 	47.0 	49.8 	48.9 	45.2 	49.5 	52.0 	52.7 	52.0 	53.9 	54.0 	56.6 	58.2 
PC_GDP,NSA,CA,DEB,WRL_REST,PT	: 	38.9 	41.2 	43.6 	43.4 	47.3 	47.1 	43.1 	41.3 	43.6 	45.0 	50.6 	51.7 	54.1 	45.9 	50.4 	50.8 	48.7 	47.6 	49.2 	49.0 	47.7 	50.1 
PC_GDP,NSA,CA,DEB,WRL_REST,RO	: 	: 	: 	: 	33.2 	29.0 	32.1 	32.1 	34.3 	39.6 	39.4 	42.1 	45.3 	45.1 	37.2 	42.8 	47.0 	47.2 	46.4 	46.4 	47.3 	47.7 	48.7 
PC_GDP,NSA,CA,DEB,WRL_REST,SE	39.5 	37.9 	40.8 	43.2 	43.6 	48.5 	47.5 	44.4 	42.5 	45.4 	50.2 	53.1 	55.4 	57.1 	50.4 	52.1 	53.2 	52.5 	50.0 	51.8 	51.3 	49.9 	51.4 
PC_GDP,NSA,CA,DEB,WRL_REST,SI	49.6 	49.5 	50.6 	51.3 	50.8 	56.9 	55.9 	55.0 	55.3 	61.5 	66.0 	71.7 	77.6 	77.1 	62.2 	69.2 	76.4 	75.9 	74.1 	74.8 	77.9 	78.0 	81.8 
PC_GDP,NSA,CA,DEB,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	107.4 	110.7 	117.5 	105.6 	96.2 	76.3 	86.0 	95.2 	95.2 	96.6 	95.7 	98.4 	99.1 	101.8 
PC_GDP,NSA,CA,DEB,WRL_REST,UK	: 	: 	36.8 	35.9 	37.3 	40.5 	40.2 	37.6 	36.5 	37.6 	41.8 	48.2 	49.6 	51.1 	42.7 	44.2 	46.2 	45.2 	45.0 	42.0 	40.4 	41.4 	43.3 
PC_GDP,NSA,G,DEB,WRL_REST,AT	25.6 	26.6 	29.3 	30.2 	30.7 	33.3 	33.9 	32.5 	32.5 	34.5 	35.8 	37.5 	38.9 	39.4 	33.0 	37.5 	40.6 	40.1 	38.5 	37.6 	36.9 	36.1 	37.4 
PC_GDP,NSA,G,DEB,WRL_REST,BE	: 	: 	: 	: 	: 	60.6 	59.1 	51.4 	51.1 	53.5 	57.9 	59.6 	60.2 	63.2 	50.6 	57.0 	63.9 	62.9 	61.7 	59.8 	56.0 	58.8 	61.6 
PC_GDP,NSA,G,DEB,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62.1 	62.7 	41.5 	46.5 	52.7 	56.4 	57.5 	55.7 	54.2 	50.1 	55.0 
PC_GDP,NSA,G,DEB,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	42.2 	34.7 	36.8 	35.5 	33.6 	31.2 	31.9 	33.0 	35.1 	37.7 
PC_GDP,NSA,G,DEB,WRL_REST,CZ	34.8 	34.1 	36.0 	34.2 	34.7 	41.5 	42.6 	39.2 	41.3 	49.0 	52.0 	54.3 	56.0 	53.3 	47.0 	54.4 	58.6 	61.6 	61.4 	65.4 	64.5 	61.8 	62.2 
PC_GDP,NSA,G,DEB,WRL_REST,DE	15.7 	16.4 	18.5 	19.3 	19.9 	23.5 	22.8 	21.3 	22.1 	23.5 	25.3 	28.4 	28.8 	29.8 	25.6 	29.3 	32.1 	31.6 	30.7 	30.2 	30.1 	29.2 	30.7 
PC_GDP,NSA,G,DEB,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.4 	30.0 	30.9 	31.9 	25.4 	26.4 	29.4 	29.7 	29.6 	29.3 	29.5 	28.0 	29.0 
PC_GDP,NSA,G,DEB,WRL_REST,EE	59.4 	58.2 	67.7 	68.0 	58.2 	49.1 	49.5 	50.2 	51.5 	54.4 	54.9 	58.6 	57.8 	56.0 	42.6 	53.6 	64.4 	67.1 	62.8 	59.9 	56.0 	55.6 	54.4 
PC_GDP,NSA,G,DEB,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	20.6 	20.6 	21.6 	22.3 	24.3 	27.3 	27.4 	21.4 	22.7 	24.2 	25.2 	26.4 	27.4 	23.8 	23.6 	26.0 
PC_GDP,NSA,G,DEB,WRL_REST,ES	18.3 	18.3 	20.8 	22.0 	23.3 	26.1 	24.7 	23.1 	22.6 	23.8 	24.3 	25.3 	26.3 	25.1 	19.0 	22.1 	24.3 	24.4 	24.3 	25.2 	25.2 	24.3 	25.7 
PC_GDP,NSA,G,DEB,WRL_REST,FI	19.4 	21.0 	22.3 	21.6 	21.7 	25.2 	23.2 	22.6 	22.9 	24.3 	27.0 	30.1 	30.1 	30.2 	23.1 	26.3 	29.1 	28.7 	27.8 	26.8 	24.6 	24.5 	25.9 
PC_GDP,NSA,G,DEB,WRL_REST,FR	: 	: 	: 	: 	18.3 	21.5 	20.8 	19.8 	19.1 	19.7 	20.9 	22.1 	22.2 	23.0 	19.3 	21.6 	23.7 	23.5 	22.7 	22.3 	22.7 	22.7 	23.5 
PC_GDP,NSA,G,DEB,WRL_REST,HR	: 	: 	: 	: 	: 	30.6 	33.4 	36.4 	37.2 	36.6 	37.6 	38.9 	39.2 	38.9 	31.1 	31.0 	33.7 	34.0 	35.4 	36.7 	38.5 	38.4 	40.7 
PC_GDP,NSA,G,DEB,WRL_REST,HU	29.3 	31.4 	36.8 	44.7 	49.0 	59.5 	54.8 	48.6 	49.4 	53.1 	54.2 	63.0 	64.3 	67.2 	57.5 	64.3 	68.0 	67.4 	65.7 	67.9 	67.1 	66.3 	67.5 
PC_GDP,NSA,G,DEB,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	39.6 	32.1 	32.1 	33.9 	35.8 	36.0 	33.8 	34.4 	36.9 	34.7 	37.1 	35.7 	37.8 	33.1 	31.9 	29.0 
PC_GDP,NSA,G,DEB,WRL_REST,IT	18.2 	15.1 	15.9 	16.3 	16.6 	19.7 	19.2 	18.5 	18.0 	18.7 	19.7 	21.7 	22.0 	22.3 	18.1 	21.8 	23.4 	22.4 	21.4 	21.1 	21.5 	20.9 	22.2 
PC_GDP,NSA,G,DEB,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.0 	53.1 	57.4 	54.9 	60.0 	45.4 	59.0 	68.7 	70.6 	71.3 	67.5 	64.9 	61.0 	65.6 
PC_GDP,NSA,G,DEB,WRL_REST,LU	44.5 	43.4 	48.9 	52.9 	49.2 	50.9 	53.1 	48.0 	46.9 	49.7 	50.2 	48.4 	45.0 	49.0 	38.5 	40.9 	44.3 	43.4 	45.1 	41.1 	38.5 	37.6 	37.9 
PC_GDP,NSA,G,DEB,WRL_REST,LV	: 	: 	: 	: 	: 	27.9 	31.3 	31.7 	36.2 	43.0 	47.0 	50.1 	47.7 	42.5 	35.2 	46.1 	53.5 	55.7 	54.5 	53.4 	51.6 	49.1 	51.2 
PC_GDP,NSA,G,DEB,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.0 	57.8 	66.5 	62.8 	60.9 	50.8 	57.2 	59.2 	60.0 	52.1 	44.1 	47.7 	44.1 	38.4 
PC_GDP,NSA,G,DEB,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	40.8 	42.9 	45.7 	46.5 	47.5 	40.2 	46.9 	51.3 	54.3 	53.3 	52.7 	51.1 	50.1 	53.1 
PC_GDP,NSA,G,DEB,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	31.6 	30.5 	34.2 	36.5 	37.2 	32.5 	35.7 	38.3 	38.3 	37.9 	39.4 	39.5 	41.0 	43.1 
PC_GDP,NSA,G,DEB,WRL_REST,PT	: 	27.6 	29.5 	31.1 	31.6 	33.8 	32.6 	30.4 	29.1 	30.8 	30.9 	32.8 	33.1 	34.9 	28.2 	31.2 	32.2 	31.8 	32.0 	32.8 	32.5 	31.5 	34.0 
PC_GDP,NSA,G,DEB,WRL_REST,RO	: 	: 	: 	: 	26.1 	21.4 	24.3 	24.5 	25.9 	29.2 	28.9 	30.8 	33.4 	33.5 	26.7 	33.7 	37.3 	36.8 	34.6 	35.5 	35.5 	36.0 	36.9 
PC_GDP,NSA,G,DEB,WRL_REST,SE	24.2 	23.1 	24.6 	25.7 	25.3 	28.0 	26.6 	25.4 	24.9 	25.8 	28.3 	30.1 	31.0 	32.2 	27.4 	29.8 	30.9 	29.8 	27.6 	28.2 	27.8 	27.4 	28.6 
PC_GDP,NSA,G,DEB,WRL_REST,SI	40.9 	40.4 	41.5 	41.8 	41.3 	46.4 	45.4 	43.2 	43.4 	48.4 	51.9 	56.1 	59.5 	58.3 	46.2 	53.5 	59.7 	59.1 	57.9 	57.9 	58.1 	58.1 	62.6 
PC_GDP,NSA,G,DEB,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	84.1 	86.4 	93.4 	83.9 	75.1 	59.5 	68.9 	77.5 	79.3 	80.2 	78.6 	80.4 	80.7 	83.4 
PC_GDP,NSA,G,DEB,WRL_REST,UK	: 	: 	: 	: 	19.0 	20.4 	20.6 	20.0 	19.2 	19.3 	20.3 	22.1 	20.4 	22.2 	20.6 	23.3 	24.6 	24.3 	23.8 	22.5 	21.3 	21.9 	23.3 
PC_GDP,NSA,GS,DEB,WRL_REST,AT	33.4 	35.1 	38.1 	38.9 	39.0 	42.1 	43.2 	41.8 	42.1 	44.2 	46.0 	48.0 	49.4 	49.8 	42.7 	47.4 	50.9 	50.9 	50.4 	50.1 	49.4 	48.7 	50.7 
PC_GDP,NSA,GS,DEB,WRL_REST,BE	: 	: 	: 	: 	: 	75.5 	74.5 	66.4 	65.5 	67.5 	71.9 	73.4 	75.6 	80.3 	67.5 	75.2 	82.0 	82.6 	81.7 	82.0 	79.5 	82.0 	85.0 
PC_GDP,NSA,GS,DEB,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75.1 	74.9 	52.3 	53.2 	58.9 	64.1 	65.2 	65.6 	62.9 	59.7 	65.0 
PC_GDP,NSA,GS,DEB,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62.9 	54.1 	57.5 	55.9 	54.9 	56.8 	60.0 	63.7 	65.1 	68.6 
PC_GDP,NSA,GS,DEB,WRL_REST,CZ	43.3 	43.6 	45.0 	42.9 	43.9 	50.6 	51.0 	47.0 	48.8 	57.0 	59.9 	62.5 	64.0 	61.1 	54.8 	62.9 	67.5 	71.4 	71.1 	76.2 	75.0 	71.9 	72.2 
PC_GDP,NSA,GS,DEB,WRL_REST,DE	20.6 	21.6 	24.3 	25.3 	26.3 	30.6 	30.1 	28.2 	28.9 	30.4 	32.7 	35.9 	36.4 	37.5 	32.9 	37.1 	39.9 	39.9 	39.4 	38.7 	38.8 	38.1 	39.6 
PC_GDP,NSA,GS,DEB,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41.9 	46.6 	48.6 	50.7 	42.6 	43.6 	47.4 	48.6 	48.2 	47.7 	48.9 	47.6 	48.1 
PC_GDP,NSA,GS,DEB,WRL_REST,EE	72.2 	70.6 	82.4 	84.6 	74.6 	64.9 	65.3 	65.8 	65.9 	69.4 	71.0 	73.6 	72.1 	70.7 	55.9 	68.7 	80.8 	84.4 	81.5 	78.2 	73.3 	73.5 	72.0 
PC_GDP,NSA,GS,DEB,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	27.7 	26.9 	28.2 	28.9 	30.9 	34.2 	35.0 	28.0 	30.0 	31.5 	32.4 	33.2 	34.6 	30.1 	29.1 	32.2 
PC_GDP,NSA,GS,DEB,WRL_REST,ES	22.4 	22.4 	25.4 	26.8 	28.4 	31.6 	30.2 	28.5 	27.6 	29.0 	29.7 	30.8 	31.7 	30.4 	23.8 	26.8 	29.1 	29.2 	29.0 	30.3 	30.6 	30.0 	31.5 
PC_GDP,NSA,GS,DEB,WRL_REST,FI	26.8 	28.5 	29.8 	29.5 	28.6 	33.3 	30.8 	30.2 	30.5 	32.2 	36.2 	39.0 	39.2 	41.4 	34.3 	37.4 	40.0 	40.9 	39.7 	38.2 	37.0 	36.9 	38.2 
PC_GDP,NSA,GS,DEB,WRL_REST,FR	: 	: 	: 	: 	24.5 	27.7 	27.2 	26.1 	25.1 	25.6 	27.0 	28.4 	28.5 	29.6 	25.9 	28.5 	30.8 	31.1 	30.9 	31.2 	32.3 	32.4 	33.0 
PC_GDP,NSA,GS,DEB,WRL_REST,HR	: 	: 	: 	: 	: 	39.6 	42.2 	45.6 	46.4 	45.6 	45.6 	46.5 	46.3 	46.5 	38.2 	38.0 	40.8 	41.2 	42.4 	43.4 	45.8 	46.0 	49.1 
PC_GDP,NSA,GS,DEB,WRL_REST,HU	37.8 	40.1 	45.5 	53.4 	58.0 	69.8 	65.3 	58.8 	60.3 	63.1 	64.4 	73.5 	75.6 	78.9 	70.3 	76.4 	80.6 	79.7 	78.7 	81.3 	80.9 	79.7 	80.7 
PC_GDP,NSA,GS,DEB,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	73.3 	65.7 	66.2 	68.7 	71.0 	72.5 	75.5 	79.8 	86.4 	84.8 	89.9 	84.7 	91.7 	93.3 	104.6 	89.5 
PC_GDP,NSA,GS,DEB,WRL_REST,IT	23.3 	19.6 	20.5 	21.3 	21.5 	24.8 	24.5 	23.8 	23.0 	23.5 	24.8 	27.2 	27.8 	27.8 	23.1 	27.2 	28.6 	27.6 	26.6 	26.5 	27.0 	26.4 	28.2 
PC_GDP,NSA,GS,DEB,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.4 	61.1 	65.9 	63.5 	68.7 	53.6 	67.2 	77.5 	80.8 	82.8 	79.0 	76.3 	72.8 	78.1 
PC_GDP,NSA,GS,DEB,WRL_REST,LU	86.0 	86.9 	96.4 	104.2 	103.3 	115.2 	117.0 	103.8 	103.2 	116.3 	123.7 	129.4 	131.4 	131.0 	115.1 	126.6 	133.6 	143.5 	157.2 	162.9 	169.7 	164.9 	163.7 
PC_GDP,NSA,GS,DEB,WRL_REST,LV	: 	: 	: 	: 	: 	35.1 	38.1 	38.1 	43.8 	51.1 	56.4 	59.5 	56.7 	51.8 	44.4 	55.9 	63.4 	65.4 	63.8 	62.2 	60.9 	58.8 	61.0 
PC_GDP,NSA,GS,DEB,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	105.8 	108.9 	130.1 	129.0 	148.8 	149.1 	153.9 	157.8 	160.5 	150.7 	136.6 	132.5 	126.7 	115.7 
PC_GDP,NSA,GS,DEB,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.1 	57.4 	60.0 	60.9 	62.2 	55.2 	62.8 	68.0 	71.5 	70.5 	70.8 	75.2 	69.3 	72.2 
PC_GDP,NSA,GS,DEB,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.8 	35.6 	40.0 	42.1 	42.9 	38.0 	42.1 	44.7 	45.0 	44.4 	46.1 	46.4 	48.2 	50.3 
PC_GDP,NSA,GS,DEB,WRL_REST,PT	: 	32.8 	34.8 	36.7 	36.8 	39.2 	37.6 	35.2 	33.7 	35.5 	35.8 	38.1 	38.6 	40.8 	33.9 	37.2 	38.6 	38.1 	38.4 	39.8 	39.5 	38.6 	41.5 
PC_GDP,NSA,GS,DEB,WRL_REST,RO	: 	: 	: 	: 	31.1 	26.8 	29.6 	29.6 	30.9 	34.3 	34.4 	36.5 	38.5 	39.1 	32.7 	38.7 	42.6 	42.3 	40.7 	41.6 	41.6 	42.0 	43.6 
PC_GDP,NSA,GS,DEB,WRL_REST,SE	30.6 	29.4 	32.0 	33.7 	33.9 	37.5 	36.6 	34.7 	34.0 	35.1 	38.3 	40.2 	41.6 	43.4 	38.5 	40.1 	41.3 	40.6 	38.7 	40.2 	40.2 	39.4 	41.2 
PC_GDP,NSA,GS,DEB,WRL_REST,SI	48.1 	47.8 	48.6 	48.9 	48.4 	53.8 	52.8 	50.8 	51.0 	56.2 	60.0 	64.5 	68.7 	68.0 	55.3 	63.0 	69.2 	69.1 	67.8 	68.2 	68.4 	68.6 	73.2 
PC_GDP,NSA,GS,DEB,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	95.5 	97.8 	104.1 	94.0 	85.5 	68.3 	77.1 	85.2 	87.0 	89.0 	87.4 	89.4 	90.4 	93.2 
PC_GDP,NSA,GS,DEB,WRL_REST,UK	: 	: 	: 	: 	25.2 	26.7 	27.0 	26.6 	25.9 	26.1 	27.3 	29.1 	27.3 	29.7 	28.3 	30.8 	32.0 	31.7 	31.4 	29.8 	28.8 	29.8 	31.3 
PC_GDP,NSA,IN1,DEB,WRL_REST,AT	4.7 	4.7 	5.3 	5.8 	7.3 	7.5 	7.9 	7.5 	6.9 	7.2 	8.9 	10.2 	12.1 	10.2 	9.3 	9.3 	11.1 	10.4 	6.2 	6.8 	5.6 	8.0 	7.8 
PC_GDP,NSA,IN1,DEB,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	10.8 	11.9 	14.4 	17.4 	20.4 	18.9 	16.1 	12.8 	12.0 	12.2 	12.0 	12.1 	11.9 	11.8 	10.5 
PC_GDP,NSA,IN1,DEB,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.9 	7.4 	5.4 	4.3 	5.4 	4.2 	5.8 	4.2 	6.6 	7.4 	3.6 
PC_GDP,NSA,IN1,DEB,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40.7 	44.2 	51.7 	45.0 	32.6 	27.6 	28.4 	92.3 	37.2 	73.1 
PC_GDP,NSA,IN1,DEB,WRL_REST,CZ	2.2 	2.8 	3.6 	4.2 	4.9 	5.4 	6.6 	6.8 	7.0 	7.1 	7.2 	8.6 	10.9 	8.3 	8.7 	9.2 	8.7 	9.6 	9.4 	9.6 	9.5 	9.5 	9.4 
PC_GDP,NSA,IN1,DEB,WRL_REST,DE	3.6 	3.7 	4.3 	4.7 	5.3 	6.3 	5.6 	6.0 	5.9 	5.5 	6.4 	7.0 	8.3 	6.7 	5.2 	5.8 	5.6 	5.0 	4.5 	4.5 	4.4 	4.3 	4.1 
PC_GDP,NSA,IN1,DEB,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.9 	8.8 	10.3 	9.6 	6.9 	6.5 	6.7 	5.8 	6.1 	5.8 	6.4 	6.1 	6.3 
PC_GDP,NSA,IN1,DEB,WRL_REST,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.9 	9.5 	11.7 	14.2 	12.3 	8.3 	11.0 	11.2 	9.6 	8.5 	8.5 	7.1 	7.8 	7.2 
PC_GDP,NSA,IN1,DEB,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	2.4 	3.8 	3.9 	4.7 	5.1 	6.2 	6.9 	5.8 	5.4 	5.9 	3.0 	3.8 	3.9 	3.7 	3.5 	3.5 
PC_GDP,NSA,IN1,DEB,WRL_REST,ES	3.4 	3.8 	4.1 	4.4 	4.2 	4.7 	5.4 	5.0 	4.5 	4.8 	5.5 	7.0 	8.3 	8.0 	6.6 	6.3 	6.7 	5.4 	5.5 	5.4 	5.2 	4.9 	4.8 
PC_GDP,NSA,IN1,DEB,WRL_REST,FI	: 	: 	: 	: 	5.7 	7.1 	7.4 	6.6 	7.0 	6.8 	7.5 	8.6 	10.1 	9.3 	5.7 	6.8 	7.3 	7.3 	6.8 	7.4 	6.5 	6.9 	6.9 
PC_GDP,NSA,IN1,DEB,WRL_REST,FR	: 	: 	: 	: 	3.6 	4.3 	4.4 	4.2 	4.4 	5.0 	6.0 	7.3 	8.2 	7.4 	5.5 	5.6 	5.4 	5.7 	5.2 	5.1 	5.2 	5.0 	4.9 
PC_GDP,NSA,IN1,DEB,WRL_REST,HR	: 	: 	: 	: 	: 	3.5 	3.9 	3.4 	4.9 	4.0 	4.4 	4.9 	5.4 	6.0 	5.5 	5.2 	5.1 	5.6 	4.0 	3.9 	2.8 	5.8 	4.9 
PC_GDP,NSA,IN1,DEB,WRL_REST,HU	: 	: 	: 	: 	7.7 	7.9 	7.7 	7.2 	6.5 	8.4 	8.8 	13.2 	16.6 	17.5 	18.9 	19.4 	16.3 	16.9 	14.9 	14.3 	13.4 	13.9 	14.6 
PC_GDP,NSA,IN1,DEB,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	38.6 	35.8 	36.8 	39.8 	48.2 	56.7 	58.0 	48.6 	49.1 	51.7 	51.2 	46.8 	47.7 	46.2 	44.0 	46.9 
PC_GDP,NSA,IN1,DEB,WRL_REST,IT	: 	: 	: 	: 	4.7 	4.6 	4.3 	4.6 	4.4 	4.1 	4.4 	4.8 	5.4 	5.5 	4.3 	4.0 	4.3 	3.8 	3.8 	3.8 	3.8 	3.5 	3.6 
PC_GDP,NSA,IN1,DEB,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	4.1 	4.8 	6.3 	6.0 	0.6 	4.9 	6.8 	5.8 	5.2 	3.5 	6.2 	5.9 	5.9 
PC_GDP,NSA,IN1,DEB,WRL_REST,LU	200.8 	169.9 	190.0 	230.0 	215.3 	241.2 	252.2 	269.9 	249.1 	227.5 	273.6 	321.4 	345.8 	381.6 	296.6 	298.1 	372.0 	458.9 	493.1 	396.4 	445.6 	392.4 	406.2 
