indic_bt,nace_r2,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
TOVT,G-N_STS_X_G47,I2015_SCA,ES	100.8 p	101.5 p	101.8 p	103.4 p	105.7 p	107.5 p	109.8 p	111.8 p	112.8 p	115.2 p	117.5 p	119.4 p
TOVT,G-N_STS_X_G47,I2015_SCA,EU28	100.4 	100.2 	100.4 	101.5 	102.7 	105.5 	107.6 	108.1 	109.4 	111.3 	112.5 s	114.7 s
TOVT,G-N_STS_X_G47,I2015_SCA,FI	100.3 s	99.5 s	100.8 s	101.2 s	102.0 s	104.6 s	106.6 s	107.8 s	109.6 s	111.1 s	111.7 s	113.4 s
TOVT,G-N_STS_X_G47,I2015_SCA,FR	100.5 	100.5 	101.4 	101.3 	101.8 	103.4 	106.3 	106.4 	108.6 	110.4 	111.3 	113.3 
TOVT,G-N_STS_X_G47,I2015_SCA,HR	101.2 s	101.6 s	103.3 s	104.6 s	105.7 s	107.9 s	108.4 s	109.2 s	110.6 s	111.9 s	114.3 s	: c
TOVT,G-N_STS_X_G47,I2015_SCA,HU	101.6 s	105.1 s	105.2 s	109.6 s	111.5 s	115.4 s	118.9 s	123.8 s	126.3 s	126.8 s	: 	: 
TOVT,G-N_STS_X_G47,I2015_SCA,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,I2015_SCA,IT	100.2 	100.7 	101.0 	101.5 	102.0 	102.6 	104.3 	104.7 	105.1 	106.4 	106.6 	107.3 
TOVT,G-N_STS_X_G47,I2015_SCA,LT	101.2 ps	101.4 ps	101.5 ps	103.2 ps	106.2 ps	107.9 ps	113.8 ps	117.1 ps	118.3 ps	123.6 ps	126.6 ps	130.7 ps
TOVT,G-N_STS_X_G47,I2015_SCA,LU	97.9 s	94.7 s	91.4 s	95.8 s	97.3 s	107.2 s	108.1 s	107.6 s	109.8 s	112.0 s	113.7 ps	111.4 ps
TOVT,G-N_STS_X_G47,I2015_SCA,LV	101.9 	105.0 	101.6 	103.8 	104.1 	105.9 	116.3 	115.0 	112.8 	119.1 	116.5 	121.8 
TOVT,G-N_STS_X_G47,I2015_SCA,MT	100.7 s	104.0 s	104.4 s	103.7 ps	105.0 ps	106.6 ps	108.3 ps	111.8 ps	111.6 ps	116.9 ps	116.7 ps	116.2 ps
TOVT,G-N_STS_X_G47,I2015_SCA,NL	100.2 ps	101.5 ps	100.7 ps	102.8 ps	104.2 ps	105.6 ps	108.4 ps	108.6 ps	109.6 ps	111.1 ps	112.3 ps	114.5 ps
TOVT,G-N_STS_X_G47,I2015_SCA,PL	100.2 s	101.9 s	101.9 s	104.7 s	105.7 s	108.5 s	116.8 s	114.1 s	116.2 s	120.9 s	124.3 s	128.1 s
TOVT,G-N_STS_X_G47,I2015_SCA,PT	100.4 	98.1 	101.4 	101.4 	103.1 	106.4 	106.9 	109.6 	110.5 	112.5 	112.7 	116.6 
TOVT,G-N_STS_X_G47,I2015_SCA,RO	101.0 s	104.8 s	105.7 s	107.4 s	111.0 s	112.3 s	116.2 s	118.6 s	122.1 s	125.3 s	126.3 ps	131.3 s
TOVT,G-N_STS_X_G47,I2015_SCA,SE	101.2 s	101.7 s	101.3 s	104.1 s	104.1 s	107.7 s	109.4 s	111.2 s	113.1 s	114.4 s	117.9 s	120.0 s
TOVT,G-N_STS_X_G47,I2015_SCA,SI	100.5 s	100.4 s	103.0 s	103.3 s	105.7 s	109.3 s	112.8 s	114.2 s	116.2 s	120.4 s	122.1 s	127.4 s
TOVT,G-N_STS_X_G47,I2015_SCA,SK	101.2 s	101.1 s	101.3 s	105.0 s	105.5 s	107.3 s	109.3 s	110.7 s	112.4 s	115.4 s	117.8 s	119.6 s
TOVT,G-N_STS_X_G47,I2015_SCA,TR	102.2 	103.2 	104.2 	107.0 	106.5 	117.5 	126.7 	133.0 	140.9 	149.1 	154.3 	164.0 
TOVT,G-N_STS_X_G47,I2015_SCA,UK	100.4 s	97.4 s	97.9 s	100.7 s	103.2 s	108.3 s	106.2 s	106.3 s	107.7 s	108.7 s	110.4 s	115.1 s
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,AT	-0.1 s	-0.2 s	0.0 s	0.6 s	1.1 s	1.3 s	2.3 s	1.0 s	1.1 s	1.5 s	0.6 s	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,BE	-0.2 ps	0.6 ps	-0.9 ps	0.1 ps	0.8 ps	1.9 ps	2.8 ps	1.7 ps	0.9 ps	1.8 ps	0.5 ps	1.6 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,BG	-1.1 s	2.3 s	-0.5 s	0.9 s	-0.9 s	4.9 s	1.7 s	-3.4 s	3.4 s	1.9 s	-1.4 ps	2.6 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,CY	0.3 s	1.4 s	-1.6 s	4.4 s	2.8 s	0.5 s	4.2 s	0.7 s	0.5 s	1.6 s	0.2 s	3.4 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,CZ	-0.7 ps	-0.2 ps	-1.6 ps	0.2 ps	1.8 ps	1.2 ps	2.7 ps	1.4 ps	0.1 ps	1.5 ps	1.3 ps	1.2 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,DE	0.1 ps	0.7 ps	0.8 ps	-0.8 ps	0.1 ps	3.4 ps	3.8 ps	0.1 ps	0.3 ps	2.6 ps	1.1 ps	0.3 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,DK	-0.6 ps	-0.1 ps	-2.5 ps	3.5 ps	-0.8 ps	3.8 ps	4.1 ps	-2.2 ps	1.0 ps	2.0 ps	-0.2 ps	2.6 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,EA19	0.5 	0.4 	0.3 	0.4 	0.9 	2.1 	2.8 	0.7 	1.0 	1.9 	0.9 	1.3 s
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,EE	0.5 s	2.4 s	1.6 s	-2.8 s	1.7 s	2.7 s	6.6 s	-0.6 s	1.4 s	3.6 s	1.6 s	4.8 s
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,EL	-3.8 s	3.8 s	-3.1 s	1.5 s	1.0 s	-0.8 s	2.9 s	-0.7 ps	2.5 ps	0.2 ps	1.9 ps	2.2 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,ES	1.1 p	0.7 p	0.3 p	1.6 p	2.2 p	1.7 p	2.1 p	1.8 p	0.9 p	2.1 p	2.0 p	1.6 p
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,EU28	0.5 	-0.2 	0.2 	1.1 	1.2 	2.7 	2.0 	0.5 	1.2 	1.7 	1.1 s	2.0 s
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,FI	0.0 s	-0.8 s	1.3 s	0.4 s	0.8 s	2.5 s	1.9 s	1.1 s	1.7 s	1.4 s	0.5 s	1.5 s
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,FR	0.4 	0.0 	0.9 	-0.1 	0.5 	1.6 	2.8 	0.1 	2.1 	1.7 	0.8 	1.8 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,HR	2.8 s	0.4 s	1.7 s	1.3 s	1.1 s	2.1 s	0.5 s	0.7 s	1.3 s	1.2 s	2.1 s	: c
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,HU	5.0 s	3.4 s	0.1 s	4.2 s	1.7 s	3.5 s	3.0 s	4.1 s	2.0 s	0.4 s	: 	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,IT	0.7 	0.5 	0.3 	0.5 	0.5 	0.6 	1.7 	0.4 	0.4 	1.2 	0.2 	0.7 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,LT	1.3 ps	0.2 ps	0.1 ps	1.7 ps	2.9 ps	1.6 ps	5.5 ps	2.9 ps	1.0 ps	4.5 ps	2.4 ps	3.2 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,LU	-6.0 s	-3.3 s	-3.5 s	4.8 s	1.6 s	10.2 s	0.8 s	-0.5 s	2.0 s	2.0 s	1.5 ps	-2.0 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,LV	4.8 	3.0 	-3.2 	2.2 	0.3 	1.7 	9.8 	-1.1 	-1.9 	5.6 	-2.2 	4.5 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,MT	0.2 s	3.3 s	0.4 s	-0.7 ps	1.3 ps	1.5 ps	1.6 ps	3.2 ps	-0.2 ps	4.7 ps	-0.2 ps	-0.4 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,NL	1.1 ps	1.3 ps	-0.8 ps	2.1 ps	1.4 ps	1.3 ps	2.7 ps	0.2 ps	0.9 ps	1.4 ps	1.1 ps	2.0 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,PL	0.8 s	1.7 s	0.0 s	2.7 s	1.0 s	2.6 s	7.6 s	-2.3 s	1.8 s	4.0 s	2.8 s	3.1 s
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,PT	-0.4 	-2.3 	3.4 	0.0 	1.7 	3.2 	0.5 	2.5 	0.8 	1.8 	0.2 	3.5 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,RO	1.3 s	3.8 s	0.9 s	1.6 s	3.4 s	1.2 s	3.5 s	2.1 s	3.0 s	2.6 s	0.8 ps	4.0 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,SE	2.6 s	0.5 s	-0.4 s	2.8 s	0.0 s	3.5 s	1.6 s	1.6 s	1.7 s	1.1 s	3.1 s	1.8 s
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,SI	1.2 s	-0.1 s	2.6 s	0.3 s	2.3 s	3.4 s	3.2 s	1.2 s	1.8 s	3.6 s	1.4 s	4.3 s
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,SK	2.2 s	-0.1 s	0.2 s	3.7 s	0.5 s	1.7 s	1.9 s	1.3 s	1.5 s	2.7 s	2.1 s	1.5 s
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,TR	3.4 	1.0 	1.0 	2.7 	-0.5 	10.3 	7.8 	5.0 	5.9 	5.8 	3.5 	6.3 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,UK	-0.2 s	-3.0 s	0.5 s	2.9 s	2.5 s	4.9 s	-1.9 s	0.1 s	1.3 s	0.9 s	1.6 s	4.3 s
TOVT,G-N_STS_X_G47,PCH_Q4_CA,AT	-0.4 s	-0.1 s	0.0 s	0.2 s	1.3 s	2.8 s	5.9 s	5.8 s	5.6 s	5.8 s	4.5 s	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,BE	0.8 ps	3.2 ps	1.8 ps	-0.2 ps	0.3 ps	1.9 ps	5.8 ps	7.4 ps	7.4 ps	7.5 ps	5.0 ps	5.2 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,BG	4.2 s	11.8 s	6.0 s	0.3 s	0.7 s	6.4 s	7.0 s	1.1 s	6.5 s	4.3 s	0.1 ps	6.5 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,CY	4.3 s	4.9 s	3.4 s	4.5 s	7.0 s	6.2 s	12.4 s	8.3 s	5.9 s	7.1 s	2.9 s	5.9 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,CZ	2.1 ps	1.5 ps	-1.9 ps	-2.2 ps	-0.1 ps	1.5 ps	6.4 ps	7.5 ps	5.3 ps	5.7 ps	4.5 ps	4.4 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,DE	0.6 ps	0.6 ps	1.1 ps	0.8 ps	0.9 ps	3.4 ps	6.5 ps	7.5 ps	7.6 ps	6.8 ps	4.0 ps	4.3 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,DK	2.9 ps	2.7 ps	-3.4 ps	0.2 ps	0.0 ps	4.1 ps	11.1 ps	4.8 ps	6.7 ps	4.8 ps	0.4 ps	5.5 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,EA19	1.8 	2.2 	1.9 	1.5 	1.7 	3.6 	6.6 	6.6 	6.5 	6.4 	4.5 	5.3 s
TOVT,G-N_STS_X_G47,PCH_Q4_CA,EE	-2.1 s	-2.7 s	4.9 s	1.6 s	2.7 s	3.1 s	8.3 s	10.7 s	10.5 s	11.3 s	6.0 s	11.9 s
TOVT,G-N_STS_X_G47,PCH_Q4_CA,EL	-6.6 s	-1.4 s	-4.4 s	-1.7 s	4.1 s	-2.6 s	5.2 s	2.4 ps	4.8 ps	3.7 ps	4.0 s	7.0 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,ES	5.7 p	5.8 p	3.8 p	3.6 p	4.5 p	6.0 p	8.1 p	8.2 p	6.5 p	7.0 p	7.3 p	6.6 p
TOVT,G-N_STS_X_G47,PCH_Q4_CA,EU28	1.3 	1.4 	0.8 	1.6 	2.2 	5.4 	7.4 	6.6 	6.3 	5.3 	4.5 s	6.2 s
TOVT,G-N_STS_X_G47,PCH_Q4_CA,FI	-1.2 s	-0.9 s	0.7 s	0.9 s	1.5 s	5.2 s	5.8 s	6.4 s	7.7 s	6.4 s	4.7 s	5.1 s
TOVT,G-N_STS_X_G47,PCH_Q4_CA,FR	1.3 	1.7 	2.6 	1.2 	1.3 	2.8 	4.8 	5.1 	6.6 	6.7 	4.8 	6.4 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,HR	6.9 s	6.0 s	6.2 s	6.3 s	4.5 s	6.2 s	5.0 s	4.7 s	4.5 s	3.3 s	5.3 s	: c
TOVT,G-N_STS_X_G47,PCH_Q4_CA,HU	6.8 s	8.2 s	9.8 s	13.4 s	9.8 s	9.7 s	12.9 s	13.1 s	13.4 s	9.8 s	: 	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,PCH_Q4_CA,IT	1.9 	2.0 	2.4 	2.1 	1.3 	1.7 	3.8 	3.4 	2.8 	3.8 	2.2 	2.4 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,LT	5.6 ps	4.1 ps	4.4 ps	3.8 ps	4.4 ps	6.0 ps	12.6 ps	13.9 ps	10.9 ps	14.5 ps	11.3 ps	11.8 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,LU	-9.1 s	-9.6 s	-11.4 s	-8.3 s	-1.2 s	14.2 s	18.8 s	12.0 s	12.4 s	4.4 s	5.4 ps	3.4 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,LV	4.4 	7.4 	6.1 	6.8 	1.8 	0.9 	14.7 	10.9 	8.3 	12.5 	0.1 	5.9 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,MT	8.2 s	8.1 s	10.6 s	3.1 ps	4.3 ps	2.6 ps	3.8 ps	7.8 ps	6.2 ps	9.6 ps	7.7 ps	4.0 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,NL	3.1 ps	5.6 ps	2.7 ps	3.0 ps	2.8 ps	3.9 ps	9.5 ps	6.3 ps	4.5 ps	4.2 ps	3.5 ps	5.7 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,PL	1.9 s	4.6 s	3.1 s	5.3 s	5.3 s	6.5 s	14.9 s	9.0 s	9.9 s	11.3 s	6.4 s	12.3 s
TOVT,G-N_STS_X_G47,PCH_Q4_CA,PT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,PCH_Q4_CA,RO	7.3 s	10.9 s	6.0 s	8.1 s	10.2 s	7.2 s	9.4 s	10.9 s	10.3 s	11.5 s	7.7 ps	11.3 s
TOVT,G-N_STS_X_G47,PCH_Q4_CA,SE	7.6 s	8.2 s	3.2 s	5.8 s	2.6 s	5.8 s	8.2 s	7.0 s	8.5 s	6.0 s	7.8 s	7.9 s
TOVT,G-N_STS_X_G47,PCH_Q4_CA,SI	3.2 s	4.8 s	5.5 s	4.0 s	4.8 s	9.2 s	9.7 s	10.6 s	9.8 s	10.2 s	8.0 s	11.6 s
TOVT,G-N_STS_X_G47,PCH_Q4_CA,SK	6.4 	3.9 	2.7 	6.3 	4.1 	6.2 	8.2 	5.2 	6.2 	7.8 	7.9 	7.9 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,TR	14.2 	11.4 	8.9 	7.6 	3.3 	14.0 	21.9 	24.2 	33.4 	26.9 	21.3 	23.2 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,UK	-1.7 	-4.1 	-3.8 	0.1 	2.9 	11.6 	8.2 	5.5 	4.4 	0.5 	3.7 	8.5 
