unit,indic_il,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,LI_R_MD60,Y_GE65,M,CH	: 	24.5 	23.2 	26.3 	24.2 	24.2 	24.9 	25.6 	21.7 	24.0 	22.2 	: 
PC,LI_R_MD60,Y_GE65,M,CY	49.2 	46.3 	41.0 	42.4 	36.8 	31.7 	24.2 	16.2 	17.6 	13.6 	15.8 	18.3 
PC,LI_R_MD60,Y_GE65,M,CZ	2.4 	2.0 	3.3 	3.0 	2.1 	2.0 	2.7 	2.7 	4.3 	3.5 	3.6 	4.8 
PC,LI_R_MD60,Y_GE65,M,DE	10.8 	13.0 	12.0 	12.9 	12.1 	12.0 	13.3 	12.7 	14.0 	14.5 	14.9 	14.9 
PC,LI_R_MD60,Y_GE65,M,DK	15.9 	16.5 	17.0 	18.5 	16.8 	12.7 	11.1 	8.1 	9.1 	8.0 	7.2 	8.9 
PC,LI_R_MD60,Y_GE65,M,EA18	16.0 	16.1 	14.8 	14.6 	12.7 	12.9 	12.4 	11.3 	11.0 	11.4 	12.1 	12.2 e
PC,LI_R_MD60,Y_GE65,M,EA19	15.9 	16.1 	14.8 	14.6 	12.7 	12.8 	12.4 	11.3 	11.0 	11.4 	12.1 	12.3 e
PC,LI_R_MD60,Y_GE65,M,EE	13.7 	20.7 	24.6 	18.9 	8.0 	7.2 	11.2 	13.3 	18.5 	21.0 	26.1 	28.4 
PC,LI_R_MD60,Y_GE65,M,EL	23.5 	20.8 	20.8 	20.9 	18.8 	21.7 	15.9 	13.7 	13.3 	11.9 	10.6 	11.1 
PC,LI_R_MD60,Y_GE65,M,ES	25.9 	23.7 	22.1 	21.1 	19.4 	17.5 	14.7 	12.1 	10.0 	11.1 	12.7 	13.5 
PC,LI_R_MD60,Y_GE65,M,EU27	15.9 e	16.0 	15.6 	14.9 	12.9 	13.0 	12.2 	11.3 	11.1 	11.6 	11.9 	12.0 e
PC,LI_R_MD60,Y_GE65,M,EU28	: 	: 	: 	: 	13.0 	13.0 	12.2 	11.4 	11.2 	11.7 	12.0 	12.0 e
PC,LI_R_MD60,Y_GE65,M,FI	15.7 	17.7 	15.5 	13.1 	12.2 	11.8 	11.9 	11.4 	11.0 	9.1 	8.1 	7.9 
PC,LI_R_MD60,Y_GE65,M,FR	14.0 	12.1 	9.1 	9.6 	8.0 	8.1 	8.0 	7.4 	7.2 	7.0 	6.7 	6.5 
PC,LI_R_MD60,Y_GE65,M,HR	: 	: 	: 	: 	25.1 	22.6 	20.3 	18.6 	20.8 	22.8 	21.9 	: 
PC,LI_R_MD60,Y_GE65,M,HU	6.9 	3.2 	2.7 	3.1 	2.8 	4.1 	5.4 	3.3 	3.8 	4.1 	5.9 	7.9 
PC,LI_R_MD60,Y_GE65,M,IE	22.2 	23.6 	17.7 	14.4 	9.8 	11.5 	12.6 	10.3 	9.9 	13.1 	15.2 	: 
PC,LI_R_MD60,Y_GE65,M,IS	10.0 	11.0 	9.5 	6.1 	3.0 	3.0 	4.6 	3.9 	6.3 	4.5 	3.7 p	: 
PC,LI_R_MD60,Y_GE65,M,IT	17.9 	18.3 	17.3 	16.0 	12.9 	13.9 	13.1 	12.3 	11.0 	11.8 	12.8 	13.3 
PC,LI_R_MD60,Y_GE65,M,LT	10.3 	15.2 	18.2 	12.2 	7.6 	8.6 	13.8 	10.9 	11.9 	15.7 	16.7 	21.4 
PC,LI_R_MD60,Y_GE65,M,LU	7.9 	6.6 	4.6 	3.9 	5.5 	4.2 	3.6 	5.6 	5.7 	6.6 	6.8 b	10.1 
PC,LI_R_MD60,Y_GE65,M,LV	17.5 	25.3 	45.3 	39.2 	11.9 	6.6 	8.5 	10.4 	15.9 	22.6 	28.4 	29.1 
PC,LI_R_MD60,Y_GE65,M,MK	: 	: 	: 	: 	19.7 	20.3 	22.5 	16.1 	14.9 	13.2 	14.1 	: 
PC,LI_R_MD60,Y_GE65,M,MT	24.6 	24.1 	25.1 	21.0 	19.5 	19.5 	19.0 	15.8 	16.7 	20.4 	22.8 	23.4 
PC,LI_R_MD60,Y_GE65,M,NL	6.3 	8.6 	9.6 	8.0 	5.5 	6.3 	5.5 	4.8 	4.9 	5.0 	8.5 b	9.8 
PC,LI_R_MD60,Y_GE65,M,NO	7.5 	4.9 	6.4 	4.0 	3.8 	3.8 	3.8 	3.4 	3.9 	3.0 	3.3 	3.5 
PC,LI_R_MD60,Y_GE65,M,PL	5.7 	5.6 	8.9 	10.9 	9.9 	10.2 	9.4 	8.5 	8.4 	9.2 	9.1 	10.7 
PC,LI_R_MD60,Y_GE65,M,PT	25.8 	23.6 	19.2 	17.7 	17.5 	18.0 	16.1 	13.7 	12.6 	14.2 	16.0 	15.2 
PC,LI_R_MD60,Y_GE65,M,RO	: 	22.9 	20.6 	14.8 	11.1 	8.7 	8.7 	9.1 	9.7 	13.3 	12.2 	13.2 
PC,LI_R_MD60,Y_GE65,M,RS	: 	: 	: 	: 	: 	: 	: 	15.5 	17.8 	16.8 	15.2 	: 
PC,LI_R_MD60,Y_GE65,M,SE	6.2 	6.1 	9.5 b	9.6 	8.3 	9.0 	9.8 	8.5 	8.5 	10.4 	11.1 	10.8 
PC,LI_R_MD60,Y_GE65,M,SI	12.0 	10.8 	11.7 	11.4 	9.5 	10.5 	11.7 	13.2 	10.8 	10.2 	10.8 	10.4 
PC,LI_R_MD60,Y_GE65,M,SK	4.5 	3.1 	3.8 	4.5 	3.9 	3.4 	5.9 	3.3 	4.1 	3.4 	4.3 	4.9 
PC,LI_R_MD60,Y_GE65,M,TR	18.8 	17.6 	17.9 	20.0 	18.9 	17.5 	18.6 	17.2 	18.9 	17.6 	: 	: 
PC,LI_R_MD60,Y_GE65,M,UK	22.4 	23.4 	24.4 	20.0 	17.6 	18.2 	14.9 	14.6 	14.9 	15.0 	14.4 	: 
PC,LI_R_MD60,Y_GE65,T,AT	16.2 	14.0 	18.9 	17.4 	16.8 	16.2 	15.1 	15.4 	14.2 	13.2 	13.2 	12.9 
PC,LI_R_MD60,Y_GE65,T,BE	23.2 	23.0 	21.2 	21.6 	19.4 	20.2 	19.4 	18.4 	16.1 	15.2 	15.4 	16.0 
PC,LI_R_MD60,Y_GE65,T,BG	19.9 	23.9 	33.8 	39.3 	32.2 	31.2 	28.2 	27.9 	22.6 	31.7 	24.3 b	32.0 
PC,LI_R_MD60,Y_GE65,T,CH	: 	26.1 	27.2 	30.2 	27.6 	28.1 	29.9 	29.5 	25.7 	26.5 	25.2 	: 
PC,LI_R_MD60,Y_GE65,T,CY	51.9 	50.6 	46.3 	46.4 	39.9 	35.5 	29.3 	20.1 	22.4 	17.3 	19.5 	21.6 
PC,LI_R_MD60,Y_GE65,T,CZ	5.9 	5.5 	7.4 	7.2 	6.8 	6.6 	6.0 	5.8 	7.0 	7.4 	8.1 	10.7 
PC,LI_R_MD60,Y_GE65,T,DE	12.5 	16.2 	14.9 	15.0 	14.1 	14.2 	15.0 	14.9 	16.3 	16.5 	17.6 	17.0 
PC,LI_R_MD60,Y_GE65,T,DK	17.4 	17.7 	18.1 	20.1 	17.7 	13.9 	12.8 	10.1 	9.8 	9.1 	8.5 	8.8 
PC,LI_R_MD60,Y_GE65,T,EA18	18.7 	19.0 	18.0 	17.3 	15.2 	15.1 	14.1 	13.3 	13.2 	13.4 	14.0 	14.1 e
PC,LI_R_MD60,Y_GE65,T,EA19	18.8 	19.1 	18.2 	17.4 	15.2 	15.1 	14.1 	13.3 	13.3 	13.5 	14.2 	14.3 e
PC,LI_R_MD60,Y_GE65,T,EE	25.1 	33.2 	39.0 	33.9 	15.1 	13.1 	17.2 	24.4 	32.6 	35.8 	40.2 	41.2 
PC,LI_R_MD60,Y_GE65,T,EL	25.6 	22.9 	22.3 	21.4 	21.3 	23.6 	17.2 	15.1 	14.9 	13.7 	12.4 	12.4 
PC,LI_R_MD60,Y_GE65,T,ES	29.3 	26.1 	25.5 	23.8 	21.8 	19.8 	14.8 	12.7 	11.4 	12.3 	13.0 	14.8 
PC,LI_R_MD60,Y_GE65,T,EU27	18.9 e	19.1 	18.9 	17.9 	15.9 	15.8 	14.4 	13.6 	13.6 	14.0 	14.5 	14.6 e
PC,LI_R_MD60,Y_GE65,T,EU28	: 	: 	: 	: 	16.0 	15.9 	14.5 	13.7 	13.7 	14.1 	14.6 	14.6 e
PC,LI_R_MD60,Y_GE65,T,FI	21.8 	21.6 	22.5 	22.1 	18.3 	18.9 	18.4 	16.1 	16.0 	13.8 	12.3 	12.3 
PC,LI_R_MD60,Y_GE65,T,FR	16.1 	13.1 	11.9 	11.9 	9.4 	9.7 	9.4 	9.1 	8.6 	8.0 	8.2 	7.8 
PC,LI_R_MD60,Y_GE65,T,HR	: 	: 	: 	: 	30.5 	29.4 	25.6 	23.4 	23.1 	26.3 	26.5 	: 
PC,LI_R_MD60,Y_GE65,T,HU	9.4 	6.1 	4.3 	4.6 	4.1 	4.9 	6.3 	4.6 	4.5 	4.6 	6.8 	9.1 
PC,LI_R_MD60,Y_GE65,T,IE	26.9 	28.3 	21.1 	16.2 	9.9 	11.0 	12.8 	10.6 	11.4 	14.2 	16.0 	: 
PC,LI_R_MD60,Y_GE65,T,IS	11.8 	15.1 	15.0 	12.4 	4.9 	4.3 	4.5 	4.0 	6.9 	5.8 	5.9 p	: 
PC,LI_R_MD60,Y_GE65,T,IT	21.7 	22.2 	20.9 	19.6 	16.7 	17.0 	16.1 	15.0 	14.2 	14.7 	15.3 	15.6 
PC,LI_R_MD60,Y_GE65,T,LT	22.0 	29.8 	31.0 	23.9 	9.6 	9.7 	18.7 	19.4 	20.1 	25.0 	27.7 	33.4 
PC,LI_R_MD60,Y_GE65,T,LU	7.9 	7.2 	5.4 	6.0 	5.9 	4.7 	6.1 	6.2 	6.3 	7.9 	9.0 b	11.8 
PC,LI_R_MD60,Y_GE65,T,LV	30.4 	35.6 	52.0 	47.6 	17.2 	9.1 	13.9 	17.6 	27.6 	34.6 	38.1 	39.9 
PC,LI_R_MD60,Y_GE65,T,MK	: 	: 	: 	: 	18.5 	21.1 	22.3 	16.5 	14.5 	14.5 	14.5 	: 
PC,LI_R_MD60,Y_GE65,T,MT	23.5 	20.3 	24.3 	19.7 	18.2 	17.6 	17.3 	14.9 	16.9 	21.0 	24.2 	25.0 
PC,LI_R_MD60,Y_GE65,T,NL	5.8 	9.5 	9.4 	7.7 	5.9 	6.5 	5.5 	5.5 	5.9 	5.6 	9.0 b	10.0 
PC,LI_R_MD60,Y_GE65,T,NO	16.8 	14.1 	14.7 	12.2 	12.0 	11.1 	9.2 	9.7 	9.8 	8.9 	9.0 	8.6 
PC,LI_R_MD60,Y_GE65,T,PL	7.8 	7.8 	11.7 	14.4 	14.2 	14.7 	14.0 	12.3 	11.7 	12.1 	12.8 	13.8 
PC,LI_R_MD60,Y_GE65,T,PT	26.1 	25.5 	22.3 	20.1 	21.0 	20.0 	17.4 	14.6 	15.1 	17.0 	18.3 	17.0 
PC,LI_R_MD60,Y_GE65,T,RO	: 	29.4 	26.5 	21.4 	17.6 	14.8 	14.4 	14.5 	15.7 	19.4 	19.1 	20.0 
PC,LI_R_MD60,Y_GE65,T,RS	: 	: 	: 	: 	: 	: 	: 	19.4 	20.4 	19.7 	19.1 	: 
PC,LI_R_MD60,Y_GE65,T,SE	11.3 	9.9 	15.3 b	16.2 	14.2 	15.9 	15.9 	15.0 	13.6 	15.9 	16.8 	15.8 
PC,LI_R_MD60,Y_GE65,T,SI	19.9 	19.4 	21.3 	20.0 	20.2 	20.9 	19.6 	20.5 	17.1 	17.2 	17.6 	16.4 
PC,LI_R_MD60,Y_GE65,T,SK	8.5 	8.5 	9.9 	10.8 	7.7 	6.3 	7.8 	6.0 	6.2 	5.6 	5.7 	6.9 
PC,LI_R_MD60,Y_GE65,T,TR	20.0 	18.4 	18.9 	20.2 	19.3 	19.0 	20.5 	18.4 	19.3 	18.7 	: 	: 
PC,LI_R_MD60,Y_GE65,T,UK	26.1 	26.5 	27.3 	22.3 	21.3 	21.8 	16.4 	16.6 	17.7 	16.5 	17.1 	: 
