hhtyp,indic_il,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
A1,LI_R_MD60,DIFF,Y_LT65,DK	-1.0 	-4.8 	-3.7 	-4.3 	-4.8 	-0.1 b	0.4 	-2.6 	0.6 	3.3 	2.8 	2.7 
A1,LI_R_MD60,DIFF,Y_LT65,EA18	-1.4 	-3.8 	-1.7 	-2.5 	-1.1 	-0.8 	-2.3 	-1.7 	-0.8 	1.6 	-0.9 	-0.6 
A1,LI_R_MD60,DIFF,Y_LT65,EA19	-1.3 	-3.7 	-1.7 	-2.4 	-1.0 	-0.7 	-2.3 	-1.7 	-0.8 	1.7 	-0.8 	-0.6 
A1,LI_R_MD60,DIFF,Y_LT65,EE	2.2 	3.0 	2.6 	7.1 	12.4 	18.3 	6.5 	2.0 	9.2 b	11.3 	9.3 	6.9 
A1,LI_R_MD60,DIFF,Y_LT65,EL	-6.3 	-3.4 	-1.6 	-3.3 	2.9 	4.0 	-7.9 	-3.3 	-1.4 	-1.4 	0.3 	-1.1 
A1,LI_R_MD60,DIFF,Y_LT65,ES	-9.2 	-7.3 	-5.7 b	-8.7 	2.5 	-4.3 	-1.2 	6.0 	7.2 	8.8 	4.9 	0.9 
A1,LI_R_MD60,DIFF,Y_LT65,EU27	0.7 	-1.8 	-0.8 	-1.2 	0.1 	0.3 	-0.5 	-0.1 	0.4 	2.0 	0.5 	0.2 
A1,LI_R_MD60,DIFF,Y_LT65,EU28	: 	: 	: 	: 	0.1 	0.4 	-0.5 	-0.1 	0.4 	1.9 	0.5 	0.2 
A1,LI_R_MD60,DIFF,Y_LT65,FI	5.8 	2.5 	7.0 	6.1 	6.9 	8.4 	9.6 	6.6 	4.9 	7.1 	8.5 	7.1 
A1,LI_R_MD60,DIFF,Y_LT65,FR	-0.6 	0.4 	0.9 b	-2.1 	-1.2 	-0.7 	-0.3 	-2.9 	-1.8 	3.3 	-1.3 	1.4 
A1,LI_R_MD60,DIFF,Y_LT65,HR	: 	: 	: 	: 	8.2 	3.8 	3.4 	-3.1 	-0.1 	-4.0 	0.2 	: 
A1,LI_R_MD60,DIFF,Y_LT65,HU	15.7 	11.9 	13.3 	8.8 	9.0 	8.7 	12.2 	8.8 	11.6 	9.4 	3.2 	-1.1 
A1,LI_R_MD60,DIFF,Y_LT65,IE	0.8 	3.8 	8.0 	12.1 	19.3 	20.1 	14.7 	10.1 	2.5 	4.9 	4.7 	: 
A1,LI_R_MD60,DIFF,Y_LT65,IS	-2.6 	-3.5 	2.8 	-6.0 	10.2 	6.3 	11.6 	16.7 	10.6 	10.8 	-0.9 p	: 
A1,LI_R_MD60,DIFF,Y_LT65,IT	-11.1 	-8.8 	-11.5 	-11.5 	-6.7 	-9.8 	-7.9 	-6.7 	-8.9 	-5.4 	-7.7 	-7.9 
A1,LI_R_MD60,DIFF,Y_LT65,LT	13.2 	7.2 	6.3 	8.8 	17.2 	8.4 	2.4 	2.7 	5.1 	11.9 	4.6 	6.3 
A1,LI_R_MD60,DIFF,Y_LT65,LU	-0.1 	2.3 	-1.2 	-0.8 	9.2 	-0.2 	3.2 	-0.2 	4.2 	1.7 	-2.8 b	-4.3 
A1,LI_R_MD60,DIFF,Y_LT65,LV	1.9 	-2.5 	-1.5 	11.8 	17.1 	22.6 	15.7 	11.4 	10.5 	2.0 	0.1 	4.7 
A1,LI_R_MD60,DIFF,Y_LT65,MK	: 	: 	: 	: 	: 	: 	12.1 	7.7 	19.6 	11.5 	7.8 	: 
A1,LI_R_MD60,DIFF,Y_LT65,MT	-6.6 	-24.4 	-11.4 	-4.6 	-6.1 	-4.6 	-6.4 	-1.6 	8.0 	6.2 	-0.5 	-8.1 
A1,LI_R_MD60,DIFF,Y_LT65,NL	1.3 	-5.6 	-0.8 	-1.1 	-8.4 	-1.3 	-5.2 	-3.5 	-2.5 	0.7 	2.5 b	0.0 
A1,LI_R_MD60,DIFF,Y_LT65,NO	-2.1 	-7.6 	-10.5 	-6.0 	-1.0 	0.6 	0.1 	-2.1 	-4.9 	-8.6 	-7.1 	-2.9 
A1,LI_R_MD60,DIFF,Y_LT65,PL	21.7 	15.8 	12.1 	9.8 	11.2 	17.3 	12.2 	11.5 	11.9 	8.7 	5.4 	12.4 
A1,LI_R_MD60,DIFF,Y_LT65,PT	-11.2 	-11.7 	2.8 	3.7 	10.3 	8.0 	-0.3 	5.0 	4.9 	5.1 	7.4 	1.3 
A1,LI_R_MD60,DIFF,Y_LT65,RO	: 	-4.1 b	0.5 	1.1 	8.1 	4.9 	10.6 	9.3 	9.7 	8.9 	7.8 	4.3 
A1,LI_R_MD60,DIFF,Y_LT65,RS	: 	: 	: 	: 	: 	: 	: 	18.2 	15.9 	24.7 	19.6 	: 
A1,LI_R_MD60,DIFF,Y_LT65,SE	5.0 	7.2 	1.3 b	-1.4 	-2.0 	-1.3 	2.6 	1.6 	1.8 	1.7 	-0.4 	4.0 
A1,LI_R_MD60,DIFF,Y_LT65,SI	1.2 	5.0 	13.7 	4.9 	-0.4 	7.1 	-1.7 	3.9 	2.5 	-8.0 	-8.0 	-7.1 
A1,LI_R_MD60,DIFF,Y_LT65,SK	7.9 	3.0 	5.8 	4.7 	12.6 	11.9 	6.4 	9.7 	8.7 	9.8 	10.6 	14.0 
A1,LI_R_MD60,DIFF,Y_LT65,TR	-2.5 	-6.9 	-3.4 	-8.1 	-4.7 	-5.3 	-1.8 	0.8 	-1.0 	-3.4 	: 	: 
A1,LI_R_MD60,DIFF,Y_LT65,UK	3.7 	1.1 	-1.0 	2.4 	3.8 	0.7 	3.6 b	3.7 	0.6 	0.4 	6.7 	: 
