s_adj,unit,nace_r2,lcstruct,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
CA,PCH_SM,B-E,D1_D4_MD5,IE	-0.9 	-1.6 	1.9 	1.3 	1.8 	2.2 	1.2 	1.0 	1.4 	1.3 	2.7 	2.3 p
CA,PCH_SM,B-E,D1_D4_MD5,IS	7.4 p	8.8 p	16.8 p	3.7 p	10.5 p	7.6 p	0.8 p	14.3 p	7.9 p	8.6 p	8.5 p	9.5 p
CA,PCH_SM,B-E,D1_D4_MD5,IT	-0.8 	0.4 	-2.6 	-2.1 	-0.7 	0.1 	1.1 	0.1 	0.6 	-1.8 	0.7 	2.3 
CA,PCH_SM,B-E,D1_D4_MD5,LT	7.7 	7.4 	7.9 	8.6 	8.8 	10.4 	10.1 	9.5 	8.6 	7.9 	7.6 	8.6 
CA,PCH_SM,B-E,D1_D4_MD5,LU	-0.6 	-1.5 	-1.0 	-1.3 	0.3 	1.7 	1.1 	3.3 	2.8 	1.9 	0.7 	0.7 
CA,PCH_SM,B-E,D1_D4_MD5,LV	7.5 	9.1 	5.4 	7.1 	8.1 	9.5 	7.5 	8.0 	5.3 	8.6 	12.5 	12.0 
CA,PCH_SM,B-E,D1_D4_MD5,MT	6.9 p	4.7 p	-0.8 p	-5.5 p	-1.5 p	3.7 p	4.9 p	9.8 p	4.0 p	-4.8 p	-3.6 p	0.3 p
CA,PCH_SM,B-E,D1_D4_MD5,NL	0.6 p	-1.6 p	2.6 p	0.9 p	2.6 p	1.2 p	0.6 p	1.6 p	1.4 p	2.9 p	3.4 p	: n
CA,PCH_SM,B-E,D1_D4_MD5,NO	2.3 	1.8 	2.5 	2.5 	0.9 	1.4 	1.3 	1.1 	1.9 	2.2 	3.1 	2.5 
CA,PCH_SM,B-E,D1_D4_MD5,PL	5.1 	1.0 	2.6 	2.2 	4.5 	3.8 	4.2 	9.9 	4.8 	7.1 	8.6 	6.3 
CA,PCH_SM,B-E,D1_D4_MD5,PT	4.2 	3.3 	0.8 p	3.0 p	0.2 p	-0.4 p	4.7 p	2.5 p	1.9 p	1.3 p	-1.1 p	5.6 p
CA,PCH_SM,B-E,D1_D4_MD5,RO	5.0 	5.2 	7.0 	8.2 	9.3 	9.3 	13.6 p	14.2 p	11.9 p	12.8 p	9.9 p	10.6 p
CA,PCH_SM,B-E,D1_D4_MD5,SE	2.4 	3.2 p	5.2 	2.0 	3.3 	2.4 p	0.4 	2.4 	0.8 p	1.1 p	3.2 p	2.7 p
CA,PCH_SM,B-E,D1_D4_MD5,SI	-1.8 	0.5 	1.1 	2.2 	2.4 	8.1 	1.6 	8.1 	8.4 	6.1 	7.7 	3.0 
CA,PCH_SM,B-E,D1_D4_MD5,SK	2.9 	3.8 	4.0 	1.9 	5.6 	5.3 	4.8 p	8.4 p	6.7 p	6.2 p	9.0 p	8.6 p
CA,PCH_SM,B-E,D1_D4_MD5,TR	19.4 	17.1 	23.6 	23.2 	20.4 	17.8 	9.6 	10.7 	8.8 	9.4 	17.1 	18.0 
CA,PCH_SM,B-E,D1_D4_MD5,UK	2.4 	1.5 	2.4 	3.0 	3.2 	1.6 	1.2 	2.5 	2.7 	5.8 	7.0 	3.6 
CA,PCH_SM,B-N,D1_D4_MD5,AT	1.5 	4.8 	1.6 	0.3 	1.8 	0.3 	0.3 	3.8 	3.1 	2.1 	3.6 	2.9 p
CA,PCH_SM,B-N,D1_D4_MD5,BE	0.1 	0.1 	0.2 	0.1 	0.0 	-0.1 	0.8 	1.0 	1.3 	1.5 	1.8 	1.7 p
CA,PCH_SM,B-N,D1_D4_MD5,BG	8.2 	6.8 	5.9 	7.8 	6.7 	6.8 	11.1 p	10.2 p	11.6 p	12.8 p	6.3 p	8.2 p
CA,PCH_SM,B-N,D1_D4_MD5,CY	-0.8 	-0.6 	0.5 	1.2 	1.3 	1.3 	0.6 p	0.8 p	1.4 p	1.8 p	2.5 p	2.8 p
CA,PCH_SM,B-N,D1_D4_MD5,CZ	4.2 	4.9 	3.3 	3.9 	5.5 	3.7 	5.5 p	7.8 p	6.6 p	5.7 p	7.9 p	8.3 p
CA,PCH_SM,B-N,D1_D4_MD5,DE	3.1 	2.9 	3.0 	1.4 	2.0 	2.8 	2.8 	3.1 	3.2 	2.3 	2.7 	2.3 
CA,PCH_SM,B-N,D1_D4_MD5,DK	1.9 	1.9 	2.0 	1.6 	2.3 	2.1 	1.7 	1.6 	1.9 	1.8 	1.8 	2.2 
CA,PCH_SM,B-N,D1_D4_MD5,EA	1.5 	1.5 	1.6 	0.7 	1.2 	1.5 	1.6 	2.2 	2.0 	1.8 	2.3 	2.4 
CA,PCH_SM,B-N,D1_D4_MD5,EA19	1.5 	1.5 	1.6 	0.7 	1.2 	1.5 	1.6 	2.2 	2.0 	1.8 	2.3 	2.4 
CA,PCH_SM,B-N,D1_D4_MD5,EE	6.1 	4.3 	7.2 	4.6 	4.6 	5.1 	5.6 	8.6 	9.3 	7.6 	5.8 	3.7 
CA,PCH_SM,B-N,D1_D4_MD5,EL	1.4 	-2.3 	-2.1 	2.2 	-3.1 	-3.3 	4.8 	0.9 	0.4 	5.2 	1.6 	3.9 
CA,PCH_SM,B-N,D1_D4_MD5,ES	-0.3 p	0.7 p	0.4 p	0.3 p	-0.4 p	0.2 p	0.3 p	0.8 p	0.2 p	1.5 p	2.0 p	1.8 p
CA,PCH_SM,B-N,D1_D4_MD5,EU	2.2 	2.0 	2.1 	1.3 	1.7 	1.7 	1.6 	2.7 	2.5 	2.7 	3.0 	2.8 
CA,PCH_SM,B-N,D1_D4_MD5,EU28	2.2 	2.0 	2.1 	1.3 	1.7 	1.7 	1.6 	2.7 	2.5 	2.7 	3.0 	2.8 
CA,PCH_SM,B-N,D1_D4_MD5,FI	1.0 p	1.0 p	0.7 p	-1.6 p	2.4 p	1.3 p	-1.7 p	0.7 p	-2.4 p	0.0 p	1.9 p	2.1 p
CA,PCH_SM,B-N,D1_D4_MD5,FR	1.0 p	1.2 p	2.3 p	1.4 p	1.3 p	1.0 p	0.7 p	1.5 p	1.5 p	1.9 p	2.5 p	3.0 p
CA,PCH_SM,B-N,D1_D4_MD5,HR	1.6 	1.6 	3.5 e	2.7 e	4.2 e	5.2 e	6.1 e	5.1 e	5.3 e	4.7 e	6.8 e	10.8 e
CA,PCH_SM,B-N,D1_D4_MD5,HU	3.9 	4.2 	4.6 	4.1 	5.2 	5.3 	7.1 	10.0 	8.1 	8.9 	9.2 	8.3 
CA,PCH_SM,B-N,D1_D4_MD5,IE	1.9 	-0.3 	2.1 	1.4 	1.2 	2.1 	1.7 	1.9 	2.7 	2.8 	3.2 	2.9 p
CA,PCH_SM,B-N,D1_D4_MD5,IS	7.3 p	7.5 p	15.1 p	4.7 p	9.1 p	7.6 p	1.9 p	11.4 p	8.2 p	7.4 p	7.8 p	10.2 p
CA,PCH_SM,B-N,D1_D4_MD5,IT	-0.4 	-0.6 	-1.9 	-1.9 	-1.0 	0.5 	1.1 	1.0 	1.0 	-0.7 	0.4 	2.3 
CA,PCH_SM,B-N,D1_D4_MD5,LT	6.5 	4.9 	6.8 	7.9 	8.4 	10.6 	10.2 	10.6 	9.1 	8.7 	8.9 	10.1 
CA,PCH_SM,B-N,D1_D4_MD5,LU	-0.2 	-0.2 	0.6 	-0.9 	2.1 	2.7 	-0.3 	4.0 	2.9 	2.9 	1.5 	0.6 
CA,PCH_SM,B-N,D1_D4_MD5,LV	7.6 	8.4 	5.4 	7.3 	9.5 	7.4 	7.6 	7.3 	4.5 	7.1 	11.6 p	11.2 p
CA,PCH_SM,B-N,D1_D4_MD5,MT	8.7 p	5.1 p	-1.0 p	-3.4 p	-0.7 p	1.8 p	2.9 p	7.0 p	-0.4 p	-2.3 p	2.0 p	1.2 p
CA,PCH_SM,B-N,D1_D4_MD5,NL	0.9 p	-1.5 p	1.7 p	0.0 p	1.8 p	0.9 p	0.8 p	1.4 p	1.2 p	2.0 p	2.6 p	1.8 p
CA,PCH_SM,B-N,D1_D4_MD5,NO	1.8 	1.4 	1.5 	1.5 	1.7 	2.1 	1.8 	1.6 	2.1 	2.4 	3.0 	2.8 
CA,PCH_SM,B-N,D1_D4_MD5,PL	4.5 	3.6 	3.5 	3.1 	5.4 	4.4 	3.3 	9.1 	5.4 	8.3 	8.6 	6.5 
CA,PCH_SM,B-N,D1_D4_MD5,PT	2.5 	2.3 	-1.2 p	1.5 p	-0.2 p	-1.0 p	4.1 p	1.5 p	0.6 p	0.5 p	-2.3 p	3.2 p
CA,PCH_SM,B-N,D1_D4_MD5,RO	5.3 	6.4 	9.0 	11.2 	11.4 	10.6 	14.1 p	13.7 p	11.8 p	12.2 p	10.8 p	12.4 p
CA,PCH_SM,B-N,D1_D4_MD5,SE	2.6 	3.7 p	5.0 	3.6 	3.7 	2.9 p	2.7 	3.2 	2.6 p	2.6 p	2.0 p	1.8 p
CA,PCH_SM,B-N,D1_D4_MD5,SI	-0.8 	0.5 	-0.8 	0.0 	1.5 	6.4 	3.2 	5.6 	8.0 	5.3 	4.8 	5.1 
CA,PCH_SM,B-N,D1_D4_MD5,SK	3.3 	5.7 	2.9 	1.1 	3.3 	3.3 	4.5 p	7.4 p	7.3 p	5.9 p	8.2 p	7.6 p
CA,PCH_SM,B-N,D1_D4_MD5,UK	4.7 	3.5 	1.6 	2.7 	2.2 	2.2 	1.4 	2.4 	3.2 	4.1 	4.6 	2.8 
CA,PCH_SM,B-S,D1_D4_MD5,AT	1.1 	5.4 	1.6 	0.3 	2.2 	-0.2 	0.0 	3.6 	2.2 	1.1 	4.0 	2.1 p
CA,PCH_SM,B-S,D1_D4_MD5,BE	0.1 	0.1 	0.2 	0.1 	0.3 	0.1 	0.7 	1.1 	1.3 	1.3 	1.8 	1.7 p
CA,PCH_SM,B-S,D1_D4_MD5,BG	7.5 	6.2 	6.2 	8.0 	7.2 	6.6 	10.9 p	10.3 p	11.5 p	13.2 p	6.8 p	8.5 p
CA,PCH_SM,B-S,D1_D4_MD5,CY	-0.8 	-0.6 	0.2 	0.7 	0.8 	0.1 	0.3 p	0.7 p	1.1 p	2.0 p	2.3 p	2.4 p
CA,PCH_SM,B-S,D1_D4_MD5,CZ	3.9 	4.8 	3.6 	4.4 	5.6 	4.3 	5.8 p	7.5 p	7.1 p	6.5 p	9.1 p	9.3 p
CA,PCH_SM,B-S,D1_D4_MD5,DE	2.8 	2.7 	2.9 	1.5 	2.1 	2.7 	3.0 	3.1 	2.9 	2.0 	2.4 	2.0 
CA,PCH_SM,B-S,D1_D4_MD5,DK	1.9 	1.6 	2.0 	1.5 	2.1 	2.3 	2.0 	1.8 	2.1 	1.8 	1.6 	1.8 
CA,PCH_SM,B-S,D1_D4_MD5,EA	1.4 	1.5 	1.6 	0.9 	1.4 	1.5 	1.7 	2.1 	1.8 	1.5 	2.1 	2.2 
CA,PCH_SM,B-S,D1_D4_MD5,EA19	1.4 	1.5 	1.6 	0.9 	1.4 	1.5 	1.7 	2.1 	1.8 	1.5 	2.1 	2.2 
CA,PCH_SM,B-S,D1_D4_MD5,EE	6.4 	4.9 	7.2 	4.9 	4.8 	5.7 	5.3 	8.2 	8.6 	8.2 	7.2 	4.2 
CA,PCH_SM,B-S,D1_D4_MD5,EL	0.2 	-0.6 	0.7 	5.2 	-0.7 	-0.4 	6.2 	1.8 	0.8 	3.8 	4.4 	5.0 
CA,PCH_SM,B-S,D1_D4_MD5,ES	0.1 p	1.6 p	0.3 p	0.7 p	0.3 p	0.0 p	0.2 p	0.3 p	0.2 p	1.2 p	1.4 p	0.7 p
CA,PCH_SM,B-S,D1_D4_MD5,EU	2.2 	1.9 	2.0 	1.5 	1.8 	1.9 	1.7 	2.5 	2.3 	2.4 	2.8 	2.6 
CA,PCH_SM,B-S,D1_D4_MD5,EU28	2.2 	1.9 	2.0 	1.5 	1.8 	1.9 	1.7 	2.5 	2.3 	2.4 	2.8 	2.6 
CA,PCH_SM,B-S,D1_D4_MD5,FI	1.1 p	0.9 p	1.2 p	-2.2 p	1.7 p	1.7 p	-2.6 p	0.0 p	-3.2 p	-0.8 p	1.5 p	1.5 p
CA,PCH_SM,B-S,D1_D4_MD5,FR	1.0 p	1.3 p	2.0 p	1.3 p	1.3 p	1.1 p	1.1 p	1.4 p	1.5 p	1.5 p	1.7 p	2.4 p
CA,PCH_SM,B-S,D1_D4_MD5,HR	1.6 	1.8 	3.5 e	2.7 e	3.8 e	4.5 e	5.8 e	4.8 e	4.9 e	5.2 e	6.5 e	9.8 e
CA,PCH_SM,B-S,D1_D4_MD5,HU	4.6 	4.4 	3.3 	3.9 	6.5 	5.8 	8.8 	9.2 	9.1 	8.9 	10.4 	10.2 
CA,PCH_SM,B-S,D1_D4_MD5,IE	1.6 	-0.3 	1.3 	0.8 	0.8 	1.2 	1.2 	1.9 	2.5 	2.7 	3.2 	2.5 p
CA,PCH_SM,B-S,D1_D4_MD5,IS	7.9 p	9.3 p	15.2 p	5.1 p	9.5 p	6.9 p	2.0 p	11.8 p	7.6 p	6.8 p	7.7 p	9.9 p
CA,PCH_SM,B-S,D1_D4_MD5,IT	-0.1 	-0.4 	-1.3 	-1.1 	-0.6 	0.3 	1.0 	0.9 	0.9 	-0.5 	0.5 	3.6 
CA,PCH_SM,B-S,D1_D4_MD5,LT	5.7 	4.7 	6.2 	6.7 	6.7 	10.7 	9.7 	10.4 	7.9 	8.3 	9.0 	9.8 
CA,PCH_SM,B-S,D1_D4_MD5,LU	-0.1 	0.2 	0.6 	-1.3 	1.8 	2.4 	-0.1 	4.4 	2.8 	3.8 	1.8 	0.6 
CA,PCH_SM,B-S,D1_D4_MD5,LV	7.3 	7.6 	4.7 	6.7 	8.0 	8.2 	8.5 	7.8 	5.6 	7.2 	11.9 p	11.7 p
CA,PCH_SM,B-S,D1_D4_MD5,MT	6.4 p	4.5 p	0.1 p	-2.0 p	0.2 p	1.2 p	2.7 p	6.7 p	2.1 p	1.2 p	3.7 p	3.0 p
CA,PCH_SM,B-S,D1_D4_MD5,NL	1.8 p	-0.7 p	2.0 p	0.2 p	2.1 p	1.4 p	1.1 p	1.6 p	1.0 p	2.0 p	2.7 p	0.9 p
CA,PCH_SM,B-S,D1_D4_MD5,PL	3.8 	3.0 	3.1 	3.0 	4.8 	5.2 	2.5 	8.3 	5.0 	8.2 	7.9 	6.3 
CA,PCH_SM,B-S,D1_D4_MD5,PT	-0.9 	1.9 	0.1 p	1.8 p	2.5 p	0.9 p	3.1 p	2.9 p	-1.1 p	3.8 p	-1.3 p	1.4 p
CA,PCH_SM,B-S,D1_D4_MD5,RO	5.8 	8.6 	11.7 	13.1 	14.7 	12.4 	17.4 p	18.6 p	16.5 p	14.3 p	12.7 p	15.6 p
CA,PCH_SM,B-S,D1_D4_MD5,SE	2.6 	3.4 p	4.2 	3.1 	3.6 	2.8 p	2.7 	3.3 	2.6 p	2.6 p	2.5 p	2.2 p
CA,PCH_SM,B-S,D1_D4_MD5,SI	-1.6 	1.0 	0.8 	1.8 	3.5 	5.8 	2.6 	5.1 	6.8 	5.3 	4.8 	3.4 
CA,PCH_SM,B-S,D1_D4_MD5,SK	3.1 	5.4 	4.0 	1.7 	4.0 	4.5 	4.2 p	7.4 p	7.4 p	5.8 p	8.5 p	7.9 p
CA,PCH_SM,B-S,D1_D4_MD5,UK	4.5 	2.9 	1.8 	3.2 	1.6 	2.5 	1.2 	1.7 	3.2 	3.9 	4.6 	2.9 
CA,PCH_SM,C,D1_D4_MD5,AT	1.5 	2.6 	2.3 	1.9 	1.9 	0.9 	1.7 	1.3 	1.1 	1.6 	3.1 	3.6 p
CA,PCH_SM,C,D1_D4_MD5,BE	0.1 	0.1 	0.2 	0.1 	0.3 	0.0 	0.7 	0.9 	1.4 	1.7 	1.6 	1.8 p
CA,PCH_SM,C,D1_D4_MD5,BG	10.5 	10.1 	8.9 	11.3 	9.5 	8.5 	10.9 p	11.2 p	12.9 p	13.8 p	10.4 p	10.4 p
CA,PCH_SM,C,D1_D4_MD5,CY	-1.3 	1.7 	0.3 	1.4 	0.9 	0.2 	1.2 p	1.2 p	0.7 p	1.4 p	4.1 p	2.5 p
CA,PCH_SM,C,D1_D4_MD5,CZ	4.4 	4.6 	3.4 	4.7 	5.8 	4.6 	6.8 p	8.2 p	7.5 p	6.2 p	8.6 p	9.9 p
CA,PCH_SM,C,D1_D4_MD5,DE	2.6 	2.8 	3.0 	1.2 	2.4 	3.0 	1.8 	2.1 	1.8 	1.9 	2.2 	2.2 
CA,PCH_SM,C,D1_D4_MD5,DK	1.8 	1.3 	2.0 	2.2 	3.7 	3.3 	1.3 	1.3 	1.7 	2.1 	1.4 	2.9 
CA,PCH_SM,C,D1_D4_MD5,EA	1.4 	1.7 	1.8 	0.8 	1.6 	1.7 	1.4 	1.8 	1.4 	1.3 	2.1 	2.3 
CA,PCH_SM,C,D1_D4_MD5,EA19	1.4 	1.7 	1.8 	0.8 	1.6 	1.7 	1.4 	1.8 	1.4 	1.3 	2.1 	2.3 
CA,PCH_SM,C,D1_D4_MD5,EE	7.7 	6.1 	6.6 	6.0 	3.7 	6.8 	5.4 	6.7 	7.5 	4.5 	5.7 	5.2 
CA,PCH_SM,C,D1_D4_MD5,EL	6.2 	0.0 	0.6 	0.3 	0.1 	-3.1 	3.1 	0.7 	-2.9 	3.0 	1.7 	3.6 
CA,PCH_SM,C,D1_D4_MD5,ES	-0.9 p	-0.2 p	0.4 p	0.3 p	0.2 p	0.4 p	0.9 p	1.1 p	-0.1 p	0.9 p	0.4 p	0.6 p
CA,PCH_SM,C,D1_D4_MD5,EU	1.8 	1.9 	2.3 	1.2 	2.1 	2.0 	1.6 	2.4 	2.0 	2.4 	3.0 	3.0 
CA,PCH_SM,C,D1_D4_MD5,EU28	1.8 	1.9 	2.3 	1.2 	2.1 	2.0 	1.6 	2.4 	2.0 	2.4 	3.0 	3.0 
CA,PCH_SM,C,D1_D4_MD5,FI	2.6 p	2.8 p	0.0 p	-1.1 p	3.8 p	0.2 p	-2.0 p	0.4 p	-5.2 p	-1.5 p	0.4 p	2.7 p
CA,PCH_SM,C,D1_D4_MD5,FR	1.2 p	1.5 p	2.4 p	1.5 p	1.1 p	0.9 p	0.7 p	2.0 p	2.1 p	1.6 p	2.4 p	2.7 p
CA,PCH_SM,C,D1_D4_MD5,HR	3.0 	2.8 	6.3 e	2.5 e	3.6 e	4.5 e	6.8 e	5.6 e	5.6 e	3.8 e	8.0 e	13.0 e
CA,PCH_SM,C,D1_D4_MD5,HU	4.0 	4.3 	5.2 	4.4 	6.3 	6.3 	7.7 	9.4 	8.6 	7.9 	9.5 	8.9 
CA,PCH_SM,C,D1_D4_MD5,IE	-2.0 	-2.6 	2.0 	1.5 	1.9 	2.7 	0.6 	1.1 	1.3 	1.1 	3.7 	2.2 p
CA,PCH_SM,C,D1_D4_MD5,IS	7.5 p	8.1 p	16.5 p	3.2 p	10.2 p	7.9 p	1.1 p	14.7 p	8.0 p	8.9 p	8.4 p	9.8 p
CA,PCH_SM,C,D1_D4_MD5,IT	-1.0 	0.4 	-2.6 	-2.0 	-0.5 	0.0 	1.2 	0.4 	0.2 	-1.9 	0.8 	2.7 
CA,PCH_SM,C,D1_D4_MD5,LT	8.4 	7.7 	7.8 	9.4 	9.4 	11.4 	11.0 	9.9 	9.7 	8.4 	8.3 	8.9 
CA,PCH_SM,C,D1_D4_MD5,LU	-0.7 	-1.3 	-1.2 	-1.1 	0.2 	1.5 	1.5 	3.0 	2.9 	1.7 	0.2 	1.0 
CA,PCH_SM,C,D1_D4_MD5,LV	7.6 	9.9 	5.7 	7.5 	9.4 	8.2 	7.7 	7.3 	7.3 	8.3 	13.2 p	12.1 p
CA,PCH_SM,C,D1_D4_MD5,MT	8.0 p	4.6 p	-0.4 p	-5.8 p	-2.0 p	3.6 p	4.9 p	10.1 p	4.3 p	-4.7 p	-3.9 p	0.2 p
CA,PCH_SM,C,D1_D4_MD5,NL	0.8 p	-1.6 p	2.9 p	1.1 p	2.9 p	1.5 p	1.0 p	2.3 p	1.5 p	3.2 p	3.7 p	: n
CA,PCH_SM,C,D1_D4_MD5,NO	1.9 p	1.8 p	2.7 p	2.7 p	1.2 p	1.4 p	0.6 p	1.0 p	2.3 p	2.2 p	2.9 p	2.5 p
CA,PCH_SM,C,D1_D4_MD5,PL	4.9 	2.2 	3.6 	3.2 	3.4 	5.9 	4.7 	7.3 	6.6 	6.8 	8.2 	8.3 
CA,PCH_SM,C,D1_D4_MD5,PT	4.8 	3.8 	1.6 p	3.2 p	0.3 p	-0.3 p	4.8 p	1.9 p	1.2 p	1.3 p	-0.1 p	4.3 p
CA,PCH_SM,C,D1_D4_MD5,RO	6.6 	7.2 	7.5 	10.5 	10.8 	9.9 	15.3 p	16.1 p	13.4 p	12.6 p	11.2 p	10.5 p
CA,PCH_SM,C,D1_D4_MD5,SE	2.3 	3.2 p	5.5 	1.9 	3.4 	2.4 p	0.2 	2.6 	0.5 p	0.9 p	3.5 p	2.9 p
CA,PCH_SM,C,D1_D4_MD5,SI	-1.9 	0.2 	0.4 	0.9 	2.8 	8.9 	2.9 	9.7 	9.8 	5.7 	7.6 	2.8 
CA,PCH_SM,C,D1_D4_MD5,SK	3.3 	4.5 	3.6 	2.0 	5.4 	4.7 	5.7 p	8.8 p	7.1 p	6.6 p	9.0 p	9.7 p
CA,PCH_SM,C,D1_D4_MD5,TR	19.5 	17.5 	24.0 	23.3 	21.3 	18.2 	10.3 	11.1 	8.8 	10.2 	17.7 	18.5 
CA,PCH_SM,C,D1_D4_MD5,UK	2.8 	2.1 	3.2 	2.8 	3.0 	1.5 	1.5 	2.3 	3.3 	6.8 	6.7 	4.2 
CA,PCH_SM,F,D1_D4_MD5,AT	1.2 	3.5 	1.9 	0.9 	0.7 	0.5 	1.5 	1.2 	2.0 	0.6 	2.8 	2.9 p
CA,PCH_SM,F,D1_D4_MD5,BE	0.0 	0.1 	0.1 	-0.3 	-0.3 	-0.1 	0.3 	0.7 	1.2 	0.9 	1.2 	1.3 p
CA,PCH_SM,F,D1_D4_MD5,BG	5.4 	9.0 	6.6 	3.2 	3.5 	1.5 	4.9 p	7.6 p	8.2 p	12.3 p	7.8 p	10.5 p
CA,PCH_SM,F,D1_D4_MD5,CY	-2.5 	-0.1 	1.0 	-1.0 	0.3 	-0.3 	-0.9 p	1.1 p	0.8 p	0.7 p	1.2 p	2.2 p
CA,PCH_SM,F,D1_D4_MD5,CZ	6.4 	8.8 	2.3 	3.8 	5.4 	2.0 	5.2 p	5.1 p	4.2 p	3.7 p	5.7 p	7.3 p
CA,PCH_SM,F,D1_D4_MD5,DE	2.8 	3.2 	1.8 	2.4 	2.9 	3.8 	3.8 	3.9 	4.3 	4.4 	3.2 	3.2 
CA,PCH_SM,F,D1_D4_MD5,DK	2.0 	2.7 	2.1 	2.9 	2.2 	2.6 	1.8 	1.3 	2.8 	2.7 	3.2 	3.9 
CA,PCH_SM,F,D1_D4_MD5,EA	0.8 	0.6 	1.3 	1.2 	1.5 	1.9 	1.7 	2.0 	2.1 	2.3 	2.0 	2.7 
CA,PCH_SM,F,D1_D4_MD5,EA19	0.8 	0.6 	1.3 	1.2 	1.5 	1.9 	1.7 	2.0 	2.1 	2.3 	2.0 	2.7 
CA,PCH_SM,F,D1_D4_MD5,EE	-0.1 	-4.2 	6.8 	1.4 	1.3 	1.8 	1.6 	5.0 	11.5 	8.1 	6.0 	3.7 
CA,PCH_SM,F,D1_D4_MD5,EL	-4.2 	-7.3 	0.6 	10.2 	-7.1 	-10.9 	-6.4 	-12.4 	-9.7 	-3.4 	-10.3 	-9.0 
CA,PCH_SM,F,D1_D4_MD5,ES	0.0 p	-2.0 p	-1.0 p	-1.7 p	-2.7 p	-1.5 p	-2.2 p	-1.2 p	-0.4 p	-1.1 p	1.6 p	0.0 p
CA,PCH_SM,F,D1_D4_MD5,EU	1.9 	1.5 	2.5 	2.3 	2.4 	3.1 	1.7 	1.7 	2.6 	2.7 	3.6 	4.1 
CA,PCH_SM,F,D1_D4_MD5,EU28	1.9 	1.5 	2.5 	2.3 	2.4 	3.1 	1.7 	1.7 	2.6 	2.7 	3.6 	4.1 
