unit,tenure,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,OWN_L,IE	1.1 	1.5 	2.7 	2.3 	4.2 	3.3 	3.6 	1.4 	3.8 	2.7 	2.2 	: 
PC,OWN_L,IS	16.8 	11.5 	12.4 	9.7 	10.1 	10.8 	7.7 	6.8 	6.1 	6.3 	4.6 p	: 
PC,OWN_L,IT	5.2 	6.6 	9.0 	8.2 	5.5 	6.6 	6.3 	6.7 	5.5 	4.8 	4.6 	3.6 
PC,OWN_L,LT	6.2 	5.1 	6.1 	12.4 	24.6 	19.8 	6.8 	15.1 	6.8 	7.7 	3.3 	2.5 
PC,OWN_L,LU	: 	0.8 	1.6 	0.8 	0.9 	0.6 	1.1 	1.2 	0.7 	1.4 	1.6 b	2.0 
PC,OWN_L,LV	: 	37.5 	12.8 	15.4 	19.2 	28.8 	21.0 	16.2 	15.2 	15.5 	9.3 	10.1 
PC,OWN_L,MK	: 	: 	: 	: 	: 	10.2 	21.5 	10.3 	12.0 	13.2 	3.8 	: 
PC,OWN_L,MT	4.6 	4.8 	5.1 	3.7 	6.3 	4.1 	4.1 	4.6 	2.8 	1.0 	1.2 	1.6 
PC,OWN_L,NL	18.3 	15.0 	11.1 	12.2 	14.1 	14.0 	13.0 	13.2 	11.8 	11.3 	3.1 b	2.1 
PC,OWN_L,NO	7.6 	11.9 	12.2 	9.7 	6.7 	8.2 	8.5 	7.7 	5.1 	6.3 	6.7 	5.8 
PC,OWN_L,PL	: 	11.2 	7.3 	6.0 	9.7 	10.0 	12.7 	13.8 	18.0 	12.6 	11.9 	6.8 
PC,OWN_L,PT	8.4 	9.0 	12.0 	8.0 	3.3 	8.5 	7.1 	6.8 	7.4 	6.6 	4.4 	3.9 
PC,OWN_L,RO	: 	8.4 	14.5 	7.6 	15.3 	15.3 	40.2 	29.5 	40.9 	21.7 	32.5 	17.0 
PC,OWN_L,RS	: 	: 	: 	: 	: 	: 	: 	33.4 	36.6 	20.7 	31.4 	: 
PC,OWN_L,SE	2.2 	2.2 	3.8 b	4.7 	3.6 	4.0 	3.7 	3.4 	3.3 	3.0 	2.8 	2.2 
PC,OWN_L,SI	13.6 	16.5 	17.4 	9.2 	10.8 	10.5 	8.7 	11.6 	9.7 	11.5 	7.7 	6.0 
PC,OWN_L,SK	12.3 	27.3 	3.7 	32.3 	21.1 	23.6 	24.8 	26.5 	26.2 	30.9 	15.1 	8.6 
PC,OWN_L,TR	11.8 	6.4 	5.9 	8.9 	2.6 	5.7 	17.3 	17.3 	12.7 	14.1 	: 	: 
PC,OWN_L,UK	13.5 	14.6 	12.4 	10.2 	10.6 	8.8 	4.7 b	4.3 	6.7 	4.9 	4.8 	: 
PC,OWN_NL,AT	: 	1.4 	2.2 b	2.2 	2.1 	1.9 	2.0 	2.8 	2.6 	1.6 	1.7 	2.3 
PC,OWN_NL,BE	4.2 	3.2 	9.5 	2.9 	3.1 	2.4 	4.1 	1.6 	1.8 	1.8 	1.3 	1.9 
PC,OWN_NL,BG	12.6 	19.8 	11.2 	6.1 	4.9 	7.2 	13.5 	13.4 	11.3 	14.1 	19.6 b	17.7 
PC,OWN_NL,CH	: 	: 	: 	: 	8.8 	11.8 	8.8 	5.1 	7.2 b	4.2 	7.9 	: 
PC,OWN_NL,CY	: 	0.2 	0.2 b	0.3 	0.7 	0.6 	0.2 	0.5 	0.7 	0.4 	0.2 	0.7 
PC,OWN_NL,CZ	9.0 	8.8 	9.4 	6.0 	6.1 	6.4 	6.8 	6.7 	6.2 	6.0 	5.2 	5.0 
PC,OWN_NL,DE	: 	: 	: 	: 	11.9 	10.5 	10.2 	12.1 	9.6 	9.2 	9.2 	9.3 
PC,OWN_NL,DK	6.7 	5.0 	9.4 	16.7 	15.4 	9.1 	6.1 	6.7 	7.1 	4.3 	4.3 	8.5 
PC,OWN_NL,EA18	: 	4.0 e	3.2 e	2.9 e	4.4 	4.7 	5.0 	5.6 	5.6 	5.5 	5.2 	4.9 e
PC,OWN_NL,EA19	: 	4.0 e	3.3 e	2.9 e	4.5 	4.8 	5.1 	5.7 	5.6 	5.6 	5.2 	4.9 e
PC,OWN_NL,EE	6.5 	4.3 	2.0 	1.9 	3.5 	4.9 	6.4 	4.8 	5.5 b	4.5 	3.6 	3.2 
PC,OWN_NL,EL	: 	15.7 	12.9 	13.2 	14.8 	21.4 	29.1 	32.2 	37.6 	37.9 	30.6 	29.8 
PC,OWN_NL,ES	: 	2.2 	1.5 	1.6 	2.1 	2.2 	2.7 	2.8 	2.8 	2.7 	2.8 	2.9 
PC,OWN_NL,EU27	: 	7.2 e	6.6 e	5.5 e	6.4 	6.3 	6.8 	7.0 	6.9 	6.8 	6.4 	6.1 e
PC,OWN_NL,EU28	: 	: 	: 	: 	6.5 	6.3 	6.7 	7.0 	6.9 	6.8 	6.4 	6.1 e
PC,OWN_NL,FI	1.4 	2.2 	2.1 	2.2 	1.8 	2.8 	2.6 	2.6 	2.6 	2.0 	2.1 	2.0 
PC,OWN_NL,FR	1.4 	1.3 	0.6 	0.6 	0.5 	0.6 	0.5 	0.7 	0.7 	1.7 	0.9 	0.6 
PC,OWN_NL,HR	: 	: 	: 	: 	13.0 	6.7 	5.9 	6.7 	6.2 	6.3 	5.9 	: 
PC,OWN_NL,HU	9.3 	7.3 	7.8 	5.2 	7.0 	8.0 	8.7 	8.4 	7.0 	5.4 	5.1 	7.2 
PC,OWN_NL,IE	0.6 	0.6 	0.9 	1.2 	1.7 	2.0 	2.7 	1.6 	2.6 	1.5 	1.5 	: 
PC,OWN_NL,IS	6.4 	8.3 	5.9 	4.9 	3.8 	6.5 	4.0 	7.0 	5.4 	3.5 	2.1 p	: 
PC,OWN_NL,IT	5.1 	3.3 	3.2 	2.7 	2.3 	2.9 	2.3 	2.8 	2.9 	2.8 	3.6 	2.7 
PC,OWN_NL,LT	6.2 	4.0 	4.6 	4.0 	8.8 	9.6 	7.6 	7.1 	6.4 	8.3 	7.3 	6.3 
PC,OWN_NL,LU	: 	0.3 	0.3 	0.2 	0.3 	0.5 	0.6 	0.5 	0.9 	0.7 	1.6 b	2.1 
PC,OWN_NL,LV	: 	8.9 	7.8 	7.8 	8.1 	10.3 	9.1 	9.9 	8.2 	6.2 	5.8 	5.8 
PC,OWN_NL,MK	: 	: 	: 	: 	: 	19.0 	19.3 	17.1 	15.2 	11.8 	11.9 	: 
PC,OWN_NL,MT	1.0 	1.5 	2.1 	2.0 	2.4 	2.3 	1.4 	1.3 	0.6 	0.5 	0.6 	0.4 
PC,OWN_NL,NL	8.6 	3.8 	5.7 	4.5 	4.8 	3.4 	3.8 	3.7 	3.9 	2.2 	3.2 b	3.2 
PC,OWN_NL,NO	8.2 	4.9 	5.7 	5.8 	5.6 	7.1 	3.9 	4.3 	4.0 	3.8 	4.3 	4.8 
PC,OWN_NL,PL	: 	9.0 	8.8 	7.3 	7.5 	8.6 	8.5 	8.4 	8.0 	7.1 	5.9 	5.5 
PC,OWN_NL,PT	3.7 	4.8 	3.3 	2.2 	1.0 	2.0 	2.8 	2.5 	3.8 	3.2 	2.9 	2.5 
PC,OWN_NL,RO	: 	19.2 	18.3 	14.9 	15.2 	9.8 	17.5 	16.0 	15.7 	15.5 	13.7 	11.5 
PC,OWN_NL,RS	: 	: 	: 	: 	: 	: 	: 	25.2 	30.4 	27.4 	25.7 	: 
PC,OWN_NL,SE	7.4 	2.7 	8.9 b	10.4 	7.2 	11.0 	8.5 	9.3 	6.1 	6.2 	7.5 	5.3 
PC,OWN_NL,SI	2.4 	2.9 	2.9 	2.6 	2.6 	2.8 	2.8 	3.4 	3.6 	3.2 	2.8 	2.7 
PC,OWN_NL,SK	16.2 	15.3 	4.8 	6.9 	5.7 	6.4 	5.7 	5.7 	6.1 	6.0 	5.7 	6.7 
PC,OWN_NL,TR	3.7 	1.0 	1.1 	2.1 	2.4 	1.7 	1.3 	1.5 	1.0 	1.5 	: 	: 
PC,OWN_NL,UK	8.9 	6.6 	8.6 	8.2 	8.8 	9.1 	1.7 b	1.5 	4.1 	3.9 	4.3 	: 
PC,RENT_FR,AT	: 	7.6 	9.5 b	6.7 	8.0 	5.5 	7.1 	8.7 	6.8 	6.8 	10.2 	8.8 
PC,RENT_FR,BE	11.4 	11.4 	13.8 	12.7 	12.3 	14.9 	15.3 	12.8 	13.3 	14.2 	11.9 	11.9 
PC,RENT_FR,BG	19.1 	28.6 	19.5 	10.7 	9.2 	14.6 	19.7 	17.7 	17.9 	16.6 	20.3 b	20.4 
PC,RENT_FR,CH	: 	: 	: 	: 	9.1 	15.7 	10.1 	9.2 	12.8 b	12.7 	12.2 	: 
PC,RENT_FR,CY	: 	1.4 	0.5 b	0.4 	1.3 	1.6 	1.1 	0.9 	1.3 	1.1 	0.6 	0.8 
PC,RENT_FR,CZ	9.9 	9.7 	11.1 	14.0 	17.0 	18.7 	20.9 	7.6 	7.0 	10.7 	10.6 	9.0 
PC,RENT_FR,DE	: 	: 	: 	: 	13.3 	16.5 	19.4 	15.8 	16.6 	16.1 	19.1 	19.3 
PC,RENT_FR,DK	: 	: 	: 	: 	: u	33.8 	26.1 	: u	: u	: u	: u	: u
PC,RENT_FR,EA18	: 	8.0 e	6.8 e	6.6 e	8.4 e	9.9 	11.3 	11.0 	10.9 	10.8 	11.8 	12.0 e
PC,RENT_FR,EA19	: 	8.0 e	6.8 e	6.6 e	8.4 e	9.9 	11.4 	11.0 	10.9 	10.9 	11.8 	12.0 e
PC,RENT_FR,EE	9.5 	7.8 	7.2 	6.3 	10.3 	9.3 	9.4 	10.4 	14.8 b	11.0 	6.4 	7.3 
PC,RENT_FR,EL	: 	4.4 	5.2 	3.6 	16.0 	30.6 	42.1 	38.0 	11.5 	14.3 	10.4 	7.9 
PC,RENT_FR,ES	: 	8.7 	6.9 	7.5 	8.8 	7.7 	8.0 	9.5 	10.8 	9.9 	10.6 	13.1 
PC,RENT_FR,EU27	: 	12.1 e	11.7 e	11.1 e	11.9 e	13.7 e	11.6 e	10.9 e	12.3 e	12.0 e	13.1 e	12.0 e
PC,RENT_FR,EU28	: 	: 	: 	: 	12.0 e	13.7 e	11.6 e	10.9 e	12.2 e	12.0 e	13.0 e	12.0 e
PC,RENT_FR,FI	6.6 	7.5 	8.4 	7.4 	7.9 	8.3 	9.1 	8.5 	9.6 	10.6 	8.2 	7.8 
PC,RENT_FR,FR	9.8 	8.8 	5.6 	5.1 	7.1 	7.9 	8.6 	8.6 	9.3 	9.7 	8.9 	9.7 
PC,RENT_FR,HR	: 	: 	: 	: 	13.3 	11.6 	8.5 	9.8 	7.7 	11.6 	7.7 	: 
PC,RENT_FR,HU	12.5 	12.7 	16.9 	14.5 	16.8 	17.9 	19.3 	13.5 	16.8 	12.7 	19.6 	18.8 
PC,RENT_FR,IE	2.4 	2.9 	2.6 	1.8 	4.2 	8.4 	6.3 	6.4 	6.3 	3.7 	4.2 	: 
PC,RENT_FR,IS	3.6 	6.3 	5.1 	9.0 	6.7 	13.7 	14.0 	14.4 	13.0 	15.9 	12.8 p	: 
PC,RENT_FR,IT	34.6 	8.2 	8.5 	8.8 	7.8 	10.1 	10.0 	10.9 	10.5 	9.9 	12.7 	10.7 
PC,RENT_FR,LT	13.4 	8.8 	8.4 	10.8 	12.3 	14.1 	17.4 	11.1 	9.2 	13.4 	12.2 	14.4 
PC,RENT_FR,LU	: 	13.4 	2.6 	4.6 	2.0 	1.6 	1.7 	4.6 	8.2 	4.0 	22.3 b	27.8 
PC,RENT_FR,LV	: 	8.0 	10.4 	13.5 	11.7 	13.2 	12.1 	12.7 	9.7 	9.4 	8.0 	7.6 
PC,RENT_FR,MK	: 	: 	: 	: 	: 	25.0 	25.0 	20.2 	16.8 	15.0 	18.6 	: 
PC,RENT_FR,MT	1.6 	2.2 	3.8 	2.6 	3.7 	1.3 	3.1 	2.3 	0.7 	1.5 	0.9 	1.0 
PC,RENT_FR,NL	3.8 	1.4 u	9.3 	5.9 	6.4 u	6.6 	0.0 	0.0 	14.0 	13.0 	16.4 b	5.2 
PC,RENT_FR,NO	17.5 	15.1 	18.9 	14.6 	12.5 	18.2 	13.9 	14.4 	16.8 	16.2 	18.6 	14.6 
PC,RENT_FR,PL	: 	11.3 	10.6 	8.7 	11.9 	14.4 	14.5 	13.0 	10.9 	10.9 	11.5 	8.4 
PC,RENT_FR,PT	1.9 	3.0 	2.9 	4.1 	3.3 	3.1 	5.6 	6.3 	6.7 	7.6 	5.4 	5.7 
PC,RENT_FR,RO	: 	24.4 	28.7 	25.1 	23.5 	14.5 	27.2 	23.4 	18.3 	: u	19.2 	22.2 
PC,RENT_FR,RS	: 	: 	: 	: 	: 	: 	: 	33.1 	35.9 	32.6 	33.8 	: 
PC,RENT_FR,SE	34.4 	17.9 	30.1 b	30.5 	31.2 	48.5 u	26.3 u	66.5 u	48.4 u	55.8 u	5.6 	0.0 
PC,RENT_FR,SI	2.7 	5.5 	4.2 	5.3 	5.6 	5.6 	6.1 	6.8 	8.2 	8.2 	7.7 	7.6 
PC,RENT_FR,SK	15.4 	16.3 	19.2 	9.6 	11.2 	8.9 	8.7 	11.9 	6.5 	9.1 	17.6 	21.3 
PC,RENT_FR,TR	5.7 	1.2 	1.9 	2.2 	2.1 	2.0 	1.9 	2.2 	1.4 	1.9 	: 	: 
PC,RENT_FR,UK	23.4 	23.1 	25.9 	26.2 	23.3 	23.9 	7.6 b	8.4 	16.0 	15.2 	16.2 	: 
PC,RENT_MKT,AT	: 	12.0 	12.5 b	12.9 	14.7 	12.0 	17.3 	15.5 	15.6 	15.3 	15.6 	15.5 
PC,RENT_MKT,BE	32.4 	33.0 	30.5 	30.5 	28.7 	38.1 	37.2 	34.0 	38.1 	33.7 	35.4 	33.9 
PC,RENT_MKT,BG	42.2 	42.1 	36.6 	38.1 	30.8 	32.8 	48.2 	36.3 	40.8 	30.8 	50.4 b	51.0 
PC,RENT_MKT,CH	: 	: 	: 	: 	20.7 	17.7 	16.6 	15.2 	17.3 b	17.2 	18.2 	: 
PC,RENT_MKT,CY	: 	11.3 	12.5 b	17.6 	19.1 	16.3 	19.9 	17.7 	19.3 	19.7 	18.1 	14.2 
PC,RENT_MKT,CZ	29.7 	26.0 	25.4 	23.2 	31.1 	25.0 	28.2 	32.7 	29.9 	31.0 	29.3 	28.3 
PC,RENT_MKT,DE	: 	: 	: 	: 	16.7 	21.4 	23.7 	22.3 	23.1 	22.8 	23.0 	20.5 
PC,RENT_MKT,DK	34.1 	25.4 	25.8 	29.2 	30.6 	35.4 	34.7 	37.1 	32.9 	31.9 	31.6 	31.7 
PC,RENT_MKT,EA18	: 	23.8 e	27.0 e	25.9 e	21.7 	24.8 	26.0 	25.6 	27.1 	26.4 	27.1 	24.9 e
PC,RENT_MKT,EA19	: 	23.8 e	26.9 e	25.9 e	21.7 	24.8 	26.1 	25.6 	27.1 	26.4 	27.1 	24.9 e
PC,RENT_MKT,EE	13.9 	24.6 	25.1 	20.9 	26.6 	28.1 	27.9 	25.6 	32.3 b	42.3 	28.5 	26.6 
PC,RENT_MKT,EL	: 	23.6 	68.4 	66.5 	36.0 	42.7 	53.0 	58.3 	87.5 	86.8 	84.6 	83.9 
PC,RENT_MKT,ES	: 	35.9 	43.4 	41.4 	43.4 	42.7 	44.7 	42.3 	47.5 	43.3 	43.0 	42.1 
PC,RENT_MKT,EU27	: 	25.9 e	28.1 e	28.1 e	24.1 	26.8 	25.8 	25.8 	28.0 	27.7 	28.0 	25.1 e
PC,RENT_MKT,EU28	: 	: 	: 	: 	24.1 	26.8 	25.8 	25.9 	28.0 	27.7 	28.0 	25.1 e
PC,RENT_MKT,FI	11.3 	12.7 	13.1 	11.4 	12.5 	12.5 	11.8 	15.0 	16.8 	16.7 	14.6 	13.0 
PC,RENT_MKT,FR	15.6 	15.6 	16.5 	15.1 	19.0 	19.4 	16.2 	16.2 	15.8 	14.9 	16.5 	14.4 
PC,RENT_MKT,HR	: 	: 	: 	: 	51.8 	40.4 	40.5 	49.8 	41.3 	36.4 	45.2 	: 
PC,RENT_MKT,HU	37.8 	42.0 	48.7 	44.0 	49.9 	45.0 	38.5 	37.3 	41.4 	32.4 	36.6 	30.6 
PC,RENT_MKT,IE	17.4 	23.0 	17.1 	21.9 	18.6 	19.9 	20.6 	16.6 	18.8 	18.0 	19.6 	: 
PC,RENT_MKT,IS	13.2 	9.4 	17.3 	15.7 	16.5 	18.6 	18.1 	17.9 	18.6 	19.5 	16.9 p	: 
PC,RENT_MKT,IT	27.6 	28.3 	30.3 	29.1 	32.6 	34.6 	34.2 	34.2 	32.4 	32.7 	32.2 	28.2 
PC,RENT_MKT,LT	22.6 	32.6 	7.8 	27.1 	55.5 	56.4 	55.7 	23.5 	37.3 	30.3 	48.3 	42.5 
PC,RENT_MKT,LU	: 	13.7 	14.3 	13.3 	15.1 	13.7 	17.1 	21.4 	26.3 	23.2 	33.8 b	34.4 
PC,RENT_MKT,LV	: 	10.9 	12.9 	14.8 	16.9 	16.1 	18.1 	17.1 	15.1 	13.6 	13.0 	11.2 
PC,RENT_MKT,MK	: 	: 	: 	: 	: 	49.9 	58.8 	62.4 	64.0 	43.8 	29.0 	: 
PC,RENT_MKT,MT	4.4 	27.0 	32.1 	31.0 	28.3 	30.3 	21.1 	28.2 	26.6 	14.2 	22.1 	14.9 
PC,RENT_MKT,NL	25.2 	28.3 	20.5 	17.6 	16.0 	18.2 	19.7 	23.2 	24.8 	25.0 	28.0 b	26.2 
PC,RENT_MKT,NO	30.8 	33.0 	30.7 	28.2 	27.4 	27.7 	29.8 	28.7 	34.2 	37.0 	34.0 	34.1 
PC,RENT_MKT,PL	: 	32.3 	26.6 	32.8 	37.3 	27.2 	27.1 	28.5 	25.5 	26.3 	24.5 	23.6 
PC,RENT_MKT,PT	1.8 	23.7 	18.6 	19.3 	17.6 	25.5 	35.8 	35.2 	33.8 	35.4 	31.9 	28.2 
PC,RENT_MKT,RO	: 	52.3 	74.0 	55.8 	65.0 	65.5 	72.7 	54.4 	42.0 	45.7 	36.3 	60.4 
PC,RENT_MKT,RS	: 	: 	: 	: 	: 	: 	: 	62.4 	68.0 	57.7 	68.3 	: 
PC,RENT_MKT,SE	23.0 	20.9 	19.7 b	20.1 	15.9 	18.6 	17.3 	18.1 	17.7 	18.7 	18.0 	19.3 
PC,RENT_MKT,SI	11.0 	25.1 	15.2 	13.1 	14.5 	18.3 	26.6 	25.8 	27.4 	25.9 	29.0 	24.3 
PC,RENT_MKT,SK	20.6 	35.8 	11.5 	13.4 	12.6 	12.9 	15.1 	12.9 	14.9 	8.4 	13.9 	20.9 
PC,RENT_MKT,TR	44.2 	37.0 	41.5 	42.2 	41.5 	40.8 	37.4 	44.4 	39.4 	36.1 	: 	: 
PC,RENT_MKT,UK	38.1 	42.3 	39.4 	40.6 	46.1 	45.0 	23.8 b	25.3 	34.6 	37.1 	35.4 	: 
