unit,tra_mode,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,RAIL,LT	74.1 	71.7 	71 	73 	70.4 	72.8 	73.7 	70.3 	66.6 	68.1 	65.9 	65 
PC,RAIL,LU	15 	16.2 	19.7 	9.9 	8.2 	11.6 	10.5 	7.1 	7.3 	6.1 	6.9 	6.2 
PC,RAIL,LV	84.1 	81 	80.6 	83.4 	85.4 	82.1 	84.2 	84.1 	81.2 	81.2 	79.8 	76.6 
PC,RAIL,MT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC,RAIL,NL	6 	6.4 	7 	6.7 	6 	5.8 	6.3 	6.1 	5.7 	5.8 	6.2 	6 
PC,RAIL,NO	15.7 	15.8 	16.4 	15.6 	16.4 	15.4 	15.8 	14.8 	13.3 	13.7 	12.9 	13 
PC,RAIL,PL	36.4 	37 	36.2 	33.8 	28.8 	29.5 	29.9 	27.6 	26.4 	26.5 	25.6 	24.7 
PC,RAIL,PT	9.2 	9 	9.1 	9.7 	9.4 	10.9 	10.9 	12.8 	12.7 	12.8 	14.1 	14.5 
PC,RAIL,RO	26.3 e	25.5 e	24.9 e	25.3 e	23.1 	29.3 	35.4 	31.4 	30.7 	30.2 	31.6 	30.3 
PC,RAIL,SE	32.5 	32.2 	32.7 	31.9 	33.3 	35.6 	34.8 	35.8 	33.7 	30.4 	29.6 	29.4 
PC,RAIL,SI	30.8 	29.5 	29.9 	29.4 	27.8 	31.8 	34 	32.8 	34.7 	36 	35 	33.3 
PC,RAIL,SK	47.1 	48.7 	42.3 	40.3 	35.8 	38.5 	38.2 	36.5 	39 	38.9 	36.6 	34.5 
PC,RAIL,UK	11.3 	11.3 	10.7 	11.2 	11.7 	10.9 	11.7 	11.6 	12.8 	12.9 	10.4 	8.4 
PC,RAIL_IWW_AVD,AT	39.0 	39.2 	38.3 	37.1 	35.6 	37.0 	36.5 	36.3 	35.9 	36.4 	35.0 	34.5 
PC,RAIL_IWW_AVD,BE	26.2 e	27.2 e	27.1 	27.3 	23.3 	26.6 	27.0 	27.8 e	26.9 e	27.0 e	27.8 e	26.9 e
PC,RAIL_IWW_AVD,BG	49.8 e	50.5 e	51.9 e	51.8 e	49.5 	50.6 	43.9 	47.1 	44.0 	45.2 	45.3 	44.3 
PC,RAIL_IWW_AVD,CH	33.7 e	34.9 e	35.2 e	35.5 	33.6 	33.9 	35.3 	34.7 	36.2 	36.2 	38.0 	37.5 
PC,RAIL_IWW_AVD,CY	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC,RAIL_IWW_AVD,CZ	31.6 	32.0 	32.5 	32.2 	30.6 	30.2 	30.2 	30.6 	28.3 	28.3 	26.5 	26.5 
PC,RAIL_IWW_AVD,DE	30.1 	30.2 	30.3 	30.0 	28.2 	29.5 	28.7 	29.2 	29.3 	28.7 	28.7 	27.6 
PC,RAIL_IWW_AVD,DK	10.5 	9.7 	8.8 	9.0 	9.1 	11.5 	12.4 	10.9 	11.3 	11.2 	12.2 	11.1 
PC,RAIL_IWW_AVD,EE	79.9 	78.4 	74.2 	68.2 	74.1 	75.4 	71.7 	67.0 	63.7 	55.2 	52.4 	42.9 
PC,RAIL_IWW_AVD,EL	2.7 	2.2 	3.3 	2.9 	2.1 	2.2 	1.8 	1.5 	1.4 	1.8 	1.6 	1.3 
PC,RAIL_IWW_AVD,ES	5.2 	5.0 	4.5 	4.8 	4.0 	4.6 	5.0 	5.3 	5.3 	5.9 	5.8 	5.4 
PC,RAIL_IWW_AVD,EU28	24.4 e	24.5 e	24.5 e	24.5 e	23.0 	24.3 	24.9 	25.3 e	25.1 e	25.1 e	24.7 e	23.6 e
PC,RAIL_IWW_AVD,FI	25.4 	29.6 	28.0 	27.4 	26.0 	27.1 	27.8 	29.0 	30.5 	31.2 	27.4 	27.1 
PC,RAIL_IWW_AVD,FR	14.4 	14.2 	14.1 	14.1 	13.5 	12.5 	13.7 	13.8 	13.6 	13.7 	14.6 	13.7 
PC,RAIL_IWW_AVD,HR	26.1 e	27.7 e	28.8 e	28.6 	28.4 	31.0 	28.8 	29.5 	27.0 	27.3 	27.2 	24.5 e
PC,RAIL_IWW_AVD,HU	33.5 	33.3 	31.9 	30.8 	29.8 	34.5 	34.2 	36.2 	36.7 	36.6 	34.9 	33.8 
PC,RAIL_IWW_AVD,IE	1.9 	1.3 	0.8 	0.7 	0.8 	0.9 	1.2 	1.0 	1.1 	1.1 	1.0 	0.9 
PC,RAIL_IWW_AVD,IT	10.1 	11.3 	12.0 	11.3 	9.2 	9.3 	11.2 	12.7 	11.9 	13.2 	13.5 	14.5 
PC,RAIL_IWW_AVD,LT	74.1 	71.8 	71.1 	73.0 	70.4 	72.8 	73.7 	70.3 	66.6 	68.1 	65.9 	65.0 
PC,RAIL_IWW_AVD,LU	28.1 	30.2 	31.5 	22.9 	19.6 	24.5 	21.6 	16.0 	17.8 	14.5 	14.6 	12.1 
PC,RAIL_IWW_AVD,LV	84.1 	81.0 	80.6 	83.4 	85.4 	82.1 	84.2 	84.1 	81.2 	81.2 	79.8 	76.6 
