age,isced11,unit,sex,geo\time	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	TARGET 
Y30-34,ED5-8,PC,T,HU	: 	: 	: 	: 	: 	14.1 	14.1 	15.4 	14.8 	14.8 b	14.4 	16.3 	18.5 	17.9 	19.4 	20.6 	22.8 	24.0 	26.1 	28.2 	29.8 	32.3 	34.1 b	34.3 	33.0 	32.1 	34 
Y30-34,ED5-8,PC,T,IE	20.0 	21.6 	22.4 	25.1 	27.9 	28.4 	: 	24.7 	27.5 	30.6 	32.0 	35.1 	38.6 	39.2 	41.3 	44.3 b	47.1 	49.6 	50.6 	50.2 	51.4 	52.7 	52.2 b	51.9 	52.5 	53.5 b	60 
Y30-34,ED5-8,PC,T,IS	: 	: 	: 	: 	: 	: 	: 	28.9 	32.6 	31.0 	33.6 	38.2 b	38.8 	41.1 	36.4 u	36.3 	38.3 	41.7 	40.9 	44.6 	42.8 	43.9 	46.4 b	47.1 	48.8 	53.7 	: 
Y30-34,ED5-8,PC,T,IT	8.6 	8.4 b	8.6 	8.6 	9.2 	9.4 	9.9 	10.8 	11.6 	12.2 	13.1 	13.9 	15.6 b	17.1 	17.6 	18.6 	19.2 	19.0 	19.9 	20.4 	21.9 	22.5 	23.9 b	25.3 	26.2 	26.9 	26 
Y30-34,ED5-8,PC,T,LT	: 	: 	: 	: 	: 	: 	48.0 	44.9 	42.6 	21.2 	23.4 b	25.2 	30.9 	37.7 	39.4 	36.4 	39.9 	40.4 	43.8 	45.7 	48.6 	51.3 	53.3 b	57.6 	58.7 	58.0 	48.7 
Y30-34,ED5-8,PC,T,LU	12.9 	23.2 	26.4 	18.0 	18.6 	21.6 	: 	21.7 b	21.2 	23.9 	23.6 	17.3 b	31.4 	37.6 	35.5 	35.3 b	39.8 	46.6 b	46.1 	48.2 	49.6 	52.5 	52.7 b	52.3 b	54.6 u	52.7 u	66 
Y30-34,ED5-8,PC,T,LV	: 	: 	: 	: 	: 	: 	18.3 	16.4 b	18.6 	16.3 	17.3 b	18.3 	18.2 	18.5 	19.3 	25.7 	26.3 	30.5 	32.6 	35.9 	37.2 	40.7 	39.9 b	41.3 	42.8 	43.8 	34 
Y30-34,ED5-8,PC,T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.1 	24.2 	26.8 	28.3 b	31.0 	33.9 	34.0 	: 
Y30-34,ED5-8,PC,T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.6 	12.2 	12.4 	14.3 	17.1 	20.4 	21.7 	23.1 	24.9 b	28.6 	29.1 	30.6 	: 
Y30-34,ED5-8,PC,T,MT	: 	: 	: 	: 	: 	: 	: 	: 	7.4 du	12.9 du	9.3 d	13.7 d	17.6 d	17.6 b	20.7 	20.8 	21.0 	21.9 	22.1 	23.4 b	26.3 	28.7 	28.6 b	29.1 	32.0 	33.5 	33 
Y30-34,ED5-8,PC,T,NL	: 	: 	: 	: 	24.2 	25.6 	22.7 	25.4 	26.5 	27.2 	28.6 	31.7 	33.6 	34.9 	35.8 	36.4 	40.2 	40.5 	41.4 b	41.2 b	42.2 	43.2 b	44.8 b	46.3 	45.7 	47.9 	40 
Y30-34,ED5-8,PC,T,NO	: 	: 	: 	: 	28.9 	31.3 	33.6 	35.1 	37.3 	42.2 	43.4 	40.7 	39.5 	39.4 	41.9 b	43.7 	46.2 	47.0 	47.3 	48.8 	47.6 	48.8 	52.1 b	50.9 	50.1 	49.0 	: 
Y30-34,ED5-8,PC,T,PL	: 	: 	: 	: 	: 	13.5 	11.3 	11.9 d	12.5 b	13.2 b	14.4 	17.2 b	20.4 	22.7 	24.7 	27.0 	29.7 	32.8 	34.8 b	36.5 	39.1 	40.5 	42.1 b	43.4 	44.6 	45.7 	45 
Y30-34,ED5-8,PC,T,PT	15.1 	14.3 	14.9 	13.2 	12.7 	14.0 	9.4 b	11.1 	11.1 b	11.6 	12.9 b	14.7 	16.3 b	17.5 	18.3 	19.5 	21.6 	21.3 	24.0 	26.7 b	27.8 	30.0 	31.3 b	31.9 	34.6 	33.5 	40 
Y30-34,ED5-8,PC,T,RO	: 	: 	: 	: 	: 	13.0 	8.4 	8.6 	8.9 	8.8 	9.1 b	8.9 b	10.3 	11.4 	12.4 	13.9 	16.0 	16.8 	18.3 b	20.3 	21.7 	22.9 	25.0 b	25.6 	25.6 	26.3 	26.7 
Y30-34,ED5-8,PC,T,SE	: 	: 	: 	29.4 	30.3 	29.5 	30.5 	31.8 	31.8 	26.6 b	28.3 	31.0 	33.9 	37.6 b	39.5 b	41.0 	42.0 	43.9 	45.3 	46.8 	47.9 	48.3 	49.9 b	50.2 	51.0 	51.3 	45 
Y30-34,ED5-8,PC,T,SI	: 	: 	: 	: 	15.3 	15.8 	15.8 	15.7 	18.5 	18.1 	20.7 	23.6 	25.1 	24.6 	28.1 	31.0 	30.9 	31.6 	34.8 	37.9 	39.2 	40.1 	41.0 b	43.4 	44.2 	46.4 	40 
Y30-34,ED5-8,PC,T,SK	: 	: 	: 	: 	: 	: 	10.6 	11.1 	10.6 	10.7 	10.5 	11.5 	12.9 	14.3 	14.4 	14.8 	15.8 	17.6 	22.1 	23.2 b	23.7 	26.9 	26.9 b	28.4 	31.5 	34.3 	40 
Y30-34,ED5-8,PC,T,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.9 	12.3 	13.0 	14.7 	15.5 	16.3 	18.0 	19.5 	21.5 b	23.6 	26.5 	27.3 	: 
Y30-34,ED5-8,PC,T,UK	21.3 	22.8 	23.2 	24.1 	24.6 	25.5 	: 	28.0 b	29.0 	29.9 	31.5 	31.5 	33.6 b	34.5 	36.4 	38.3 b	39.5 b	41.4 	43.1 b	45.5 b	46.9 	47.4 	47.7 b	47.9 	48.2 	48.3 	: 
