unit,deg_urb,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,DEG1,RS	: 	: 	: 	: 	: 	: 	: 	58.7 	55.6 	57.8 	59.8 	: 
PC,DEG1,SE	16.1 	16.7 	17.4 b	17.1 	19.2 	20.2 	20.0 b	19.2 	17.9 	22.0 	20.4 	18.8 
PC,DEG1,SI	43.4 	42.9 	43.8 	42.8 	39.2 	22.4 b	19.5 b	18.6 	17.5 	16.7 	15.1 	15.5 
PC,DEG1,SK	52.9 	50.8 	51.0 	48.3 	48.5 	47.1 	44.6 b	47.5 	39.5 	36.0 	35.9 	34.3 
PC,DEG1,UK	7.3 	7.2 	8.3 	8.8 	9.0 	8.9 	9.0 b	11.1 	10.0 	10.0 	10.1 	: 
PC,DEG2,AT	10.0 	11.0 	10.2 b	9.4 	6.6 	7.6 	9.6 	12.4 	12.8 	12.6 	13.2 	13.8 
PC,DEG2,BE	1.1 	1.8 	1.8 	2.5 	2.3 	1.3 	0.6 b	0.6 	0.5 	1.0 	2.0 	3.3 
PC,DEG2,BG	46.7 	44.9 	50.7 	52.2 	50.7 	53.6 	45.1 b	45.0 	43.6 	40.0 	39.6 b	39.2 
PC,DEG2,CH	: 	5.7 	6.3 	6.6 	4.7 	3.7 	5.3 b	5.4 	6.7 b	5.6 	5.5 	: 
PC,DEG2,CY	1.6 	0.2 	1.1 b	1.7 	3.8 	4.1 	3.3 b	1.7 	1.5 	0.8 	2.9 	3.8 
PC,DEG2,CZ	32.9 	31.1 	29.9 	25.4 	20.5 	19.5 	21.2 b	22.5 	21.6 	21.5 	21.2 	17.6 
PC,DEG2,DE	4.9 	4.6 	5.1 	5.0 	4.7 	4.1 	4.8 b	5.2 	5.2 	5.6 	5.9 	5.3 
PC,DEG2,DK	6.1 	6.5 	5.7 	6.5 	6.0 	5.5 	6.3 b	7.0 	5.1 	5.8 	5.7 	6.5 
PC,DEG2,EA18	9.7 	10.2 	10.0 	9.5 	9.4 	9.3 	10.0 	10.5 	10.5 	11.6 	11.6 	11.7 e
PC,DEG2,EA19	9.7 	9.8 	10.0 	9.5 	9.4 	9.3 	10.0 	10.5 	10.5 	11.6 	11.6 	11.7 e
PC,DEG2,EE	63.2 	55.9 	46.5 	49.1 	43.6 	14.2 	9.4 b	18.9 	10.8 b	11.0 	12.2 	9.4 
PC,DEG2,EL	27.7 	28.4 	24.8 	23.3 	26.0 	22.0 	23.5 b	23.7 	24.9 	26.8 	27.9 	28.3 
PC,DEG2,ES	6.4 b	6.8 	7.4 	5.0 	4.7 	7.4 b	5.2 b	5.4 	4.1 	5.0 	5.7 	5.6 
PC,DEG2,EU27	12.2 e	12.0 	11.9 	11.6 	11.5 	11.1 	14.3 	14.3 	13.8 	14.4 	14.6 	15.6 e
PC,DEG2,EU28	: 	: 	: 	: 	11.6 	11.3 	14.5 	14.5 	14.0 	14.6 	14.8 	15.6 e
PC,DEG2,FI	5.9 	5.5 	5.3 	5.7 	5.6 	6.4 	5.8 b	6.2 	6.8 	6.0 	5.4 	4.7 
PC,DEG2,FR	4.3 	5.4 	5.2 	5.4 	4.7 	4.2 	6.4 b	5.6 	7.0 	6.3 	6.3 	6.4 
PC,DEG2,HR	: 	: 	: 	: 	38.4 	42.3 	45.8 b	39.6 	43.5 	42.3 	41.0 	: 
PC,DEG2,HU	50.7 	46.7 	45.5 	44.2 	48.0 	48.2 	46.1 b	43.3 	40.1 	39.1 	39.9 	39.3 
PC,DEG2,IE	6.6 	4.1 	1.8 	1.7 	2.2 	1.2 	0.5 b	1.8 	3.5 	4.5 	2.7 	: 
PC,DEG2,IS	: 	: 	: 	: 	: 	: 	: 	: 	8.4 	6.9 	5.2 p	: 
PC,DEG2,IT	20.2 	19.7 	20.1 	19.4 	20.5 	21.3 	22.4 b	24.4 	22.7 	24.5 	25.2 	25.2 
PC,DEG2,LT	: 	: 	: 	: 	: 	: 	19.5 b	30.6 b	32.4 	4.2 	16.1 	28.9 
PC,DEG2,LU	3.8 	3.9 	4.2 	3.5 	5.2 	3.8 	7.2 b	7.4 	8.0 	6.3 	7.1 b	7.1 
PC,DEG2,LV	68.5 	76.9 	60.3 	61.1 	55.9 	55.2 	43.6 b	45.2 	43.4 	50.5 	45.7 	39.4 
PC,DEG2,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.0 	: 
PC,DEG2,MT	2.6 	3.6 	3.0 	2.9 	3.3 	4.4 	3.8 b	2.7 	2.9 	3.1 	1.4 	0.3 
PC,DEG2,NL	0.9 	0.9 	0.5 	0.7 	1.0 	1.0 	1.4 b	1.0 	1.9 	1.8 	2.4 b	2.6 
PC,DEG2,NO	3.4 	4.0 	3.3 	3.2 	3.9 	3.6 	4.2 b	3.7 	3.2 	3.5 	3.8 	2.9 
PC,DEG2,PL	49.3 	45.8 	45.7 	42.5 	41.9 	40.6 	44.7 b	42.1 	41.9 	41.3 	36.6 	36.5 
PC,DEG2,PT	15.1 	17.0 	17.3 	15.8 	14.3 	10.2 	10.4 b	11.7 	8.6 	8.7 	7.7 	8.0 
PC,DEG2,RO	: 	58.2 	60.6 	66.0 	60.8 	57.6 	51.9 b	51.3 	49.6 	50.6 	48.6 	44.2 
PC,DEG2,RS	: 	: 	: 	: 	: 	: 	: 	52.8 	47.6 	51.4 	54.6 	: 
PC,DEG2,SE	11.7 	9.4 	11.7 b	13.1 	14.3 	15.8 	14.2 b	10.4 	11.2 	10.6 	13.4 	10.9 
PC,DEG2,SI	38.8 	38.2 	38.5 	36.9 	33.9 	17.0 b	16.4 b	15.4 	14.2 	14.9 	13.8 	14.1 
PC,DEG2,SK	44.2 	41.4 	40.5 	37.3 	37.6 	37.4 	37.2 b	39.6 	46.2 	45.9 	45.7 	42.5 
PC,DEG2,UK	3.5 	3.1 	2.2 	4.2 	4.8 	5.8 	5.0 b	4.6 	3.9 	3.9 	6.3 	: 
PC,DEG3,AT	9.4 	9.3 	8.1 b	7.0 	5.6 	5.6 	6.9 	7.9 	8.8 	6.9 	7.2 	7.0 
PC,DEG3,BE	1.1 	0.7 	1.1 	0.2 	0.1 	0.4 	1.1 b	2.1 	2.8 	0.4 	1.1 	2.0 
PC,DEG3,BG	39.9 	44.7 	40.6 	39.2 	39.4 	40.3 	34.2 b	34.2 	34.7 	33.7 	34.6 b	32.9 
PC,DEG3,CH	: 	8.3 	9.0 	7.7 	5.7 	5.3 	2.2 b	3.2 	3.8 b	3.3 	4.2 	: 
PC,DEG3,CY	2.5 	2.6 	5.2 b	2.3 	3.2 	2.0 	2.8 b	3.1 	2.8 	2.3 	2.8 	1.7 
PC,DEG3,CZ	29.5 	30.0 	26.1 	24.7 	20.2 	17.9 	17.7 b	16.1 	15.2 	12.1 	11.1 	10.7 
PC,DEG3,DE	4.8 	3.3 	4.5 	3.7 	4.7 	4.1 	3.7 b	4.0 	4.1 	3.9 	3.5 	3.9 
PC,DEG3,DK	3.5 	4.3 	4.6 	5.2 	4.7 	5.4 	4.7 b	5.5 	5.4 	4.8 	4.4 	4.7 
PC,DEG3,EA18	12.6 e	11.4 e	12.4 e	11.4 e	11.4 e	10.3 e	8.2 e	8.8 e	8.4 e	8.7 e	9.5 e	9.5 e
PC,DEG3,EA19	13.6 e	13.0 e	13.2 e	12.2 e	12.2 e	10.6 e	8.4 e	9.0 e	8.7 e	9.1 e	9.8 e	9.7 e
PC,DEG3,EE	39.8 	37.5 	35.0 	33.4 	33.6 	12.9 	13.3 b	18.9 	13.6 b	11.8 	11.6 	11.5 
PC,DEG3,EL	26.2 	26.2 	23.9 	22.0 	22.9 	25.3 	25.0 b	27.9 	26.5 	27.9 	28.2 	28.6 
PC,DEG3,ES	5.0 b	4.7 	4.8 	3.5 	3.5 	4.8 b	4.5 b	4.6 	4.3 	3.8 	5.1 	4.3 
PC,DEG3,EU27	25.8 e	25.5 e	24.1 e	23.1 e	22.5 e	21.4 e	16.7 e	17.1 e	17.2 e	16.8 e	16.8 e	17.8 e
PC,DEG3,EU28	: 	: 	: 	: 	22.8 e	21.7 e	17.1 e	17.5 e	17.6 e	17.2 e	17.1 e	17.8 e
PC,DEG3,FI	5.0 	5.4 	4.7 	4.5 	5.2 	5.3 	5.2 b	5.2 	4.6 	4.5 	4.6 	4.1 
PC,DEG3,FR	3.2 	3.5 	4.2 	5.3 	5.7 	3.7 	3.3 b	3.3 	2.6 	3.4 	3.2 	3.0 
PC,DEG3,HR	: 	: 	: 	: 	41.7 	42.3 	42.5 b	42.8 	41.6 	41.1 	38.3 	: 
PC,DEG3,HU	52.2 	47.7 	49.7 	48.2 	47.7 	47.1 	46.7 b	46.6 	46.5 	43.4 	41.9 	43.4 
PC,DEG3,IE	3.2 	3.3 	4.5 	3.3 	2.5 	2.1 	3.8 b	2.6 	1.4 	1.1 	0.4 	: 
PC,DEG3,IS	7.8 	10.0 	5.3 	5.9 	5.3 	5.2 	5.7 b	6.3 	4.5 	5.3 	4.8 p	: 
PC,DEG3,IT	24.7 	22.7 	24.7 	22.8 	21.8 	20.0 	21.2 b	20.9 	23.2 	23.3 	24.7 	24.4 
PC,DEG3,LT	49.7 	48.2 	42.5 	42.3 	41.4 	18.9 b	17.1 b	23.4 b	23.6 	27.3 	23.8 	24.2 
PC,DEG3,LU	4.3 	5.5 	5.7 	2.2 	2.9 	3.2 	3.1 b	2.9 	4.0 	5.4 	6.9 b	7.3 
PC,DEG3,LV	54.7 	56.0 	53.9 	53.0 	53.0 	43.4 	39.0 b	38.2 	39.3 	38.2 	39.1 	37.6 
PC,DEG3,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45.3 	: 
PC,DEG3,MT	: u	: u	: u	: u	: u	: u	: u	: u	0.0 u	0.0 u	0.0 u	: u
PC,DEG3,NL	0.0 	0.3 	0.0 	1.2 	0.0 	0.0 	1.9 b	3.2 	3.8 	4.5 	2.8 b	2.5 
PC,DEG3,NO	3.8 	2.8 	3.1 	3.0 	3.4 	3.0 	2.9 b	4.1 	9.0 	10.7 	8.7 	9.6 
PC,DEG3,PL	55.5 	53.8 	52.0 	51.1 	49.4 	49.2 	47.7 b	46.0 	45.8 	44.5 	42.3 	42.2 
PC,DEG3,PT	13.3 	13.7 	10.3 	8.8 	10.1 	6.5 	6.5 b	7.2 	7.2 	8.0 	8.3 	6.9 
PC,DEG3,RO	: 	53.2 	51.6 	50.0 	49.1 	48.7 	50.7 b	49.2 	48.5 	47.7 	47.6 	48.2 
PC,DEG3,RS	: 	: 	: 	: 	: 	: 	: 	50.9 	47.3 	50.8 	52.3 	: 
PC,DEG3,SE	8.8 	8.0 	8.8 b	10.0 	10.6 	10.4 	10.1 b	7.6 	8.5 	8.5 	8.8 	8.4 
PC,DEG3,SI	40.2 	39.8 	38.5 	37.0 	34.0 	14.8 b	15.5 b	14.5 	14.1 	11.6 	10.7 	10.8 
PC,DEG3,SK	43.6 	40.0 	39.5 	36.0 	36.5 	36.6 	35.8 b	35.9 	31.5 	32.0 	32.4 	32.3 
PC,DEG3,UK	1.6 	3.9 	3.7 	3.7 	3.5 	2.4 	2.8 b	2.8 	2.7 	3.4 	2.8 	: 
