unit,quantile,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,QU3,IT	7.1 	2.8 	3.3 	3.6 	2.7 	3.0 	2.3 	3.0 	2.9 	2.8 	2.8 	2.0 
PC,QU3,LT	1.0 	0.8 	0.6 	1.4 	2.4 	4.5 	2.6 	2.5 	1.3 	1.4 	0.7 	1.3 
PC,QU3,LU	0.2 	1.2 	0.8 	0.8 	1.1 	0.5 	1.3 	1.6 	2.3 	1.2 	3.2 b	3.9 
PC,QU3,LV	3.7 	4.6 	2.7 	3.3 	3.6 	6.1 	4.4 	4.4 	2.5 	3.1 	2.0 	2.3 
PC,QU3,MK	: 	: 	: 	: 	: 	6.4 	5.6 	5.5 	4.7 	3.4 	2.0 	: 
PC,QU3,MT	0.5 	1.0 	2.2 	1.5 	2.0 	2.3 	1.5 	0.7 	0.6 	0.2 	0.4 	0.7 
PC,QU3,NL	12.9 	11.2 	9.3 	7.9 	10.3 	10.9 	10.9 	9.4 	10.5 	9.9 	4.8 b	2.9 
PC,QU3,NO	5.5 	7.9 	8.0 	6.6 	4.2 	6.4 	5.9 	4.8 	3.3 	4.0 	4.8 	4.6 
PC,QU3,PL	8.0 	6.0 	5.1 	3.9 	4.5 	4.9 	5.7 	5.2 	4.4 	2.3 	2.5 	1.8 
PC,QU3,PT	2.5 	4.3 	3.2 	2.4 	2.2 	3.7 	3.6 	3.5 	3.2 	3.0 	1.9 	2.0 
PC,QU3,RO	: 	16.2 	16.7 	10.9 	9.2 	7.3 	13.9 	11.9 	9.5 	8.5 	7.0 	6.0 
PC,QU3,RS	: 	: 	: 	: 	: 	: 	: 	18.3 	22.0 	16.9 	20.2 	: 
PC,QU3,SE	1.9 	1.4 	1.7 b	1.8 	0.5 	0.8 	0.6 	1.1 	0.8 	1.5 	0.9 	1.5 
PC,QU3,SI	1.0 	3.3 	1.7 	1.4 	1.3 	1.8 	0.8 	1.3 	2.1 	1.7 	1.3 	1.7 
PC,QU3,SK	8.9 	13.6 	1.5 	4.5 	3.4 	2.6 	3.6 	4.8 	5.7 	6.0 	2.5 	2.3 
PC,QU3,TR	11.2 	8.0 	10.6 	11.4 	11.5 	11.0 	10.2 	11.7 	9.1 	9.5 	: 	: 
PC,QU3,UK	9.4 	10.2 	7.3 	7.8 	8.4 	10.3 	3.4 b	4.3 	5.7 	6.0 	6.2 	: 
PC,QU4,AT	0.7 	0.9 	0.6 bu	0.8 u	0.5 u	1.0 u	0.3 	0.4 	0.3 	0.2 	0.6 	0.4 
PC,QU4,BE	1.1 	0.9 	3.6 	1.0 	0.9 	0.9 	1.2 	0.8 	1.1 	0.7 	1.1 	1.0 
PC,QU4,BG	5.9 	6.5 	5.3 	1.6 	1.2 	2.1 	3.0 	4.2 	2.8 	2.6 	5.8 b	4.8 
PC,QU4,CH	: 	: 	: 	2.1 	2.9 	1.8 	1.2 	1.9 	1.9 b	1.9 	1.6 	: 
PC,QU4,CY	1.0 	0.4 	0.7 b	0.1 	1.5 	0.8 	0.5 	0.7 	1.0 	1.2 	0.5 	0.2 
PC,QU4,CZ	3.9 	4.1 	6.6 	3.0 	3.5 	2.8 	2.7 	3.6 	3.0 	2.2 	2.6 	2.2 
PC,QU4,DE	: 	: 	: 	: 	6.3 	7.1 	6.1 	6.6 	4.2 	4.6 	5.8 	5.2 
PC,QU4,DK	3.4 	2.3 	7.3 	14.1 	8.6 	4.3 b	2.3 	2.3 	1.9 	1.8 	1.5 	1.4 
PC,QU4,EA18	3.0 e	2.2 e	2.2 e	1.9 e	2.6 	3.0 	2.8 	2.9 	2.7 	2.9 	2.6 	2.4 e
PC,QU4,EA19	2.9 e	2.2 e	2.2 e	1.9 e	2.6 	3.0 	2.7 	2.9 	2.7 	2.9 	2.6 	2.4 e
PC,QU4,EE	0.9 	1.1 	1.3 	1.5 	2.0 	0.8 	1.5 	0.7 	1.0 b	0.4 	0.3 	0.7 
PC,QU4,EL	7.1 	0.1 	7.7 	6.7 	1.2 	3.6 	4.7 	8.1 	21.8 	21.1 	17.2 	17.8 
PC,QU4,ES	1.9 	2.6 	1.5 b	2.1 	1.2 	1.3 	1.3 	1.4 	0.8 	1.1 	1.1 	0.6 
PC,QU4,EU27	3.6 e	3.1 e	3.1 e	2.7 e	2.9 	3.1 	2.7 	2.9 	3.0 	2.8 	2.6 	2.3 e
PC,QU4,EU28	: 	: 	: 	: 	2.9 	3.1 	2.7 	2.9 	2.9 	2.8 	2.6 	2.3 e
PC,QU4,FI	0.9 	1.6 	1.7 	1.5 	1.3 	1.4 	1.5 	1.4 	1.1 	1.0 	0.9 	1.5 
PC,QU4,FR	1.6 	1.8 	1.1 	1.1 	0.8 	0.9 	1.1 	0.6 	0.7 	1.7 	0.8 	0.7 
PC,QU4,HR	: 	: 	: 	: 	2.8 	1.0 	0.7 	0.9 	1.1 	0.3 	0.4 	: 
PC,QU4,HU	3.4 	3.3 	3.2 	1.4 	2.6 	2.3 	6.1 	5.2 	3.6 	1.5 	1.8 	1.5 
PC,QU4,IE	0.5 	0.8 	0.6 	1.1 	0.4 	0.3 	0.8 	0.4 	0.8 	0.4 	0.4 	: 
PC,QU4,IS	12.9 	6.5 	8.8 	4.8 	4.6 	6.4 	3.6 	3.4 	3.0 	3.0 	3.4 p	: 
PC,QU4,IT	3.0 	1.4 	2.1 	1.1 	0.9 	1.2 	0.8 	1.1 	1.1 	1.2 	0.8 	0.4 
PC,QU4,LT	0.5 	0.4 	0.5 	1.9 	4.4 	1.9 	0.4 	1.0 	0.1 	0.4 	0.7 	0.3 
PC,QU4,LU	0.6 	0.2 	0.4 	0.3 	1.0 	0.4 	0.4 	0.6 	0.3 	0.3 	1.6 b	1.9 
PC,QU4,LV	2.3 	2.2 	1.1 	1.5 	2.1 	4.0 	2.5 	1.8 	2.4 	2.0 	1.0 	0.8 
PC,QU4,MK	: 	: 	: 	: 	: 	2.1 	2.1 	1.5 	1.0 	1.0 	0.9 	: 
PC,QU4,MT	0.5 	0.4 	0.5 	0.4 	1.8 	0.5 	0.2 	0.6 	0.2 	0.1 	0.1 	0.1 
PC,QU4,NL	13.0 	8.5 	6.4 	6.4 	7.6 	7.6 	6.8 	6.7 	6.5 	5.7 	1.5 b	1.5 
PC,QU4,NO	4.8 	6.5 	7.1 	5.0 	4.3 	3.5 	3.8 	4.1 	2.8 	4.2 	3.8 	2.5 
PC,QU4,PL	3.0 	2.3 	2.4 	2.0 	2.0 	1.8 	2.6 	3.0 	2.5 	1.6 	1.0 	0.9 
PC,QU4,PT	1.8 	1.5 	3.0 	0.9 	0.6 	0.8 	2.2 	1.0 	2.2 	1.0 	1.1 	1.5 
PC,QU4,RO	: 	9.0 	9.0 	5.6 	4.8 	4.0 	5.7 	4.4 	3.9 	2.9 	3.5 	2.8 
PC,QU4,RS	: 	: 	: 	: 	: 	: 	: 	8.1 	8.8 	7.2 	7.2 	: 
PC,QU4,SE	0.7 	0.3 	0.1 b	0.3 	0.1 	0.2 	0.2 	0.3 	0.3 	0.1 	0.1 	0.4 
PC,QU4,SI	0.6 	1.1 	1.2 	1.0 	0.9 	0.9 	0.6 	1.2 	1.2 	1.4 	0.8 	0.4 
PC,QU4,SK	4.2 	7.0 	0.5 	3.5 	2.1 	2.9 	2.3 	2.4 	2.8 	3.2 	0.9 	1.2 
PC,QU4,TR	6.1 	4.5 	7.9 	5.9 	6.6 	5.3 	5.3 	6.1 	5.2 	6.3 	: 	: 
PC,QU4,UK	5.4 	5.2 	4.2 	5.1 	4.4 	5.0 	1.2 b	2.1 	4.7 	3.4 	3.4 	: 
PC,QU5,AT	0.2 	0.2 	0.2 bu	0.1 u	0.5 u	0.5 u	0.1 	0.2 	0.0 	0.2 	0.1 	0.3 
PC,QU5,BE	0.3 	0.9 	1.8 	0.2 	0.6 	0.5 	0.3 	0.2 	0.6 	0.2 	0.3 	0.7 
