unit,sex,age,incgrp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,TOTAL,A_MD60,LU	4.2 	4.5 	3.8 	3.2 	4.5 	3.6 	4.0 	3.2 	3.7 	4.0 	4.4 b	5.5 
PC,T,TOTAL,A_MD60,LV	61.0 	61.9 	59.9 	57.2 	54.9 	43.3 	36.2 	37.4 	39.6 	40.7 	44.0 	42.3 
PC,T,TOTAL,A_MD60,MK	: 	: 	: 	: 	: 	: 	48.4 	47.8 	43.3 	47.5 	47.4 	: 
PC,T,TOTAL,A_MD60,MT	3.7 	4.2 	4.0 	3.8 	3.8 	3.8 	3.7 	3.3 	3.3 	2.9 	2.1 	2.2 
PC,T,TOTAL,A_MD60,NL	1.4 	1.5 	1.1 	1.0 	1.7 	1.3 	1.7 	1.2 	1.7 	1.9 	2.3 b	2.3 
PC,T,TOTAL,A_MD60,NO	3.1 	3.0 	2.8 	2.4 	2.5 	2.3 	3.4 	3.1 	2.1 	2.5 	2.4 	2.1 
PC,T,TOTAL,A_MD60,PL	52.3 	50.9 	49.7 	47.9 	45.4 	45.6 	45.1 	42.8 	42.1 	41.5 	38.0 	40.3 
PC,T,TOTAL,A_MD60,PT	14.9 	15.7 	14.3 	12.7 	13.5 	9.5 	9.1 	10.2 	8.3 	8.3 	8.6 	8.0 
PC,T,TOTAL,A_MD60,RO	: 	57.1 	55.7 	54.4 	52.7 	51.8 	51.8 	50.1 	48.1 	49.4 	48.3 	47.5 
PC,T,TOTAL,A_MD60,RS	: 	: 	: 	: 	: 	: 	: 	53.8 	50.3 	51.9 	54.0 	: 
PC,T,TOTAL,A_MD60,SE	6.3 	5.8 	6.5 b	8.7 	8.8 	9.4 	7.9 	6.4 	5.9 	7.4 	7.6 	8.1 
PC,T,TOTAL,A_MD60,SI	40.3 	39.6 	39.3 	37.8 	34.1 	16.1 b	15.4 	14.4 	13.5 	12.3 	11.8 	12.3 
PC,T,TOTAL,A_MD60,SK	44.6 	42.9 	43.0 	39.0 	39.1 	38.9 	37.9 	39.1 	37.4 	36.4 	37.0 	35.1 
PC,T,TOTAL,A_MD60,TR	43.6 	44.9 	42.8 	40.5 	38.8 	39.4 	38.3 	38.8 	40.7 	40.2 	: 	: 
PC,T,TOTAL,A_MD60,UK	5.3 	5.2 	5.8 	6.0 	6.6 	7.0 	5.7 b	6.8 	5.9 	6.0 	6.7 	: 
PC,T,TOTAL,B_MD60,AT	36.6 	37.4 	38.6 b	32.9 	32.8 	30.6 	39.5 	34.6 	37.6 	37.2 	42.8 	41.2 
PC,T,TOTAL,B_MD60,BE	12.0 	9.9 	11.7 	13.4 	13.9 	8.4 	6.2 	8.5 	9.3 	7.0 	14.8 	18.0 
PC,T,TOTAL,B_MD60,BG	64.5 	71.7 	59.4 	56.8 	60.9 	62.2 	59.2 	60.5 	60.2 	57.3 	60.4 b	59.1 
PC,T,TOTAL,B_MD60,CH	: 	16.0 	17.6 	16.7 	15.9 	14.8 	13.9 	9.0 	13.2 b	15.3 	19.8 	: 
PC,T,TOTAL,B_MD60,CY	5.4 	4.7 	9.2 b	5.7 	8.5 	8.1 	7.9 	5.2 	4.6 	3.7 	5.8 	6.4 
PC,T,TOTAL,B_MD60,CZ	64.5 	68.8 	55.8 	57.8 	50.1 	44.6 	48.9 	48.3 	49.9 	45.8 	45.6 	42.6 
PC,T,TOTAL,B_MD60,DE	14.1 	13.5 	16.0 	20.9 	17.0 	18.7 	14.9 	14.4 	14.7 	15.8 	17.8 	16.3 
PC,T,TOTAL,B_MD60,DK	16.4 	19.1 	20.7 	18.4 	17.5 	16.5 b	22.5 	22.3 	24.5 	23.0 	16.1 	24.4 
PC,T,TOTAL,B_MD60,EA18	24.4 	24.8 	25.3 	25.9 	25.3 	25.4 	25.4 	25.5 	25.8 	26.3 	26.4 	26.1 e
PC,T,TOTAL,B_MD60,EA19	25.0 	25.4 	25.7 	26.3 	25.7 	25.5 	25.5 	25.7 	26.0 	26.5 	26.6 	26.2 e
PC,T,TOTAL,B_MD60,EE	61.7 	56.4 	55.3 	60.8 	61.5 	33.1 	28.4 	34.4 	24.5 b	21.2 	25.6 	23.6 
PC,T,TOTAL,B_MD60,EL	39.6 	39.5 	37.2 	34.0 	36.3 	38.1 	41.2 	45.1 	46.1 	45.5 	46.2 	48.0 
PC,T,TOTAL,B_MD60,ES	13.3 	13.0 	12.5 	11.1 	10.2 	12.5 b	12.5 	11.6 	11.5 	12.1 	13.5 	12.5 
PC,T,TOTAL,B_MD60,EU27	34.0 e	33.6 	32.9 	33.6 	33.2 	32.3 	32.2 	33.0 	32.9 	32.7 	32.8 	33.0 e
PC,T,TOTAL,B_MD60,EU28	: 	: 	: 	: 	33.4 	32.5 	32.4 	33.2 	33.1 	32.9 	33.0 	33.0 e
PC,T,TOTAL,B_MD60,FI	11.3 	12.3 	8.6 	12.8 	11.9 	10.9 	16.8 	18.9 	15.0 	15.9 	14.0 	12.7 
PC,T,TOTAL,B_MD60,FR	18.5 	26.4 	27.1 	29.4 	25.5 	23.9 	24.3 	21.4 	21.8 	21.9 	24.0 	25.8 
PC,T,TOTAL,B_MD60,HR	: 	: 	: 	: 	53.2 	54.0 	54.3 	51.9 	52.1 	50.5 	52.2 	: 
PC,T,TOTAL,B_MD60,HU	75.5 	70.3 	71.4 	74.2 	74.9 	76.8 	76.3 	74.0 	69.4 	69.0 	62.8 	48.7 
PC,T,TOTAL,B_MD60,IE	11.8 	10.2 	8.2 	9.5 	8.5 	7.7 	6.8 	4.9 	8.4 	7.0 	7.1 	: 
PC,T,TOTAL,B_MD60,IS	16.6 	19.9 	18.5 	18.2 	15.2 	15.6 	17.2 	21.3 	19.0 	21.1 	19.0 p	: 
PC,T,TOTAL,B_MD60,IT	41.9 	42.0 	40.8 	41.1 	44.5 	43.2 	45.7 	47.4 	48.8 	49.6 	44.9 	42.4 
PC,T,TOTAL,B_MD60,LT	68.0 	68.6 	61.6 	64.1 	58.4 	33.6 b	31.0 	45.1 b	44.8 	44.0 	40.5 	40.8 
PC,T,TOTAL,B_MD60,LU	26.2 	24.6 	31.4 	22.7 	22.8 	22.3 	19.9 	18.9 	19.6 	17.6 	25.6 b	18.4 
PC,T,TOTAL,B_MD60,LV	68.6 	62.7 	58.6 	64.7 	72.6 	62.5 	55.0 	54.4 	57.3 	58.2 	54.9 	58.0 
PC,T,TOTAL,B_MD60,MK	: 	: 	: 	: 	: 	: 	67.9 	63.7 	59.8 	68.5 	64.1 	: 
PC,T,TOTAL,B_MD60,MT	3.9 	5.9 	4.7 	5.8 	7.5 	10.3 	7.0 	6.7 	9.7 	8.7 	8.6 	6.0 
PC,T,TOTAL,B_MD60,NL	0.0 	3.9 	4.3 	1.4 	1.1 	2.4 	7.0 	10.5 	13.5 	10.3 	11.8 b	13.2 
PC,T,TOTAL,B_MD60,NO	18.2 	18.4 	18.1 	19.6 	28.1 	24.6 	22.5 	24.6 	22.5 	20.1 	22.0 	18.6 
PC,T,TOTAL,B_MD60,PL	73.4 	72.1 	70.5 	68.8 	69.9 	66.1 	64.2 	65.0 	65.2 	63.2 	63.3 	53.6 
PC,T,TOTAL,B_MD60,PT	24.7 	23.3 	27.9 	25.7 	24.3 	22.7 	18.7 	21.3 	23.0 	23.5 	22.4 	20.0 
PC,T,TOTAL,B_MD60,RO	: 	68.4 	69.0 	69.0 	68.6 	68.3 	69.2 	70.6 	70.5 	69.1 	68.9 	66.4 
PC,T,TOTAL,B_MD60,RS	: 	: 	: 	: 	: 	: 	: 	65.2 	59.7 	66.5 	68.2 	: 
PC,T,TOTAL,B_MD60,SE	30.9 	29.2 	31.9 b	27.3 	36.1 	33.2 	38.2 	39.3 	44.3 	41.7 	46.7 	40.4 
PC,T,TOTAL,B_MD60,SI	53.1 	53.2 	51.0 	49.1 	52.2 	32.3 b	32.8 	30.4 	29.5 	28.0 	25.7 	24.7 
PC,T,TOTAL,B_MD60,SK	61.8 	63.5 	61.2 	66.0 	63.6 	59.9 	56.9 	59.3 	62.6 	61.0 	56.8 	59.1 
PC,T,TOTAL,B_MD60,TR	75.9 	75.2 	77.6 	76.7 	77.4 	75.9 	74.8 	73.7 	74.5 	73.3 	: 	: 
PC,T,TOTAL,B_MD60,UK	14.9 	14.8 	13.9 	18.8 	17.3 	13.5 	14.4 b	17.1 	14.9 	15.5 	16.2 	: 
PC,T,TOTAL,TOTAL,AT	16.0 	15.7 	15.5 b	13.4 	12.0 	12.1 	14.1 	15.1 	15.4 	15.3 	15.6 	15.2 
PC,T,TOTAL,TOTAL,BE	3.4 	3.5 	4.0 	3.8 	4.0 	2.1 	1.4 	1.8 	1.9 	1.5 	3.9 	5.3 
PC,T,TOTAL,TOTAL,BG	50.3 	53.8 	50.0 	48.9 	49.6 	49.9 	47.0 	47.2 	46.2 	45.1 	46.8 b	46.2 
PC,T,TOTAL,TOTAL,CH	: 	7.6 	7.9 	7.7 	5.6 	5.9 	5.8 	6.5 	6.6 b	6.0 	6.7 	: 
PC,T,TOTAL,TOTAL,CY	1.9 	1.6 	3.4 b	2.7 	3.6 	2.9 	2.8 	2.5 	2.3 	1.4 	2.5 	3.0 
PC,T,TOTAL,TOTAL,CZ	34.7 	33.7 	30.7 	27.6 	23.3 	21.8 	22.2 	22.1 	20.9 	19.4 	18.5 	16.5 
PC,T,TOTAL,TOTAL,DE	6.7 	5.4 	5.8 	6.0 	6.0 	5.7 	5.5 	5.6 	5.6 	5.9 	6.1 	6.2 
PC,T,TOTAL,TOTAL,DK	6.3 	6.7 	6.8 	6.8 	6.5 	6.7 b	6.8 	7.1 	7.7 	7.1 	7.5 	8.4 
PC,T,TOTAL,TOTAL,EA18	13.1 	12.9 	12.8 	12.4 	12.5 	11.9 	12.1 	12.3 	12.2 	12.6 	12.8 	12.8 e
PC,T,TOTAL,TOTAL,EA19	13.5 	13.4 	13.2 	12.8 	12.8 	12.0 	12.2 	12.5 	12.4 	12.8 	13.0 	12.9 e
PC,T,TOTAL,TOTAL,EE	48.3 	45.6 	44.1 	43.6 	41.8 	16.0 	15.5 	24.2 	15.7 b	14.9 	15.0 	14.9 
PC,T,TOTAL,TOTAL,EL	30.4 	30.3 	27.8 	26.0 	26.4 	27.1 	27.7 	29.2 	29.3 	30.2 	31.1 	31.8 
PC,T,TOTAL,TOTAL,ES	6.9 	6.2 	6.0 	5.5 	5.2 	7.1 b	6.0 	5.5 	5.7 	5.9 	5.9 	5.6 
PC,T,TOTAL,TOTAL,EU27	20.2 e	19.8 	19.4 	18.9 	18.7 	17.9 	17.7 	17.9 	17.5 	17.6 	17.5 	18.8 e
PC,T,TOTAL,TOTAL,EU28	: 	: 	: 	: 	18.9 	18.1 	18.0 	18.1 	17.7 	17.9 	17.7 	18.8 e
PC,T,TOTAL,TOTAL,FI	3.5 	3.3 	3.0 	3.2 	3.4 	3.8 	3.6 	4.5 	4.5 	4.2 	3.9 	3.9 
PC,T,TOTAL,TOTAL,FR	7.4 	9.4 	9.2 	9.3 	8.8 	7.3 	7.5 	7.1 	6.6 	7.3 	7.7 	7.5 
PC,T,TOTAL,TOTAL,HR	: 	: 	: 	: 	46.5 	47.4 	47.0 	45.2 	44.6 	44.0 	43.5 	: 
PC,T,TOTAL,TOTAL,HU	54.0 	50.3 	51.4 	49.8 	50.3 	49.4 	49.3 	48.4 	46.2 	45.6 	45.2 	45.4 
PC,T,TOTAL,TOTAL,IE	6.5 	5.2 	5.0 	3.8 	3.6 	2.8 	3.4 	3.0 	3.7 	3.6 	3.4 	: 
PC,T,TOTAL,TOTAL,IS	8.9 	10.8 	6.1 	6.9 	6.7 	7.0 	7.6 	8.9 	8.2 	8.5 	7.4 p	: 
PC,T,TOTAL,TOTAL,IT	26.8 	26.5 	26.7 	25.8 	27.0 	26.8 	28.9 	29.9 	30.1 	30.9 	30.8 	30.1 
PC,T,TOTAL,TOTAL,LT	56.4 	55.6 	51.6 	51.3 	49.3 	22.2 b	21.7 	31.2 b	31.4 	29.5 	26.4 	26.9 
PC,T,TOTAL,TOTAL,LU	7.2 	7.2 	7.4 	6.0 	7.1 	6.1 	6.4 	5.7 	6.4 	6.0 	7.7 b	7.8 
PC,T,TOTAL,TOTAL,LV	62.5 	62.1 	59.7 	58.9 	58.3 	46.9 	39.6 	40.4 	42.7 	43.9 	45.9 	44.9 
PC,T,TOTAL,TOTAL,MK	: 	: 	: 	: 	: 	: 	53.6 	51.7 	47.0 	52.1 	51.1 	: 
PC,T,TOTAL,TOTAL,MT	3.7 	4.5 	4.1 	4.1 	4.3 	4.8 	4.2 	3.8 	4.3 	3.8 	3.1 	2.8 
PC,T,TOTAL,TOTAL,NL	1.3 	1.7 	1.4 	1.1 	1.6 	1.4 	2.1 	2.0 	2.9 	2.8 	3.3 b	3.5 
PC,T,TOTAL,TOTAL,NO	4.3 	4.2 	3.9 	3.7 	4.4 	3.7 	4.6 	4.7 	3.4 	3.8 	3.9 	3.4 
PC,T,TOTAL,TOTAL,PL	56.4 	54.6 	53.1 	51.4 	49.6 	49.1 	48.2 	46.6 	45.9 	45.2 	42.2 	42.1 
PC,T,TOTAL,TOTAL,PT	16.6 	17.0 	16.7 	14.9 	15.4 	11.8 	10.8 	12.3 	11.1 	11.2 	11.1 	10.1 
PC,T,TOTAL,TOTAL,RO	: 	59.8 	58.7 	57.5 	56.0 	55.4 	55.8 	54.8 	53.7 	54.3 	53.4 	51.9 
PC,T,TOTAL,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	56.5 	52.7 	55.6 	57.6 	: 
PC,T,TOTAL,TOTAL,SE	8.8 	7.8 	9.3 b	10.7 	12.1 	12.4 	11.5 	10.5 	10.5 	11.6 	12.5 	12.1 
PC,T,TOTAL,TOTAL,SI	41.5 	40.9 	40.4 	38.8 	35.9 	17.8 b	17.2 	16.3 	15.4 	14.1 	13.3 	13.5 
PC,T,TOTAL,TOTAL,SK	46.5 	45.0 	44.7 	41.5 	41.8 	41.5 	40.3 	41.6 	40.5 	39.3 	39.4 	38.0 
PC,T,TOTAL,TOTAL,TR	52.3 	52.4 	51.4 	49.7 	48.3 	48.0 	47.0 	46.9 	48.6 	47.8 	: 	: 
PC,T,TOTAL,TOTAL,UK	7.0 	6.8 	7.2 	8.1 	8.2 	7.9 	7.0 b	8.3 	7.3 	7.5 	8.1 	: 
