lev_perc,unit,geo\time	2016 	2017 	2018 
UNK,PC,HR	6 	6 	8 
UNK,PC,HU	18 	24 	22 
UNK,PC,IE	5 	7 	6 
UNK,PC,IT	14 	11 	15 
UNK,PC,LT	13 	16 	21 
UNK,PC,LU	19 	19 	20 
UNK,PC,LV	12 	8 	12 
UNK,PC,MT	25 	19 	28 
UNK,PC,NL	16 	12 	11 
UNK,PC,PL	11 	13 	13 
UNK,PC,PT	23 	14 	7 
UNK,PC,RO	11 	15 	14 
UNK,PC,SE	9 	10 	11 
UNK,PC,SI	6 	14 	13 
UNK,PC,SK	18 	18 	13 
UNK,PC,UK	12 	13 	12 
VBAD,PC,AT	3 	2 	2 
VBAD,PC,BE	7 	6 	5 
VBAD,PC,BG	35 	26 	26 
VBAD,PC,CY	13 	11 	12 
VBAD,PC,CZ	9 	9 	7 
VBAD,PC,DE	4 	4 	3 
VBAD,PC,DK	1 	2 	2 
VBAD,PC,EE	2 	2 	1 
VBAD,PC,EL	16 	11 	9 
VBAD,PC,ES	18 	19 	17 
VBAD,PC,EU28	12 	11 	10 
VBAD,PC,FI	2 	2 	1 
VBAD,PC,FR	10 	11 	8 
VBAD,PC,HR	28 	27 	35 
VBAD,PC,HU	11 	7 	8 
VBAD,PC,IE	7 	8 	7 
VBAD,PC,IT	25 	19 	21 
VBAD,PC,LT	10 	7 	7 
VBAD,PC,LU	2 	2 	2 
VBAD,PC,LV	8 	7 	7 
VBAD,PC,MT	9 	8 	9 
VBAD,PC,NL	3 	4 	3 
VBAD,PC,PL	12 	11 	16 
VBAD,PC,PT	13 	14 	11 
VBAD,PC,RO	15 	16 	15 
VBAD,PC,SE	4 	6 	3 
VBAD,PC,SI	32 	21 	22 
VBAD,PC,SK	25 	24 	19 
VBAD,PC,UK	6 	5 	7 
VB_FB,PC,AT	16 	16 	9 
VB_FB,PC,BE	26 	27 	23 
VB_FB,PC,BG	70 	63 	57 
VB_FB,PC,CY	32 	25 	30 
VB_FB,PC,CZ	41 	40 	35 
VB_FB,PC,DE	17 	16 	17 
VB_FB,PC,DK	7 	7 	9 
VB_FB,PC,EE	14 	14 	12 
VB_FB,PC,EL	42 	36 	31 
VB_FB,PC,ES	56 	58 	49 
VB_FB,PC,EU28	36 	34 	32 
VB_FB,PC,FI	12 	13 	10 
VB_FB,PC,FR	39 	37 	31 
VB_FB,PC,HR	66 	62 	69 
VB_FB,PC,HU	33 	28 	30 
VB_FB,PC,IE	20 	19 	19 
VB_FB,PC,IT	61 	57 	53 
VB_FB,PC,LT	38 	32 	29 
VB_FB,PC,LU	8 	9 	9 
VB_FB,PC,LV	46 	43 	41 
VB_FB,PC,MT	31 	31 	27 
VB_FB,PC,NL	12 	12 	10 
VB_FB,PC,PL	44 	37 	45 
VB_FB,PC,PT	44 	44 	43 
VB_FB,PC,RO	38 	35 	39 
VB_FB,PC,SE	14 	18 	14 
VB_FB,PC,SI	64 	51 	54 
VB_FB,PC,SK	61 	59 	58 
VB_FB,PC,UK	18 	16 	20 
VGOOD,PC,AT	18 	20 	23 
VGOOD,PC,BE	6 	5 	9 
VGOOD,PC,BG	2 	2 	3 
VGOOD,PC,CY	10 	11 	9 
VGOOD,PC,CZ	3 	5 	5 
VGOOD,PC,DE	15 	19 	19 
VGOOD,PC,DK	37 	40 	38 
VGOOD,PC,EE	6 	5 	7 
VGOOD,PC,EL	6 	8 	11 
VGOOD,PC,ES	3 	3 	7 
VGOOD,PC,EU28	9 	11 	11 
VGOOD,PC,FI	15 	19 	17 
VGOOD,PC,FR	5 	3 	6 
VGOOD,PC,HR	7 	8 	6 
VGOOD,PC,HU	5 	5 	6 
VGOOD,PC,IE	20 	23 	20 
VGOOD,PC,IT	2 	2 	3 
VGOOD,PC,LT	2 	3 	2 
VGOOD,PC,LU	12 	15 	15 
VGOOD,PC,LV	2 	3 	2 
VGOOD,PC,MT	5 	8 	8 
VGOOD,PC,NL	16 	25 	25 
VGOOD,PC,PL	5 	5 	5 
VGOOD,PC,PT	2 	2 	2 
VGOOD,PC,RO	8 	7 	5 
VGOOD,PC,SE	24 	21 	22 
VGOOD,PC,SI	3 	1 	2 
VGOOD,PC,SK	2 	2 	3 
VGOOD,PC,UK	18 	26 	20 
VG_FG,PC,AT	77 	78 	81 
VG_FG,PC,BE	62 	59 	64 
VG_FG,PC,BG	23 	26 	30 
VG_FG,PC,CY	56 	60 	55 
VG_FG,PC,CZ	47 	49 	51 
VG_FG,PC,DE	69 	78 	74 
VG_FG,PC,DK	88 	86 	87 
VG_FG,PC,EE	62 	47 	61 
VG_FG,PC,EL	47 	52 	59 
VG_FG,PC,ES	30 	31 	39 
VG_FG,PC,EU28	52 	55 	56 
VG_FG,PC,FI	80 	81 	82 
VG_FG,PC,FR	54 	53 	58 
VG_FG,PC,HR	28 	32 	23 
VG_FG,PC,HU	49 	48 	48 
VG_FG,PC,IE	75 	74 	75 
VG_FG,PC,IT	25 	32 	32 
VG_FG,PC,LT	49 	52 	50 
VG_FG,PC,LU	73 	72 	71 
VG_FG,PC,LV	42 	49 	47 
VG_FG,PC,MT	44 	50 	45 
VG_FG,PC,NL	72 	76 	79 
VG_FG,PC,PL	45 	50 	42 
VG_FG,PC,PT	33 	42 	50 
VG_FG,PC,RO	51 	50 	47 
VG_FG,PC,SE	77 	72 	75 
VG_FG,PC,SI	30 	35 	33 
VG_FG,PC,SK	21 	23 	29 
VG_FG,PC,UK	70 	71 	68 
