unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
INX_A_AVG,MT	44.03 e	46.98 e	51.93 e	59.76 e	67.74 e	70.82 	82.79 	99.01 	106.01 	99.52 	98.53 	95.13 	95.50 	94.14 	96.14 	100.00 	104.82 	109.17 p
INX_A_AVG,NL	105.26 e	111.71 e	114.93 e	115.11 e	118.04 e	121.51 	123.17 	126.61 	126.75 	122.94 	118.89 	114.10 	105.12 	96.81 	96.72 	100.00 	104.39 	110.61 
INX_A_AVG,PL	: 	: 	: 	: 	: 	68.39 	92.08 	133.91 	127.70 e	120.85 e	113.56 	108.30 	101.10 	96.29 	97.43 	100.00 	102.27 	104.01 
INX_A_AVG,PT	124.44 e	126.53 e	122.86 e	119.94 e	117.98 e	116.21 e	114.59 e	112.38 e	113.43 b	114.56 	113.37 	106.12 	96.81 	94.22 	97.92 	100.00 	106.06 	114.39 
INX_A_AVG,RO	: 	: 	: 	: 	: 	: 	: 	: 	212.85 e	156.51 	136.62 	114.82 	104.20 	101.39 	98.20 	100.00 	105.00 	109.19 
INX_A_AVG,SE	43.73 e	46.23 e	48.48 e	50.87 e	55.19 e	59.83 	66.50 	73.75 	72.27 	72.84 	77.51 	78.14 	78.66 	82.38 	89.20 	100.00 	107.55 	112.54 
INX_A_AVG,SI	: 	: 	: 	84.96 e	90.41 e	101.19 e	115.54 e	137.17 	139.04 	124.80 	123.12 	124.24 	113.80 	105.58 	98.61 	100.00 	103.77 	110.24 
INX_A_AVG,SK	: 	: 	: 	: 	: 	: 	89.40 	112.39 	126.84 	110.67 	105.20 	99.72 	93.78 	93.40 	94.82 	100.00 	107.02 	111.76 
INX_A_AVG,UK	57.20 e	61.60 e	71.07 e	81.33 e	89.70 e	98.21 	102.96 	111.02 	101.90 	92.01 	95.66 	90.84 	89.29 	89.52 	94.85 	100.00 	105.40 	107.92 
RCH_A_AVG,AT	: 	-1.6 e	-0.4 e	-1.3 e	-3.6 e	2.6 e	1.9 e	2.1 e	-1.1 e	3.6 e	4.4 be	3.0 	4.8 	3.0 	1.4 	3.3 	7.0 	3.5 
RCH_A_AVG,BE	: 	2.7 e	5.0 e	5.2 e	6.2 e	9.7 e	6.5 	4.8 	1.1 	0.0 	1.4 	1.0 	0.3 	0.4 	-1.3 	1.2 p	1.1 p	1.5 p
RCH_A_AVG,BG	: 	: 	-11.9 e	10.9 e	42.5 e	27.8 e	12.4 p	18.3 p	17.6 p	-21.0 p	-12.3 p	-8.7 	-5.3 	0.4 	1.5 	1.6 b	7.1 	6.2 
RCH_A_AVG,CY	: 	: 	: 	-0.9 e	8.6 e	3.1 e	7.9 	7.7 	0.9 	-6.9 	-7.8 p	-4.3 p	-5.2 p	-3.9 p	-1.0 p	0.2 bp	1.7 	1.3 p
RCH_A_AVG,CZ	: 	5.7 e	11.1 e	10.0 e	-2.6 e	0.5 e	5.8 e	16.0 e	7.7 e	-4.7 	-2.2 	-1.7 	-3.6 	-0.8 	1.8 	3.8 p	6.7 p	9.1 p
RCH_A_AVG,DE	: 	-1.7 e	-2.5 e	-1.5 e	-2.4 e	-0.4 e	-1.4 	-3.8 	-0.3 	1.3 	-0.9 	1.4 	2.0 	2.1 	2.2 	4.1 	5.3 	2.9 
RCH_A_AVG,DK	: 	3.5 e	1.7 e	2.0 e	7.6 e	15.6 e	21.3 	0.9 	-7.8 	-13.0 	0.3 	-4.0 	-5.0 	3.2 	3.1 	6.2 	4.7 	3.2 
RCH_A_AVG,EE	: 	: 	: 	: 	: 	: 	41.1 	12.0 	-16.5 	-37.1 	2.2 	2.6 	3.2 	7.5 	12.6 	7.0 	3.8 	1.8 
RCH_A_AVG,EL	: 	11.2 e	11.5 e	2.9 e	-1.0 e	7.8 e	9.6 e	2.3 e	-2.5 e	-4.7 e	-8.0 e	-7.5 e	-12.1 e	-9.1 e	-5.1 e	-3.6 e	-1.5 e	-2.2 e
RCH_A_AVG,ES	: 	6.1 e	12.4 e	13.6 e	12.9 e	9.9 e	9.4 e	6.3 	-4.8 	-5.8 	-3.6 	-9.8 	-16.8 	-10.0 	0.1 	3.8 	4.6 	4.5 
RCH_A_AVG,FI	: 	-4.1 e	4.6 e	5.2 e	7.6 e	7.1 e	5.6 p	3.9 p	-2.4 p	-0.4 p	4.8 	0.0 	-0.4 	-1.3 	-1.6 	-0.3 	-0.3 	0.5 
RCH_A_AVG,FR	: 	5.7 	7.9 	9.9 	12.8 	13.3 	9.8 	3.5 b	-1.9 	-4.7 	3.6 	4.0 	-2.0 	-2.6 	-1.7 	-1.8 	1.1 	1.8 
RCH_A_AVG,HR	: 	-2.7 e	3.2 e	0.9 e	8.7 e	7.8 e	13.9 e	8.9 e	-2.6 e	-8.0 	-7.7 	-2.1 	-4.6 	-5.8 	-1.1 	-2.4 	2.1 	2.8 
RCH_A_AVG,HU	: 	: 	: 	: 	: 	: 	: 	: 	-3.2 	-8.9 	-5.9 	-6.9 	-9.3 	-4.3 	3.4 	13.3 	13.6 	3.3 
RCH_A_AVG,IE	: 	10.2 e	-0.6 e	10.0 e	9.2 e	8.0 e	12.1 	4.3 	-8.4 	-13.6 	-11.7 p	-17.8 p	-14.8 p	-0.5 p	15.1 p	11.0 p	6.6 p	9.5 p
RCH_A_AVG,IT	: 	3.1 e	8.8 e	3.2 e	3.7 e	5.3 e	3.1 e	2.6 e	-0.5 e	-0.2 e	-0.7 be	-1.5 	-5.1 	-7.5 	-5.0 	-4.0 	-0.2 p	-2.0 p
RCH_A_AVG,LT	: 	10.1 e	5.9 e	11.6 e	8.3 e	22.7 e	22.7 e	19.3 	-1.8 	-32.8 	-8.6 	2.4 	-3.2 	0.2 	6.3 	4.6 	4.5 	5.4 
RCH_A_AVG,LU	: 	12.1 e	6.9 e	8.7 e	11.5 e	7.9 e	8.4 e	4.7 be	0.2 	-0.6 	4.2 	0.5 	2.2 	3.3 	3.9 	5.3 	5.9 	4.1 
RCH_A_AVG,LV	: 	-2.0 e	39.1 e	16.5 e	-4.0 e	13.0 e	41.1 e	22.0 	-10.9 	-34.9 	-8.7 	4.1 	-0.4 	6.5 	4.3 	-2.4 	7.3 	5.5 
RCH_A_AVG,MT	: 	6.7 e	10.5 e	15.1 e	13.4 e	4.5 e	16.9 	19.6 	7.1 	-6.1 	-1.0 	-3.5 	0.4 	-1.4 	2.1 	4.0 	4.8 	4.1 p
RCH_A_AVG,NL	: 	6.1 e	2.9 e	0.2 e	2.5 e	2.9 e	1.4 	2.8 	0.1 	-3.0 	-3.3 	-4.0 	-7.9 	-7.9 	-0.1 	3.4 	4.4 	6.0 
RCH_A_AVG,PL	: 	: 	: 	: 	: 	: 	34.6 	45.4 	-4.6 e	-5.4 e	-6.0 e	-4.6 	-6.6 	-4.8 	1.2 	2.6 	2.3 	1.7 
RCH_A_AVG,PT	: 	1.7 e	-2.9 e	-2.4 e	-1.6 e	-1.5 e	-1.4 e	-1.9 e	0.9 be	1.0 	-1.0 	-6.4 	-8.8 	-2.7 	3.9 	2.1 	6.1 	7.9 
RCH_A_AVG,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	-26.5 e	-12.7 	-16.0 	-9.2 	-2.7 	-3.1 	1.8 	5.0 	4.0 
RCH_A_AVG,SE	: 	5.7 e	4.9 e	4.9 e	8.5 e	8.4 e	11.1 	10.9 	-2.0 	0.8 	6.4 	0.8 	0.7 	4.7 	8.3 	12.1 	7.6 	4.6 
RCH_A_AVG,SI	: 	: 	: 	: 	6.4 e	11.9 e	14.2 e	18.7 e	1.4 	-10.2 	-1.3 	0.9 	-8.4 	-7.2 	-6.6 	1.4 	3.8 	6.2 
RCH_A_AVG,SK	: 	: 	: 	: 	: 	: 	: 	25.7 	12.9 	-12.7 	-4.9 	-5.2 	-6.0 	-0.4 	1.5 	5.5 	7.0 	4.4 
RCH_A_AVG,UK	: 	7.7 e	15.4 e	14.4 e	10.3 e	9.5 e	4.8 	7.8 	-8.2 	-9.7 	4.0 	-5.0 	-1.7 	0.3 	6.0 	5.4 	5.4 	2.4 
