age,indic_il,sex,indic_eu,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,LI_R_MD60,T,T2020_52,PC,EE	: 	: 	: 	: 	: 	18 	18 	18 	: 	20.2 	18.3 	18.3 	19.4 	19.5 	19.7 	15.8 	17.5 	17.5 	18.6 	21.8 	21.6 	21.7 	21.0 
TOTAL,LI_R_MD60,T,T2020_52,PC,EL	22 	21 	21 	21 	21 	20 	20 	: 	20.7 	19.9 	19.6 	20.5 	20.3 	20.1 	19.7 	20.1 	21.4 	23.1 	23.1 	22.1 	21.4 	21.2 	20.2 
TOTAL,LI_R_MD60,T,T2020_52,PC,ES	19 	18 	20 	18 	19 	18 	19 	19 b	: 	20.1 	20.1 	20.3 	19.7 	19.8 	20.4 	20.7 	20.6 	20.8 	20.4 	22.2 	22.1 	22.3 	21.6 
TOTAL,LI_R_MD60,T,T2020_52,PC,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.0 e	16.1 e	16.6 e	16.6 e	16.4 e	16.5 e	16.9 e	16.8 e	16.7 e	17.2 e	17.3 e	17.3 e	16.9 e
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.5 e	16.5 e	16.6 	16.6 	16.4 	16.5 	16.8 	16.8 	16.7 	17.2 	17.3 	17.3 	16.9 e
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.5 	16.9 	16.8 	16.7 	17.2 	17.3 	17.3 	16.9 e
TOTAL,LI_R_MD60,T,T2020_52,PC,FI	: 	8 	8 	9 	11 	11 	11 b	11 	: 	11.0 	11.7 	12.6 	13.0 	13.6 	13.8 	13.1 	13.7 	13.2 	11.8 	12.8 	12.4 	11.6 	11.5 
TOTAL,LI_R_MD60,T,T2020_52,PC,FR	15 	15 	15 	15 	15 	16 	13 b	12 	: 	13.5 	13.0 	13.2 	13.1 	12.5 	12.9 	13.3 	14.0 	14.1 	13.7 	13.3 	13.6 	13.6 	13.3 
TOTAL,LI_R_MD60,T,T2020_52,PC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.6 	20.9 	20.4 	19.5 	19.4 	20.0 	19.5 	: 
TOTAL,LI_R_MD60,T,T2020_52,PC,HU	: 	: 	: 	: 	: 	11 	11 	10 	: 	: 	13.5 	15.9 	12.3 	12.4 	12.4 	12.3 	14.1 	14.3 	15.0 	15.0 	14.9 	14.5 	13.4 
TOTAL,LI_R_MD60,T,T2020_52,PC,IE	19 	19 	19 	19 	19 	20 	21 	: 	20.5 	20.9 	19.7 	18.5 	17.2 	15.5 	15.0 	15.2 	15.2 	16.6 	15.7 	16.4 	16.3 	16.6 	: 
TOTAL,LI_R_MD60,T,T2020_52,PC,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.0 	9.7 	9.6 	10.1 	10.1 	10.2 	9.8 	9.2 	7.9 	9.3 	7.9 	9.2 	8.8 p	: 
TOTAL,LI_R_MD60,T,T2020_52,PC,IT	20 	20 	19 	18 	18 	18 	19 	: 	: 	18.9 	19.2 	19.3 	19.5 	18.9 	18.4 	18.7 	19.8 	19.5 	19.3 	19.4 	19.9 	20.6 	20.3 
TOTAL,LI_R_MD60,T,T2020_52,PC,LT	: 	: 	: 	: 	: 	17 	17 	: 	: 	: 	20.5 	20.0 	19.1 	20.9 	20.3 	20.5 	19.2 	18.6 	20.6 	19.1 	22.2 	21.9 	22.9 
TOTAL,LI_R_MD60,T,T2020_52,PC,LU	12 	11 	11 	12 	13 	12 	12 	: 	11.9 	12.7 	13.7 	14.1 	13.5 	13.4 	14.9 	14.5 	13.6 	15.1 	15.9 	16.4 	15.3 	16.5 b	18.7 
TOTAL,LI_R_MD60,T,T2020_52,PC,LV	: 	: 	: 	: 	: 	16 	: 	: 	: 	: 	19.4 	23.5 	21.2 	25.9 	26.4 	20.9 	19.0 	19.2 	19.4 	21.2 	22.5 	21.8 	22.1 
TOTAL,LI_R_MD60,T,T2020_52,PC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.0 	26.8 	26.2 	24.2 	22.1 	21.5 	21.9 	: 
TOTAL,LI_R_MD60,T,T2020_52,PC,MT	: 	: 	: 	: 	: 	15 	: 	: 	: 	: 	14.3 	14.2 	15.1 	15.3 	14.9 	15.5 	15.6 	15.1 	15.7 	15.9 	16.3 	16.5 	16.8 
TOTAL,LI_R_MD60,T,T2020_52,PC,NL	11 	12 	10 	10 	11 	11 	11 	11 	: 	: 	10.7 	9.7 	10.2 	10.5 	11.1 	10.3 	11.0 	10.1 	10.4 	11.6 	11.6 	12.7 b	13.2 
TOTAL,LI_R_MD60,T,T2020_52,PC,NO	: 	: 	: 	: 	: 	: 	11 	10 	10.8 	10.8 	11.4 	12.0 	11.9 	11.4 	11.7 	11.2 	10.5 	10.0 	10.9 	10.9 	11.9 	12.2 	12.1 
TOTAL,LI_R_MD60,T,T2020_52,PC,PL	: 	: 	: 	: 	: 	16 	16 	: 	: 	: 	20.5 	19.1 	17.3 	16.9 	17.1 	17.6 	17.7 	17.1 	17.3 	17.0 	17.6 	17.3 	15.0 
TOTAL,LI_R_MD60,T,T2020_52,PC,PT	23 	21 	22 	21 	21 	21 	20 	20 	: 	20.4 	19.4 	18.5 	18.1 	18.5 	17.9 	17.9 	18.0 	17.9 	18.7 	19.5 	19.5 	19.0 	18.3 
TOTAL,LI_R_MD60,T,T2020_52,PC,RO	: 	: 	: 	: 	: 	17 	17 	18 	: 	: 	: 	: 	24.6 	23.6 	22.1 	21.6 	22.3 	22.9 	23.0 	25.1 	25.4 	25.3 	23.6 
TOTAL,LI_R_MD60,T,T2020_52,PC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.5 	25.4 	25.4 	25.5 	: 
TOTAL,LI_R_MD60,T,T2020_52,PC,SE	: 	: 	8 	: 	8 	: 	9 	11 b	: 	11.3 	9.5 	12.3 	10.5 	13.5 b	14.4 	14.8 	15.4 	15.2 	16.0 	15.6 	16.3 	16.2 	15.8 
TOTAL,LI_R_MD60,T,T2020_52,PC,SI	: 	: 	: 	: 	: 	11 	11 	10 	: 	: 	12.2 	11.6 	11.5 	12.3 	11.3 	12.7 	13.6 	13.5 	14.5 	14.5 	14.3 	13.9 	13.3 
TOTAL,LI_R_MD60,T,T2020_52,PC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.3 	11.6 	10.6 	10.9 	11.0 	12.0 	13.0 	13.2 	12.8 	12.6 	12.3 	12.7 	12.4 
TOTAL,LI_R_MD60,T,T2020_52,PC,TR	: 	: 	: 	: 	: 	: 	: 	25 	: 	: 	: 	26.7 	24.7 	24.7 	25.3 	24.4 	23.5 	23.7 	23.1 	23.0 	22.5 	: 	: 
TOTAL,LI_R_MD60,T,T2020_52,PC,UK	20 	18 	18 	19 	19 	19 b	18 	18 	: 	: 	19.0 	19.0 	18.6 	18.7 	17.3 	17.1 	16.2 	16.0 	15.9 	16.8 	16.6 	15.9 	: 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,AT	: 	: 	: 	: 	: 	: 	: 	: 	1046 	1047 	1027 	1027 	986 	1252 	1201 	1214 	1207 	1201 	1203 	1185 	1178 	1208 	1245 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,BE	: 	: 	: 	: 	: 	: 	: 	: 	1577 	1492 	1537 	1531 	1590 	1554 	1549 	1566 	1657 	1667 	1652 	1704 	1649 	1745 	1798 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1417 	1691 	1632 	1657 	1564 	1672 	1559 	1528 	1578 	1586 	1639 b	1665 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1093 	1157 	1163 	1130 	1145 	1227 	1127 	1109 	1261 	1204 	: 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	120 	119 	120 	124 	126 	128 	124 	127 	132 	123 	137 	136 	134 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1049 	1001 	980 	925 	885 	936 	1022 	990 	886 	1002 	1006 	1001 	948 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9960 	10232 	12371 	12389 	12590 	12648 	12814 	13030 	12845 	13337 	13428 	13418 	13139 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,DK	: 	: 	: 	: 	: 	: 	: 	: 	620 	583 	632 	628 	627 	643 	716 	728 	665 	662 	664 	678 	686 	675 	704 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49223 	49824 	51991 	52105 	52637 	53204 	55059 	55433 	54791 	56259 	56653 	57396 	56344 e
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49924 	50502 	52635 	52777 	53284 	53848 	55645 	55991 	55403 	56822 	57302 	58028 	56999 e
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	271 	245 	244 	258 	259 	262 	211 	232 	233 	248 	285 	281 	283 	274 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,EL	: 	: 	: 	: 	: 	: 	: 	: 	2186 	2113 	2092 	2207 	2191 	2187 	2149 	2205 	2349 	2536 	2529 	2384 	2293 	2256 	2151 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	8510 	8670 	8901 	8783 	8997 	9342 	9551 	9550 	9656 	9425 	10218 	10178 	10269 	9950 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	72734 e	73395 e	80989 e	80984 e	80573 e	82020 e	83856 e	84024 e	83419 e	85969 e	86752 e	86904 e	85029 e
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,EU27	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79498 e	80159 e	80989 	80984 	80573 	81146 	82967 	83160 	82589 	85146 	85915 	86094 	84330 e
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	82020 	83856 	84024 	83419 	85969 	86752 	86904 	85029 e
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	564 	603 	650 	676 	709 	725 	692 	725 	704 	632 	688 	668 	630 	621 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	7887 	7678 	7812 	7874 	7554 	7820 	8112 	8605 	8707 	8518 	8302 	8474 	8562 	8366 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	874 	889 	865 	830 	823 	837 	810 	: 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1342 	1578 	1221 	1226 	1229 	1211 	1382 	1403 	1461 	1458 	1448 	1398 	1293 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,IE	: 	: 	: 	: 	: 	: 	: 	: 	821 	848 	819 	787 	751 	686 	670 	682 	680 	764 	723 	759 	755 	779 	: 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	28 	28 	28 	30 	31 	31 	30 	28 	24 	28 	24 	29 	28 p	: 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	10914 	11183 	11284 	11443 	11204 	10977 	11124 	11889 	11729 	11667 	11790 	12130 	12481 	12235 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	701 	678 	644 	672 	647 	645 	586 	559 	611 	564 	649 	632 	652 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,LU	: 	: 	: 	: 	: 	: 	: 	: 	53 	57 	61 	64 	62 	62 	71 	71 	68 	78 	80 	83 	79 	95 b	110 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	432 	517 	463 	559 	563 	437 	388 	388 	387 	418 	441 	424 	425 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	556 	552 	540 	500 	457 	445 	453 	: 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57 	57 	60 	61 	60 	63 	63 	62 	65 	66 	69 	70 	72 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1741 	1582 	1650 	1713 	1816 	1694 	1816 	1678 	1735 	1937 	1945 	2132 b	2230 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,NO	: 	: 	: 	: 	: 	: 	: 	: 	491 	495 	525 	557 	550 	534 	556 	538 	511 	496 	552 	554 	612 	629 	635 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7756 	7215 	6540 	6353 	6435 	6588 	6623 	6478 	6520 	6424 	6595 	6481 	5609 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	2142 	2042 	1950 	1918 	1967 	1898 	1903 	1919 	1887 	1966 	2030 	2019 	1960 	1887 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5198 	4860 	4514 	4379 	4497 	4604 	4600 	5012 	5056 	5006 	4646 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1750 	1807 	1797 	1791 	: 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1018 	874 	1125 	959 	1233 b	1327 	1372 	1442 	1444 	1528 	1505 	1588 	1598 	1578 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	238 	233 	225 	241 	223 	254 	273 	271 	291 	290 	287 	280 	268 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	718 	628 	569 	588 	594 	651 	700 	716 	694 	659 	643 	668 	650 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18036 	16930 	17096 	17835 	17402 	16973 	17469 	17221 	17413 	17153 	: 	: 
TOTAL,LI_R_MD60,T,T2020_52,THS_PER,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11157 	11346 	11138 	11335 	10526 	10519 	10018 	10028 	10000 	10665 	10648 	10268 	: 
