unit,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_OECD_5Y,GS,CRE,WRL_REST,FI	: 	: 	: 	: 	: 	-3.76 	-1.39 	3.37 	-0.45 	6.16 	2.20 	2.62 	4.69 	6.40 	-5.99 	-13.06 	-16.46 	-23.49 	-26.51 	-21.43 	-20.56 	-16.74 	-8.61 
PCH_OECD_5Y,GS,CRE,WRL_REST,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	-5.75 	1.59 	-4.42 	-8.43 	-9.27 	-6.33 	-10.38 	-7.67 	-8.51 	-8.07 	-8.77 	-2.60 	-6.00 	-1.93 
PCH_OECD_5Y,GS,CRE,WRL_REST,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.56 	32.49 	23.88 	4.90 	2.83 	-6.03 	-8.36 	-14.98 	-17.81 	-14.89 	-5.09 	5.00 	14.55 
PCH_OECD_5Y,GS,CRE,WRL_REST,HU	: 	: 	: 	: 	: 	48.17 	61.90 	55.88 	49.11 	56.33 	52.29 	38.71 	41.25 	39.42 	22.41 	11.82 	6.55 	-11.90 	-17.26 	-11.08 	-8.21 	-3.15 	6.26 
PCH_OECD_5Y,GS,CRE,WRL_REST,IE	: 	: 	: 	: 	: 	48.31 	61.70 	69.67 	37.03 	23.63 	18.66 	0.79 	-3.38 	-7.32 	10.45 	1.42 	-2.04 	-6.23 	-4.16 	-8.89 	39.38 	55.29 	57.02 
PCH_OECD_5Y,GS,CRE,WRL_REST,IT	: 	: 	: 	: 	: 	-23.95 	-15.50 	-7.81 	-6.24 	1.11 	3.62 	-2.58 	0.03 	-6.41 	-10.94 	-12.37 	-11.89 	-16.73 	-14.47 	-9.58 	-8.28 	-5.54 	-2.62 
PCH_OECD_5Y,GS,CRE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	65.26 e	43.26 e	59.19 e	41.88 	28.74 	41.41 	48.15 	27.85 	42.64 	16.18 	2.44 	4.79 
PCH_OECD_5Y,GS,CRE,WRL_REST,LU	: 	: 	: 	: 	: 	17.57 	20.70 	23.73 	22.41 	22.95 	24.11 	30.65 	37.80 	28.79 	21.30 	11.70 	5.02 	0.60 	15.12 	22.63 	30.16 	22.65 	19.53 
PCH_OECD_5Y,GS,CRE,WRL_REST,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	107.06 	93.64 	114.64 	96.71 	65.46 	31.63 	38.16 	20.84 	13.48 	18.45 	13.74 	6.20 	2.91 
PCH_OECD_5Y,GS,CRE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.44 	58.08 	49.14 	28.44 	25.63 	6.50 	-6.58 	-1.21 	6.31 	6.19 
PCH_OECD_5Y,GS,CRE,WRL_REST,NL	: 	: 	: 	: 	: 	-7.33 	-3.00 	0.15 	2.83 	5.29 	9.45 	5.74 	7.03 	4.52 	2.60 	-0.62 	0.07 	-2.37 	-4.99 	-5.37 	-5.70 	-2.71 	-3.33 
PCH_OECD_5Y,GS,CRE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.46 e	70.87 e	68.44 e	45.77 	34.91 	25.71 	13.55 	6.89 	11.74 	10.40 	14.84 	22.66 
PCH_OECD_5Y,GS,CRE,WRL_REST,PT	: 	: 	: 	: 	: 	: 	-6.23 	2.60 	1.89 	4.11 	5.21 	6.58 	6.18 	-1.12 	-0.34 	0.71 	-0.24 	-6.65 	-0.82 	0.19 	2.79 	2.80 	9.46 
PCH_OECD_5Y,GS,CRE,WRL_REST,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.48 	101.30 	93.89 	102.14 	113.57 	83.68 	65.89 	63.70 	25.76 	21.92 	28.23 	21.83 	20.13 	30.85 
PCH_OECD_5Y,GS,CRE,WRL_REST,SE	: 	0.49 	1.45 	16.46 	7.87 	-4.93 	-10.45 	-6.22 	-2.46 	1.48 	3.41 	9.94 	11.24 	3.68 	-8.79 	-5.61 	-4.14 	-9.86 	-11.25 	-3.54 	-8.31 	-10.54 	-8.60 
PCH_OECD_5Y,GS,CRE,WRL_REST,SI	: 	: 	: 	: 	-7.20 	-14.51 	-4.18 	10.13 	12.80 	28.33 	41.41 	35.42 	35.69 	29.45 	18.84 	6.41 	2.78 	-11.51 	-12.51 	-7.05 	-3.29 	1.08 	13.30 
PCH_OECD_5Y,GS,CRE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83.92 e	46.77 e	18.75 	12.35 	6.16 	0.46 	2.79 	8.75 	5.33 	4.36 	1.86 
PCH_OECD_5Y,GS,CRE,WRL_REST,UK	: 	: 	: 	: 	: 	: 	: 	-4.64 	-3.13 	-3.61 	1.07 	2.79 	-6.39 	-13.73 	-12.75 	-17.38 	-18.90 	-11.50 	-5.62 	-3.54 	3.14 	-1.97 	-5.42 
PC_OECD,GS,CRE,WRL_REST,AT	1.63 	1.60 	1.54 	1.63 	1.61 	1.48 	1.59 	1.69 	1.78 	1.81 	1.81 	1.80 	1.88 	1.89 	1.84 	1.71 	1.72 	1.65 	1.65 	1.66 	1.57 	1.60 	1.61 
PC_OECD,GS,CRE,WRL_REST,BE	: 	: 	: 	: 	: 	3.24 	3.31 	3.18 	3.33 	3.35 	3.34 	3.18 	3.25 	3.30 	3.31 	3.20 	3.21 	3.08 	3.07 	3.06 	2.85 	3.05 	3.05 
PC_OECD,GS,CRE,WRL_REST,BG	: 	: 	: 	0.12 	0.11 	0.12 	0.13 	0.14 	0.16 	0.18 	0.19 	0.21 	0.22 	0.24 	0.23 	0.22 	0.25 	0.25 	0.26 	0.26 	0.25 	0.27 	0.28 
PC_OECD,GS,CRE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	0.13 e	0.13 e	0.14 e	0.13 e	0.12 e	0.11 e	0.12 e	0.11 	0.13 	0.11 	0.11 	0.10 	0.10 	0.10 	0.10 	0.10 	0.10 
PC_OECD,GS,CRE,WRL_REST,CZ	0.51 	0.51 	0.48 	0.54 	0.52 	0.51 	0.59 	0.64 	0.71 	0.87 	0.98 	1.04 	1.12 	1.20 	1.20 	1.18 	1.22 	1.20 	1.16 	1.21 	1.17 	1.22 	1.24 
PC_OECD,GS,CRE,WRL_REST,DE	11.51 	11.32 	11.06 	11.53 	11.15 	10.48 	11.17 	11.77 	12.35 	12.70 	12.51 	12.71 	13.19 	13.12 	12.86 	12.48 	12.61 	12.31 	12.32 	12.50 	12.29 	12.57 	12.52 
PC_OECD,GS,CRE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	1.42 	1.45 	1.40 	1.46 	1.47 	1.47 	1.54 	1.51 	1.41 	1.39 	1.35 	1.36 	1.35 	1.30 	1.29 	1.30 
PC_OECD,GS,CRE,WRL_REST,EE	0.05 	0.06 	0.07 	0.08 	0.08 	0.06 	0.07 	0.07 	0.09 	0.09 	0.11 	0.11 	0.13 	0.13 	0.12 	0.13 	0.15 	0.15 	0.15 	0.15 	0.14 	0.14 	0.15 
PC_OECD,GS,CRE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	0.55 e	0.53 	0.57 	0.64 	0.61 	0.59 	0.63 	0.66 	0.62 	0.57 	0.55 	0.53 	0.53 	0.54 	0.45 	0.43 	0.46 
PC_OECD,GS,CRE,WRL_REST,ES	2.78 	2.90 	2.96 	3.13 	3.13 	2.97 	3.14 	3.24 	3.49 	3.43 	3.31 	3.23 	3.39 	3.33 	3.38 	3.16 	3.22 	3.10 	3.17 	3.17 	3.07 	3.20 	3.25 
PC_OECD,GS,CRE,WRL_REST,FI	0.97 	0.95 	0.92 	0.97 	0.91 	0.93 	0.94 	0.96 	0.97 	0.96 	0.95 	0.96 	1.00 	1.03 	0.91 	0.83 	0.80 	0.77 	0.76 	0.71 	0.66 	0.67 	0.70 
PC_OECD,GS,CRE,WRL_REST,FR	: 	: 	: 	: 	7.56 	6.80 	7.04 	7.26 	7.35 	7.12 	6.91 	6.73 	6.65 	6.67 	6.67 	6.19 	6.22 	6.08 	6.13 	6.09 	6.03 	5.84 	5.97 
PC_OECD,GS,CRE,WRL_REST,HR	: 	: 	: 	: 	: 	0.13 	0.16 	0.17 	0.21 	0.21 	0.21 	0.21 	0.21 	0.22 	0.22 	0.19 	0.19 	0.18 	0.18 	0.18 	0.18 	0.20 	0.20 
PC_OECD,GS,CRE,WRL_REST,HU	0.37 	0.38 	0.43 	0.49 	0.51 	0.54 	0.62 	0.67 	0.72 	0.79 	0.83 	0.86 	0.95 	1.01 	0.97 	0.92 	0.91 	0.84 	0.84 	0.86 	0.85 	0.89 	0.89 
PC_OECD,GS,CRE,WRL_REST,IE	1.11 	1.16 	1.19 	1.47 	1.61 	1.64 	1.87 	2.01 	2.01 	1.98 	1.95 	1.88 	1.94 	1.86 	2.19 	1.98 	1.85 	1.82 	1.78 	2.00 	2.76 	2.87 	2.86 
PC_OECD,GS,CRE,WRL_REST,IT	6.71 	6.36 	5.84 	5.91 	5.44 	5.11 	5.37 	5.39 	5.54 	5.50 	5.29 	5.23 	5.39 	5.19 	4.90 	4.64 	4.61 	4.49 	4.44 	4.43 	4.25 	4.36 	4.37 
PC_OECD,GS,CRE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	0.10 e	0.12 e	0.14 e	0.14 	0.16 	0.17 	0.18 	0.22 	0.19 	0.21 	0.24 	0.26 	0.28 	0.28 	0.24 	0.25 	0.28 
PC_OECD,GS,CRE,WRL_REST,LU	0.44 	0.44 	0.43 	0.46 	0.50 	0.51 	0.53 	0.53 	0.57 	0.61 	0.64 	0.69 	0.74 	0.73 	0.74 	0.71 	0.72 	0.74 	0.84 	0.91 	0.92 	0.88 	0.89 
PC_OECD,GS,CRE,WRL_REST,LV	: 	: 	: 	: 	: 	0.04 	0.05 	0.05 	0.06 	0.07 	0.08 	0.09 	0.11 	0.12 	0.11 	0.11 	0.12 	0.13 	0.13 	0.13 	0.13 	0.13 	0.13 
PC_OECD,GS,CRE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	0.09 	0.08 	0.08 	0.09 	0.09 	0.11 	0.13 	0.12 	0.11 	0.12 	0.11 	0.12 	0.11 	0.12 	0.12 
PC_OECD,GS,CRE,WRL_REST,NL	5.16 	5.04 	4.91 	5.02 	4.99 	4.78 	4.89 	4.91 	5.16 	5.25 	5.24 	5.17 	5.26 	5.40 	5.39 	5.20 	5.18 	5.13 	5.13 	5.10 	4.91 	5.04 	4.96 
PC_OECD,GS,CRE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	0.80 e	0.87 e	0.97 e	1.12 	1.23 	1.34 	1.48 	1.64 	1.63 	1.66 	1.68 	1.68 	1.75 	1.82 	1.83 	1.93 	2.06 
PC_OECD,GS,CRE,WRL_REST,PT	: 	0.64 	0.61 	0.66 	0.63 	0.59 	0.60 	0.63 	0.67 	0.66 	0.62 	0.64 	0.67 	0.66 	0.66 	0.62 	0.64 	0.63 	0.66 	0.66 	0.64 	0.66 	0.68 
PC_OECD,GS,CRE,WRL_REST,RO	: 	: 	: 	: 	0.18 	0.14 	0.16 	0.19 	0.21 	0.25 	0.28 	0.31 	0.38 	0.45 	0.45 	0.46 	0.51 	0.48 	0.55 	0.58 	0.57 	0.61 	0.63 
PC_OECD,GS,CRE,WRL_REST,SE	2.05 	2.08 	2.00 	2.03 	2.02 	1.95 	1.86 	1.88 	1.98 	2.05 	2.02 	2.04 	2.09 	2.06 	1.87 	1.90 	1.96 	1.88 	1.82 	1.80 	1.75 	1.75 	1.72 
PC_OECD,GS,CRE,WRL_REST,SI	0.21 	0.20 	0.19 	0.20 	0.19 	0.18 	0.19 	0.21 	0.23 	0.24 	0.25 	0.26 	0.29 	0.30 	0.29 	0.27 	0.27 	0.26 	0.26 	0.27 	0.26 	0.27 	0.29 
PC_OECD,GS,CRE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	0.35 e	0.44 e	0.50 	0.52 	0.59 	0.64 	0.65 	0.60 	0.59 	0.62 	0.64 	0.66 	0.65 	0.62 	0.65 	0.65 
PC_OECD,GS,CRE,WRL_REST,UK	: 	: 	7.65 	7.49 	7.42 	7.15 	7.20 	7.30 	7.25 	7.15 	7.23 	7.40 	6.83 	6.26 	6.24 	5.97 	6.00 	6.05 	5.91 	6.02 	6.16 	5.89 	5.72 
