unit,na_item,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_PRE,NULC_PER,LU	3.4 	2.9 	0.4 	9.1 	7.4 	-1.0 	2.3 	4.6 	0.5 	1.8 	0.3 	1.5 	5.2 
PCH_PRE,NULC_PER,LV	15.1 	15.8 	27.3 	21.0 	-10.9 	-9.3 	-2.3 	5.0 	5.3 	5.2 	6.1 	4.8 	3.1 
PCH_PRE,NULC_PER,MK	-1.8 	9.6 	-6.2 	10.7 	8.5 	-2.5 	0.2 	-0.4 	-1.7 	3.7 	: 	: 	: 
PCH_PRE,NULC_PER,MT	-1.1 	4.1 	2.0 	3.2 	5.6 	0.2 	5.0 	3.4 	1.2 	-1.2 	-0.4 	1.8 	0.2 
PCH_PRE,NULC_PER,NL	-0.3 	0.1 	2.0 	3.5 	5.5 	-1.3 	1.2 	2.8 	0.8 	0.1 	-1.3 	0.6 p	0.5 p
PCH_PRE,NULC_PER,NO	3.3 	6.5 	7.5 	9.1 	4.7 	1.9 	5.3 	3.9 	4.5 	2.4 	1.1 	0.4 	1.3 
PCH_PRE,NULC_PER,PL	0.7 	-0.7 	3.2 	7.8 	0.9 	2.4 b	0.8 	2.0 	0.2 	0.6 	-0.6 	2.5 p	2.5 p
PCH_PRE,NULC_PER,PT	3.4 	0.7 	1.0 	2.8 	2.7 	-1.2 	-2.0 	-3.2 	1.8 	-1.3 	0.0 	1.4 	2.1 p
PCH_PRE,NULC_PER,RO	22.0 	4.8 	2.4 	23.8 	1.4 	10.1 	-6.7 	1.5 b	-0.3 	4.2 	-3.1 	8.5 	6.5 p
PCH_PRE,NULC_PER,SE	0.5 	0.2 	4.2 	5.2 	5.7 	-2.6 	2.6 	4.1 	1.7 	1.0 	-0.2 	1.7 	2.2 
PCH_PRE,NULC_PER,SI	1.5 	1.3 	2.6 	6.4 	8.5 	0.6 	-0.8 	0.8 	0.5 	-1.2 	0.3 	1.8 	1.3 
PCH_PRE,NULC_PER,SK	3.9 	1.6 	0.2 	4.2 	6.3 	-1.1 	1.0 	1.0 	0.3 	0.5 	1.3 	1.3 	4.2 
PCH_PRE,NULC_PER,UK	1.4 	4.2 	3.7 	1.8 	5.2 	1.6 	-0.1 	1.5 	1.8 	0.0 	0.5 	2.5 	2.4 
