unit,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_Y_LT60,Y_LT60,M,LU	5.0 	4.5 	4.3 	3.8 	4.9 	4.8 	5.1 	5.1 	6.5 	5.6 	5.5 	6.4 b	5.9 
PC_Y_LT60,Y_LT60,M,LV	8.4 	6.7 	5.9 	5.7 	7.9 	13.8 	13.3 	12.6 	10.4 	10.2 	8.2 	7.2 	7.9 
PC_Y_LT60,Y_LT60,M,MK	: 	: 	: 	: 	: 	24.4 	19.3 	19.6 	17.3 	16.6 	17.3 	16.3 	: 
PC_Y_LT60,Y_LT60,M,MT	7.8 	8.0 	8.2 	6.9 	7.3 	7.4 	7.0 	7.6 	7.6 	8.8 	8.8 	7.2 	5.9 
PC_Y_LT60,Y_LT60,M,NL	8.3 	9.0 	8.6 	7.0 	7.6 	7.4 	8.0 	7.8 	8.3 	9.6 	9.6 	8.8 b	9.3 
PC_Y_LT60,Y_LT60,M,NO	8.5 	7.3 	8.3 	5.5 	6.7 	7.4 	7.1 	7.0 	6.3 	5.7 	7.4 	6.9 	9.2 
PC_Y_LT60,Y_LT60,M,PL	13.9 	11.8 	9.5 	7.3 	6.4 	6.7 	6.4 	6.5 	6.9 	7.1 	6.8 	6.1 	5.5 
PC_Y_LT60,Y_LT60,M,PT	5.6 	6.1 	6.7 	5.8 	6.6 	8.4 	7.9 	9.9 	12.3 	11.9 	10.6 	8.8 	7.9 
PC_Y_LT60,Y_LT60,M,RO	: 	: 	8.8 	7.3 	6.7 	6.5 	6.1 	6.5 	6.3 	6.4 	6.9 	7.2 	6.2 
PC_Y_LT60,Y_LT60,M,RS	: 	: 	: 	: 	: 	: 	: 	: 	17.8 	20.6 	22.1 	22.1 	: 
PC_Y_LT60,Y_LT60,M,SE	7.2 	6.3 	5.6 	6.7 b	8.3 	8.3 	9.4 	8.1 	9.3 	8.8 	8.0 	8.3 	8.5 
PC_Y_LT60,Y_LT60,M,SI	8.0 	6.1 	6.4 	6.2 	4.8 	6.0 	6.7 	6.8 	7.4 	7.7 	6.5 	6.7 	5.7 
PC_Y_LT60,Y_LT60,M,SK	5.8 	5.8 	5.7 	4.5 	5.1 	7.4 	7.5 	7.0 	7.2 	7.2 	7.4 	6.6 	5.3 
PC_Y_LT60,Y_LT60,M,TR	: 	14.3 	10.9 	10.6 	10.5 	11.3 	10.5 	9.6 	9.0 	9.1 	9.5 	: 	: 
PC_Y_LT60,Y_LT60,M,UK	11.9 	10.8 	9.6 	9.7 	12.0 	12.5 	10.8 	12.5 b	12.5 	11.9 	11.2 	10.7 	: 
PC_Y_LT60,Y_LT60,T,AT	7.3 	8.1 	8.2 	7.4 b	7.1 	7.8 	8.6 	7.7 	7.8 	9.1 	8.2 	8.1 	8.3 
PC_Y_LT60,Y_LT60,T,BE	15.1 	14.3 	13.8 	11.7 	12.3 	12.7 	13.8 	13.9 	14.0 	14.6 	14.9 	14.6 	13.5 
PC_Y_LT60,Y_LT60,T,BG	: 	14.7 	16.0 	8.1 b	6.9 	8.0 	11.0 	12.5 	13.0 	12.1 	11.6 	11.9 b	11.1 
PC_Y_LT60,Y_LT60,T,CH	: 	: 	4.5 	3.3 	4.0 	4.1 	4.7 	3.5 	4.1 	4.8 b	5.3 	5.5 	: 
PC_Y_LT60,Y_LT60,T,CY	4.4 	3.8 	3.7 	4.5 b	4.0 	4.9 	4.9 	6.5 	7.9 	9.7 	10.9 	10.6 	9.4 
PC_Y_LT60,Y_LT60,T,CZ	8.9 	8.9 	8.6 	7.2 	6.0 	6.4 	6.6 	6.8 	6.9 	7.6 	6.8 	6.7 	5.5 
PC_Y_LT60,Y_LT60,T,DE	12.0 	13.6 	11.5 	11.7 	10.9 	11.2 	11.2 	9.9 	9.9 	10.0 	9.8 	9.6 	8.7 
PC_Y_LT60,Y_LT60,T,DK	10.1 	9.6 	10.1 	8.5 	8.8 	10.6 	10.5 	10.2 	11.9 	12.2 	11.6 	10.7 	10.0 
PC_Y_LT60,Y_LT60,T,EA18	9.8 	10.3 	9.7 	9.3 	9.1 	10.4 	10.9 	10.7 	11.2 	11.9 	11.2 	11.1 	10.1 e
PC_Y_LT60,Y_LT60,T,EA19	9.8 	10.3 	9.7 	9.3 	9.1 	10.4 	11.0 	10.7 	11.2 	11.9 	11.2 	11.1 	10.1 e
PC_Y_LT60,Y_LT60,T,EE	9.5 	7.1 	6.2 	5.3 	5.6 	9.0 	10.0 	9.1 	8.4 	7.6 b	6.6 	5.8 	5.8 
PC_Y_LT60,Y_LT60,T,EL	7.6 	8.1 	8.1 	7.5 	6.6 	7.6 	12.0 	14.2 	18.2 	17.2 	16.8 	17.2 	15.6 
PC_Y_LT60,Y_LT60,T,ES	6.9 	6.4 	6.8 	6.6 	7.6 	10.8 	13.4 	14.3 	15.7 	17.1 	15.4 	14.9 	12.8 
PC_Y_LT60,Y_LT60,T,EU27	10.5 e	10.6 e	9.8 	9.2 	9.2 	10.3 	10.5 	10.5 	10.9 	11.2 	10.7 	10.5 	9.3 e
PC_Y_LT60,Y_LT60,T,EU28	: 	: 	: 	: 	: 	10.3 	10.5 	10.6 	11.0 	11.3 	10.7 	10.5 	9.3 e
PC_Y_LT60,Y_LT60,T,FI	10.0 	9.1 	8.8 	7.5 	8.4 	9.3 	10.0 	9.3 	9.0 	10.0 	10.8 	11.4 	10.7 
PC_Y_LT60,Y_LT60,T,FR	8.7 	9.1 	9.6 	8.8 	8.4 	9.9 	9.4 	8.4 	8.1 	9.6 	8.6 	8.4 	8.1 
PC_Y_LT60,Y_LT60,T,HR	: 	: 	: 	: 	: 	13.9 	15.9 	16.8 	14.8 	14.7 	14.4 	13.0 	: 
PC_Y_LT60,Y_LT60,T,HU	9.5 	13.1 	11.3 	12.0 	11.3 	11.9 	12.8 	13.5 	13.6 	12.8 	9.4 	8.2 	6.6 
PC_Y_LT60,Y_LT60,T,IE	14.7 	12.9 	14.3 	13.7 	20.0 	22.9 	24.2 	23.4 	23.9 	21.0 	19.2 	18.2 	: 
PC_Y_LT60,Y_LT60,T,IS	3.2 	2.8 	2.4 	2.6 	2.1 	5.7 	6.2 	6.1 	6.2 	4.9 	5.2 	4.3 p	: 
PC_Y_LT60,Y_LT60,T,IT	11.0 	11.3 	10.2 	10.4 	9.2 	10.6 	10.5 	10.6 	11.3 	12.1 	11.7 	12.8 	11.8 
PC_Y_LT60,Y_LT60,T,LT	9.6 	8.3 	6.4 	6.1 	7.2 	9.5 	12.7 	11.4 	11.0 	8.8 	9.2 	10.2 	9.7 
PC_Y_LT60,Y_LT60,T,LU	5.7 	5.2 	5.0 	4.7 	6.3 	5.5 	5.8 	6.1 	6.6 	6.1 	5.7 	6.6 b	6.9 
PC_Y_LT60,Y_LT60,T,LV	8.3 	7.1 	6.2 	5.4 	7.4 	12.6 	12.6 	11.7 	10.0 	9.6 	7.8 	7.2 	7.8 
PC_Y_LT60,Y_LT60,T,MK	: 	: 	: 	: 	: 	24.5 	20.0 	19.9 	17.6 	17.2 	17.4 	16.3 	: 
PC_Y_LT60,Y_LT60,T,MT	9.6 	9.7 	9.6 	8.6 	9.2 	9.2 	8.9 	9.0 	9.0 	9.8 	9.2 	7.3 	6.7 
PC_Y_LT60,Y_LT60,T,NL	9.8 	10.9 	9.7 	8.2 	8.5 	8.4 	8.9 	8.9 	9.3 	10.2 	10.2 	9.7 b	9.5 
PC_Y_LT60,Y_LT60,T,NO	8.3 	7.7 	8.7 	6.5 	6.9 	7.5 	7.1 	7.1 	6.4 	5.9 	7.8 	7.7 	9.6 
PC_Y_LT60,Y_LT60,T,PL	14.3 	12.4 	10.1 	8.0 	6.9 	7.3 	6.9 	6.9 	7.2 	7.3 	6.9 	6.4 	5.7 
PC_Y_LT60,Y_LT60,T,PT	6.0 	6.6 	7.2 	6.3 	7.0 	8.6 	8.3 	10.1 	12.2 	12.2 	10.9 	9.1 	8.0 
PC_Y_LT60,Y_LT60,T,RO	: 	: 	9.9 	8.5 	8.1 	7.7 	7.3 	7.9 	7.6 	7.2 	7.9 	8.2 	6.9 
PC_Y_LT60,Y_LT60,T,RS	: 	: 	: 	: 	: 	: 	: 	: 	18.1 	20.5 	21.2 	21.5 	: 
PC_Y_LT60,Y_LT60,T,SE	7.6 	6.8 	6.0 	7.0 b	8.5 	8.5 	9.4 	8.1 	9.4 	9.0 	8.7 	8.5 	8.8 
PC_Y_LT60,Y_LT60,T,SI	8.6 	6.9 	7.3 	6.7 	5.6 	7.0 	7.6 	7.5 	8.0 	8.7 	7.4 	7.4 	6.2 
PC_Y_LT60,Y_LT60,T,SK	6.6 	6.2 	6.4 	5.2 	5.6 	7.9 	7.7 	7.2 	7.6 	7.1 	7.1 	6.5 	5.4 
PC_Y_LT60,Y_LT60,T,TR	: 	15.5 	12.0 	12.0 	11.9 	12.3 	11.9 	10.9 	10.4 	10.5 	10.9 	: 	: 
PC_Y_LT60,Y_LT60,T,UK	12.9 	12.0 	10.4 	10.4 	12.7 	13.2 	11.5 	13.0 b	13.2 	12.3 	11.9 	11.3 	: 
