s_adj,age,sex,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
SA,TOTAL,F,PC_ACT,RO	4.0 	4.0 	4.0 	3.9 	3.8 	3.9 	3.5 	3.5 	3.6 	3.5 	3.5 	: 
SA,TOTAL,F,PC_ACT,SE	6.2 	6.1 	6.6 	6.4 	5.6 	6.3 	6.1 	5.4 	6.6 	6.5 	6.5 	: 
SA,TOTAL,F,PC_ACT,SI	7.0 	6.6 	6.4 	6.4 	6.3 	6.1 	6.0 	5.8 	5.6 	5.5 	5.4 	: 
SA,TOTAL,F,PC_ACT,SK	8.1 	8.0 	7.9 	7.7 	7.6 	7.5 	7.5 	7.5 	7.5 	7.4 	7.4 	: 
SA,TOTAL,F,PC_ACT,UK	4.2 	4.3 	4.3 	4.2 	4.1 	4.0 	4.0 	3.9 	4.0 	3.9 	: 	: 
SA,TOTAL,F,PC_ACT,US	3.9 	4.1 	4.0 	4.0 	4.1 	4.0 	3.7 	3.6 	4.0 	3.9 	3.9 	: 
SA,TOTAL,M,PC_ACT,AT	5.9 	5.7 	5.7 	5.5 	5.1 	5.1 	5.0 	4.8 	4.9 	5.0 	4.7 	: 
SA,TOTAL,M,PC_ACT,BE	6.7 	6.3 	6.2 	6.3 	6.4 	6.5 	6.5 	6.5 	6.6 	6.7 	6.6 	: 
SA,TOTAL,M,PC_ACT,BG	6.0 	6.0 	6.0 	6.1 	6.0 	6.0 	5.9 	5.9 	5.8 	5.8 	5.8 	: 
SA,TOTAL,M,PC_ACT,CY	10.2 	10.7 	10.8 	9.8 	9.1 	8.6 	8.2 	7.9 	7.6 	7.2 	7.0 	: 
SA,TOTAL,M,PC_ACT,CZ	2.1 	1.9 	1.9 	1.8 	1.9 	1.8 	1.8 	1.8 	1.9 	2.0 	1.9 	: 
SA,TOTAL,M,PC_ACT,DE	4.0 	3.9 	3.9 	3.9 	3.9 	3.9 	3.9 	3.8 	3.8 	3.8 	3.8 	: 
SA,TOTAL,M,PC_ACT,DK	5.2 	5.1 	5.0 	4.6 	4.6 	4.6 	4.9 	4.8 	4.7 	4.8 	4.8 	: 
SA,TOTAL,M,PC_ACT,EA	8.4 	8.3 	8.3 	8.3 	8.2 	8.1 	8.0 	7.9 	7.9 	7.8 	7.8 	: 
SA,TOTAL,M,PC_ACT,EA18	8.4 	8.3 	8.3 	8.3 	8.2 	8.1 	8.0 	7.9 	7.9 	7.9 	7.8 	: 
SA,TOTAL,M,PC_ACT,EA19	8.4 	8.3 	8.3 	8.3 	8.2 	8.1 	8.0 	7.9 	7.9 	7.8 	7.8 	: 
SA,TOTAL,M,PC_ACT,EE	5.6 	5.7 	5.5 	6.4 	6.6 	6.1 	5.5 	5.2 	5.0 	5.3 	: 	: 
SA,TOTAL,M,PC_ACT,EL	17.2 	17.2 	16.7 	16.6 	16.5 	16.3 	16.2 	15.6 	15.1 	15.1 	: 	: 
SA,TOTAL,M,PC_ACT,ES	15.0 	14.9 	14.9 	14.8 	14.6 	14.4 	14.1 	13.9 	13.7 	13.6 	13.6 	: 
SA,TOTAL,M,PC_ACT,EU27	7.1 	7.1 	7.0 	6.9 	6.9 	6.8 	6.7 	6.6 	6.6 	6.6 	6.6 	: 
SA,TOTAL,M,PC_ACT,EU28	7.1 	7.1 	7.0 	7.0 	6.9 	6.8 	6.8 	6.6 	6.6 	6.6 	6.6 	: 
SA,TOTAL,M,PC_ACT,FI	8.6 	8.5 	8.4 	8.3 	8.1 	7.9 	7.8 	7.7 	7.6 	7.5 	7.3 	7.1 
SA,TOTAL,M,PC_ACT,FR	9.2 	9.0 	9.0 	9.2 	9.2 	9.1 	9.0 	9.0 	9.1 	9.3 	9.5 	: 
SA,TOTAL,M,PC_ACT,HR	9.6 	9.4 	9.0 	8.8 	8.5 	8.4 	8.3 	8.3 	8.4 	8.3 	8.1 	: 
SA,TOTAL,M,PC_ACT,HU	3.6 	3.4 	3.3 	3.3 	3.3 	3.3 	3.4 	3.5 	3.5 	3.5 	: 	: 
SA,TOTAL,M,PC_ACT,IE	6.9 	6.8 	6.5 	6.1 	5.9 	5.9 	6.0 	6.0 	6.0 	5.9 	5.8 	5.7 
SA,TOTAL,M,PC_ACT,IS	3.2 	3.2 	3.1 	3.1 	3.1 	3.0 	3.0 	3.0 	3.0 	3.0 	3.0 	: 
SA,TOTAL,M,PC_ACT,IT	10.3 	10.2 	10.1 	10.2 	10.2 	9.8 	10.0 	9.6 	9.8 	9.4 	9.0 	: 
SA,TOTAL,M,PC_ACT,JP	2.9 	2.9 	2.8 	2.5 	2.6 	2.7 	2.8 	2.4 	2.6 	2.7 	2.5 	: 
SA,TOTAL,M,PC_ACT,LT	8.0 	8.0 	8.0 	7.4 	7.3 	7.5 	6.5 	6.2 	6.1 	6.8 	6.8 	: 
SA,TOTAL,M,PC_ACT,LU	5.1 	5.1 	5.1 	4.9 	5.1 	5.0 	4.9 	4.9 	4.9 	4.9 	4.9 	: 
SA,TOTAL,M,PC_ACT,LV	9.1 	9.2 	9.1 	8.9 	8.6 	8.7 	8.9 	9.1 	9.1 	8.8 	8.5 	: 
SA,TOTAL,M,PC_ACT,MT	4.5 	4.4 	4.5 	4.4 	4.5 	4.4 	4.0 	3.9 	4.0 	3.9 	3.8 	: 
SA,TOTAL,M,PC_ACT,NL	4.2 	4.1 	4.1 	4.0 	3.8 	3.8 	3.8 	3.7 	3.8 	3.8 	3.8 	3.7 
SA,TOTAL,M,PC_ACT,NO	4.4 	4.4 	4.4 	4.4 	4.2 	4.3 	4.1 	4.2 	4.3 	4.4 	: 	: 
SA,TOTAL,M,PC_ACT,PL	4.5 	4.4 	4.3 	4.1 	4.0 	3.9 	3.8 	3.7 	3.7 	3.6 	3.6 	: 
SA,TOTAL,M,PC_ACT,PT	7.9 	7.8 	7.6 	7.5 	7.4 	7.3 	7.0 	6.7 	6.4 	6.4 	6.5 	: 
SA,TOTAL,M,PC_ACT,RO	5.3 	5.3 	5.1 	5.0 	5.0 	4.8 	5.0 	4.7 	4.6 	4.8 	4.9 	: 
SA,TOTAL,M,PC_ACT,SE	7.1 	6.6 	6.3 	6.6 	6.2 	6.1 	6.6 	6.7 	6.1 	6.3 	6.7 	: 
SA,TOTAL,M,PC_ACT,SI	5.1 	5.0 	5.0 	5.0 	5.0 	4.9 	4.9 	5.0 	5.0 	5.1 	5.1 	: 
SA,TOTAL,M,PC_ACT,SK	7.4 	7.2 	7.1 	7.0 	6.8 	6.6 	6.4 	6.3 	6.2 	6.0 	5.9 	: 
SA,TOTAL,M,PC_ACT,UK	4.3 	4.3 	4.2 	4.1 	4.2 	4.2 	4.1 	3.9 	4.0 	4.1 	: 	: 
SA,TOTAL,M,PC_ACT,US	4.2 	4.2 	4.1 	4.3 	4.2 	4.1 	4.1 	3.9 	4.1 	3.8 	3.9 	: 
SA,TOTAL,T,PC_ACT,AT	5.4 	5.4 	5.4 	5.2 	5.0 	5.0 	4.8 	4.6 	4.7 	4.9 	4.8 	: 
SA,TOTAL,T,PC_ACT,BE	6.6 	6.4 	6.2 	6.1 	6.1 	6.1 	6.3 	6.3 	6.4 	6.6 	6.5 	: 
SA,TOTAL,T,PC_ACT,BG	5.9 	5.8 	5.7 	5.6 	5.4 	5.4 	5.3 	5.4 	5.3 	5.3 	5.2 	: 
SA,TOTAL,T,PC_ACT,CY	10.1 	10.4 	10.4 	9.9 	9.3 	8.9 	8.4 	8.1 	7.9 	7.6 	7.5 	: 
SA,TOTAL,T,PC_ACT,CZ	2.5 	2.4 	2.4 	2.4 	2.3 	2.2 	2.3 	2.3 	2.4 	2.4 	2.5 	: 
SA,TOTAL,T,PC_ACT,DE	3.6 	3.6 	3.6 	3.5 	3.5 	3.5 	3.5 	3.4 	3.4 	3.4 	3.4 	: 
SA,TOTAL,T,PC_ACT,DK	5.5 	5.3 	5.3 	5.0 	5.0 	4.9 	5.2 	5.1 	4.9 	5.0 	4.9 	: 
SA,TOTAL,T,PC_ACT,EA	8.8 	8.7 	8.6 	8.6 	8.5 	8.4 	8.4 	8.2 	8.2 	8.2 	8.1 	: 
SA,TOTAL,T,PC_ACT,EA18	8.8 	8.7 	8.7 	8.7 	8.6 	8.5 	8.4 	8.2 	8.2 	8.2 	8.1 	: 
SA,TOTAL,T,PC_ACT,EA19	8.8 	8.7 	8.6 	8.6 	8.5 	8.4 	8.4 	8.2 	8.2 	8.2 	8.1 	: 
SA,TOTAL,T,PC_ACT,EE	5.4 	5.5 	5.6 	6.2 	6.3 	5.7 	5.1 	5.1 	5.0 	5.3 	: 	: 
SA,TOTAL,T,PC_ACT,EL	21.0 	21.1 	20.8 	20.6 	20.8 	20.1 	19.9 	19.4 	19.1 	19.0 	: 	: 
SA,TOTAL,T,PC_ACT,ES	16.6 	16.5 	16.5 	16.4 	16.2 	15.9 	15.6 	15.4 	15.3 	15.2 	15.2 	: 
SA,TOTAL,T,PC_ACT,EU27	7.4 	7.3 	7.2 	7.2 	7.1 	7.0 	7.0 	6.8 	6.8 	6.8 	6.7 	: 
SA,TOTAL,T,PC_ACT,EU28	7.4 	7.3 	7.2 	7.2 	7.1 	7.0 	7.0 	6.8 	6.8 	6.8 	6.8 	: 
SA,TOTAL,T,PC_ACT,FI	8.4 	8.3 	8.3 	8.1 	8.0 	7.9 	7.7 	7.6 	7.6 	7.5 	7.4 	7.3 
SA,TOTAL,T,PC_ACT,FR	9.2 	9.1 	9.1 	9.2 	9.2 	9.2 	9.1 	9.1 	9.1 	9.2 	9.3 	: 
SA,TOTAL,T,PC_ACT,HR	10.2 	10.0 	9.7 	9.4 	9.2 	9.0 	8.8 	8.8 	8.8 	8.7 	8.5 	: 
SA,TOTAL,T,PC_ACT,HU	3.9 	3.9 	3.8 	3.7 	3.7 	3.7 	3.7 	3.6 	3.7 	3.7 	: 	: 
SA,TOTAL,T,PC_ACT,IE	6.6 	6.4 	6.2 	5.9 	5.8 	5.8 	5.8 	5.8 	5.8 	5.8 	5.6 	5.4 
SA,TOTAL,T,PC_ACT,IS	3.0 	3.0 	3.1 	3.0 	3.0 	3.0 	2.9 	2.9 	2.9 	2.9 	2.9 	: 
SA,TOTAL,T,PC_ACT,IT	11.1 	11.1 	10.9 	11.1 	10.9 	10.8 	10.9 	10.4 	10.6 	10.2 	9.7 	: 
SA,TOTAL,T,PC_ACT,JP	2.8 	2.7 	2.7 	2.4 	2.5 	2.5 	2.5 	2.2 	2.4 	2.5 	2.4 	: 
SA,TOTAL,T,PC_ACT,LT	6.7 	6.7 	6.8 	6.4 	6.3 	6.5 	5.9 	5.8 	5.8 	6.3 	6.2 	: 
SA,TOTAL,T,PC_ACT,LU	5.3 	5.4 	5.4 	5.3 	5.3 	5.3 	5.3 	5.2 	5.2 	5.2 	5.2 	: 
SA,TOTAL,T,PC_ACT,LV	8.4 	8.3 	8.2 	8.0 	7.8 	7.7 	7.7 	7.7 	7.7 	7.6 	7.4 	: 
SA,TOTAL,T,PC_ACT,MT	4.5 	4.4 	4.5 	4.3 	4.3 	4.3 	3.9 	3.8 	3.8 	3.9 	3.8 	: 
SA,TOTAL,T,PC_ACT,NL	4.5 	4.4 	4.4 	4.2 	4.1 	3.9 	3.9 	3.9 	3.9 	3.8 	3.9 	3.7 
SA,TOTAL,T,PC_ACT,NO	4.0 	4.0 	4.0 	4.0 	3.9 	3.9 	3.8 	3.8 	3.9 	4.0 	: 	: 
SA,TOTAL,T,PC_ACT,PL	4.6 	4.5 	4.3 	4.2 	4.0 	3.9 	3.8 	3.7 	3.6 	3.5 	3.4 	: 
SA,TOTAL,T,PC_ACT,PT	8.4 	8.1 	7.9 	7.9 	7.6 	7.5 	7.1 	7.1 	6.8 	6.8 	6.8 	: 
SA,TOTAL,T,PC_ACT,RO	4.7 	4.8 	4.6 	4.5 	4.5 	4.4 	4.4 	4.2 	4.2 	4.2 	4.3 	: 
SA,TOTAL,T,PC_ACT,SE	6.6 	6.4 	6.5 	6.5 	5.9 	6.2 	6.3 	6.1 	6.3 	6.4 	6.6 	: 
SA,TOTAL,T,PC_ACT,SI	6.0 	5.7 	5.6 	5.6 	5.6 	5.5 	5.4 	5.4 	5.3 	5.3 	5.3 	: 
SA,TOTAL,T,PC_ACT,SK	7.7 	7.6 	7.4 	7.3 	7.2 	7.0 	6.9 	6.8 	6.7 	6.7 	6.6 	: 
SA,TOTAL,T,PC_ACT,TR	10.3 	10.1 	9.9 	9.9 	9.9 	10.0 	10.3 	10.6 	10.9 	: 	: 	: 
SA,TOTAL,T,PC_ACT,UK	4.2 	4.3 	4.2 	4.2 	4.2 	4.1 	4.0 	3.9 	4.0 	4.0 	: 	: 
SA,TOTAL,T,PC_ACT,US	4.1 	4.1 	4.1 	4.1 	4.1 	4.1 	3.9 	3.8 	4.0 	3.9 	3.9 	: 
