exch_rt,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NEER_IC42,PCH_1Y,FI	17.8 	-1.7 	-2.6 	4.6 	4.7 	-4.7 	2.2 	2.6 	7.1 	2.2 	-0.9 	-0.3 	1.8 	2.6 	3.7 	-5.0 	0.2 	-3.2 	3.0 	3.3 	-0.9 	2.3 	0.6 
NEER_IC42,PCH_1Y,FR	6.4 	1.0 	-3.1 	3.4 	0.2 	-4.5 	1.7 	2.2 	6.1 	1.8 	-0.8 	0.0 	1.7 	2.5 	1.4 	-3.7 	0.4 	-2.8 	2.7 	1.2 	-3.7 	2.1 	1.4 
NEER_IC42,PCH_1Y,HR	15.6 	0.2 	0.5 	5.2 	1.6 	-2.3 	3.7 	2.8 	2.1 	2.3 	0.4 	0.8 	0.8 	3.1 	1.0 	-2.2 	-1.4 	-2.8 	1.3 	2.1 	0.7 	3.0 	1.1 
NEER_IC42,PCH_1Y,HU	-16.8 	-13.1 	-6.2 	-7.6 	-1.3 	-4.9 	2.6 	7.2 	-0.5 	1.7 	0.4 	-6.4 	5.7 	1.0 	-7.4 	-0.8 	-0.9 	-4.6 	-1.0 	-2.2 	-1.2 	1.2 	1.3 
NEER_IC42,PCH_1Y,IE	1.9 	3.0 	2.3 	-2.8 	-1.8 	-5.8 	1.4 	2.3 	7.7 	2.5 	-0.4 	0.3 	2.6 	4.2 	1.0 	-3.8 	1.0 	-3.9 	2.9 	0.3 	-6.4 	2.1 	1.9 
NEER_IC42,PCH_1Y,IT	-5.5 	11.0 	1.7 	3.3 	1.6 	-4.2 	2.1 	2.6 	6.7 	2.1 	-1.1 	0.0 	1.7 	2.3 	1.8 	-3.9 	0.6 	-2.6 	2.7 	1.7 	-3.3 	2.1 	1.3 
NEER_IC42,PCH_1Y,LT	23.3 	7.8 	14.6 	21.2 	26.9 	11.9 	4.5 	6.7 	7.3 	1.6 	-0.8 	-0.5 	1.2 	1.8 	5.8 	-4.0 	0.7 	-2.1 	2.7 	5.6 	5.4 	3.2 	-1.3 
NEER_IC42,PCH_1Y,LU	6.4 	-1.4 	-3.6 	1.4 	0.4 	-2.5 	0.8 	1.1 	3.3 	0.7 	-0.5 	-0.1 	0.7 	1.8 	1.9 	-2.4 	0.2 	-1.8 	1.7 	1.0 	-1.9 	1.5 	0.7 
NEER_IC42,PCH_1Y,LV	28.9 	1.6 	6.1 	13.3 	18.1 	7.3 	1.0 	-1.8 	-4.6 	-2.8 	-5.3 	-0.5 	0.4 	1.6 	4.9 	-4.3 	0.7 	-0.7 	1.9 	4.7 	3.6 	3.0 	-0.7 
NEER_IC42,PCH_1Y,MT	3.0 	-0.9 	1.8 	3.0 	-0.1 	-1.9 	1.1 	1.6 	4.1 	2.3 	-1.1 	0.5 	3.0 	2.8 	-0.4 	-4.7 	0.6 	-2.3 	2.6 	1.2 	-5.0 	1.5 	1.7 
NEER_IC42,PCH_1Y,NL	6.6 	-1.2 	-3.6 	2.0 	0.8 	-3.1 	1.3 	1.4 	4.5 	1.1 	-0.6 	0.0 	1.1 	2.3 	1.9 	-2.8 	0.4 	-2.1 	1.9 	0.9 	-2.7 	2.1 	1.1 
NEER_IC42,PCH_1Y,PL	-8.3 	-5.8 	-6.9 	2.4 	-2.1 	3.1 	10.3 	-3.5 	-9.1 	-2.1 	11.9 	3.0 	3.5 	9.3 	-16.4 	5.6 	-2.9 	-3.0 	1.6 	2.6 	-0.4 	-2.3 	3.1 
NEER_IC42,PCH_1Y,PT	3.4 	0.2 	-2.2 	-0.1 	0.0 	-3.0 	1.0 	1.3 	4.0 	1.1 	-0.5 	0.0 	1.1 	1.8 	1.0 	-2.4 	0.4 	-1.8 	1.8 	0.8 	-2.7 	1.8 	1.0 
NEER_IC42,PCH_1Y,RO	-17.6 	-30.0 	-50.4 	-12.9 	-37.5 	-19.0 	-20.1 	-14.9 	-13.1 	-6.3 	10.9 	3.1 	6.5 	-8.2 	-10.7 	-2.0 	0.6 	-6.4 	3.0 	1.6 	-0.7 	0.9 	-0.7 
NEER_IC42,PCH_1Y,SE	2.7 	10.7 	-3.3 	0.9 	1.8 	-0.5 	-7.5 	3.0 	7.2 	2.5 	-2.9 	0.3 	1.8 	-1.7 	-7.6 	7.0 	6.0 	0.8 	3.4 	-3.3 	-4.9 	0.9 	-0.7 
NEER_IC42,PCH_1Y,SI	6.6 	-9.1 	-3.6 	2.2 	0.3 	-7.4 	-4.3 	-2.1 	0.4 	-1.2 	-1.3 	-0.3 	0.5 	0.8 	3.4 	-2.5 	0.6 	-1.1 	1.6 	2.3 	0.2 	1.7 	0.0 
NEER_IC42,PCH_1Y,SK	6.9 	2.0 	5.1 	1.2 	-7.3 	1.7 	-1.6 	1.6 	6.4 	4.8 	2.2 	3.3 	10.7 	8.9 	7.6 	-2.8 	0.3 	-0.8 	1.4 	1.6 	-0.8 	1.9 	0.4 
NEER_IC42,PCH_1Y,UK	-1.9 	2.5 	17.0 	6.6 	1.9 	2.7 	-0.8 	1.3 	-3.3 	4.9 	-1.7 	0.4 	1.9 	-12.8 	-10.6 	-0.3 	-0.7 	4.0 	-2.2 	7.0 	6.0 	-10.4 	-5.4 
NEER_IC42,PCH_3Y,AT	: 	: 	5.6 	1.4 	3.9 	2.6 	0.3 	-0.3 	6.9 	7.3 	4.8 	0.3 	0.1 	2.3 	4.5 	0.2 	-0.9 	-4.6 	0.3 	1.8 	1.5 	1.1 	0.2 
NEER_IC42,PCH_3Y,BE	: 	: 	1.2 	-3.2 	-1.4 	-1.2 	-1.8 	-0.7 	8.3 	8.4 	6.0 	0.8 	0.7 	3.5 	5.1 	0.6 	-1.0 	-4.7 	0.3 	1.0 	0.5 	0.3 	0.3 
NEER_IC42,PCH_3Y,BG	: 	: 	-95.6 	-94.4 	-84.5 	24.6 	21.0 	11.3 	18.3 	11.8 	5.9 	0.3 	-0.5 	3.3 	6.7 	2.8 	2.2 	-2.7 	2.4 	3.6 	4.1 	4.3 	3.5 
NEER_IC42,PCH_3Y,CY	: 	: 	48.9 	50.1 	49.5 	21.0 	8.2 	2.7 	11.8 	10.3 	7.1 	1.7 	0.3 	3.2 	5.4 	1.7 	-1.0 	-5.7 	0.2 	0.5 	-1.1 	-1.2 	-0.6 
NEER_IC42,PCH_3Y,CZ	: 	: 	6.7 	4.3 	3.2 	7.5 	9.0 	19.6 	18.3 	13.2 	7.1 	11.8 	13.8 	20.9 	12.0 	11.7 	2.3 	1.6 	-2.2 	-9.3 	-5.8 	-1.6 	6.0 
NEER_IC42,PCH_3Y,DE	: 	: 	5.1 	-0.7 	2.1 	0.7 	-1.4 	-1.0 	11.1 	11.7 	8.0 	1.0 	0.6 	4.0 	6.4 	0.2 	-1.6 	-6.5 	0.2 	1.6 	0.4 	0.2 	-0.2 
NEER_IC42,PCH_3Y,DK	: 	: 	4.8 	0.6 	1.7 	-0.5 	-1.8 	-1.1 	9.4 	9.0 	6.2 	0.6 	0.5 	4.0 	7.1 	0.7 	-2.0 	-7.5 	-0.8 	1.3 	1.7 	1.5 	0.9 
NEER_IC42,PCH_3Y,EE	: 	: 	25.3 	10.8 	26.1 	24.7 	11.8 	-0.1 	9.2 	8.9 	6.3 	0.7 	0.6 	3.1 	8.3 	2.4 	0.1 	-6.5 	-0.3 	4.3 	9.5 	9.6 	4.6 
NEER_IC42,PCH_3Y,EL	: 	: 	12.9 	8.1 	12.3 	2.3 	5.1 	1.0 	14.1 	12.2 	7.2 	0.5 	-0.1 	3.6 	6.5 	2.1 	0.8 	-4.3 	1.8 	3.6 	4.6 	4.1 	2.9 
NEER_IC42,PCH_3Y,ES	: 	: 	0.4 	-0.3 	-1.1 	-0.5 	-0.4 	0.6 	9.5 	8.7 	5.7 	0.5 	0.4 	3.6 	5.5 	1.0 	-0.8 	-4.6 	0.6 	1.3 	0.6 	0.5 	0.6 
NEER_IC42,PCH_3Y,FI	: 	: 	12.8 	0.2 	6.7 	4.3 	1.9 	-0.1 	12.2 	12.3 	8.4 	1.0 	0.5 	4.1 	8.2 	1.0 	-1.3 	-7.8 	0.0 	3.0 	5.3 	4.6 	1.9 
NEER_IC42,PCH_3Y,FR	: 	: 	4.2 	1.3 	0.5 	-1.0 	-2.6 	-0.6 	10.4 	10.4 	7.1 	0.9 	0.8 	4.2 	5.7 	0.1 	-2.0 	-6.0 	0.2 	1.0 	0.0 	-0.5 	-0.3 
NEER_IC42,PCH_3Y,HR	: 	: 	16.5 	6.0 	7.4 	4.4 	3.0 	4.2 	8.9 	7.4 	4.9 	3.5 	2.0 	4.7 	4.9 	1.9 	-2.5 	-6.3 	-2.9 	0.5 	4.1 	5.9 	4.9 
NEER_IC42,PCH_3Y,HU	: 	: 	-32.2 	-24.6 	-14.3 	-13.2 	-3.7 	4.5 	9.4 	8.5 	1.6 	-4.4 	-0.7 	-0.1 	-1.2 	-7.3 	-9.0 	-6.2 	-6.4 	-7.6 	-4.4 	-2.2 	1.3 
NEER_IC42,PCH_3Y,IE	: 	: 	7.3 	2.4 	-2.4 	-10.0 	-6.2 	-2.3 	11.7 	13.0 	10.0 	2.4 	2.5 	7.2 	8.0 	1.3 	-1.9 	-6.7 	-0.2 	-0.8 	-3.4 	-4.2 	-2.7 
NEER_IC42,PCH_3Y,IT	: 	: 	6.6 	16.6 	6.7 	0.6 	-0.6 	0.5 	11.8 	11.7 	7.7 	1.0 	0.6 	4.0 	5.8 	0.0 	-1.6 	-5.8 	0.6 	1.8 	1.0 	0.4 	0.0 
NEER_IC42,PCH_3Y,LT	: 	: 	52.3 	49.7 	76.2 	72.0 	48.5 	24.8 	19.7 	16.4 	8.1 	0.3 	-0.2 	2.4 	9.0 	3.4 	2.3 	-5.4 	1.2 	6.1 	14.2 	14.8 	7.3 
NEER_IC42,PCH_3Y,LU	: 	: 	1.1 	-3.7 	-1.9 	-0.8 	-1.3 	-0.7 	5.3 	5.2 	3.6 	0.2 	0.2 	2.4 	4.4 	1.2 	-0.3 	-4.0 	0.0 	0.9 	0.8 	0.6 	0.3 
NEER_IC42,PCH_3Y,LV	: 	: 	38.9 	22.0 	41.9 	43.4 	27.9 	6.3 	-5.4 	-8.9 	-12.1 	-8.4 	-5.3 	1.5 	7.0 	2.0 	1.2 	-4.2 	1.9 	6.0 	10.5 	11.7 	5.9 
NEER_IC42,PCH_3Y,MT	: 	: 	4.0 	4.0 	4.8 	0.9 	-1.0 	0.7 	6.9 	8.2 	5.4 	1.7 	2.4 	6.4 	5.5 	-2.4 	-4.6 	-6.4 	0.7 	1.4 	-1.4 	-2.4 	-1.9 
NEER_IC42,PCH_3Y,NL	: 	: 	1.5 	-2.9 	-0.9 	-0.4 	-1.0 	-0.5 	7.4 	7.2 	5.1 	0.5 	0.5 	3.4 	5.5 	1.3 	-0.6 	-4.5 	0.2 	0.7 	0.1 	0.3 	0.5 
NEER_IC42,PCH_3Y,PL	: 	: 	-19.6 	-10.1 	-6.6 	3.4 	11.4 	9.7 	-3.3 	-14.2 	-0.5 	12.8 	19.3 	16.5 	-5.5 	-3.5 	-14.3 	-0.5 	-4.3 	1.0 	3.8 	-0.1 	0.4 
NEER_IC42,PCH_3Y,PT	: 	: 	1.3 	-2.1 	-2.3 	-3.0 	-1.9 	-0.7 	6.5 	6.5 	4.6 	0.5 	0.6 	2.9 	4.0 	0.4 	-1.0 	-3.7 	0.4 	0.7 	-0.2 	-0.2 	0.0 
NEER_IC42,PCH_3Y,RO	: 	: 	-71.4 	-69.8 	-73.0 	-55.9 	-59.6 	-44.9 	-40.8 	-30.7 	-9.7 	7.1 	21.8 	0.8 	-12.7 	-19.7 	-12.0 	-7.8 	-3.0 	-2.0 	4.0 	1.9 	-0.5 
NEER_IC42,PCH_3Y,SE	: 	: 	10.0 	8.1 	-0.6 	2.3 	-6.3 	-5.2 	2.1 	13.1 	6.7 	-0.1 	-0.8 	0.4 	-7.6 	-2.8 	4.8 	14.4 	10.5 	0.8 	-5.0 	-7.2 	-4.7 
NEER_IC42,PCH_3Y,SI	: 	: 	-6.6 	-10.4 	-1.1 	-5.0 	-11.1 	-13.3 	-6.0 	-2.8 	-2.1 	-2.8 	-1.1 	1.0 	4.8 	1.7 	1.4 	-3.0 	1.1 	2.8 	4.2 	4.2 	1.9 
NEER_IC42,PCH_3Y,SK	: 	: 	14.7 	8.5 	-1.4 	-4.6 	-7.2 	1.8 	6.5 	13.4 	14.1 	10.6 	16.8 	24.5 	29.7 	13.9 	4.9 	-3.3 	1.0 	2.2 	2.2 	2.6 	1.4 
NEER_IC42,PCH_3Y,UK	: 	: 	17.7 	27.9 	27.2 	11.6 	3.9 	3.2 	-2.8 	2.7 	-0.3 	3.5 	0.6 	-10.8 	-20.5 	-22.2 	-11.5 	2.9 	1.0 	8.9 	11.0 	1.7 	-10.1 
