indic_il,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_GAP_MD60,T,Y_GE75,HU	16.8 	11.4 	10.2 	11.1 	12.5 	10.9 	9.9 	10.0 	10.4 	11.7 	15.7 	15.2 
LI_GAP_MD60,T,Y_GE75,IE	8.0 	9.6 	6.3 	14.4 	25.8 	41.6 	23.2 	19.6 	32.2 	14.9 	6.0 	: 
LI_GAP_MD60,T,Y_GE75,IS	7.2 u	10.1 u	11.1 	9.6 u	: u	31.5 u	: u	: u	2.9 u	7.0 u	4.1 pu	: 
LI_GAP_MD60,T,Y_GE75,IT	17.2 	17.2 	17.2 	16.3 	14.9 	14.6 	13.6 	12.8 	12.7 	12.8 	13.1 	14.6 
LI_GAP_MD60,T,Y_GE75,LT	13.6 	15.2 	16.0 	14.0 	7.4 	4.3 	9.0 	12.7 	13.1 	15.2 	17.4 	18.3 
LI_GAP_MD60,T,Y_GE75,LU	16.6 u	17.0 u	10.3 u	19.0 u	19.0 u	11.4 u	11.4 u	11.5 u	13.6 u	10.6 u	27.1 bu	15.6 u
LI_GAP_MD60,T,Y_GE75,LV	16.1 	19.2 	27.4 	23.7 	8.4 	15.3 	11.3 	8.7 	9.8 	14.6 	19.3 	21.4 
LI_GAP_MD60,T,Y_GE75,MK	: 	: 	: 	: 	: 	: 	23.3 	20.6 	13.7 	19.7 	25.1 	: 
LI_GAP_MD60,T,Y_GE75,MT	14.2 	12.9 	16.0 	12.2 	15.0 	16.0 	15.3 	15.1 	12.5 	13.5 	10.9 	12.1 
LI_GAP_MD60,T,Y_GE75,NL	17.7 u	8.2 	19.6 	11.5 	11.7 	9.1 	11.2 	10.5 	14.2 	12.0 	10.5 b	9.6 
LI_GAP_MD60,T,Y_GE75,NO	14.0 u	11.7 	12.8 	11.5 	11.9 	10.2 	9.5 	8.6 	10.6 	10.5 	10.7 	8.9 
LI_GAP_MD60,T,Y_GE75,PL	15.7 	12.6 	11.8 	14.2 	14.6 	13.4 	13.9 	15.1 	13.3 	13.1 	14.9 	15.7 
LI_GAP_MD60,T,Y_GE75,PT	15.0 	19.9 	16.4 	14.7 	15.9 	10.3 	10.3 	11.4 	20.6 	16.7 	15.9 	13.5 
LI_GAP_MD60,T,Y_GE75,RO	: 	30.8 	23.5 	25.1 	19.5 	18.1 	17.8 	18.8 	19.2 	20.3 	19.6 	20.8 
LI_GAP_MD60,T,Y_GE75,RS	: 	: 	: 	: 	: 	: 	: 	27.6 	25.9 	26.3 	27.4 	: 
LI_GAP_MD60,T,Y_GE75,SE	9.9 	11.2 	11.3 b	12.4 	11.5 	13.7 	11.7 	10.5 	9.9 	8.5 	9.3 	10.7 
LI_GAP_MD60,T,Y_GE75,SI	19.1 	20.3 	22.0 	22.1 	19.8 	20.5 	19.3 	19.2 	18.4 	19.3 	21.6 	19.9 
LI_GAP_MD60,T,Y_GE75,SK	18.0 	13.2 	9.6 	14.7 	7.6 	10.4 	10.6 	6.9 	10.6 	9.2 	8.0 	5.9 
LI_GAP_MD60,T,Y_GE75,TR	37.6 	33.6 	31.1 	36.9 	37.5 	35.7 	35.4 	30.6 	35.5 	33.9 	: 	: 
LI_GAP_MD60,T,Y_GE75,UK	19.1 	20.0 	20.8 	17.9 	19.6 	19.6 	17.1 b	17.9 	20.1 	19.5 	20.4 	: 
