na_item,nace_r2,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
SAL_DC,TOTAL,PCH_PRE_PER,MT	: 	1.9 	0.6 	-0.1 	0.7 	-1.6 	2.5 	0.0 	-0.8 	0.2 	1.1 	1.6 	2.1 	2.5 	-0.4 	2.0 	3.3 	2.0 	4.3 	5.5 	4.0 	4.1 	5.3 
SAL_DC,TOTAL,PCH_PRE_PER,NL	: 	2.4 	3.4 	3.5 	3.7 	2.6 	2.5 	0.8 	-0.5 	-1.6 	0.5 	1.9 	2.9 	1.8 	-1.0 	-0.8 	0.6 	-0.6 	-1.5 	-0.6 	1.0 	1.4 p	2.5 p
SAL_DC,TOTAL,PCH_PRE_PER,PL	: 	: 	: 	: 	: 	: 	-3.1 	-3.2 	0.1 	1.9 	3.5 	4.9 	5.9 	4.8 	0.5 	-2.8 b	0.7 	0.8 	0.4 	2.2 	1.6 	1.3 p	1.8 p
SAL_DC,TOTAL,PCH_PRE_PER,PT	: 	1.2 	2.7 	3.2 	2.2 	2.2 	1.5 	1.0 	-1.1 	0.3 	0.0 	0.9 	0.6 	0.6 	-2.4 	-0.6 	-2.0 	-4.8 	-2.2 	2.0 	2.4 	2.4 	3.6 p
SAL_DC,TOTAL,PCH_PRE_PER,RO	: 	-0.5 	-0.4 	-6.9 	-4.1 	-1.5 	-1.6 	6.1 	-3.9 	8.6 	-3.8 	4.0 	0.4 	1.2 	-4.2 	-3.4 	1.9 	-3.8 b	-0.2 	1.6 	2.9 	1.9 	3.3 p
SAL_DC,TOTAL,PCH_PRE_PER,SE	1.6 	-0.7 	-1.3 	1.8 	2.1 	2.7 	2.5 	0.3 	-0.2 	-0.9 	0.3 	1.6 	2.3 	1.2 	-2.6 	0.9 	2.5 	0.9 	1.0 	1.6 	1.7 	2.3 	2.5 
SAL_DC,TOTAL,PCH_PRE_PER,SI	: 	-1.4 	-2.3 	0.1 	1.6 	2.4 	1.1 	1.4 	0.1 	0.6 	-0.2 	1.6 	3.6 	2.7 	-2.7 	-2.7 	-2.0 	-1.3 	-2.7 	0.6 	1.4 	2.2 	3.3 
SAL_DC,TOTAL,PCH_PRE_PER,SK	: 	2.0 	-1.5 	-1.2 	-3.3 	-2.2 	0.3 	-0.4 	0.2 	-2.3 	1.1 	1.8 	1.5 	2.0 	-3.3 	-1.6 	2.5 	0.5 	-0.5 	2.2 	2.5 	2.8 	2.6 
SAL_DC,TOTAL,PCH_PRE_PER,UK	: 	1.3 	2.3 	1.7 	1.8 	1.5 	0.8 	0.8 	0.2 	1.0 	1.2 	0.7 	0.6 	0.9 	-1.9 	-0.2 	0.3 	0.6 	1.2 	1.6 	2.0 	0.9 	1.1 
SAL_DC,TOTAL,THS_PER,AT	3092.40 	3088.51 	3116.61 	3150.37 	3205.18 	3243.67 	3265.05 	3258.07 	3275.31 	3290.10 	3328.40 	3384.80 	3453.21 	3519.36 	3495.05 	3525.47 	3589.96 	3641.34 	3662.04 	3694.48 	3735.11 	3789.91 	3861.76 
SAL_DC,TOTAL,THS_PER,BE	3169.60 	3173.70 	3198.80 	3268.10 	3322.80 	3407.10 	3469.40 	3468.30 	3465.10 	3503.10 	3560.70 	3603.90 	3668.30 	3737.30 	3723.90 	3747.20 	3800.40 	3812.40 	3791.50 	3805.20 	3835.60 	3881.70 	3934.00 
SAL_DC,TOTAL,THS_PER,BG	2718.10 	2740.50 	2595.93 	2525.24 	2396.62 	2325.35 	2272.39 	2280.61 	2364.99 	2431.90 	2522.95 	2631.12 	2740.44 	2806.51 	2747.62 	2627.53 	2587.05 	2539.93 p	2511.05 p	2506.23 p	2530.85 p	2576.08 p	2584.39 p
SAL_DC,TOTAL,THS_PER,CY	223.89 	226.08 	228.80 	233.30 	237.89 	241.73 	248.29 	255.48 	262.58 	273.86 	286.90 	298.76 	322.89 	343.42 	345.90 	354.45 	358.06 	347.11 	325.67 	318.74 	323.79 	339.14 	352.31 p
