unit,co_nco,sector,finpos,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NCO,S12,LIAB,F1,FI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.6 
PC_GDP,NCO,S12,LIAB,F1,FR	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.6 	0.6 	0.6 	0.6 	0.5 	0.6 	0.6 	0.6 	0.5 
PC_GDP,NCO,S12,LIAB,F1,HR	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.7 	0.8 	0.8 	0.8 	0.8 	0.8 	0.9 	0.8 	0.7 
PC_GDP,NCO,S12,LIAB,F1,HU	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.1 	1.2 	1.3 	1.2 	1.1 	1.1 	1.1 	1.1 	1.0 
PC_GDP,NCO,S12,LIAB,F1,IE	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,NCO,S12,LIAB,F1,IT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	0.5 	0.5 	0.5 	0.5 
PC_GDP,NCO,S12,LIAB,F1,LT	0.3 	0.1 	0.1 	0.1 	0.0 	0.0 	0.2 	0.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.6 	0.6 	0.5 	0.5 	0.4 	0.4 	0.5 	0.5 	0.4 
PC_GDP,NCO,S12,LIAB,F1,LU	: 	: 	: 	: 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.0 	0.0 	0.7 	0.7 	0.7 	0.7 	0.6 	0.6 	0.6 	0.6 	0.5 
PC_GDP,NCO,S12,LIAB,F1,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 	: 	0.0 
PC_GDP,NCO,S12,LIAB,F1,MT	0.0 e	0.0 e	0.0 e	0.0 e	0.0 e	0.0 e	0.0 e	0.0 e	0.0 e	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
