unit,nace_r2,na_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
PCH_PRE_PERS_SCA,B-E,EMP_DC,UK	-0.6 	-0.5 	0.3 	0.9 	-1.3 	-0.1 	-0.1 	0.8 	0.8 	0.4 	1.0 	-0.7 
PCH_PRE_PERS_SCA,C,EMP_DC,AT	0.2 	0.1 	0.2 	0.1 	0.3 	0.2 	0.4 	0.6 	0.7 	0.7 	0.9 	0.8 
PCH_PRE_PERS_SCA,C,EMP_DC,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
PCH_PRE_PERS_SCA,C,EMP_DC,BG	1.0 p	-0.9 p	0.1 p	0.1 p	0.9 p	0.0 p	0.6 p	0.3 p	0.2 p	-0.2 p	0.9 p	-0.2 p
PCH_PRE_PERS_SCA,C,EMP_DC,CY	1.4 	1.0 	2.1 	0.8 	0.5 	1.0 	0.5 	1.5 	1.6 	1.5 	1.2 	1.3 
PCH_PRE_PERS_SCA,C,EMP_DC,DE	0.1 	0.1 	0.0 	0.1 	0.0 	0.2 	0.4 	0.4 	0.3 	0.3 	0.6 	0.4 
PCH_PRE_PERS_SCA,C,EMP_DC,DK	0.0 	0.4 	0.0 	0.4 	0.4 	0.7 	0.3 	0.3 	0.3 	0.3 	0.7 	0.0 
PCH_PRE_PERS_SCA,C,EMP_DC,EA	0.2 	0.2 	0.3 	0.2 	0.2 	0.2 	0.4 	0.3 	0.5 	0.3 	0.5 	0.3 
PCH_PRE_PERS_SCA,C,EMP_DC,EA19	0.2 	0.2 	0.3 	0.2 	0.2 	0.2 	0.4 	0.3 	0.5 	0.3 	0.5 	0.3 
PCH_PRE_PERS_SCA,C,EMP_DC,EE	-1.7 	-6.0 	5.8 	-1.1 	1.0 	1.1 	-0.3 	-1.3 	5.0 	4.1 	-0.8 	-7.3 
PCH_PRE_PERS_SCA,C,EMP_DC,ES	0.8 	0.4 	1.6 p	1.0 p	0.9 p	0.8 p	0.9 p	1.0 p	0.8 p	0.8 p	0.4 p	0.1 p
PCH_PRE_PERS_SCA,C,EMP_DC,EU28	0.1 	0.3 	0.4 	0.5 	0.2 	0.4 	0.5 	0.5 	0.6 	0.3 	0.6 	0.1 
PCH_PRE_PERS_SCA,C,EMP_DC,FI	-0.2 	-0.2 	-0.3 	0.2 	-0.2 	0.5 	-1.7 	1.5 	2.4 	0.0 	0.2 	-0.4 
PCH_PRE_PERS_SCA,C,EMP_DC,HR	-3.2 d	-0.7 d	-0.1 d	5.0 d	1.8 d	-2.3 d	0.0 d	-1.0 d	4.6 d	0.3 d	3.2 d	0.2 d
PCH_PRE_PERS_SCA,C,EMP_DC,HU	1.1 	0.7 	1.2 	0.6 	1.0 	0.6 	1.3 	0.5 	1.3 	0.1 	1.0 	-0.4 
PCH_PRE_PERS_SCA,C,EMP_DC,IE	0.2 	0.5 	2.0 	4.2 	1.5 	-1.9 	1.3 	-0.7 	0.9 	-1.6 	-0.5 	-1.7 
PCH_PRE_PERS_SCA,C,EMP_DC,IT	0.1 	0.9 	0.2 	-0.4 	0.1 	0.4 	0.1 	0.1 	0.8 	-0.4 	0.4 	0.8 
PCH_PRE_PERS_SCA,C,EMP_DC,LT	1.4 	1.4 	0.9 	0.3 	0.7 	0.8 	0.3 	-1.9 	-1.2 	-0.6 	5.4 	0.8 
PCH_PRE_PERS_SCA,C,EMP_DC,LU	0.2 	0.2 	0.1 	0.0 	0.3 	0.1 	0.9 	0.1 	0.3 	0.4 	0.8 	0.0 
PCH_PRE_PERS_SCA,C,EMP_DC,LV	0.3 	0.0 	0.3 	0.0 	-0.1 	0.0 	-0.3 	0.3 	0.2 	0.2 	0.3 	0.1 
PCH_PRE_PERS_SCA,C,EMP_DC,NL	0.0 	-0.3 	0.4 p	-0.1 p	0.0 p	0.4 p	0.3 p	0.1 p	0.3 p	0.4 p	0.5 p	0.8 p
PCH_PRE_PERS_SCA,C,EMP_DC,NO	-1.2 	-1.2 	-1.7 	-0.8 	-0.9 	-0.4 	-0.9 	-0.4 	0.4 	0.0 	0.4 	0.4 
PCH_PRE_PERS_SCA,C,EMP_DC,RO	-0.8 	1.2 	2.8 	-2.0 	-1.0 	5.3 	-1.1 p	1.7 p	2.8 p	-0.1 p	-3.9 p	3.0 p
PCH_PRE_PERS_SCA,C,EMP_DC,SE	-0.5 	0.7 	-0.8 	-0.7 	-1.6 	1.2 	1.6 	0.2 	0.1 	0.0 	0.8 	0.2 
PCH_PRE_PERS_SCA,C,EMP_DC,SI	0.7 	1.0 	0.6 	0.8 	0.6 	0.7 	0.8 	1.2 	1.2 	1.2 	1.3 	0.9 
PCH_PRE_PERS_SCA,C,EMP_DC,UK	-0.6 	0.1 	-0.1 	1.3 	-1.3 	-0.2 	0.0 	1.0 	1.1 	0.1 	0.8 	-2.0 
PCH_PRE_PERS_SCA,F,EMP_DC,AT	0.2 	-0.3 	0.8 	0.2 	0.5 	1.1 	0.2 	1.2 	0.6 	0.5 	0.9 	0.6 
PCH_PRE_PERS_SCA,F,EMP_DC,BE	0.0 	0.1 	0.1 	0.3 	0.3 	0.3 	0.3 	0.4 	0.2 	0.2 	0.4 	0.3 
PCH_PRE_PERS_SCA,F,EMP_DC,BG	0.3 p	-0.5 p	-0.7 p	-1.0 p	-0.5 p	-1.6 p	0.3 p	-0.1 p	0.5 p	0.6 p	1.1 p	2.6 p
PCH_PRE_PERS_SCA,F,EMP_DC,CY	1.0 	1.2 	2.7 	1.9 	2.4 	2.1 	2.7 	3.0 	3.0 	3.5 	2.2 	2.0 
PCH_PRE_PERS_SCA,F,EMP_DC,DE	0.4 	0.2 	0.3 	0.1 	0.3 	0.5 	0.5 	0.3 	0.3 	0.5 	0.8 	0.2 
PCH_PRE_PERS_SCA,F,EMP_DC,DK	1.2 	1.2 	0.6 	1.1 	0.6 	0.6 	1.1 	0.6 	1.1 	1.1 	1.1 	0.5 
PCH_PRE_PERS_SCA,F,EMP_DC,EA	-0.3 	-0.1 	0.1 	0.5 	0.0 	0.2 	0.9 	0.1 	0.6 	0.8 	0.6 	0.6 
PCH_PRE_PERS_SCA,F,EMP_DC,EA19	-0.3 	-0.1 	0.1 	0.5 	0.0 	0.2 	0.9 	0.1 	0.6 	0.8 	0.6 	0.6 
PCH_PRE_PERS_SCA,F,EMP_DC,EE	-1.1 	-10.6 	-6.6 	0.7 	4.5 	-11.3 	13.1 	-4.9 	-3.1 	10.7 	0.0 	13.3 
PCH_PRE_PERS_SCA,F,EMP_DC,ES	0.3 	0.9 	-1.2 p	0.8 p	1.8 p	1.0 p	1.4 p	1.7 p	1.2 p	2.8 p	1.9 p	2.4 p
PCH_PRE_PERS_SCA,F,EMP_DC,EU28	0.3 	0.5 	0.3 	0.5 	0.0 	0.3 	1.1 	0.3 	0.6 	0.3 	0.5 	0.5 
PCH_PRE_PERS_SCA,F,EMP_DC,FI	2.2 	1.2 	0.8 	2.2 	0.2 	0.4 	2.2 	0.3 	-0.7 	0.3 	4.2 	0.0 
PCH_PRE_PERS_SCA,F,EMP_DC,HR	11.9 d	-5.5 d	4.3 d	-1.1 d	-1.5 d	-4.3 d	-0.2 d	-0.7 d	-1.7 d	4.8 d	3.7 d	2.5 d
PCH_PRE_PERS_SCA,F,EMP_DC,HU	0.4 	-0.2 	2.0 	-0.1 	0.7 	1.4 	0.3 	2.1 	1.1 	2.0 	2.3 	0.6 
PCH_PRE_PERS_SCA,F,EMP_DC,IE	1.3 	1.2 	3.3 	3.1 	1.1 	2.7 	2.6 	0.3 	1.4 	4.9 	2.3 	6.7 
PCH_PRE_PERS_SCA,F,EMP_DC,IT	-1.0 	-1.4 	1.0 	1.0 	-1.2 	-0.4 	1.9 	-1.9 	0.9 	0.0 	-1.8 	0.0 
PCH_PRE_PERS_SCA,F,EMP_DC,LT	-4.4 	1.8 	-0.3 	3.0 	-1.0 	-3.0 	-0.5 	-1.8 	-1.4 	-0.3 	0.8 	-0.6 
PCH_PRE_PERS_SCA,F,EMP_DC,LU	0.6 	0.7 	0.8 	0.7 	1.0 	1.0 	-0.1 	0.7 	0.6 	1.0 	1.4 	0.8 
PCH_PRE_PERS_SCA,F,EMP_DC,LV	-8.4 	-1.1 	2.1 	-3.4 	-3.5 	7.8 	0.5 	0.3 	-0.3 	7.2 	3.9 	-2.4 
PCH_PRE_PERS_SCA,F,EMP_DC,NL	-0.2 	0.2 	-0.2 p	0.4 p	0.0 p	-0.7 p	0.9 p	1.3 p	0.7 p	0.7 p	-0.2 p	0.0 p
PCH_PRE_PERS_SCA,F,EMP_DC,NO	0.5 	0.9 	-0.4 	1.3 	1.3 	1.3 	1.3 	0.9 	1.3 	0.8 	1.2 	0.4 
PCH_PRE_PERS_SCA,F,EMP_DC,RO	-0.7 	4.0 	0.4 	4.2 	-0.8 	1.5 	1.5 p	-1.2 p	0.6 p	3.7 p	-3.7 p	-2.2 p
PCH_PRE_PERS_SCA,F,EMP_DC,SE	0.7 	2.1 	-1.9 	1.6 	0.7 	1.4 	2.3 	0.3 	1.7 	0.5 	1.1 	1.3 
PCH_PRE_PERS_SCA,F,EMP_DC,SI	0.1 	0.0 	-1.4 	0.4 	-0.1 	0.5 	0.4 	1.0 	1.3 	1.0 	1.5 	0.8 
PCH_PRE_PERS_SCA,F,EMP_DC,UK	1.6 	2.4 	0.9 	1.1 	-0.4 	1.0 	1.9 	1.1 	0.5 	-1.6 	-0.4 	-1.0 
