unit,sex,age,isced11,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,Y20-64,ED0-2,EE	50.5 b	56.0 	56.0 	58.6 	47.0 	44.2 	48.4 	49.4 	56.9 	59.4 b	57.7 	61.8 	65.7 
PC,T,Y20-64,ED0-2,EL	58.0 b	59.6 	60.2 	60.4 	59.8 b	57.8 	53.5 	48.0 	45.8 	46.5 b	48.1 	48.1 	49.2 
PC,T,Y20-64,ED0-2,ES	59.5 b	60.8 	61.3 	59.4 	53.7 	52.5 	51.5 	48.3 	47.2 	48.2 b	50.6 	52.9 	54.6 
PC,T,Y20-64,ED0-2,EU27	55.6 b	56.4 	57.0 	56.5 	54.3 	53.4 	52.9 	52.2 	51.4 	51.9 b	52.6 	53.7 	55.1 
PC,T,Y20-64,ED0-2,EU28	55.5 b	56.3 	56.9 	56.4 	54.3 	53.4 	52.9 	52.1 	51.4 	51.8 b	52.6 	53.6 	54.9 
PC,T,Y20-64,ED0-2,FI	57.5 b	57.9 	58.2 	58.8 b	55.8 	53.9 	54.1 	53.9 	52.2 	51.7 b	50.8 	52.0 	51.3 
PC,T,Y20-64,ED0-2,FR	57.9 b	57.4 	57.3 	57.0 	55.6 	55.0 	55.2 	54.9 	53.6 b	52.5 b	51.4 	50.5 	51.8 
PC,T,Y20-64,ED0-2,HR	45.1 b	42.5 b	45.7 	47.6 	48.3 	46.2 b	43.3 	40.7 	38.5 	37.8 b	39.3 	37.9 	34.7 
PC,T,Y20-64,ED0-2,HU	37.7 b	37.6 	37.3 	37.6 	35.9 	36.1 	36.2 	36.9 	38.1 	44.3 b	47.1 	50.7 	53.9 
PC,T,Y20-64,ED0-2,IE	58.5 b	58.8 	58.8 b	56.9 	50.3 	47.2 	45.1 	43.4 	46.4 	45.9 b	48.1 	48.9 	50.1 b
PC,T,Y20-64,ED0-2,IS	82.3 b	83.8 	83.7 	82.7 	75.7 	74.9 	72.8 	72.6 	74.1 	77.5 b	79.5 	79.5 	77.9 
PC,T,Y20-64,ED0-2,IT	51.7 b	52.2 	52.5 	52.1 	50.7 	49.9 	50.1 	50.0 	48.8 	48.7 b	49.4 	50.3 	51.0 
PC,T,Y20-64,ED0-2,LT	46.6 b	46.1 	48.9 	42.1 	36.2 	29.6 	31.8 	35.2 	37.1 	42.0 b	42.7 	42.3 	44.1 
PC,T,Y20-64,ED0-2,LU	60.4 b	59.3 	60.8 b	59.8 	58.9 b	58.5 	58.6 	60.1 	58.6 	57.3 b	58.4 b	56.4 	56.4 
PC,T,Y20-64,ED0-2,LV	50.5 b	54.8 	59.0 	57.0 	45.8 	45.1 	46.7 	50.3 	49.0 	50.0 b	53.2 	54.8 	56.7 
PC,T,Y20-64,ED0-2,ME	: 	: 	: 	: 	: 	: 	24.9 	24.6 	22.6 	25.4 b	29.6 	34.0 	38.2 
PC,T,Y20-64,ED0-2,MK	: 	30.3 	29.8 	31.6 	33.0 	32.7 	33.5 	31.6 	34.7 	36.3 b	35.0 	33.4 	34.9 
PC,T,Y20-64,ED0-2,MT	48.2 b	48.5 	48.8 	49.5 	48.3 	48.9 	50.2 b	51.2 	53.0 	54.6 b	55.9 	58.1 	59.2 
PC,T,Y20-64,ED0-2,NL	60.5 b	61.6 	62.9 	64.5 	64.2 	61.7 b	62.0 b	61.9 	60.3 b	58.7 b	59.8 	60.7 	61.2 
PC,T,Y20-64,ED0-2,NO	56.0 b	64.4 b	66.3 	67.2 	66.3 	64.3 	65.0 	64.8 	61.9 	61.3 b	60.5 	60.3 	59.9 
PC,T,Y20-64,ED0-2,PL	36.2 b	37.7 	40.3 	42.3 	41.0 	39.2 b	38.7 	38.9 	37.6 	38.2 b	39.8 	39.5 	40.8 
PC,T,Y20-64,ED0-2,PT	71.3 b	71.5 	71.3 	71.6 	68.6 	67.6 	65.2 b	62.2 	60.8 	62.2 b	63.5 	64.7 	67.7 
PC,T,Y20-64,ED0-2,RO	52.5 b	52.6 	53.1 	53.6 	53.7 	55.3 b	51.4 	53.1 	53.6 	55.0 b	53.3 	52.3 	54.7 
PC,T,Y20-64,ED0-2,SE	64.4 b	66.7 b	66.9 	66.2 	63.3 	62.8 	63.7 	62.9 	61.0 	61.0 b	60.9 	61.0 	61.8 
PC,T,Y20-64,ED0-2,SI	55.1 b	54.7 	55.9 	54.8 	53.2 	50.5 	45.8 	46.4 	44.6 	47.4 b	48.0 	45.5 	49.3 
PC,T,Y20-64,ED0-2,SK	25.3 b	27.4 	27.9 	31.0 	29.0 	28.6 	29.6 b	29.5 	30.3 	31.6 b	33.2 	35.9 	37.3 
PC,T,Y20-64,ED0-2,TR	: 	43.3 	43.1 	43.0 	42.7 	45.1 	47.3 	47.6 	47.9 	47.5 b	47.8 	48.3 	49.3 
PC,T,Y20-64,ED0-2,UK	64.1 b	63.6 	63.3 b	59.0 b	57.2 	55.5 b	55.6 b	56.4 	56.8 	58.8 b	59.7 	62.1 	63.6 
