indic_il,age,sex,tenure,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60,Y_GE65,T,TOTAL,CY	51.9 	50.6 	46.3 b	46.4 	39.9 	35.5 	29.3 	20.1 	22.4 	17.3 	19.5 	21.6 
LI_R_MD60,Y_GE65,T,TOTAL,CZ	5.9 	5.5 	7.4 	7.2 	6.8 	6.6 	6.0 	5.8 	7.0 	7.4 	8.1 	10.7 
LI_R_MD60,Y_GE65,T,TOTAL,DE	12.5 	16.2 	14.9 	15.0 	14.1 	14.2 	15.0 	14.9 	16.3 	16.5 	17.6 	17.0 
LI_R_MD60,Y_GE65,T,TOTAL,DK	17.4 	17.7 	18.1 	20.1 	17.7 	14.0 b	12.8 	10.1 	9.8 	9.1 	8.5 	8.8 
LI_R_MD60,Y_GE65,T,TOTAL,EA18	18.7 	19.0 	18.0 	17.3 	15.2 	15.1 	14.1 	13.3 	13.2 	13.4 	14.0 	14.1 e
LI_R_MD60,Y_GE65,T,TOTAL,EA19	18.8 	19.1 e	18.2 	17.4 	15.2 	15.1 	14.2 	13.3 	13.3 	13.5 	14.2 	14.3 e
LI_R_MD60,Y_GE65,T,TOTAL,EE	25.1 	33.2 	39.0 	33.9 	15.1 	13.1 	17.2 	24.4 	32.6 b	35.8 	40.2 	41.2 
LI_R_MD60,Y_GE65,T,TOTAL,EL	25.6 	22.9 	22.3 	21.4 	21.3 	23.6 	17.2 	15.1 	14.9 	13.7 	12.4 	12.4 
LI_R_MD60,Y_GE65,T,TOTAL,ES	29.3 	26.1 	25.5 b	23.8 	21.8 	19.8 	14.8 	12.7 	11.4 	12.3 	13.0 	14.8 
LI_R_MD60,Y_GE65,T,TOTAL,EU27	18.9 e	19.1 	18.9 	17.9 	15.9 	15.8 	14.4 	13.6 	13.6 	14.0 	14.5 	14.6 e
LI_R_MD60,Y_GE65,T,TOTAL,EU28	: 	: 	: 	: 	16.0 	15.9 	14.5 	13.7 	13.7 	14.1 	14.6 	14.6 e
