unit,geo\time	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
INX_Q,PL	68.29 	68.08 	67.81 	69.39 	73.79 	78.24 	98.20 	118.30 	129.99 	136.36 	138.44 	130.95 	130.44 	129.84 	125.24 	125.14 	124.00 	122.10 	121.00 	116.52 	114.07 	113.59 	113.88 	112.47 	109.72 	108.97 	108.33 	105.98 	103.50 	101.20 	100.61 	99.10 	97.21 	96.17 	95.90 	95.95 	94.97 	97.45 	98.17 	98.89 	99.46 	100.53 	99.83 	100.18 	100.81 	101.24 	103.45 	103.65 	102.31 	104.29 	105.34 	105.23 	106.91 	108.90 
INX_Q,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	116.09 	114.52 	112.06 	111.08 	113.75 	114.32 	115.24 	114.96 	115.12 	114.10 	113.10 	111.46 	110.20 	106.93 	105.73 	101.51 	99.33 	96.58 	95.52 	95.75 	94.25 	93.38 	93.51 	95.76 	97.63 	98.40 	98.00 	97.57 	98.22 	100.18 	100.16 	101.44 	103.99 	105.34 	106.72 	108.07 	110.57 	112.37 	116.81 	117.89 	123.01 	123.68 
INX_Q,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	165.74 	152.29 	171.09 	138.24 	146.53 	135.70 	145.64 	118.54 	123.07 	115.12 	121.83 	98.92 	110.34 	101.63 	110.24 	93.73 	107.31 	99.10 	110.17 	90.40 	101.60 	94.30 	107.52 	89.59 	103.79 	96.54 	106.88 	92.79 	108.98 	103.65 	113.09 	96.19 	113.48 	108.99 	117.47 	99.10 	117.12 	109.12 
INX_Q,SE	57.23 	58.49 	60.93 	62.81 	64.43 	65.85 	67.38 	68.31 	70.39 	73.79 	76.55 	74.41 	73.39 	73.93 	72.92 	69.07 	70.33 	71.89 	73.64 	75.42 	76.25 	76.86 	77.97 	79.00 	78.79 	78.69 	78.16 	76.95 	78.14 	78.24 	78.84 	79.53 	80.92 	81.73 	82.71 	84.23 	86.81 	87.78 	89.99 	92.16 	95.77 	98.31 	101.56 	104.36 	106.97 	106.04 	107.61 	109.74 	112.17 	112.89 	113.79 	111.12 	109.66 	108.92 
INX_Q,SI	: 	: 	: 	: 	: 	: 	: 	: 	137.30 	135.09 	135.74 	140.69 	143.47 	139.33 	136.23 	136.98 	131.12 	127.18 	118.45 	122.68 	127.84 	125.29 	118.37 	121.23 	130.54 	126.65 	119.20 	121.13 	119.40 	116.96 	110.42 	108.44 	112.03 	109.44 	99.76 	101.15 	103.22 	98.11 	94.79 	98.35 	102.32 	101.83 	97.65 	98.21 	104.02 	104.04 	102.52 	104.66 	108.12 	110.82 	108.79 	113.19 	120.53 	122.01 
INX_Q,SK	: 	: 	: 	: 	85.03 	87.71 	89.46 	95.59 	100.29 	108.74 	116.60 	123.88 	128.84 	132.15 	125.43 	121.10 	111.77 	107.99 	113.90 	108.87 	106.27 	106.08 	104.41 	103.84 	101.48 	99.35 	99.87 	98.18 	94.30 	93.64 	94.36 	92.84 	92.43 	93.41 	93.66 	94.12 	92.98 	94.98 	94.82 	96.48 	98.17 	100.06 	100.32 	101.44 	103.70 	106.63 	108.31 	109.53 	106.34 	112.19 	114.14 	114.33 	115.98 	116.67 
INX_Q,UK	95.96 	97.93 	99.54 	99.38 	99.69 	102.06 	104.48 	105.71 	107.59 	110.24 	113.20 	112.76 	108.17 	105.99 	100.32 	93.24 	89.22 	90.01 	93.50 	95.13 	95.37 	96.05 	96.98 	94.29 	91.24 	91.10 	91.48 	89.67 	88.38 	89.50 	90.49 	88.81 	87.82 	88.94 	90.53 	90.77 	91.59 	94.15 	96.85 	96.82 	97.21 	98.61 	101.63 	102.55 	103.86 	105.24 	106.44 	106.27 	106.04 	107.52 	109.43 	108.73 	108.29 	108.94 p
RCH_A,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.0 	2.7 	2.4 	3.0 	5.3 	4.7 	5.3 	3.9 	3.2 	3.7 	4.0 	1.2 	2.5 	2.2 	-1.5 	2.6 	-2.2 	2.6 	7.7 	5.1 	11.6 	7.6 	4.0 	5.5 	3.1 	3.4 	3.1 	4.4 	3.5 	1.7 
RCH_A,BE	: 	: 	: 	: 	6.8 	7.1 	6.6 	5.2 	5.5 	5.2 	4.8 	3.7 	2.2 	1.0 	0.3 	1.2 	0.2 	-0.8 	0.8 	-0.5 	0.7 	1.8 	0.9 	2.0 	1.4 	1.1 	1.1 	0.5 	0.7 	0.6 	0.0 	-0.5 	0.2 	0.3 	0.4 	0.4 	-2.5 	-1.6 	-1.3 	0.7 	0.6 p	1.4 p	2.1 p	0.4 p	1.8 p	0.6 p	0.9 p	1.2 p	2.0 p	1.0 p	1.7 p	1.3 p	1.1 	2.1 p
RCH_A,BG	: 	: 	: 	: 	10.9 p	10.2 p	10.5 p	17.4 p	12.8 p	19.9 p	20.4 p	20.3 p	27.0 p	19.3 p	20.2 p	5.6 p	-13.1 p	-21.2 p	-25.7 p	-24.3 p	-19.3 p	-9.9 p	-8.6 p	-9.8 p	-8.6 	-11.0 	-8.1 	-7.2 	-8.3 	-3.4 	-4.5 	-4.9 	-0.8 	-0.3 	3.4 	-0.5 	4.0 	4.2 	-3.6 	1.9 	-1.3 	-2.0 	4.7 	4.5 	5.7 	9.0 	5.3 	8.5 	9.3 	5.9 	5.8 	4.5 	2.5 p	4.5 p
