unit,geo\time	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
INX_Q,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	123.19 	124.01 	126.34 	123.02 	122.58 	118.48 	116.37 	114.28 	112.07 	110.49 	109.52 	109.80 	108.81 	110.53 	111.31 	111.99 	111.36 	109.86 	109.09 	105.40 	105.28 	104.63 	104.97 	103.63 	102.94 	103.82 	103.00 	102.14 	101.05 	99.13 	99.86 	99.96 	101.21 	100.28 	101.31 	100.75 	100.85 	104.55 	105.13 	108.45 	109.44 	109.26 
INX_Q,HU	: 	: 	: 	: 	: 	: 	: 	: 	95.04 	97.35 	101.20 	102.05 	100.55 	101.90 	102.29 	100.29 	99.69 	96.65 	95.05 	92.42 	94.69 	94.21 	93.75 	91.99 	91.73 	90.97 	89.75 	89.34 	90.21 	87.12 	86.39 	84.67 	84.95 	85.14 	85.26 	84.13 	85.75 	87.55 	89.19 	91.22 	93.60 	98.69 	103.06 	104.65 	109.39 	111.97 	115.20 	116.95 	115.21 	118.67 	122.31 	124.33 	129.24 	131.01 p
INX_Q,IE	125.92 	128.58 	133.58 	139.46 	141.99 	147.62 	156.49 	159.91 	162.70 	163.29 	163.07 	162.16 	158.74 	154.41 	150.29 	142.58 	132.58 	123.46 	118.33 	115.58 	111.53 p	107.73 p	104.59 p	99.98 p	95.45 p	90.50 p	85.12 p	80.38 p	76.76 p	75.00 p	75.89 p	76.50 p	74.32 p	74.33 p	78.52 p	80.77 p	82.04 p	86.62 p	93.63 p	96.59 p	96.43 p	98.60 p	101.73 p	103.25 p	103.67 p	104.79 p	109.33 p	112.06 p	113.36 p	115.86 p	122.18 p	125.31 p	127.34 p	130.45 p
INX_Q,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	116.8 	117.9 	118.8 	118.9 	118.3 	120.7 	120.3 	119.5 	119.0 	118.1 	115.9 	113.6 	110.5 	110.2 	108.6 	107.1 	105.7 	104.7 	103.5 	101.9 	99.7 	99.8 	100.7 	99.8 	99.8 	100.5 	100.7 	99.0 p	99.1 	99.6 	99.2 	98.8 	98.6 	99.4 p
INX_Q,LT	: 	: 	: 	: 	86.60 	87.40 	96.21 	106.78 	111.26 	115.87 	123.42 	125.67 	129.90 	134.49 	132.09 	122.54 	97.97 	92.79 	88.52 	84.41 	82.75 	84.57 	83.94 	85.55 	89.20 	89.88 	89.67 	90.31 	89.99 	89.05 	89.94 	89.25 	89.86 	91.20 	89.60 	91.92 	93.33 	97.11 	98.68 	96.76 	97.49 	100.49 	102.07 	99.95 	100.78 	103.91 	107.48 	109.43 	111.07 	114.52 	116.66 	116.94 	119.78 	123.00 
INX_Q,LU	: 	: 	: 	: 	: 	: 	: 	: 	72.67 	73.16 	76.13 	75.72 	75.38 	77.55 	77.27 	77.43 	75.58 	76.05 	75.36 	77.09 	80.09 	78.99 	80.20 	81.28 	80.93 	82.88 	82.87 	85.67 	84.60 	86.26 	86.49 	88.96 	89.16 	90.27 	91.40 	92.74 	91.36 	94.72 	95.98 	97.45 	97.80 	99.87 	101.27 	101.06 	102.64 	105.44 	107.02 	108.92 	109.84 	112.21 	112.28 	113.50 	116.84 	117.93 
INX_Q,LV	: 	: 	: 	: 	89.95 	99.22 	109.54 	119.19 	134.59 	138.58 	149.52 	146.78 	157.05 	154.19 	143.82 	120.71 	98.98 	89.04 	87.60 	85.34 	78.52 	78.80 	80.83 	83.25 	86.98 	88.51 	91.36 	88.05 	89.22 	90.28 	92.54 	93.41 	93.52 	97.37 	98.52 	101.08 	103.39 	104.90 	109.04 	96.57 	96.63 	100.06 	100.40 	102.91 	103.49 	109.52 	110.04 	110.90 	113.11 	119.53 	119.72 	119.69 	126.02 	129.91 p
INX_Q,MT	56.65 	56.48 	61.17 	59.43 	62.34 	69.34 	71.59 	76.88 	80.89 	84.76 	86.24 	87.10 	94.40 	90.54 	96.44 	95.19 	91.74 	89.78 	90.87 	87.90 	91.50 	91.16 	94.04 	87.45 	88.65 	90.79 	91.03 	88.73 	90.50 	89.49 	96.03 	94.13 	91.37 	90.10 	94.33 	92.83 	92.82 	92.73 	94.58 	97.92 	95.30 	96.07 	102.72 	105.92 	100.29 	102.78 	107.62 	111.12 	105.61 	108.88 	113.09 p	116.53 p	111.51 p	115.05 p
INX_Q,NL	104.46 	105.66 	107.07 	107.59 	108.78 	110.22 	111.48 	112.45 	113.95 	114.95 	117.19 	118.29 	118.36 	118.54 	120.06 	117.60 	116.38 	113.03 	112.04 	111.95 	111.61 	111.48 	111.58 	110.93 	111.07 	109.55 	109.03 	107.11 	105.07 	103.33 	99.31 	99.73 	97.02 	95.02 	95.63 	95.32 	95.80 	96.23 	96.85 	97.25 	98.27 	99.14 	101.14 	101.45 	102.81 	103.58 	106.16 	107.52 	109.67 	111.39 	114.02 	116.65 	119.90 	121.79 p
INX_Q,PL	55.59 	55.08 	55.06 	58.29 	60.80 	65.96 	81.70 	97.60 	109.19 	116.04 	117.95 	112.09 	114.79 	115.30 	111.46 	110.12 	111.23 	110.62 	111.08 	106.15 	104.60 	105.87 	106.02 	105.95 	105.88 	106.57 	105.41 	104.92 	103.50 	102.82 	101.41 	100.29 	97.70 	97.52 	97.43 	97.49 	97.15 	99.30 	98.66 	98.89 	99.06 	100.43 	100.63 	99.88 	100.00 	100.84 	102.73 	103.86 	103.33 	105.44 	106.50 	107.86 	109.48 	111.95 
INX_Q,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109.23 	109.59 	106.56 	104.74 	105.67 	106.65 	106.70 	107.13 	107.74 	108.16 	107.32 	106.21 	105.45 	103.18 	101.49 	98.25 	96.84 	94.64 	93.70 	94.31 	92.45 	92.25 	92.75 	94.89 	96.16 	97.70 	97.31 	96.98 	96.94 	100.57 	100.65 	101.84 	103.67 	106.91 	108.31 	109.57 	111.89 	115.51 	119.60 	121.06 	125.58 	128.49 
INX_Q,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132.70 	126.97 	126.51 	130.93 	123.93 	121.99 	117.48 	114.77 	110.14 	108.11 	102.31 	98.75 	101.74 	101.15 	97.44 	97.71 	100.99 	100.42 	98.04 	97.59 	98.37 	96.88 	96.01 	97.62 	101.01 	99.76 	98.87 	100.36 	103.65 	106.59 	105.86 	107.70 	108.96 	114.27 	112.44 	113.75 	116.10 	119.66 
INX_Q,SE	49.33 	51.00 	53.00 	54.39 	56.31 	57.94 	59.49 	59.83 	62.15 	65.96 	68.35 	66.37 	66.56 	67.86 	67.37 	63.88 	65.54 	67.50 	69.36 	71.19 	72.35 	73.24 	74.38 	75.52 	75.87 	76.32 	76.12 	74.56 	75.63 	76.43 	77.02 	77.37 	78.81 	80.09 	81.54 	82.79 	85.15 	87.07 	89.98 	91.41 	94.99 	98.40 	102.26 	104.35 	106.85 	106.98 	109.54 	111.15 	113.95 	116.15 	117.76 	114.44 	113.49 	114.14 
INX_Q,SI	: 	: 	: 	: 	: 	: 	: 	: 	115.66 	118.12 	122.08 	127.52 	129.32 	129.08 	131.52 	127.31 	119.37 	116.93 	114.95 	116.97 	117.41 	118.08 	116.53 	116.80 	122.24 	121.89 	119.01 	118.40 	113.60 	114.91 	111.90 	107.95 	108.72 	109.60 	103.30 	103.22 	101.51 	98.84 	97.77 	98.69 	100.11 	102.38 	98.77 	98.74 	100.94 	102.84 	103.69 	105.54 	106.87 	111.42 	111.89 	116.07 	121.19 	126.34 
INX_Q,SK	: 	: 	: 	: 	71.76 	74.64 	76.58 	80.96 	87.45 	93.62 	101.56 	109.38 	116.60 	120.39 	114.77 	110.44 	103.39 	98.59 	103.19 	98.09 	97.55 	96.96 	96.26 	96.36 	96.51 	95.08 	95.57 	94.15 	93.54 	92.70 	93.32 	91.45 	93.54 	93.78 	93.56 	93.46 	93.35 	94.88 	94.72 	96.67 	98.27 	100.16 	100.22 	101.34 	103.18 	106.10 	107.77 	109.75 	107.08 	113.09 	115.62 	116.16 	119.57 	120.99 
INX_Q,UK	76.28 	78.53 	80.42 	80.59 	81.14 	84.19 	86.81 	88.47 	89.72 	93.14 	95.76 	95.72 	93.12 	92.52 	88.87 	82.97 	78.68 	79.74 	82.83 	84.47 	84.77 	86.34 	87.56 	85.70 	84.11 	84.80 	85.80 	84.64 	83.77 	85.28 	86.23 	85.43 	84.91 	86.62 	88.71 	89.22 	90.39 	93.67 	96.65 	96.81 	96.52 	98.60 	101.82 	103.05 	104.16 	106.49 	108.66 	108.60 	108.78 	111.16 	113.69 	113.61 	113.47 	114.92 p
RCH_A,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.7 	5.9 	6.0 	6.5 	8.2 	7.0 	7.6 	6.5 	5.7 	5.8 	6.0 	3.3 	4.4 	4.5 	0.7 	4.6 	-0.5 	4.2 	9.3 	6.4 	13.4 	9.0 	5.2 	7.0 	4.8 	4.9 	4.9 	6.5 	5.3 	3.7 
RCH_A,BE	: 	: 	: 	: 	10.1 	10.6 	9.9 	8.6 	9.0 	8.2 	7.2 	6.8 	5.3 	4.8 	4.3 	3.3 	1.0 	-1.4 	-0.5 	-0.9 	1.5 	3.4 	3.0 	4.6 	4.2 	4.2 	4.2 	3.5 	3.5 	2.6 	1.8 	1.1 	1.0 	1.2 	1.3 	1.1 	-1.4 	-0.9 	-0.9 	1.0 	0.4 p	1.9 p	2.8 p	1.5 p	3.2 p	2.2 p	2.5 p	2.6 p	4.4 p	2.9 p	3.7 p	3.6 p	2.5 	3.9 p
RCH_A,BG	: 	: 	: 	: 	15.1 p	12.2 p	14.0 p	17.4 p	22.6 p	27.1 p	30.6 p	34.6 p	31.6 p	32.2 p	26.8 p	11.7 p	-7.3 p	-20.9 p	-26.8 p	-25.7 p	-18.0 p	-9.9 p	-6.4 p	-5.0 p	-4.8 	-5.9 	-5.5 	-5.8 	-3.7 	-1.6 	-1.0 	-1.3 	-2.3 	-2.2 	-3.1 	-1.2 	0.7 	0.5 	1.8 	2.8 	2.3 	2.8 	2.1 	4.0 	4.6 	6.5 	8.8 	8.1 	9.0 	8.6 	9.0 	8.2 	7.1 p	7.5 p
RCH_A,CY	: 	: 	: 	: 	10.3 	11.6 	12.0 	13.4 	13.0 	12.5 	12.1 	9.6 	11.3 	8.9 	3.7 	-0.9 	-5.5 	-7.1 	-7.4 	-6.2 	-6.6 p	-6.9 p	-5.7 p	-3.6 p	-2.5 p	1.1 p	-1.0 p	-4.0 p	-4.6 p	-7.0 p	-1.0 p	0.6 p	-1.7 p	-1.2 p	-6.4 p	-6.9 p	-6.2 p	-1.2 p	-0.3 p	0.8 p	-0.6 bp	-2.9 p	-0.2 p	-2.1 p	-0.2 	-1.4 	-0.6 	3.3 	2.4 p	3.6 p	0.6 p	2.5 p	3.7 p	1.2 p
RCH_A,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8 	-4.4 	-6.6 	-6.8 	-4.7 	-1.3 	-0.8 	0.0 	0.2 	0.5 	0.2 	-0.8 	-1.6 	-2.0 	-1.6 	-0.7 	-0.3 	0.1 	0.2 	0.1 	1.5 	1.8 	2.8 	3.7 	3.5 	3.8 	4.1 	4.5 p	4.8 	5.7 	7.1 	10.9 p	12.8 	13.3 	12.5 	8.4 p	7.6 	7.5 p
RCH_A,DE	: 	: 	: 	: 	-1.2 	1.0 	-2.5 	1.2 	-3.8 	-2.2 	-0.9 	-1.7 	3.5 	1.7 	0.0 	0.2 	-1.2 	0.0 	1.6 	2.9 	1.5 	1.4 	1.7 	-0.5 	3.6 	3.3 	2.8 	4.2 	2.2 	2.3 	4.3 	4.9 	3.9 	4.5 	2.8 	1.5 	2.7 	2.8 	3.6 	3.4 	4.3 	4.4 	4.4 	5.8 	4.8 	5.6 	6.6 	6.9 	5.1 	4.2 	4.4 	4.6 	5.5 p	4.7 p
RCH_A,DK	: 	: 	: 	: 	29.4 	30.4 	23.5 	14.7 	7.5 	2.7 	0.9 	0.0 	-1.7 	-2.7 	-5.3 	-11.0 	-15.6 	-14.9 	-11.9 	-4.8 	2.3 	3.2 	3.2 	2.5 	0.9 	1.0 	-3.1 	-5.6 	-4.6 	-5.4 	-1.8 	1.3 	2.7 	4.8 	4.5 	3.6 	3.6 	3.9 	3.3 	4.3 	6.7 	6.2 	7.2 	7.7 	5.8 	5.0 	5.9 	4.2 	4.5 	4.7 	4.7 	4.4 	5.9 	4.8 p
RCH_A,EE	: 	: 	: 	: 	52.3 	48.6 	50.6 	47.2 	34.4 	29.9 	17.9 	5.2 	-1.3 	-10.0 	-7.4 	-19.6 	-34.9 	-37.7 	-42.2 	-33.6 	-5.5 	2.6 	15.0 	12.9 	6.7 	8.8 	6.8 	11.8 	7.3 	7.7 	8.4 	5.8 	7.7 	8.1 	11.1 	15.6 	17.5 	14.5 	13.2 	10.1 	8.0 	10.5 	4.0 	5.1 	2.0 	1.8 	7.4 	7.7 	7.7 	4.8 	4.7 	4.9 	6.6 	7.4 
RCH_A,ES	: 	: 	: 	: 	: 	: 	: 	14.6 	13.1 	11.6 	9.2 	5.7 	2.8 	-0.3 	-2.9 	-5.2 	-7.4 	-7.6 	-6.9 	-4.4 	-3.0 	-1.0 	-1.7 	-1.4 	-3.6 	-6.2 	-8.1 	-12.7 	-14.2 	-16.0 	-16.1 	-12.7 	-12.8 	-10.6 	-6.4 	-6.3 	-1.6 	0.8 	0.3 	1.8 	1.5 	4.0 	4.5 	4.2 	6.3 	3.9 	4.0 	4.4 	5.3 	5.6 	6.7 	7.2 	6.2 	6.8 
RCH_A,FI	: 	: 	: 	: 	8.1 p	7.5 p	6.5 p	5.8 p	6.9 p	6.3 p	5.9 p	4.5 p	3.3 p	2.4 p	0.8 p	-3.2 p	-1.9 p	-1.3 p	1.5 p	7.7 p	7.6 	6.9 	6.5 	4.3 	3.3 	4.3 	2.8 	2.3 	2.7 	1.9 	2.1 	3.0 	1.9 	1.2 	1.2 	0.3 	-0.2 	-0.2 	-0.5 	-0.5 	-0.2 	-0.3 	0.1 	0.5 	0.0 	0.8 	0.5 	0.5 	2.0 	1.7 	1.5 	1.2 	0.0 	0.7 
RCH_A,FR	: 	: 	: 	: 	13.8 	12.6 	10.9 	9.7 	8.0 	6.6 	5.7 	5.5 	4.1 	2.6 	0.6 	-3.4 	-6.5 	-8.1 	-6.9 	-3.3 	1.3 	4.8 	6.1 	7.0 	6.8 	6.8 	6.0 	3.7 	1.7 	-0.2 	-1.6 	-2.0 	-2.0 	-2.1 	-1.9 	-1.6 	-1.6 	-1.2 	-1.3 	-2.3 	-2.0 	-2.1 	-1.5 	-0.2 	0.3 	0.7 	1.4 	1.6 	2.7 	3.2 	3.3 	3.3 	2.9 	2.8 p
RCH_A,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.5 	-4.5 	-7.9 	-7.1 	-8.6 	-6.7 	-5.9 	-3.9 	-2.9 	0.0 	1.6 	2.0 	2.3 	-0.6 	-2.0 	-5.9 	-5.5 	-4.8 	-3.8 	-1.7 	-2.2 	-0.8 	-1.9 	-1.4 	-1.8 	-4.5 	-3.0 	-2.1 	0.2 	1.2 	1.5 	0.8 	-0.4 	4.3 	3.8 	7.6 	8.5 	4.5 
RCH_A,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.8 	4.7 	1.1 	-1.7 	-0.9 	-5.2 	-7.1 	-7.8 	-5.0 	-2.5 	-1.4 	-0.5 	-3.1 	-3.4 	-4.3 	-2.9 	-1.7 	-4.2 	-3.7 	-5.2 	-5.8 	-2.3 	-1.3 	-0.6 	0.9 	2.8 	4.6 	8.4 	9.2 	12.7 	15.6 	14.7 	16.9 	13.5 	11.8 	11.8 	5.3 	6.0 	6.2 	6.3 	12.2 	10.4 p
RCH_A,IE	: 	: 	: 	: 	12.8 	14.8 	17.2 	14.7 	14.6 	10.6 	4.2 	1.4 	-2.4 	-5.4 	-7.8 	-12.1 	-16.5 	-20.0 	-21.3 	-18.9 	-15.9 p	-12.7 p	-11.6 p	-13.5 p	-14.4 p	-16.0 p	-18.6 p	-19.6 p	-19.6 p	-17.1 p	-10.8 p	-4.8 p	-3.2 p	-0.9 p	3.5 p	5.6 p	10.4 p	16.5 p	19.2 p	19.6 p	17.5 p	13.8 p	8.7 p	6.9 p	7.5 p	6.3 p	7.5 p	8.5 p	9.3 p	10.6 p	11.8 p	11.8 p	12.3 p	12.6 p
RCH_A,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.3 	2.4 	1.3 	0.5 	0.6 	-2.2 	-3.7 	-4.9 	-7.1 	-6.7 	-6.3 	-5.7 	-4.3 	-5.0 	-4.7 	-4.9 	-5.7 	-4.7 	-2.7 	-2.1 	0.1 	0.7 	0.0 	-0.8 p	-0.7 	-0.9 	-1.5 	-0.2 p	-0.5 	-0.2 p
RCH_A,LT	: 	: 	: 	: 	: 	: 	: 	: 	28.5 	32.6 	28.3 	17.7 	16.8 	16.1 	7.0 	-2.5 	-24.6 	-31.0 	-33.0 	-31.1 	-15.5 	-8.9 	-5.2 	1.4 	7.8 	6.3 	6.8 	5.6 	0.9 	-0.9 	0.3 	-1.2 	-0.1 	2.4 	-0.4 	3.0 	3.9 	6.5 	10.1 	5.3 	4.5 	3.5 	3.4 	3.3 	3.4 	3.4 	5.3 	9.5 	10.2 	10.2 	8.5 	6.9 	7.8 	7.4 
RCH_A,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.7 	6.0 	1.5 	2.3 	0.3 	-1.9 	-2.5 	-0.4 	6.0 	3.9 	6.4 	5.4 	1.0 	4.9 	3.3 	5.4 	4.5 	4.1 	4.4 	3.8 	5.4 	4.6 	5.7 	4.2 	2.5 	4.9 	5.0 	5.1 	7.0 	5.4 	5.5 	3.7 	4.9 	5.6 	5.7 	7.8 	7.0 	6.4 	4.9 	4.2 	6.4 	5.1 
RCH_A,LV	: 	: 	: 	: 	: 	: 	: 	: 	49.6 	39.7 	36.5 	23.1 	16.7 	11.3 	-3.8 	-17.8 	-37.0 	-42.3 	-39.1 	-29.3 	-20.7 	-11.5 	-7.7 	-2.4 	10.8 	12.3 	13.0 	5.8 	2.6 	2.0 	1.3 	6.1 	4.8 	7.9 	6.5 	8.2 	10.6 	7.7 	10.7 	-4.5 	-6.5 	-4.6 	-7.9 	6.6 	7.1 	9.5 	9.6 	7.8 	9.3 	9.1 	8.8 	7.9 	11.4 	8.7 p
RCH_A,MT	: 	: 	: 	: 	10.0 	22.8 	17.0 	29.4 	29.8 	22.2 	20.5 	13.3 	16.7 	6.8 	11.8 	9.3 	-2.8 	-0.8 	-5.8 	-7.7 	-0.3 	1.5 	3.5 	-0.5 	-3.1 	-0.4 	-3.2 	1.5 	2.1 	-1.4 	5.5 	6.1 	1.0 	0.7 	-1.8 	-1.4 	1.6 	2.9 	0.3 	5.5 	2.7 	3.6 	8.6 	8.2 	5.2 	7.0 	4.8 	4.9 	5.3 	5.9 	5.1 p	4.9 p	5.6 p	5.7 p
RCH_A,NL	: 	: 	: 	: 	4.1 	4.3 	4.1 	4.5 	4.8 	4.3 	5.1 	5.2 	3.9 	3.1 	2.4 	-0.6 	-1.7 	-4.6 	-6.7 	-4.8 	-4.1 	-1.4 	-0.4 	-0.9 	-0.5 	-1.7 	-2.3 	-3.4 	-5.4 	-5.7 	-8.9 	-6.9 	-7.7 	-8.0 	-3.7 	-4.4 	-1.3 	1.3 	1.3 	2.0 	2.6 	3.0 	4.4 	4.3 	4.6 	4.5 	5.0 	6.0 	6.7 	7.5 	7.4 	8.5 	9.3 	9.3 p
