unit,direct,na_item,sector,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,ES	105.33 	106.06 	102.56 	100.00 	99.74 	94.83 	92.78 	89.43 	88.60 	91.84 	97.34 p	96.85 p	95.95 p
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,EU28	95.77 	97.52 	99.15 	100.00 	101.29 	100.75 	99.80 	98.72 	98.65 	99.52 	101.43 	103.50 	104.39 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,FI	89.40 	93.37 	99.84 	100.00 	97.83 	100.07 	99.84 	99.75 	97.83 	97.68 	101.56 	99.87 	99.11 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,FR	99.49 	100.76 	103.32 	100.00 	100.07 	102.51 	102.34 	102.60 	103.06 	104.93 	107.51 	106.76 p	107.12 p
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,HR	93.19 	95.85 	99.79 	100.00 	95.97 	96.13 	96.79 	96.88 	: 	: 	: 	: 	: 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,HU	113.20 	113.28 	104.90 	100.00 	94.76 	95.81 	98.91 	94.44 	94.69 	96.69 	99.65 	100.94 	101.39 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,IE	99.28 	101.33 	101.95 	100.00 	99.85 	103.23 	98.34 	100.98 	96.68 	95.30 	99.66 	99.45 	: 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,IS	108.31 	108.18 	116.15 	100.00 	74.69 	63.58 	65.20 	65.00 	63.00 	63.97 	: 	: 	: 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,IT	98.74 	100.47 	102.28 	100.00 	95.98 	97.18 	94.75 	89.85 	87.58 	87.43 	90.12 	90.75 	90.66 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,LT	97.53 	102.75 	101.27 	100.00 	89.43 	93.84 	96.07 	97.64 	102.89 	107.36 	115.03 	116.43 	116.18 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,LU	101.22 	102.17 	102.15 	100.00 	98.08 	94.26 	92.31 	93.92 	94.03 	94.29 	95.43 	93.30 	: 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,LV	99.34 	103.21 	105.12 	100.00 	88.69 	94.68 	86.21 	90.33 	95.06 	97.95 	107.89 	110.29 	111.40 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,NL	94.23 	98.35 	101.41 	100.00 	98.77 	95.63 	94.58 	95.19 	93.05 	93.79 	96.61 	94.57 p	93.54 p
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,NO	99.45 	95.67 	102.20 	100.00 	97.97 	97.05 	98.60 	101.55 	103.05 	104.24 	107.76 	100.69 	99.53 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,PL	87.56 e	91.83 e	99.85 e	100.00 e	101.26 e	107.10 e	106.78 e	109.53 e	110.23 e	113.68 e	121.37 e	124.25 e	: 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,PT	102.68 	102.91 	101.64 	100.00 	99.65 	100.27 	94.14 	91.35 	93.23 	93.83 	97.67 	97.29 p	98.40 e
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,RO	77.29 	82.77 	90.46 	100.00 b	93.40 	96.43 	91.87 	90.44 b	89.94 b	92.50 	95.93 	104.38 p	: 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,SE	89.37 	94.52 	100.31 	100.00 	96.16 	95.42 	97.31 	101.52 	99.23 	101.05 	103.17 	101.42 	100.31 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,SI	99.74 	101.23 	101.97 	100.00 b	93.54 	94.07 	94.63 	92.56 	90.24 	91.81 	95.76 	96.72 	97.64 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,SK	87.74 	88.24 	97.03 	100.00 	100.37 	107.46 	103.92 	103.37 	103.86 	109.05 	115.77 	115.36 	116.37 
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,UK	103.26 	104.79 	105.10 	100.00 	96.44 	95.66 	91.84 	93.77 	91.16 	91.36 	96.59 	93.53 	90.44 
